,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Phil Mickelson,70,45.61,156,342
1,2,2,Aaron Baddeley,76,45.14,195,432
2,3,3,Chesson Hadley,101,44.26,239,540
3,4,4,Kevin Na,98,44.0,198,450
4,5,5,Brian Harman,90,43.3,226,522
5,6,6,Carl Pettersson,106,43.06,248,576
6,7,7,Erik Compton,86,43.0,209,486
7,8,8,Scott Stallings,60,42.98,147,342
8,9,9,Brandt Snedeker,98,42.95,201,468
9,10,10,Ian Poulter,68,42.9,139,324
10,11,11,Webb Simpson,81,42.86,162,378
11,T12,T12,Michael Thompson,83,42.74,200,468
12,T12,T12,Brendon Todd,96,42.74,200,468
13,14,14,Jason Day,75,42.69,146,342
14,T15,T15,Jonathan Byrd,69,42.59,161,378
15,T15,T15,Brian Stuard,97,42.59,230,540
16,17,17,David Lingmerth,90,42.46,214,504
17,T18,T18,Retief Goosen,81,42.36,183,432
18,T18,T18,J.B. Holmes,89,42.36,183,432
19,20,20,Padraig Harrington,60,42.33,160,378
20,21,21,Nick Taylor,91,42.06,212,504
21,22,22,Steven Bowditch,103,42.01,242,576
22,23,23,Henrik Stenson,63,41.85,113,270
23,T24,T24,Kevin Chappell,86,41.67,195,468
24,T24,T24,K.J. Choi,66,41.67,135,324
25,T24,T24,Sean O'Hair,86,41.67,195,468
26,T24,T24,Justin Thomas,106,41.67,225,540
27,T28,T28,Matt Kuchar,97,41.44,179,432
28,T28,T28,Jordan Spieth,91,41.44,179,432
29,30,30,Ryan Moore,81,41.3,171,414
30,31,31,Zach Johnson,90,41.2,178,432
31,32,32,Andres Gonzales,90,41.15,200,486
32,T33,T33,Matt Every,73,41.11,185,450
33,T33,T33,Oscar Fraustro,58,41.11,148,360
34,T33,T33,David Hearn,97,41.11,222,540
35,36,36,Vijay Singh,78,41.06,170,414
36,37,37,Ernie Els,57,41.05,133,324
37,38,38,William McGirt,103,40.93,221,540
38,39,39,Harris English,105,40.87,206,504
39,40,40,Eric Axley,57,40.83,147,360
40,T41,T41,Derek Fathauer,81,40.81,191,468
41,T41,T41,Patrick Reed,103,40.81,191,468
42,43,43,Daniel Summerhays,101,40.8,213,522
43,44,44,Danny Lee,120,40.74,264,648
44,45,45,Greg Chalmers,58,40.63,117,288
45,46,46,Ricky Barnes,82,40.6,190,468
46,47,47,Robert Garrigus,70,40.51,175,432
47,48,48,Bubba Watson,71,40.43,131,324
48,49,49,Ken Duke,93,40.42,211,522
49,50,50,Daniel Berger,97,40.32,225,558
50,T51,T51,Sangmoon Bae,98,40.23,210,522
51,T51,T51,Alex Cejka,94,40.23,210,522
52,53,53,Ben Crane,62,40.21,152,378
53,54,54,Justin Leonard,61,40.15,159,396
54,55,55,Cameron Tringale,96,40.08,202,504
55,T56,T56,Chad Collins,79,40.05,173,432
56,T56,T56,Matt Jones,89,40.05,173,432
57,58,58,D.A. Points,72,40.0,180,450
58,59,59,Luke Guthrie,84,39.96,187,468
59,60,60,Patrick Rodgers,57,39.93,115,288
60,61,61,Chris Stroud,84,39.88,201,504
61,62,62,Davis Love III,51,39.81,129,324
62,63,63,Tom Hoge,83,39.78,179,450
63,64,64,Camilo Villegas,83,39.74,186,468
64,65,65,Rickie Fowler,76,39.72,143,360
65,66,66,Steve Wheatcroft,87,39.71,193,486
66,67,67,Paul Casey,87,39.61,164,414
67,T68,T68,Fabián Gómez,83,39.53,185,468
68,T68,T68,Morgan Hoffmann,85,39.53,185,468
69,70,70,Jason Bohn,95,39.51,192,486
70,71,71,Kevin Kisner,104,39.44,213,540
71,72,72,Gonzalo Fernandez-Castaño,81,39.3,191,486
72,73,73,Andrew Putnam,68,39.14,155,396
73,74,74,Jerry Kelly,79,39.12,169,432
74,75,75,Jonas Blixt,78,39.11,176,450
75,76,76,Sung Joon Park,79,39.1,183,468
76,77,77,Jon Curran,83,39.09,190,486
77,78,78,Scott Brown,97,39.07,211,540
78,T79,T79,Brian Davis,86,38.89,203,522
79,T79,T79,Graham DeLaet,65,38.89,140,360
80,T79,T79,Jim Furyk,71,38.89,119,306
81,T79,T79,Adam Hadwin,95,38.89,203,522
82,T79,T79,Mark Hubbard,79,38.89,161,414
83,T79,T79,Scott Pinckney,88,38.89,189,486
84,T79,T79,Kyle Reifers,96,38.89,210,540
85,T79,T79,Adam Scott,51,38.89,98,252
86,T87,T87,James Hahn,94,38.69,195,504
87,T87,T87,Scott Piercy,90,38.69,195,504
88,89,89,Charley Hoffman,97,38.68,188,486
89,90,90,Jonathan Randolph,72,38.66,167,432
90,T91,T91,Keegan Bradley,87,38.65,160,414
91,T91,T91,Jimmy Walker,89,38.65,160,414
92,93,93,Chris Kirk,76,38.61,139,360
93,94,94,Justin Rose,69,38.6,132,342
94,95,95,Brendon de Jonge,106,38.53,215,558
95,96,96,Martin Flores,95,38.51,201,522
96,T97,T97,Ryo Ishikawa,90,38.48,187,486
97,T97,T97,Mark Wilson,89,38.48,187,486
98,99,99,Boo Weekley,79,38.43,166,432
99,100,100,Carlos Ortiz,100,38.31,200,522
100,101,101,Dustin Johnson,75,38.3,131,342
101,102,102,George McNeill,93,38.27,186,486
102,103,103,Brendan Steele,88,38.16,158,414
103,104,104,Lee Westwood,56,38.1,96,252
104,105,105,Billy Hurley III,83,38.07,185,486
105,T106,T106,Pat Perez,96,38.03,178,468
106,T106,T106,Shawn Stefani,94,38.03,178,468
107,T106,T106,Jhonattan Vegas,90,38.03,178,468
