,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Russell Henley,24,51.2
1,2,2,Zac Blair,34,63.2
2,3,3,Harris English,29,66.9
3,4,4,Greg Chalmers,17,68.1
4,5,5,Jimmy Walker,24,70.2
5,6,6,Rickie Fowler,21,70.9
6,7,7,Brendon Todd,27,74.8
7,8,8,Daniel Summerhays,29,75.2
8,9,9,Aaron Baddeley,25,76.8
9,10,10,Jamie Donaldson,16,79.1
10,11,11,Hunter Mahan,24,91.6
11,12,12,Ryan Palmer,22,93.5
12,13,13,David Hearn,30,95.0
13,14,14,Brandt Snedeker,27,97.1
14,15,15,Bryce Molder,26,101.6
15,16,16,Henrik Stenson,16,101.7
16,17,17,Robert Streb,30,103.3
17,18,18,Brooks Koepka,23,103.8
18,19,19,Jordan Spieth,25,105.8
19,20,20,Kevin Na,27,107.3
20,21,21,Troy Merritt,29,108.9
21,22,22,Morgan Hoffmann,26,109.9
22,23,23,Jason Day,20,114.0
23,24,24,Hudson Swafford,30,114.5
24,T25,T25,Derek Fathauer,27,114.8
25,T25,T25,Kevin Kisner,30,114.8
26,27,27,Colt Knost,29,115.5
27,T28,T28,Billy Hurley III,28,116.7
28,T28,T28,Scott Pinckney,27,116.7
29,T28,T28,Patrick Reed,27,116.7
30,31,31,Erik Compton,28,122.4
31,T32,T32,Jason Bohn,27,123.8
32,T32,T32,Steve Wheatcroft,28,123.8
33,34,34,Eric Axley,21,124.6
34,35,35,Danny Lee,36,126.3
35,36,36,Brian Harman,29,127.3
36,37,37,John Huh,31,130.8
37,38,38,Carl Pettersson,32,136.8
38,39,39,Andrew Putnam,23,137.7
39,40,40,Pat Perez,26,139.4
40,41,41,George McNeill,27,142.3
41,42,42,K.J. Choi,19,145.1
42,43,43,Justin Rose,20,146.3
43,44,44,Chris Kirk,21,147.5
44,45,45,Bo Van Pelt,28,152.5
45,46,46,Adam Hadwin,30,153.6
46,47,47,Ben Crane,22,154.3
47,48,48,Jerry Kelly,24,154.5
48,49,49,Matt Kuchar,25,154.6
49,50,50,Sergio Garcia,15,154.9
50,51,51,Whee Kim,23,155.6
51,52,52,Sean O'Hair,26,156.1
52,T53,T53,Sangmoon Bae,30,158.3
53,T53,T53,Phil Mickelson,19,158.3
54,T53,T53,Johnson Wagner,23,158.3
55,56,56,Nick Taylor,28,158.6
56,57,57,Justin Leonard,22,159.8
57,58,58,Ian Poulter,19,163.5
58,59,59,Bubba Watson,19,164.6
59,60,60,Kevin Chappell,26,165.0
60,61,61,Zach Johnson,25,165.2
61,62,62,David Lingmerth,28,165.3
62,63,63,Dustin Johnson,21,168.6
63,64,64,Jeff Overton,30,169.1
64,65,65,Billy Horschel,28,172.3
65,66,66,Marc Leishman,23,172.8
66,67,67,Gary Woodland,24,175.3
67,68,68,Matt Jones,25,176.9
68,69,69,William McGirt,30,177.7
69,70,70,Francesco Molinari,16,178.7
70,T71,T71,Blayne Barber,26,178.8
71,T71,T71,Shawn Stefani,26,178.8
72,73,73,Steven Bowditch,32,181.7
73,74,74,Charley Hoffman,28,182.4
74,75,75,Chesson Hadley,30,182.6
75,76,76,Lee Westwood,15,182.7
76,T77,T77,Keegan Bradley,24,183.2
77,T77,T77,Cameron Tringale,28,183.2
78,79,79,Luke Donald,20,185.6
79,80,80,Ben Martin,27,186.1
80,81,81,Brian Stuard,31,189.8
81,82,82,Ricky Barnes,27,190.1
82,83,83,Jonas Blixt,26,191.8
83,84,84,Louis Oosthuizen,20,192.0
84,85,85,Graham DeLaet,22,192.6
85,86,86,Andres Gonzales,28,193.4
86,87,87,Seung-Yul Noh,21,195.0
87,88,88,Ryan Moore,24,196.0
88,89,89,Andres Romero,24,196.2
89,90,90,Jon Curran,28,197.2
90,91,91,Tyrone Van Aswegen,20,200.1
91,92,92,Brendon de Jonge,31,200.7
92,93,93,Hideki Matsuyama,25,202.0
93,94,94,Russell Knox,28,204.6
94,95,95,Patrick Rodgers,17,204.8
95,96,96,Kevin Streelman,27,204.9
96,97,97,Martin Laird,24,205.0
97,98,98,Brendan Steele,24,205.4
98,99,99,David Toms,21,205.8
99,100,100,John Peterson,25,206.4
100,101,101,Rory Sabbatini,25,206.8
101,102,102,James Hahn,28,207.0
102,103,103,Tom Hoge,26,207.3
103,104,104,Jim Herman,27,207.4
104,105,105,Camilo Villegas,27,207.7
105,106,106,Luke Guthrie,27,208.0
106,107,107,Cameron Percy,23,208.8
107,108,108,Paul Casey,24,209.6
108,T109,T109,Chad Collins,24,210.3
109,T109,T109,Justin Thomas,30,210.3
110,111,111,Alex Prugh,27,211.6
111,112,112,Max Homa,27,212.9
112,113,113,Michael Thompson,27,214.2
113,114,114,Scott Langley,28,214.3
114,115,115,Willy Wilcox,17,215.7
115,116,116,Jim Furyk,19,216.5
116,117,117,Brian Davis,31,217.8
117,118,118,J.B. Holmes,25,220.6
118,119,119,Scott Piercy,28,224.4
119,120,120,Scott Brown,30,225.1
120,121,121,Kyle Reifers,31,225.3
121,122,122,Tony Finau,31,228.4
122,T123,T123,Matt Every,26,229.0
123,T123,T123,Jhonattan Vegas,27,229.0
124,T125,T125,Fabián Gómez,26,230.0
125,T125,T125,Jonathan Randolph,25,230.0
126,127,127,Roger Sloan,20,231.4
127,128,128,Carlos Ortiz,30,232.1
128,129,129,Sam Saunders,28,232.3
129,130,130,Jonathan Byrd,22,237.3
130,131,131,Mark Hubbard,25,237.9
131,132,132,Jason Kokrak,28,238.8
132,133,133,Chad Campbell,30,240.4
133,134,134,Steven Alker,22,241.3
134,135,135,Daniel Berger,31,243.5
135,136,136,Ryo Ishikawa,28,243.8
136,137,137,Bill Haas,25,245.7
137,138,138,John Senden,24,246.5
138,139,139,Mark Wilson,28,248.7
139,140,140,D.A. Points,26,248.8
140,141,141,Adam Scott,15,252.6
141,142,142,Charles Howell III,30,254.7
142,143,143,Brice Garnett,29,254.8
143,144,144,Stewart Cink,23,256.3
144,145,145,Boo Weekley,24,260.3
145,146,146,Retief Goosen,25,261.3
146,147,147,Jason Gore,26,262.4
147,148,148,Oscar Fraustro,21,263.2
148,149,149,Spencer Levin,31,263.3
149,150,150,Andrew Svoboda,30,263.6
150,151,151,Chris Stroud,28,266.7
151,152,152,Tim Wilkinson,28,267.1
152,153,153,Alex Cejka,30,269.6
153,154,154,Scott Stallings,19,270.2
154,155,155,Davis Love III,18,270.7
155,156,156,Chez Reavie,19,272.6
156,157,157,Martin Flores,30,277.7
157,158,158,J.J. Henry,30,277.9
158,159,159,Nick Watney,28,279.1
159,160,160,Padraig Harrington,21,288.3
160,161,161,Ken Duke,30,291.4
161,162,162,Ernie Els,18,293.9
162,163,163,Ángel Cabrera,19,294.5
163,164,164,Byron Smith,21,297.3
164,165,165,Bill Lunde,18,305.3
165,166,166,Sung Joon Park,27,307.1
166,167,167,Greg Owen,19,307.8
167,168,168,Derek Ernst,26,309.9
168,169,169,Roberto Castro,16,312.3
169,170,170,Nicholas Thompson,31,314.1
170,171,171,Charl Schwartzel,19,314.3
171,172,172,Webb Simpson,22,314.5
172,173,173,Heath Slocum,22,318.8
173,174,174,Gonzalo Fernandez-Castaño,28,324.2
174,175,175,Geoff Ogilvy,15,324.3
175,176,176,Charlie Beljan,27,329.4
176,177,177,Vijay Singh,23,329.6
177,178,178,Robert Garrigus,25,334.0
178,179,179,Michael Putnam,28,334.8
179,180,180,Jason Dufner,21,336.0
180,181,181,John Merrick,27,351.8
181,182,182,Robert Allenby,25,353.6
182,183,183,Jim Renner,27,365.2
183,184,184,Lucas Glover,26,378.8
