,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Jason Day,75,102.51,798,38,780
1,2,2,Henrik Stenson,63,102.36,594,26,582
2,3,3,Pat Perez,96,101.83,1146,50,1117
3,4,4,Matt Kuchar,97,101.77,1071,36,1054
4,5,5,Willy Wilcox,58,101.72,583,24,569
5,6,6,Lee Westwood,56,101.63,429,21,415
6,7,7,Daniel Summerhays,101,101.55,1222,47,1194
7,8,8,Ben Martin,93,101.3,1078,41,1051
8,9,9,Brooks Koepka,84,101.26,870,37,844
9,T10,T10,Greg Chalmers,58,101.21,495,19,482
10,T10,T10,Erik Compton,86,101.21,989,29,972
11,12,12,Cameron Percy,72,101.19,840,30,820
12,13,13,Sean O'Hair,86,101.15,1134,45,1102
13,14,14,David Toms,62,101.13,793,28,774
14,15,15,Russell Henley,87,101.08,926,37,899
15,16,16,Andres Romero,69,101.07,749,28,729
16,17,17,Steve Wheatcroft,87,101.01,989,40,959
17,18,18,Billy Horschel,99,100.96,1043,44,1009
18,19,19,Andrew Putnam,68,100.93,754,27,734
19,20,20,Luke Donald,71,100.92,760,32,735
20,T21,T21,Brandt Snedeker,98,100.89,1014,37,986
21,T21,T21,Jordan Spieth,91,100.89,899,38,869
22,T23,T23,Phil Mickelson,70,100.81,745,24,727
23,T23,T23,Jimmy Walker,89,100.81,868,29,846
24,25,25,Scott Pinckney,88,100.78,1031,38,1001
25,T26,T26,Harris English,105,100.75,1198,37,1170
26,T26,T26,Rickie Fowler,76,100.75,795,22,779
27,28,28,Johnson Wagner,68,100.74,813,27,792
28,T29,T29,Jonas Blixt,78,100.68,740,27,718
29,T29,T29,Kevin Kisner,104,100.68,1314,36,1287
30,31,31,Zac Blair,108,100.65,1230,45,1193
31,32,32,Matt Jones,89,100.64,944,40,910
32,33,33,Patrick Reed,103,100.57,1044,38,1012
33,34,34,Steven Bowditch,103,100.56,1246,48,1205
34,35,35,Bo Van Pelt,81,100.55,917,30,892
35,36,36,Troy Merritt,91,100.53,1123,39,1090
36,37,37,David Hearn,97,100.52,1154,34,1126
37,38,38,Hideki Matsuyama,95,100.51,977,31,951
38,39,39,Colt Knost,90,100.48,1049,37,1017
39,T40,T40,Kevin Streelman,95,100.47,1060,33,1032
40,T40,T40,Brendon Todd,96,100.47,1061,32,1034
41,42,42,Paul Casey,87,100.46,879,31,852
42,43,43,Jason Bohn,95,100.41,1221,38,1188
43,44,44,Ryan Palmer,80,100.4,751,17,737
44,45,45,Hudson Swafford,97,100.34,1177,41,1140
45,46,46,John Huh,102,100.33,1219,41,1182
46,47,47,Boo Weekley,79,100.31,974,30,947
47,48,48,Danny Lee,120,100.29,1362,45,1321
48,T49,T49,James Hahn,94,100.27,1114,42,1075
49,T49,T49,Jim Herman,88,100.27,1091,35,1059
50,51,51,Jim Furyk,71,100.26,756,19,739
51,T52,T52,Jamie Donaldson,50,100.22,445,16,430
52,T52,T52,Billy Hurley III,83,100.22,893,23,872
53,T52,T52,Carl Pettersson,106,100.22,1339,38,1304
54,55,55,Rory Sabbatini,81,100.21,938,33,907
55,T56,T56,Martin Laird,77,100.19,1027,32,997
56,T56,T56,Bryce Molder,91,100.19,1070,34,1038
57,T56,T56,Jeff Overton,94,100.19,1047,24,1025
58,59,59,Cameron Tringale,96,100.18,1132,41,1093
59,60,60,Martin Flores,95,100.17,1154,44,1112
60,61,61,Patrick Rodgers,57,100.15,659,19,641
61,62,62,Ricky Barnes,82,100.11,901,26,876
62,T63,T63,Fabián Gómez,83,100.1,980,35,946
63,T63,T63,Luke Guthrie,84,100.1,974,38,937
64,T63,T63,Bill Haas,89,100.1,1034,28,1007
65,66,66,Brian Harman,90,100.09,1114,38,1077
66,T67,T67,Derek Fathauer,81,100.0,922,26,896
67,T67,T67,Adam Hadwin,95,100.0,1141,38,1103
68,T67,T67,Russell Knox,96,100.0,1243,42,1201
69,T67,T67,David Lingmerth,90,100.0,1013,28,985
70,T67,T67,Hunter Mahan,88,100.0,898,26,872
71,T67,T67,Ian Poulter,68,100.0,673,25,648
72,T67,T67,John Senden,80,100.0,741,18,723
73,74,74,Charles Howell III,105,99.93,1458,47,1410
74,75,75,Tony Finau,106,99.92,1327,47,1279
75,76,76,Kevin Chappell,86,99.91,1053,33,1019
76,T77,T77,Kevin Na,98,99.9,1004,33,970
77,T77,T77,Andrew Svoboda,80,99.9,996,36,959
78,79,79,Stewart Cink,77,99.89,943,41,901
79,80,80,Dustin Johnson,75,99.87,753,20,732
80,81,81,Chad Campbell,97,99.85,1315,39,1274
81,T82,T82,Andres Gonzales,90,99.82,1092,37,1053
82,T82,T82,John Peterson,84,99.82,1115,27,1086
83,T82,T82,Brian Stuard,97,99.82,1108,32,1074
84,85,85,Chris Stroud,84,99.8,982,33,947
85,T86,T86,Aaron Baddeley,76,99.78,898,27,869
86,T86,T86,Chad Collins,79,99.78,902,23,877
87,88,88,Whee Kim,71,99.75,795,26,767
88,T89,T89,Bubba Watson,71,99.74,766,12,752
89,T89,T89,Gary Woodland,81,99.74,765,23,740
90,T91,T91,Zach Johnson,90,99.7,989,32,954
91,T91,T91,Robert Streb,110,99.7,1338,38,1296
92,T93,T93,Keegan Bradley,87,99.67,910,28,879
93,T93,T93,Brice Garnett,81,99.67,917,31,883
94,T95,T95,Blayne Barber,76,99.66,871,20,848
95,T95,T95,Scott Piercy,90,99.66,1181,44,1133
96,97,97,Brendon de Jonge,106,99.62,1321,32,1284
97,98,98,George McNeill,93,99.6,1242,33,1204
98,99,99,Jon Curran,83,99.57,941,27,910
99,100,100,Louis Oosthuizen,68,99.56,677,25,649
100,101,101,Ryo Ishikawa,90,99.54,1078,37,1036
101,102,102,Francesco Molinari,56,99.53,632,12,617
