,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Erik Compton,86,97.83,46,45
1,2,2,Cameron Percy,72,97.06,34,33
2,3,3,Bill Haas,89,96.97,33,32
3,4,4,Oscar Fraustro,58,95.45,22,21
4,5,5,Greg Chalmers,58,95.0,20,19
5,6,6,John Senden,80,94.87,39,37
6,T7,T7,Jeff Overton,94,94.74,38,36
7,T7,T7,Roger Sloan,56,94.74,19,18
8,T9,T9,Eric Axley,57,94.44,18,17
9,T9,T9,Geoff Ogilvy,50,94.44,18,17
10,T9,T9,Hudson Swafford,97,94.44,54,51
11,12,12,Lee Westwood,56,93.75,16,15
12,13,13,Matt Kuchar,97,93.62,47,44
13,14,14,Martin Laird,77,93.33,45,42
14,15,15,Chris Stroud,84,93.18,44,41
15,16,16,Henrik Stenson,63,93.1,29,27
16,17,17,Scott Brown,97,92.86,56,52
17,18,18,Bubba Watson,71,92.31,39,36
18,T19,T19,Ángel Cabrera,53,91.43,35,32
19,T19,T19,Justin Thomas,106,91.43,70,64
20,21,21,Morgan Hoffmann,85,91.3,46,42
21,T22,T22,Ricky Barnes,82,91.18,34,31
22,T22,T22,Ian Poulter,68,91.18,34,31
23,24,24,Jerry Kelly,79,90.91,44,40
24,T25,T25,Rory Sabbatini,81,90.7,43,39
25,T25,T25,Steve Wheatcroft,87,90.7,43,39
26,T27,T27,Hunter Mahan,88,90.63,32,29
27,T27,T27,Brandt Snedeker,98,90.63,32,29
28,29,29,Keegan Bradley,87,90.48,42,38
29,30,30,Chesson Hadley,101,90.38,52,47
30,T31,T31,David Lingmerth,90,90.0,40,36
31,T31,T31,Carl Pettersson,106,90.0,50,45
32,T31,T31,Willy Wilcox,58,90.0,20,18
33,34,34,Hideki Matsuyama,95,89.8,49,44
34,35,35,Russell Henley,87,89.74,39,35
35,36,36,William McGirt,103,89.71,68,61
36,37,37,Jason Day,75,89.58,48,43
37,38,38,Jimmy Walker,89,89.36,47,42
38,39,39,Billy Horschel,99,89.29,56,50
39,T40,T40,Danny Lee,120,89.19,74,66
40,T40,T40,John Peterson,84,89.19,37,33
41,T42,T42,Sangmoon Bae,98,89.13,46,41
42,T42,T42,David Hearn,97,89.13,46,41
43,T42,T42,George McNeill,93,89.13,46,41
44,T45,T45,Kevin Kisner,104,89.09,55,49
45,T45,T45,Brendon Todd,96,89.09,55,49
46,T47,T47,Matt Every,73,88.89,27,24
47,T47,T47,Martin Flores,95,88.89,36,32
48,49,49,Cameron Tringale,96,88.64,44,39
49,50,50,Alex Prugh,84,88.57,35,31
50,51,51,Alex Cejka,94,88.1,42,37
51,52,52,Brooks Koepka,84,87.8,41,36
52,53,53,Tony Finau,106,87.72,57,50
53,T54,T54,Tom Hoge,83,87.5,32,28
54,T54,T54,Colt Knost,90,87.5,32,28
55,T54,T54,Kevin Na,98,87.5,48,42
56,57,57,Michael Thompson,83,87.18,39,34
