,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,1,1,Brooks Koepka,84,79.6,299,238
1,2,2,Brendon Todd,96,79.13,321,254
2,3,3,Kevin Kisner,104,77.38,420,325
3,4,4,Russell Henley,87,76.7,279,214
4,5,5,Troy Merritt,91,76.47,357,273
5,6,6,Tom Hoge,83,75.5,302,228
6,7,7,Johnson Wagner,68,75.24,210,158
7,8,8,Scott Brown,97,75.15,338,254
8,9,9,Henrik Stenson,63,74.76,206,154
9,10,10,Harris English,105,74.66,371,277
10,11,11,Daniel Summerhays,101,74.64,343,256
11,12,12,Rickie Fowler,76,74.55,224,167
12,13,13,Morgan Hoffmann,85,74.5,298,222
13,14,14,Zac Blair,108,74.26,408,303
14,15,15,Bo Van Pelt,81,74.03,258,191
15,16,16,Jon Curran,83,74.02,281,208
16,17,17,Brandt Snedeker,98,73.89,314,232
17,18,18,Hunter Mahan,88,73.57,280,206
18,19,19,Steve Wheatcroft,87,73.49,347,255
19,20,20,Greg Chalmers,58,73.47,147,108
20,21,21,Jimmy Walker,89,73.4,282,207
21,22,22,Tyrone Van Aswegen,58,73.3,176,129
22,23,23,Derek Fathauer,81,72.98,285,208
23,24,24,David Lingmerth,90,72.97,333,243
24,25,25,Chad Collins,79,72.89,273,199
25,26,26,Roger Sloan,56,72.78,180,131
26,27,27,Andres Romero,69,72.73,253,184
27,28,28,Lee Westwood,56,72.66,128,93
28,29,29,Bubba Watson,71,72.61,230,167
29,30,30,Danny Lee,120,72.59,456,331
30,T31,T31,Eric Axley,57,72.56,164,119
31,T31,T31,Shawn Stefani,94,72.56,317,230
32,33,33,Justin Thomas,106,72.51,411,298
33,34,34,George McNeill,93,72.41,395,286
34,35,35,David Hearn,97,72.34,376,272
35,36,36,Jamie Donaldson,50,72.3,148,107
36,37,37,Bryce Molder,91,72.17,327,236
37,38,38,Erik Compton,86,72.16,255,184
38,39,39,Chris Kirk,76,72.08,240,173
39,40,40,Louis Oosthuizen,68,72.02,193,139
40,41,41,Charley Hoffman,97,71.82,330,237
41,42,42,Aaron Baddeley,76,71.76,262,188
42,43,43,Gary Woodland,81,71.71,251,180
43,44,44,Russell Knox,96,71.51,337,241
44,45,45,K.J. Choi,66,71.43,231,165
45,46,46,Cameron Tringale,96,71.38,325,232
46,47,47,Patrick Rodgers,57,71.35,178,127
47,48,48,Luke Donald,71,71.3,223,159
48,49,49,Ian Poulter,68,71.29,209,149
49,50,50,Jerry Kelly,79,71.26,261,186
50,51,51,Jason Kokrak,88,71.17,333,237
51,52,52,Jason Day,75,71.11,225,160
52,53,53,Sangmoon Bae,98,71.1,391,278
53,54,54,Steven Bowditch,103,71.08,370,263
54,55,55,Chesson Hadley,101,71.0,400,284
55,56,56,John Senden,80,70.95,241,171
56,57,57,Phil Mickelson,70,70.88,261,185
57,T58,T58,Brian Harman,90,70.75,335,237
58,T58,T58,Andrew Putnam,68,70.75,212,150
59,60,60,Jeff Overton,94,70.72,321,227
60,61,61,Ryan Moore,81,70.71,239,169
61,62,62,Ryan Palmer,80,70.7,215,152
62,63,63,Matt Kuchar,97,70.42,311,219
63,64,64,Sam Saunders,83,70.4,277,195
64,65,65,John Huh,102,70.38,422,297
65,66,66,Cameron Percy,72,70.32,219,154
66,67,67,Oscar Fraustro,58,70.3,165,116
67,68,68,Adam Hadwin,95,70.25,326,229
68,T69,T69,Graham DeLaet,65,70.21,235,165
69,T69,T69,Pat Perez,96,70.21,329,231
70,71,71,Spencer Levin,99,70.19,322,226
71,72,72,Hudson Swafford,97,70.18,332,233
72,T73,T73,Justin Rose,69,70.05,207,145
73,T73,T73,Brendan Steele,88,70.05,364,255
74,75,75,D.A. Points,72,70.0,250,175
75,76,76,Kevin Chappell,86,69.94,316,221
76,T77,T77,Daniel Berger,97,69.91,339,237
77,T77,T77,John Peterson,84,69.91,329,230
78,79,79,Alex Prugh,84,69.87,302,211
79,80,80,Kyle Reifers,96,69.86,365,255
80,81,81,Patrick Reed,103,69.85,335,234
81,82,82,Hideki Matsuyama,95,69.84,315,220
82,83,83,Camilo Villegas,83,69.77,301,210
83,84,84,Kevin Na,98,69.72,317,221
84,85,85,Brice Garnett,81,69.66,267,186
85,86,86,Nick Taylor,91,69.58,401,279
86,87,87,Dustin Johnson,75,69.47,226,157
87,88,88,Willy Wilcox,58,69.46,167,116
88,89,89,Jonathan Randolph,72,69.44,252,175
89,90,90,Ricky Barnes,82,69.42,242,168
90,91,91,Jim Herman,88,69.41,304,211
91,92,92,Ken Duke,93,69.39,343,238
92,93,93,Mark Wilson,89,69.38,356,247
93,94,94,Colt Knost,90,69.21,302,209
94,95,95,Mark Hubbard,79,69.2,263,182
95,96,96,Carlos Ortiz,100,69.15,363,251
96,97,97,Scott Piercy,90,68.97,348,240
97,98,98,Jim Furyk,71,68.84,199,137
98,99,99,Tony Finau,106,68.83,385,265
99,100,100,Carl Pettersson,106,68.78,394,271
100,101,101,Marc Leishman,74,68.72,211,145
101,T102,T102,Bill Lunde,50,68.71,147,101
102,T102,T102,Scott Pinckney,88,68.71,310,213
103,104,104,Max Homa,78,68.66,284,195
104,105,105,Ernie Els,57,68.64,169,116
105,106,106,Jason Bohn,95,68.62,341,234
106,107,107,Billy Hurley III,83,68.5,254,174
107,108,108,Chris Stroud,84,68.49,292,200
108,109,109,Derek Ernst,75,68.46,260,178
109,110,110,Ryo Ishikawa,90,68.45,317,217
110,111,111,Robert Streb,110,68.44,358,245
111,112,112,Billy Horschel,99,68.4,307,210
112,113,113,Kevin Streelman,95,68.35,278,190
113,114,114,Jordan Spieth,91,68.27,271,185
114,115,115,J.B. Holmes,89,68.21,302,206
115,116,116,Jason Gore,76,68.2,239,163
116,117,117,Luke Guthrie,84,68.14,295,201
117,118,118,Ben Martin,93,68.06,310,211
118,119,119,Ben Crane,62,67.88,193,131
119,120,120,Sean O'Hair,86,67.83,373,253
120,121,121,Tim Wilkinson,73,67.8,264,179
121,T122,T122,Zach Johnson,90,67.79,267,181
122,T122,T122,Seung-Yul Noh,65,67.79,208,141
123,124,124,Whee Kim,71,67.78,239,162
124,125,125,Paul Casey,87,67.74,248,168
125,126,126,Michael Thompson,83,67.68,297,201
126,127,127,Davis Love III,51,67.55,151,102
127,128,128,James Hahn,94,67.46,335,226
128,129,129,Chad Campbell,97,67.33,352,237
129,130,130,Martin Laird,77,67.26,339,228
130,131,131,Byron Smith,59,67.17,198,133
131,132,132,William McGirt,103,67.03,364,244
132,133,133,Bill Haas,89,66.91,269,180
133,134,134,Brian Davis,86,66.89,299,200
134,135,135,J.J. Henry,94,66.79,274,183
135,136,136,Justin Leonard,61,66.67,231,154
136,137,137,Brendon de Jonge,106,66.58,377,251
137,T138,T138,Rory Sabbatini,81,66.55,275,183
138,T138,T138,Andrew Svoboda,80,66.55,293,195
139,140,140,Fabián Gómez,83,66.54,272,181
140,141,141,Alex Cejka,94,66.34,303,201
141,T142,T142,Francesco Molinari,56,66.23,151,100
142,T142,T142,Jhonattan Vegas,90,66.23,302,200
143,144,144,Keegan Bradley,87,66.19,278,184
144,145,145,Sung Joon Park,79,66.04,265,175
145,146,146,Charlie Beljan,76,66.02,256,169
146,147,147,David Toms,62,65.95,232,153
147,148,148,Matt Jones,89,65.92,267,176
148,149,149,Jonas Blixt,78,65.87,208,137
149,150,150,Ángel Cabrera,53,65.56,151,99
150,151,151,Andres Gonzales,90,65.45,301,197
151,152,152,Scott Langley,94,65.44,327,214
152,153,153,Steven Alker,62,65.34,176,115
153,154,154,Charl Schwartzel,67,65.06,166,108
154,155,155,Blayne Barber,76,65.0,240,156
155,156,156,Brian Stuard,97,64.94,308,200
156,157,157,Nick Watney,91,64.67,351,227
157,158,158,Charles Howell III,105,64.66,365,236
158,159,159,Retief Goosen,81,64.53,265,171
159,160,160,Adam Scott,51,64.49,107,69
160,161,161,Webb Simpson,81,64.34,258,166
161,162,162,Scott Stallings,60,63.93,219,140
162,163,163,Matt Every,73,63.91,230,147
163,164,164,Michael Putnam,87,63.7,270,172
164,165,165,Stewart Cink,77,63.64,275,175
165,166,166,Jim Renner,68,63.6,261,166
166,167,167,Nicholas Thompson,90,63.52,307,195
167,168,168,Sergio Garcia,59,63.51,148,94
168,169,169,Martin Flores,95,63.48,293,186
169,170,170,Roberto Castro,54,63.1,168,106
170,171,171,Padraig Harrington,60,62.73,220,138
171,172,172,Boo Weekley,79,62.41,274,171
172,173,173,Geoff Ogilvy,50,62.24,143,89
173,174,174,Greg Owen,58,62.21,172,107
174,175,175,Heath Slocum,57,62.18,193,120
175,176,176,Jason Dufner,76,61.78,191,118
176,177,177,Chez Reavie,56,61.66,193,119
177,178,178,Gonzalo Fernandez-Castaño,81,61.6,237,146
178,179,179,Robert Garrigus,70,61.57,242,149
179,180,180,Vijay Singh,78,61.46,301,185
180,181,181,Robert Allenby,63,60.89,202,123
181,182,182,Jonathan Byrd,69,60.73,191,116
182,183,183,Lucas Glover,79,59.32,295,175
183,184,184,John Merrick,78,58.52,229,134
