,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Jordan Spieth,91,1.699,1826,1075,35.51,49
1,2,2,Jason Day,75,1.712,1572,918,36.76,T7
2,3,3,Dustin Johnson,75,1.715,1490,869,34.72,T70
3,4,4,Jason Bohn,95,1.724,2031,1178,31.09,T28
4,5,5,Daniel Summerhays,101,1.726,2059,1193,31.18,T113
5,6,6,Morgan Hoffmann,85,1.729,1617,935,32.08,180
6,7,7,J.B. Holmes,89,1.73,1685,974,34.64,154
7,8,8,Matt Jones,89,1.7309999999999999,1696,980,33.57,147
8,T9,T9,Danny Lee,120,1.732,2458,1419,32.16,111
9,T9,T9,Patrick Reed,103,1.732,1988,1148,32.34,141
10,11,11,Matt Kuchar,97,1.733,1951,1126,32.2,T85
11,12,12,Rickie Fowler,76,1.734,1458,841,32.54,106
12,13,13,Zach Johnson,90,1.735,1863,1074,31.06,37
13,T14,T14,Justin Rose,69,1.736,1455,838,34.25,9
14,T14,T14,Justin Thomas,106,1.736,2283,1315,33.61,27
15,T16,T16,Phil Mickelson,70,1.7369999999999999,1346,775,34.33,177
16,T16,T16,Ryan Moore,81,1.7369999999999999,1591,916,31.76,T123
17,T16,T16,Pat Perez,96,1.7369999999999999,2038,1173,31.14,48
18,T19,T19,Kevin Na,98,1.739,1920,1104,32.12,138
19,T19,T19,Brandt Snedeker,98,1.739,1932,1111,31.14,129
20,T21,T21,Jerry Kelly,79,1.74,1632,938,31.45,104
21,T21,T21,Hideki Matsuyama,95,1.74,1951,1121,32.41,21
22,T21,T21,Brendon Todd,96,1.74,1907,1096,30.71,118
23,24,24,Ricky Barnes,82,1.7409999999999999,1478,849,30.41,182
24,25,25,Chesson Hadley,101,1.742,2014,1156,32.64,156
25,26,26,Jimmy Walker,89,1.743,1783,1023,33.43,101
26,T27,T27,Aaron Baddeley,76,1.744,1451,832,31.52,172
27,T27,T27,Sean O'Hair,86,1.744,1737,996,30.65,144
28,29,29,Shawn Stefani,94,1.745,2031,1164,30.98,32
29,T30,T30,Sergio Garcia,59,1.746,1189,681,31.08,59
30,T30,T30,Charley Hoffman,97,1.746,1955,1120,32.62,97
31,T32,T32,Ryo Ishikawa,90,1.7480000000000002,1839,1052,30.78,92
32,T32,T32,Ian Poulter,68,1.7480000000000002,1323,757,30.6,108
33,T32,T32,Steve Wheatcroft,87,1.7480000000000002,1687,965,32.43,136
34,35,35,Luke Guthrie,84,1.749,1646,941,30.81,153
35,T36,T36,Fabián Gómez,83,1.75,1661,949,30.38,157
36,T36,T36,David Hearn,97,1.75,2077,1187,29.11,47
37,T36,T36,Tom Hoge,83,1.75,1643,939,31.63,102
38,T36,T36,Colt Knost,90,1.75,1827,1044,29.65,63
39,T36,T36,Bryce Molder,91,1.75,1794,1025,29.33,119
40,T36,T36,Robert Streb,110,1.75,2396,1369,30.99,23
41,T42,T42,Jonas Blixt,78,1.751,1443,824,30.66,170
42,T42,T42,David Lingmerth,90,1.751,1842,1052,30.45,130
43,T44,T44,Scott Brown,97,1.7519999999999998,1994,1138,30.24,126
44,T44,T44,Greg Chalmers,58,1.7519999999999998,1086,620,30.47,152
45,T46,T46,Patrick Rodgers,57,1.754,1117,637,32.03,T77
46,T46,T46,Brian Stuard,97,1.754,1856,1058,28.36,161
47,T48,T48,Steven Bowditch,103,1.755,2064,1176,31.31,158
48,T48,T48,Jeff Overton,94,1.755,1909,1088,28.66,T109
49,T48,T48,Nick Taylor,91,1.755,1852,1055,30.93,142
50,T51,T51,Tony Finau,106,1.756,2265,1290,33.26,T57
51,T51,T51,Russell Henley,87,1.756,1781,1014,31.29,69
52,T51,T51,Bubba Watson,71,1.756,1468,836,34.38,19
53,T54,T54,Brendon de Jonge,106,1.757,2263,1288,30.17,62
54,T54,T54,Hudson Swafford,97,1.757,2059,1172,31.62,39
55,T56,T56,Andres Gonzales,90,1.758,1814,1032,29.87,T81
56,T56,T56,Whee Kim,71,1.758,1489,847,29.31,46
57,T56,T56,Chris Kirk,76,1.758,1491,848,31.28,139
58,T59,T59,Kevin Chappell,86,1.7590000000000001,1798,1022,31.21,103
59,T59,T59,Erik Compton,86,1.7590000000000001,1720,978,30.46,162
60,T59,T59,Scott Piercy,90,1.7590000000000001,1901,1081,30.9,80
61,T59,T59,Andrew Putnam,68,1.7590000000000001,1214,690,31.4,183
62,T63,T63,Sangmoon Bae,98,1.76,1954,1110,30.98,168
63,T63,T63,K.J. Choi,66,1.76,1253,712,29.21,151
64,T63,T63,Harris English,105,1.76,2166,1231,30.0,T70
65,T63,T63,Brooks Koepka,84,1.76,1783,1013,31.42,17
66,T63,T63,Carl Pettersson,106,1.76,2115,1202,31.14,166
67,T63,T63,Chris Stroud,84,1.76,1748,993,30.54,112
68,T63,T63,David Toms,62,1.76,1188,675,26.6,135
69,T70,T70,Derek Fathauer,81,1.761,1497,850,29.43,178
70,T70,T70,James Hahn,94,1.761,1970,1119,29.54,98
71,72,72,Brian Harman,90,1.7619999999999998,1903,1080,29.49,T81
72,T73,T73,John Huh,102,1.7630000000000001,2078,1179,28.43,132
73,T73,T73,George McNeill,93,1.7630000000000001,1960,1112,30.09,91
74,T75,T75,Andres Romero,69,1.764,1293,733,30.04,176
75,T75,T75,Brendan Steele,88,1.764,1827,1036,32.04,40
76,T77,T77,Steven Alker,62,1.765,1269,719,27.79,84
77,T77,T77,Alex Cejka,94,1.765,1920,1088,28.97,T109
78,T77,T77,Oscar Fraustro,58,1.765,1084,614,29.69,163
79,T77,T77,Carlos Ortiz,100,1.765,2038,1155,31.25,74
80,T77,T77,Lee Westwood,56,1.765,1098,622,30.42,89
81,T82,T82,Scott Langley,94,1.766,1891,1071,29.03,134
82,T82,T82,William McGirt,103,1.766,2222,1258,27.37,50
83,T84,T84,Blayne Barber,76,1.767,1564,885,30.43,90
84,T84,T84,Chad Collins,79,1.767,1661,940,27.61,100
85,T84,T84,Jason Gore,76,1.767,1546,875,30.89,61
86,T87,T87,Justin Leonard,61,1.7690000000000001,1215,687,26.46,171
87,T87,T87,Willy Wilcox,58,1.7690000000000001,1247,705,29.73,4
88,T89,T89,Graham DeLaet,65,1.77,1432,809,29.21,22
89,T89,T89,Martin Laird,77,1.77,1627,919,29.77,94
90,T89,T89,Troy Merritt,91,1.77,1837,1038,27.61,159
91,T89,T89,Scott Pinckney,88,1.77,1896,1071,28.96,T57
92,T89,T89,Nicholas Thompson,90,1.77,1880,1062,28.71,36
93,T94,T94,Zac Blair,108,1.771,2173,1227,27.76,116
94,T94,T94,Kevin Kisner,104,1.771,2196,1240,28.19,T95
95,T94,T94,Marc Leishman,74,1.771,1443,815,29.73,T113
96,T97,T97,Paul Casey,87,1.7719999999999998,1893,1068,29.61,5
