,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Rory Sabbatini,81,3,42
1,T1,T1,Adam Scott,51,3,32
2,T1,T1,Bo Van Pelt,81,3,34
3,T4,T4,Aaron Baddeley,76,2,27
4,T4,T4,Kevin Chappell,86,2,40
5,T4,T4,Fabián Gómez,83,2,42
6,T4,T4,Adam Hadwin,95,2,40
7,T4,T4,Morgan Hoffmann,85,2,24
8,T4,T4,Tom Hoge,83,2,38
9,T4,T4,J.B. Holmes,89,2,36
10,T4,T4,Billy Horschel,99,2,40
11,T4,T4,Kevin Na,98,2,25
12,T4,T4,Geoff Ogilvy,50,2,24
13,T4,T4,Webb Simpson,81,2,42
14,T4,T4,Byron Smith,59,2,26
15,T4,T4,Michael Thompson,83,2,46
16,T4,T4,Camilo Villegas,83,2,54
17,T18,T18,Eric Axley,57,1,18
18,T18,T18,Charlie Beljan,76,1,50
19,T18,T18,Zac Blair,108,1,35
20,T18,T18,Jonas Blixt,78,1,21
21,T18,T18,Jamie Donaldson,50,1,11
22,T18,T18,Ken Duke,93,1,53
23,T18,T18,Harris English,105,1,30
24,T18,T18,Matt Every,73,1,30
25,T18,T18,Gonzalo Fernandez-Castaño,81,1,39
26,T18,T18,Martin Flores,95,1,50
27,T18,T18,Rickie Fowler,76,1,18
28,T18,T18,Sergio Garcia,59,1,10
29,T18,T18,Lucas Glover,79,1,69
30,T18,T18,John Huh,102,1,44
31,T18,T18,Dustin Johnson,75,1,19
32,T18,T18,Whee Kim,71,1,23
33,T18,T18,Colt Knost,90,1,24
34,T18,T18,Brooks Koepka,84,1,28
35,T18,T18,Jason Kokrak,88,1,41
36,T18,T18,Danny Lee,120,1,42
37,T18,T18,Ben Martin,93,1,39
38,T18,T18,Troy Merritt,91,1,36
39,T18,T18,Bryce Molder,91,1,27
40,T18,T18,Ryan Palmer,80,1,22
41,T18,T18,Sung Joon Park,79,1,41
42,T18,T18,Carl Pettersson,106,1,44
43,T18,T18,Scott Piercy,90,1,50
44,T18,T18,Scott Pinckney,88,1,40
45,T18,T18,Ian Poulter,68,1,22
46,T18,T18,Alex Prugh,84,1,35
47,T18,T18,Kyle Reifers,96,1,49
48,T18,T18,Justin Rose,69,1,23
49,T18,T18,Sam Saunders,83,1,33
50,T18,T18,John Senden,80,1,30
51,T18,T18,Heath Slocum,57,1,26
52,T18,T18,Jordan Spieth,91,1,18
53,T18,T18,Scott Stallings,60,1,35
54,T18,T18,Kevin Streelman,95,1,28
55,T18,T18,Chris Stroud,84,1,44
56,T18,T18,Johnson Wagner,68,1,28
57,T18,T18,Bubba Watson,71,1,29
58,T18,T18,Gary Woodland,81,1,22
