,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Aaron Baddeley,76,44.62,130,58
1,2,2,Lee Westwood,56,41.94,62,26
2,3,3,William McGirt,103,38.78,196,76
3,4,4,Ian Poulter,68,37.5,104,39
4,5,5,Brian Davis,86,36.5,137,50
5,6,6,Max Homa,78,36.36,110,40
6,7,7,Phil Mickelson,70,36.17,94,34
7,8,8,Brandt Snedeker,98,36.0,150,54
8,9,9,Jerry Kelly,79,35.67,157,56
9,10,10,Morgan Hoffmann,85,35.65,115,41
10,11,11,Daniel Summerhays,101,35.23,193,68
11,T12,T12,Ben Crane,62,35.19,108,38
12,T12,T12,Andrew Putnam,68,35.19,108,38
13,14,14,David Hearn,97,35.08,191,67
14,15,15,Jimmy Walker,89,34.92,126,44
15,16,16,Charley Hoffman,97,34.91,169,59
16,T17,T17,Jonathan Byrd,69,34.86,109,38
17,T17,T17,Retief Goosen,81,34.86,109,38
18,19,19,Greg Chalmers,58,34.85,66,23
19,20,20,Paul Casey,87,34.78,161,56
20,21,21,Jason Bohn,95,34.72,193,67
21,22,22,Luke Guthrie,84,34.68,124,43
22,23,23,Brendon Todd,96,34.46,148,51
23,24,24,Sangmoon Bae,98,34.32,169,58
24,25,25,Kevin Chappell,86,34.31,137,47
25,26,26,George McNeill,93,34.24,184,63
26,27,27,Scott Pinckney,88,34.18,158,54
27,28,28,J.B. Holmes,89,34.06,138,47
28,29,29,Blayne Barber,76,33.83,133,45
29,30,30,Danny Lee,120,33.66,202,68
30,31,31,Rickie Fowler,76,33.6,125,42
31,32,32,Camilo Villegas,83,33.58,137,46
32,33,33,Bryce Molder,91,33.56,149,50
33,34,34,Pat Perez,96,33.33,168,56
34,35,35,Robert Streb,110,33.15,181,60
35,36,36,Jeff Overton,94,33.1,145,48
36,37,37,Sean O'Hair,86,33.09,139,46
37,38,38,Russell Henley,87,33.08,130,43
38,39,39,Marc Leishman,74,33.02,106,35
39,40,40,Nick Taylor,91,32.73,165,54
40,41,41,Stewart Cink,77,32.61,138,45
41,42,42,Erik Compton,86,32.54,126,41
42,43,43,Henrik Stenson,63,32.53,83,27
43,44,44,Jonas Blixt,78,32.5,80,26
44,45,45,Jason Gore,76,32.48,117,38
45,46,46,Charlie Beljan,76,32.35,102,33
46,47,47,Chris Stroud,84,32.33,133,43
47,48,48,Jim Furyk,71,32.22,90,29
48,T49,T49,Seung-Yul Noh,65,32.17,115,37
49,T49,T49,Alex Prugh,84,32.17,143,46
50,T49,T49,Justin Rose,69,32.17,115,37
51,52,52,Matt Every,73,32.04,103,33
52,53,53,Colt Knost,90,31.91,141,45
53,54,54,Carl Pettersson,106,31.82,198,63
54,55,55,Michael Thompson,83,31.78,129,41
55,56,56,Scott Langley,94,31.65,158,50
56,57,57,Patrick Reed,103,31.54,130,41
57,58,58,John Senden,80,31.4,86,27
58,T59,T59,Martin Flores,95,31.25,160,50
59,T59,T59,Ryo Ishikawa,90,31.25,160,50
60,T59,T59,Chris Kirk,76,31.25,112,35
61,62,62,Keegan Bradley,87,31.2,125,39
62,63,63,Jonathan Randolph,72,31.11,90,28
63,64,64,John Huh,102,31.07,177,55
64,65,65,Chez Reavie,56,30.83,133,41
65,66,66,Fabián Gómez,83,30.71,140,43
66,67,67,Eric Axley,57,30.43,69,21
67,68,68,Andrew Svoboda,80,30.36,112,34
68,69,69,Jhonattan Vegas,90,30.33,122,37
69,T70,T70,Spencer Levin,99,30.32,155,47
70,T70,T70,Bo Van Pelt,81,30.32,155,47
71,72,72,Patrick Rodgers,57,30.3,99,30
72,73,73,Tony Finau,106,30.29,175,53
73,74,74,Troy Merritt,91,30.28,142,43
74,75,75,Brian Harman,90,30.25,162,49
75,76,76,Whee Kim,71,30.15,136,41
76,77,77,Matt Jones,89,30.08,123,37
77,78,78,Ben Martin,93,29.94,167,50
78,79,79,Brice Garnett,81,29.82,114,34
79,80,80,Brendan Steele,88,29.8,151,45
80,81,81,Brian Stuard,97,29.76,168,50
81,82,82,Johnson Wagner,68,29.66,118,35
82,83,83,Chesson Hadley,101,29.44,180,53
83,84,84,Byron Smith,59,29.17,96,28
84,85,85,Cameron Tringale,96,29.14,151,44
85,86,86,Brooks Koepka,84,29.03,124,36
86,87,87,Shawn Stefani,94,28.98,176,51
87,88,88,Hudson Swafford,97,28.93,159,46
88,89,89,Kevin Na,98,28.89,135,39
89,90,90,Davis Love III,51,28.74,87,25
90,T91,T91,K.J. Choi,66,28.7,108,31
91,T91,T91,Dustin Johnson,75,28.7,108,31
92,T93,T93,Ryan Moore,81,28.57,140,40
93,T93,T93,Adam Scott,51,28.57,56,16
94,T93,T93,Scott Stallings,60,28.57,84,24
95,96,96,John Merrick,78,28.46,123,35
96,97,97,Matt Kuchar,97,28.4,162,46
97,98,98,Zac Blair,108,28.24,170,48
98,99,99,Sam Saunders,83,28.23,124,35
99,100,100,Heath Slocum,57,28.17,71,20
100,101,101,Jordan Spieth,91,28.15,135,38
101,102,102,Hunter Mahan,88,28.07,114,32
102,103,103,Brendon de Jonge,106,27.89,190,53
103,104,104,Boo Weekley,79,27.86,140,39
104,105,105,Steven Alker,62,27.78,108,30
105,106,106,David Lingmerth,90,27.67,159,44
106,107,107,Scott Piercy,90,27.49,171,47
107,108,108,Andres Gonzales,90,27.4,146,40
108,109,109,Russell Knox,96,27.36,201,55
109,110,110,Alex Cejka,94,27.33,161,44
110,111,111,Carlos Ortiz,100,27.27,143,39
111,112,112,Steve Wheatcroft,87,27.2,125,34
112,113,113,Hideki Matsuyama,95,27.15,151,41
113,114,114,Jim Renner,68,27.05,122,33
114,115,115,Andres Romero,69,27.0,100,27
115,116,116,Nick Watney,91,26.95,167,45
116,117,117,Charles Howell III,105,26.9,197,53
117,T118,T118,Padraig Harrington,60,26.83,82,22
118,T118,T118,Billy Hurley III,83,26.83,123,33
119,120,120,Francesco Molinari,56,26.74,86,23
120,121,121,Jason Day,75,26.67,120,32
121,T122,T122,Justin Leonard,61,26.61,109,29
122,T122,T122,Bubba Watson,71,26.61,109,29
123,124,124,Adam Hadwin,95,26.54,162,43
124,125,125,Mark Wilson,89,26.53,147,39
125,126,126,Tom Hoge,83,26.45,155,41
126,127,127,James Hahn,94,26.38,163,43
127,128,128,Chad Campbell,97,26.29,175,46
128,129,129,Bill Haas,89,26.24,141,37
129,130,130,Billy Horschel,99,26.21,145,38
130,131,131,Sergio Garcia,59,26.15,65,17
131,132,132,Gary Woodland,81,26.13,111,29
132,133,133,Derek Fathauer,81,26.09,115,30
133,T134,T134,Robert Allenby,63,25.96,104,27
134,T134,T134,Graham DeLaet,65,25.96,104,27
135,136,136,Harris English,105,25.88,170,44
136,137,137,Zach Johnson,90,25.85,147,38
137,T138,T138,Jon Curran,83,25.81,124,32
138,T138,T138,Ryan Palmer,80,25.81,93,24
139,T140,T140,Michael Putnam,87,25.52,145,37
140,T140,T140,Kevin Streelman,95,25.52,145,37
141,142,142,Kyle Reifers,96,25.43,173,44
142,143,143,Ricky Barnes,82,25.42,118,30
143,144,144,Willy Wilcox,58,25.32,79,20
144,T145,T145,Oscar Fraustro,58,25.0,76,19
145,T145,T145,Bill Lunde,50,25.0,80,20
146,T145,T145,D.A. Points,72,25.0,112,28
147,148,148,Robert Garrigus,70,24.56,114,28
148,149,149,Louis Oosthuizen,68,24.55,110,27
149,150,150,Webb Simpson,81,24.44,135,33
150,151,151,Roberto Castro,54,24.39,82,20
151,152,152,Ken Duke,93,24.2,157,38
152,153,153,Greg Owen,58,24.1,83,20
153,154,154,Tim Wilkinson,73,24.07,108,26
154,155,155,Nicholas Thompson,90,23.78,143,34
155,156,156,Jason Kokrak,88,23.75,160,38
156,157,157,Sung Joon Park,79,23.73,118,28
157,158,158,Scott Brown,97,23.68,152,36
158,159,159,Roger Sloan,56,23.61,72,17
159,160,160,Jason Dufner,76,23.58,106,25
160,161,161,Justin Thomas,106,23.53,204,48
161,162,162,Martin Laird,77,23.48,132,31
162,163,163,Steven Bowditch,103,23.42,158,37
163,164,164,Gonzalo Fernandez-Castaño,81,23.33,120,28
164,165,165,Daniel Berger,97,22.94,170,39
165,166,166,Chad Collins,79,22.88,118,27
166,167,167,John Peterson,84,22.84,162,37
167,168,168,Derek Ernst,75,22.76,123,28
168,169,169,Cameron Percy,72,22.73,110,25
169,170,170,Rory Sabbatini,81,22.63,137,31
170,171,171,Charl Schwartzel,67,22.39,67,15
171,172,172,David Toms,62,22.32,112,25
172,173,173,Kevin Kisner,104,22.29,175,39
173,T174,T174,J.J. Henry,94,22.22,135,30
174,T174,T174,Vijay Singh,78,22.22,144,32
175,176,176,Mark Hubbard,79,21.85,119,26
176,177,177,Ernie Els,57,21.69,83,18
177,178,178,Jamie Donaldson,50,21.67,60,13
178,179,179,Geoff Ogilvy,50,21.21,66,14
179,180,180,Tyrone Van Aswegen,58,21.11,90,19
180,181,181,Luke Donald,71,20.75,106,22
181,182,182,Jim Herman,88,19.67,183,36
182,183,183,Lucas Glover,79,19.05,147,28
183,184,184,Ángel Cabrera,53,18.07,83,15
