,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,T1,T1,Zac Blair,34,55
1,T1,T1,Russell Henley,24,55
2,T1,T1,Camilo Villegas,27,55
3,T1,T1,Jimmy Walker,24,55
4,T1,T1,Lee Westwood,15,55
5,T6,T6,Aaron Baddeley,25,54
6,T6,T6,Greg Chalmers,17,54
7,T6,T6,Stewart Cink,23,54
8,T6,T6,Jason Day,20,54
9,T6,T6,Billy Horschel,28,54
10,T6,T6,Matt Jones,25,54
11,T6,T6,Brooks Koepka,23,54
12,T6,T6,Sean O'Hair,26,54
13,T6,T6,Scott Pinckney,27,54
14,T6,T6,Brandt Snedeker,27,54
15,T6,T6,Jordan Spieth,25,54
16,T6,T6,Henrik Stenson,16,54
17,T6,T6,Steve Wheatcroft,28,54
18,T6,T6,Willy Wilcox,17,54
19,T20,T20,Jamie Donaldson,16,53
20,T20,T20,Adam Hadwin,30,53
21,T20,T20,John Huh,31,53
22,T20,T20,Danny Lee,36,53
23,T20,T20,Ben Martin,27,53
24,T20,T20,Phil Mickelson,19,53
25,T20,T20,Pat Perez,26,53
26,T20,T20,Ian Poulter,19,53
27,T20,T20,Andrew Putnam,23,53
28,T20,T20,Andres Romero,24,53
29,T20,T20,Hudson Swafford,30,53
30,T31,T31,Sangmoon Bae,30,52
31,T31,T31,Paul Casey,24,52
32,T31,T31,Kevin Chappell,26,52
33,T31,T31,Brian Davis,31,52
34,T31,T31,Luke Donald,20,52
35,T31,T31,Harris English,29,52
36,T31,T31,Rickie Fowler,21,52
37,T31,T31,Fabián Gómez,26,52
38,T31,T31,Luke Guthrie,27,52
39,T31,T31,David Hearn,30,52
40,T31,T31,Martin Laird,24,52
41,T31,T31,Hunter Mahan,24,52
42,T31,T31,Troy Merritt,29,52
43,T31,T31,Scott Piercy,28,52
44,T31,T31,Patrick Reed,27,52
45,T31,T31,Daniel Summerhays,29,52
46,T31,T31,Brendon Todd,27,52
47,T31,T31,Bo Van Pelt,28,52
