,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Danny Lee,120,385,788,48.9
1,2,2,Justin Thomas,106,377,713,52.9
2,3,3,Carl Pettersson,106,374,733,51.0
3,4,4,Steven Bowditch,103,363,681,53.3
4,5,5,Kevin Kisner,104,352,676,52.1
5,6,6,Brendon de Jonge,106,348,655,53.1
6,7,7,William McGirt,103,342,680,50.3
7,8,8,Scott Brown,97,340,602,56.5
8,9,9,Chesson Hadley,101,332,673,49.3
9,10,10,Tony Finau,106,325,633,51.3
10,11,11,Sangmoon Bae,98,322,671,48.0
11,12,12,Matt Kuchar,97,321,600,53.5
12,T13,T13,Robert Streb,110,320,686,46.6
13,T13,T13,Brendon Todd,96,320,600,53.3
14,15,15,Zac Blair,108,317,636,49.8
15,16,16,Cameron Tringale,96,314,594,52.9
16,17,17,Daniel Summerhays,101,311,659,47.2
17,T18,T18,Chad Campbell,97,310,603,51.4
18,T18,T18,George McNeill,93,310,645,48.1
19,T18,T18,Sean O'Hair,86,310,589,52.6
20,T18,T18,Patrick Reed,103,310,612,50.7
21,22,22,Troy Merritt,91,308,604,51.0
22,23,23,Charles Howell III,105,305,619,49.3
23,24,24,Jason Bohn,95,302,627,48.2
24,25,25,Kevin Na,98,300,555,54.1
25,T26,T26,Harris English,105,299,644,46.4
26,T26,T26,John Huh,102,299,643,46.5
27,28,28,Scott Piercy,90,296,598,49.5
28,29,29,Erik Compton,86,294,535,55.0
29,30,30,Daniel Berger,97,292,571,51.1
30,31,31,Alex Cejka,94,291,554,52.5
31,32,32,Kevin Chappell,86,290,567,51.1
32,T33,T33,James Hahn,94,286,566,50.5
33,T33,T33,Brandt Snedeker,98,286,587,48.7
34,35,35,Shawn Stefani,94,285,602,47.3
35,36,36,Morgan Hoffmann,85,284,526,54.0
36,37,37,Carlos Ortiz,100,283,578,49.0
37,38,38,Pat Perez,96,281,591,47.5
38,39,39,Brian Stuard,97,280,575,48.7
39,40,40,Brian Harman,90,278,559,49.7
40,T41,T41,J.B. Holmes,89,277,522,53.1
41,T41,T41,Ryo Ishikawa,90,277,540,51.3
42,T41,T41,Jason Kokrak,88,277,548,50.5
43,T41,T41,Nick Taylor,91,277,604,45.9
44,T41,T41,Nick Watney,91,277,545,50.8
45,T46,T46,Ken Duke,93,276,554,49.8
46,T46,T46,Charley Hoffman,97,276,557,49.6
47,T48,T48,David Hearn,97,275,608,45.2
48,T48,T48,David Lingmerth,90,275,557,49.4
49,50,50,Kyle Reifers,96,274,570,48.1
50,T51,T51,Vijay Singh,78,273,487,56.1
51,T51,T51,Hudson Swafford,97,273,567,48.1
52,T53,T53,Scott Langley,94,272,545,49.9
