,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Jordan Spieth,91,44.26,701,1584
1,2,2,Andrew Putnam,68,43.58,502,1152
2,3,3,Phil Mickelson,70,43.41,547,1260
3,4,4,Jerry Kelly,79,43.04,612,1422
4,5,5,Brendon Todd,96,43.01,720,1674
5,6,6,Brandt Snedeker,98,42.81,732,1710
6,7,7,J.B. Holmes,89,42.75,654,1530
7,8,8,Aaron Baddeley,76,42.72,569,1332
8,9,9,Danny Lee,120,42.64,921,2160
9,T10,T10,Steven Bowditch,103,42.61,790,1854
10,T10,T10,Matt Kuchar,97,42.61,721,1692
11,12,12,Kevin Na,98,42.51,727,1710
12,13,13,Matt Jones,89,42.38,656,1548
13,14,14,Carl Pettersson,106,42.3,807,1908
14,15,15,Patrick Reed,103,42.11,758,1800
15,16,16,Jason Day,75,42.05,545,1296
16,17,17,Justin Thomas,106,41.93,800,1908
17,18,18,Chesson Hadley,101,41.91,762,1818
18,19,19,Fabián Gómez,83,41.9,626,1494
19,20,20,Sangmoon Bae,98,41.78,737,1764
20,21,21,Erik Compton,86,41.73,646,1548
21,22,22,Ricky Barnes,82,41.67,585,1404
22,23,23,Brian Davis,86,41.6,614,1476
23,24,24,K.J. Choi,66,41.49,463,1116
24,25,25,Luke Guthrie,84,41.46,612,1476
25,26,26,Morgan Hoffmann,85,41.44,634,1530
26,27,27,Steve Wheatcroft,87,41.43,619,1494
27,28,28,Eric Axley,57,41.31,409,990
28,29,29,Jimmy Walker,89,41.28,639,1548
29,30,30,Greg Chalmers,58,41.26,401,972
30,31,31,Ryan Moore,81,41.17,578,1404
31,32,32,Daniel Summerhays,101,41.09,747,1818
32,T33,T33,Scott Brown,97,41.07,717,1746
33,T33,T33,Chad Collins,79,41.07,584,1422
34,35,35,Rickie Fowler,76,40.97,531,1296
35,36,36,Brian Stuard,97,40.92,685,1674
36,T37,T37,Matt Every,73,40.87,515,1260
37,T37,T37,Chris Kirk,76,40.87,537,1314
38,39,39,David Lingmerth,90,40.86,662,1620
39,40,40,Ian Poulter,68,40.85,478,1170
40,T41,T41,Derek Fathauer,81,40.84,566,1386
41,T41,T41,Troy Merritt,91,40.84,669,1638
42,T43,T43,Bryce Molder,91,40.8,639,1566
43,T43,T43,Cameron Tringale,96,40.8,705,1728
44,45,45,Camilo Villegas,83,40.76,609,1494
45,46,46,Dustin Johnson,75,40.74,528,1296
46,47,47,Ben Crane,62,40.71,425,1044
47,48,48,Sean O'Hair,86,40.7,630,1548
48,T49,T49,Zac Blair,108,40.65,761,1872
49,T49,T49,John Huh,102,40.65,739,1818
50,51,51,Rory Sabbatini,81,40.6,592,1458
51,52,52,Jason Bohn,95,40.58,694,1710
52,53,53,Kevin Chappell,86,40.57,628,1548
53,T54,T54,Jamie Donaldson,50,40.54,343,846
54,T54,T54,Charley Hoffman,97,40.54,686,1692
55,T54,T54,Nick Taylor,91,40.54,664,1638
56,57,57,Justin Leonard,61,40.53,445,1098
57,58,58,Scott Piercy,90,40.49,656,1620
58,59,59,Oscar Fraustro,58,40.43,393,972
59,60,60,David Toms,62,40.42,422,1044
60,61,61,Retief Goosen,81,40.33,559,1386
61,62,62,Blayne Barber,76,40.32,537,1332
62,T63,T63,Max Homa,78,40.17,535,1332
63,T63,T63,Zach Johnson,90,40.17,629,1566
64,T63,T63,Hideki Matsuyama,95,40.17,658,1638
65,66,66,Andres Romero,69,40.15,477,1188
66,67,67,Tom Hoge,83,40.08,570,1422
67,68,68,Billy Hurley III,83,40.01,569,1422
68,69,69,Pat Perez,96,39.99,691,1728
69,70,70,Justin Rose,69,39.9,474,1188
70,71,71,George McNeill,93,39.84,667,1674
71,72,72,Ryo Ishikawa,90,39.77,630,1584
72,73,73,Tim Wilkinson,73,39.75,508,1278
73,T74,T74,Andres Gonzales,90,39.73,615,1548
74,T74,T74,Jeff Overton,94,39.73,658,1656
75,76,76,Ken Duke,93,39.7,636,1602
76,77,77,Chris Stroud,84,39.68,600,1512
77,78,78,Harris English,105,39.65,728,1836
78,79,79,Steven Alker,62,39.63,428,1080
79,80,80,Patrick Rodgers,57,39.62,378,954
80,81,81,Kyle Reifers,96,39.61,656,1656
81,82,82,Jonas Blixt,78,39.56,527,1332
82,83,83,Jonathan Randolph,72,39.52,498,1260
83,84,84,Sung Joon Park,79,39.39,546,1386
84,85,85,Brian Harman,90,39.38,638,1620
85,T86,T86,Alex Cejka,94,39.31,651,1656
86,T86,T86,Scott Langley,94,39.31,651,1656
87,T86,T86,Heath Slocum,57,39.31,375,954
88,89,89,D.A. Points,72,39.29,495,1260
89,T90,T90,Padraig Harrington,60,39.26,424,1080
90,T90,T90,Kevin Kisner,104,39.26,735,1872
91,92,92,Russell Henley,87,39.22,593,1512
92,93,93,Brendon de Jonge,106,39.2,748,1908
93,T94,T94,James Hahn,94,39.18,663,1692
94,T94,T94,Ryan Palmer,80,39.18,543,1386
95,T96,T96,Jonathan Byrd,69,39.15,458,1170
96,T96,T96,Brendan Steele,88,39.15,592,1512
97,98,98,Colt Knost,90,39.08,605,1548
98,99,99,Louis Oosthuizen,68,39.07,443,1134
99,100,100,David Hearn,97,39.06,682,1746
100,101,101,Jason Kokrak,88,39.02,618,1584
101,T102,T102,Jason Gore,76,38.97,505,1296
102,T102,T102,Bubba Watson,71,38.97,477,1224
103,104,104,Martin Laird,77,38.96,540,1386
104,105,105,William McGirt,103,38.94,722,1854
105,T106,T106,Mark Hubbard,79,38.82,538,1386
106,T106,T106,Webb Simpson,81,38.82,545,1404
107,108,108,Whee Kim,71,38.73,481,1242
108,T109,T109,Jon Curran,83,38.61,549,1422
109,T109,T109,Michael Thompson,83,38.61,563,1458
110,111,111,Robert Streb,110,38.59,764,1980
111,112,112,Tony Finau,106,38.57,736,1908
112,113,113,Vijay Singh,78,38.53,541,1404
113,114,114,Keegan Bradley,87,38.49,582,1512
114,115,115,Shawn Stefani,94,38.48,651,1692
115,116,116,Seung-Yul Noh,65,38.46,450,1170
116,117,117,Sergio Garcia,59,38.39,387,1008
117,T118,T118,Daniel Berger,97,38.37,670,1746
118,T118,T118,Carlos Ortiz,100,38.37,663,1728
119,120,120,Brooks Koepka,84,38.34,559,1458
120,T121,T121,Johnson Wagner,68,38.24,468,1224
121,T121,T121,Mark Wilson,89,38.24,585,1530
122,123,123,Jhonattan Vegas,90,38.18,591,1548
123,124,124,Marc Leishman,74,38.17,481,1260
124,125,125,Nick Watney,91,38.16,625,1638
125,126,126,Boo Weekley,79,38.05,541,1422
126,127,127,Hudson Swafford,97,38.01,650,1710
127,128,128,Graham DeLaet,65,37.95,444,1170
128,T129,T129,Adam Hadwin,95,37.93,635,1674
129,T129,T129,Sam Saunders,83,37.93,553,1458
130,131,131,Hunter Mahan,88,37.9,573,1512
131,132,132,Gonzalo Fernandez-Castaño,81,37.88,525,1386
132,133,133,Roger Sloan,56,37.82,354,936
133,134,134,Lee Westwood,56,37.71,353,936
134,135,135,John Merrick,78,37.69,502,1332
135,136,136,Gary Woodland,81,37.54,500,1332
136,137,137,Scott Stallings,60,37.5,405,1080
137,T138,T138,Charl Schwartzel,67,37.48,425,1134
138,T138,T138,Bo Van Pelt,81,37.48,533,1422
139,140,140,Cameron Percy,72,37.46,472,1260
140,141,141,Willy Wilcox,58,37.45,364,972
141,142,142,John Senden,80,37.41,505,1350
142,143,143,Robert Garrigus,70,37.37,444,1188
143,144,144,Chez Reavie,56,37.3,376,1008
144,T145,T145,Luke Donald,71,37.25,476,1278
145,T145,T145,Scott Pinckney,88,37.25,590,1584
146,147,147,Tyrone Van Aswegen,58,37.24,362,972
147,148,148,Andrew Svoboda,80,37.18,522,1404
148,149,149,Derek Ernst,75,37.17,475,1278
149,150,150,Nicholas Thompson,90,37.08,574,1548
150,151,151,Jason Dufner,76,37.06,487,1314
151,152,152,Henrik Stenson,63,37.04,400,1080
152,153,153,Jim Furyk,71,36.89,425,1152
153,154,154,John Peterson,84,36.84,557,1512
154,T155,T155,Billy Horschel,99,36.69,634,1728
155,T155,T155,Kevin Streelman,95,36.69,601,1638
156,157,157,Chad Campbell,97,36.66,640,1746
157,158,158,Ernie Els,57,36.65,376,1026
158,159,159,Charlie Beljan,76,36.57,474,1296
159,160,160,Martin Flores,95,36.45,597,1638
160,161,161,Ben Martin,93,36.42,590,1620
161,162,162,Bill Haas,89,36.37,563,1548
162,163,163,Russell Knox,96,36.28,627,1728
163,164,164,Spencer Levin,99,36.14,631,1746
164,165,165,Paul Casey,87,36.11,533,1476
165,166,166,Adam Scott,51,35.88,310,864
166,167,167,Davis Love III,51,35.84,329,918
167,168,168,Michael Putnam,87,35.69,546,1530
168,169,169,Brice Garnett,81,35.65,507,1422
169,170,170,Ángel Cabrera,53,35.64,340,954
170,171,171,Stewart Cink,77,35.57,493,1386
171,172,172,Bill Lunde,50,35.39,293,828
172,173,173,Greg Owen,58,35.34,369,1044
173,174,174,Charles Howell III,105,35.03,662,1890
174,175,175,Roberto Castro,54,34.89,314,900
175,176,176,Byron Smith,59,34.75,344,990
176,177,177,Robert Allenby,63,34.46,366,1062
177,178,178,Lucas Glover,79,34.18,486,1422
178,179,179,Francesco Molinari,56,34.17,326,954
179,180,180,Jim Renner,68,34.09,405,1188
180,181,181,Geoff Ogilvy,50,33.91,293,864
181,182,182,Alex Prugh,84,33.89,488,1440
182,183,183,Jim Herman,88,33.59,532,1584
183,184,184,J.J. Henry,94,32.78,531,1620
