,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Brian Davis,49.6,125,252
1,2,2,Heath Slocum,49.07,53,108
2,3,3,Andrew Putnam,47.98,95,198
3,4,4,Scott Brown,47.37,162,342
4,5,5,Matt Jones,46.49,159,342
5,T6,T6,Rickie Fowler,45.83,132,288
6,T6,T6,Roger Sloan,45.83,66,144
7,8,8,Brandt Snedeker,45.45,180,396
8,9,9,Jonathan Randolph,45.3,106,234
9,10,10,Patrick Reed,45.14,195,432
10,11,11,Danny Lee,45.11,203,450
11,12,12,Greg Chalmers,44.95,89,198
12,T13,T13,Stewart Cink,44.79,129,288
13,T13,T13,Fabián Gómez,44.79,129,288
14,T13,T13,Rory Sabbatini,44.79,129,288
15,T13,T13,Camilo Villegas,44.79,129,288
16,T17,T17,Matt Kuchar,44.44,184,414
17,T17,T17,Jordan Spieth,44.44,160,360
18,19,19,Scott Piercy,44.14,143,324
19,T20,T20,Chad Collins,44.1,127,288
20,T20,T20,Erik Compton,44.1,127,288
21,T20,T20,Colt Knost,44.1,127,288
22,T20,T20,Phil Mickelson,44.1,127,288
23,24,24,Max Homa,43.98,95,216
24,25,25,Chesson Hadley,43.92,166,378
25,T26,T26,Andres Romero,43.89,79,180
26,T26,T26,Tim Wilkinson,43.89,79,180
27,28,28,Eric Axley,43.75,63,144
28,29,29,Ricky Barnes,43.65,110,252
29,30,30,Blayne Barber,43.59,102,234
30,31,31,Ryan Palmer,43.52,141,324
31,32,32,Jerry Kelly,43.4,125,288
32,33,33,Aaron Baddeley,43.16,101,234
33,34,34,David Lingmerth,43.14,132,306
34,T35,T35,Jonathan Byrd,43.06,93,216
35,T35,T35,Luke Guthrie,43.06,124,288
36,T35,T35,George McNeill,43.06,155,360
37,38,38,D.A. Points,42.93,85,198
38,39,39,Jon Curran,42.86,108,252
39,40,40,K.J. Choi,42.74,100,234
40,T41,T41,Jamie Donaldson,42.59,69,162
41,T41,T41,Justin Leonard,42.59,69,162
42,43,43,Troy Merritt,42.48,130,306
43,T44,T44,David Hearn,42.4,145,342
44,T44,T44,Bryce Molder,42.4,145,342
45,T46,T46,Jason Bohn,42.33,160,378
46,T46,T46,Brendon Todd,42.33,160,378
47,48,48,Marc Leishman,42.31,99,234
48,49,49,Kevin Streelman,42.22,152,360
49,T50,T50,Pat Perez,42.17,167,396
50,T50,T50,Carl Pettersson,42.17,167,396
51,T52,T52,Robert Allenby,42.06,53,126
52,T52,T52,Justin Rose,42.06,106,252
53,54,54,Scott Langley,41.94,151,360
54,55,55,Nicholas Thompson,41.88,98,234
55,56,56,J.B. Holmes,41.81,143,342
56,57,57,Zac Blair,41.8,158,378
57,58,58,Justin Thomas,41.79,173,414
58,T59,T59,Steven Alker,41.67,75,180
59,T59,T59,Sergio Garcia,41.67,105,252
60,T59,T59,Hideki Matsuyama,41.67,165,396
61,T59,T59,Louis Oosthuizen,41.67,105,252
62,T59,T59,Andrew Svoboda,41.67,75,180
63,T59,T59,David Toms,41.67,75,180
64,T59,T59,Johnson Wagner,41.67,90,216
65,66,66,Kevin Na,41.55,172,414
66,67,67,Chris Kirk,41.5,127,306
67,68,68,Jason Gore,41.45,97,234
68,69,69,Kevin Kisner,41.44,179,432
69,70,70,John Huh,41.41,164,396
70,71,71,Ryan Moore,41.32,119,288
71,T72,T72,Andres Gonzales,41.18,126,306
72,T72,T72,Jeff Overton,41.18,126,306
73,T74,T74,Sangmoon Bae,41.11,148,360
74,T74,T74,Carlos Ortiz,41.11,148,360
75,76,76,Shawn Stefani,41.01,155,378
76,77,77,Steve Wheatcroft,40.97,118,288
77,78,78,Jason Day,40.85,125,306
78,T79,T79,Matt Every,40.74,88,216
79,T79,T79,Ian Poulter,40.74,110,270
80,T79,T79,Jhonattan Vegas,40.74,132,324
81,82,82,Hunter Mahan,40.64,139,342
82,83,83,Billy Hurley III,40.6,95,234
83,84,84,Jason Kokrak,40.52,124,306
84,T85,T85,Brendon de Jonge,40.4,160,396
85,T85,T85,Greg Owen,40.4,80,198
86,87,87,Bubba Watson,40.28,116,288
87,88,88,Billy Horschel,40.21,152,378
88,89,89,Morgan Hoffmann,40.2,123,306
89,90,90,Bo Van Pelt,40.08,101,252
90,91,91,Hudson Swafford,40.06,137,342
91,T92,T92,Chris Stroud,40.0,108,270
92,T92,T92,Cameron Tringale,40.0,144,360
93,94,94,Tony Finau,39.9,158,396
94,95,95,Daniel Summerhays,39.65,157,396
95,96,96,Robert Streb,39.56,178,450
96,97,97,Kyle Reifers,39.54,121,306
97,T98,T98,Ben Crane,39.51,64,162
98,T98,T98,Nick Watney,39.51,128,324
99,100,100,Jimmy Walker,39.44,142,360
100,101,101,John Merrick,39.35,85,216
101,102,102,Graham DeLaet,39.32,92,234
102,T103,T103,Ken Duke,39.24,113,288
103,T103,T103,Mark Hubbard,39.24,113,288
104,105,105,Kevin Chappell,39.22,120,306
105,T106,T106,Roberto Castro,38.89,77,198
106,T106,T106,Oscar Fraustro,38.89,56,144
107,T106,T106,Retief Goosen,38.89,105,270
108,109,109,Brooks Koepka,38.6,132,342
109,110,110,Daniel Berger,38.58,125,324
110,T111,T111,Boo Weekley,38.54,111,288
111,T111,T111,Mark Wilson,38.54,111,288
112,113,113,Sung Joon Park,38.49,97,252
113,114,114,Derek Fathauer,38.46,90,234
114,115,115,Dustin Johnson,38.24,117,306
115,116,116,William McGirt,38.16,158,414
116,117,117,Sam Saunders,38.15,103,270
117,118,118,Steven Bowditch,38.1,144,378
118,119,119,James Hahn,38.01,130,342
119,120,120,Alex Cejka,37.96,123,324
120,121,121,Sean O'Hair,37.91,116,306
121,122,122,Charlie Beljan,37.88,75,198
122,123,123,Tom Hoge,37.85,109,288
123,T124,T124,Jim Furyk,37.78,102,270
124,T124,T124,Lucas Glover,37.78,102,270
125,T124,T124,Zach Johnson,37.78,136,360
126,T124,T124,Martin Laird,37.78,102,270
127,128,128,Keegan Bradley,37.72,129,342
128,129,129,Adam Hadwin,37.65,122,324
129,130,130,Seung-Yul Noh,37.61,88,234
130,T131,T131,Jason Dufner,37.58,115,306
131,T131,T131,Martin Flores,37.58,115,306
132,133,133,Charley Hoffman,37.5,135,360
133,134,134,Brendan Steele,37.43,128,342
134,135,135,Patrick Rodgers,37.37,74,198
135,136,136,Whee Kim,37.3,94,252
136,137,137,Geoff Ogilvy,37.22,67,180
137,138,138,Harris English,37.2,154,414
138,T139,T139,Scott Pinckney,37.04,120,324
139,T139,T139,Michael Thompson,37.04,100,270
140,T139,T139,Tyrone Van Aswegen,37.04,60,162
141,142,142,Brian Stuard,36.93,113,306
142,T143,T143,Russell Henley,36.84,126,342
143,T143,T143,Spencer Levin,36.84,126,342
144,145,145,Russell Knox,36.77,139,378
145,T146,T146,Ryo Ishikawa,36.73,119,324
146,T146,T146,Webb Simpson,36.73,119,324
147,148,148,Bill Haas,36.55,125,342
148,149,149,Vijay Singh,36.46,105,288
149,150,150,Nick Taylor,36.26,124,342
150,151,151,Cameron Percy,36.11,91,252
151,152,152,Byron Smith,35.8,58,162
152,153,153,Charl Schwartzel,35.71,90,252
153,T154,T154,Paul Casey,35.67,122,342
154,T154,T154,John Peterson,35.67,122,342
155,156,156,Ángel Cabrera,35.19,57,162
156,157,157,Ben Martin,35.09,120,342
157,158,158,Michael Putnam,35.07,101,288
158,159,159,Jonas Blixt,35.04,82,234
159,160,160,Chez Reavie,35.0,63,180
160,161,161,Alex Prugh,34.92,88,252
161,162,162,Brian Harman,34.72,100,288
162,163,163,Gary Woodland,34.52,87,252
163,164,164,Jim Herman,34.5,118,342
164,165,165,Padraig Harrington,34.44,62,180
165,166,166,Willy Wilcox,34.34,68,198
166,167,167,Luke Donald,34.03,98,288
167,168,168,Adam Scott,33.89,61,180
168,169,169,Robert Garrigus,33.84,67,198
169,T170,T170,Chad Campbell,33.33,114,342
170,T170,T170,Bill Lunde,33.33,42,126
171,T170,T170,Francesco Molinari,33.33,72,216
172,T170,T170,John Senden,33.33,90,270
173,174,174,Davis Love III,32.64,47,144
174,T175,T175,Ernie Els,32.32,64,198
175,T175,T175,Derek Ernst,32.32,64,198
176,177,177,Lee Westwood,31.94,69,216
177,178,178,Charles Howell III,31.16,129,414
178,179,179,Brice Garnett,31.02,67,216
179,180,180,Jim Renner,30.86,50,162
180,181,181,Gonzalo Fernandez-Castaño,30.56,66,216
181,182,182,Scott Stallings,30.3,60,198
182,183,183,Henrik Stenson,28.89,78,270
183,184,184,J.J. Henry,28.82,83,288
