,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Daniel Summerhays,101,1.65,30,1818
1,2,2,Jason Bohn,95,1.7,29,1710
2,3,3,Billy Hurley III,83,1.76,25,1422
3,4,4,Brian Stuard,97,1.79,30,1674
4,T5,T5,Kevin Kisner,104,1.87,35,1872
5,T5,T5,Colt Knost,90,1.87,29,1548
6,7,7,Ricky Barnes,82,1.92,27,1404
7,8,8,Zach Johnson,90,1.98,31,1566
8,9,9,Charles Howell III,105,2.01,38,1890
9,10,10,Bryce Molder,91,2.04,32,1566
10,11,11,David Hearn,97,2.06,36,1746
11,12,12,Dustin Johnson,75,2.08,27,1296
12,13,13,Jonas Blixt,78,2.1,28,1332
13,14,14,Chad Collins,79,2.11,30,1422
14,15,15,Eric Axley,57,2.12,21,990
15,16,16,Morgan Hoffmann,85,2.16,33,1530
16,17,17,Patrick Reed,103,2.17,39,1800
17,T18,T18,Kevin Streelman,95,2.2,36,1638
18,T18,T18,David Toms,62,2.2,23,1044
19,T20,T20,Harris English,105,2.23,41,1836
20,T20,T20,Jeff Overton,94,2.23,37,1656
21,22,22,Aaron Baddeley,76,2.25,30,1332
22,T23,T23,Sean O'Hair,86,2.26,35,1548
23,T23,T23,Tyrone Van Aswegen,58,2.26,22,972
24,25,25,Tim Wilkinson,73,2.27,29,1278
25,T26,T26,Sergio Garcia,59,2.28,23,1008
26,T26,T26,Justin Leonard,61,2.28,25,1098
27,28,28,Scott Langley,94,2.29,38,1656
28,29,29,Patrick Rodgers,57,2.31,22,954
29,30,30,Whee Kim,71,2.33,29,1242
30,T31,T31,Zac Blair,108,2.35,44,1872
31,T31,T31,Luke Donald,71,2.35,30,1278
32,33,33,Brendon de Jonge,106,2.36,45,1908
33,T34,T34,Derek Fathauer,81,2.38,33,1386
34,T34,T34,Troy Merritt,91,2.38,39,1638
35,36,36,Jason Day,75,2.39,31,1296
36,37,37,Jordan Spieth,91,2.4,38,1584
37,T38,T38,Steven Alker,62,2.41,26,1080
38,T38,T38,Francesco Molinari,56,2.41,23,954
39,40,40,Ryan Moore,81,2.42,34,1404
40,T41,T41,Andres Gonzales,90,2.45,38,1548
41,T41,T41,John Peterson,84,2.45,37,1512
42,T43,T43,Chad Campbell,97,2.46,43,1746
43,T43,T43,Hudson Swafford,97,2.46,42,1710
44,T45,T45,Rickie Fowler,76,2.47,32,1296
45,T45,T45,Robert Streb,110,2.47,49,1980
46,47,47,Shawn Stefani,94,2.48,42,1692
47,T48,T48,Matt Jones,89,2.52,39,1548
48,T48,T48,Spencer Levin,99,2.52,44,1746
49,T50,T50,Brian Harman,90,2.53,41,1620
50,T50,T50,J.J. Henry,94,2.53,41,1620
51,52,52,Marc Leishman,74,2.54,32,1260
52,53,53,Pat Perez,96,2.55,44,1728
53,54,54,Graham DeLaet,65,2.56,30,1170
54,T55,T55,Erik Compton,86,2.58,40,1548
55,T55,T55,Russell Henley,87,2.58,39,1512
56,57,57,David Lingmerth,90,2.59,42,1620
57,58,58,K.J. Choi,66,2.6,29,1116
58,T59,T59,Tony Finau,106,2.62,50,1908
59,T59,T59,Cameron Percy,72,2.62,33,1260
60,T61,T61,Kevin Na,98,2.63,45,1710
61,T61,T61,Nick Taylor,91,2.63,43,1638
62,63,63,William McGirt,103,2.64,49,1854
63,64,64,Hunter Mahan,88,2.65,40,1512
64,T65,T65,Charley Hoffman,97,2.66,45,1692
65,T65,T65,Russell Knox,96,2.66,46,1728
66,T65,T65,Matt Kuchar,97,2.66,45,1692
67,68,68,Roberto Castro,54,2.67,24,900
68,T69,T69,Adam Hadwin,95,2.69,45,1674
69,T69,T69,Brandt Snedeker,98,2.69,46,1710
70,T69,T69,Brendon Todd,96,2.69,45,1674
71,T72,T72,Steven Bowditch,103,2.7,50,1854
72,T72,T72,John Huh,102,2.7,49,1818
73,T72,T72,Johnson Wagner,68,2.7,33,1224
74,75,75,Alex Prugh,84,2.71,39,1440
75,T76,T76,Alex Cejka,94,2.72,45,1656
76,T76,T76,James Hahn,94,2.72,46,1692
77,78,78,Danny Lee,120,2.73,59,2160
78,79,79,Jerry Kelly,79,2.74,39,1422
79,80,80,George McNeill,93,2.75,46,1674
80,81,81,Carlos Ortiz,100,2.78,48,1728
81,82,82,Chris Kirk,76,2.82,37,1314
82,T83,T83,Davis Love III,51,2.83,26,918
83,T83,T83,Carl Pettersson,106,2.83,54,1908
84,85,85,Jason Kokrak,88,2.84,45,1584
85,86,86,Scott Brown,97,2.86,50,1746
86,T87,T87,Jon Curran,83,2.88,41,1422
87,T87,T87,Oscar Fraustro,58,2.88,28,972
88,T89,T89,Jim Furyk,71,2.95,34,1152
89,T89,T89,Andrew Putnam,68,2.95,34,1152
90,T91,T91,Greg Chalmers,58,2.98,29,972
91,T91,T91,Brendan Steele,88,2.98,45,1512
92,93,93,Justin Thomas,106,2.99,57,1908
93,94,94,Steve Wheatcroft,87,3.01,45,1494
94,95,95,Brooks Koepka,84,3.02,44,1458
95,T96,T96,Ryo Ishikawa,90,3.03,48,1584
96,T96,T96,Ryan Palmer,80,3.03,42,1386
97,98,98,Jimmy Walker,89,3.04,47,1548
98,99,99,Sangmoon Bae,98,3.06,54,1764
99,100,100,Jamie Donaldson,50,3.07,26,846
100,101,101,Scott Pinckney,88,3.09,49,1584
101,T102,T102,Jonathan Randolph,72,3.1,39,1260
102,T102,T102,Roger Sloan,56,3.1,29,936
103,T104,T104,Hideki Matsuyama,95,3.11,51,1638
104,T104,T104,Andres Romero,69,3.11,37,1188
105,T104,T104,Justin Rose,69,3.11,37,1188
106,107,107,Luke Guthrie,84,3.12,46,1476
107,108,108,Mark Wilson,89,3.14,48,1530
108,109,109,Fabián Gómez,83,3.15,47,1494
109,T110,T110,Jonathan Byrd,69,3.16,37,1170
110,T110,T110,Brice Garnett,81,3.16,45,1422
111,T110,T110,Tom Hoge,83,3.16,45,1422
112,T110,T110,Ian Poulter,68,3.16,37,1170
113,T114,T114,Gonzalo Fernandez-Castaño,81,3.17,44,1386
114,T114,T114,Bill Haas,89,3.17,49,1548
115,T116,T116,Paul Casey,87,3.18,47,1476
116,T116,T116,Brian Davis,86,3.18,47,1476
117,118,118,Willy Wilcox,58,3.19,31,972
118,119,119,Jim Herman,88,3.22,51,1584
119,T120,T120,Max Homa,78,3.23,43,1332
120,T120,T120,Jhonattan Vegas,90,3.23,50,1548
121,T122,T122,Ángel Cabrera,53,3.25,31,954
122,T122,T122,Mark Hubbard,79,3.25,45,1386
123,T122,T122,Seung-Yul Noh,65,3.25,38,1170
124,125,125,Ben Crane,62,3.26,34,1044
125,T126,T126,Scott Piercy,90,3.27,53,1620
126,T126,T126,Chez Reavie,56,3.27,33,1008
127,T128,T128,Martin Laird,77,3.32,46,1386
128,T128,T128,Kyle Reifers,96,3.32,55,1656
129,130,130,Phil Mickelson,70,3.33,42,1260
130,131,131,Bubba Watson,71,3.35,41,1224
131,132,132,Martin Flores,95,3.36,55,1638
132,133,133,Chris Stroud,84,3.37,51,1512
133,134,134,Retief Goosen,81,3.39,47,1386
134,T135,T135,J.B. Holmes,89,3.4,52,1530
135,T135,T135,Ben Martin,93,3.4,55,1620
136,T137,T137,Matt Every,73,3.41,43,1260
137,T137,T137,John Senden,80,3.41,46,1350
138,139,139,Kevin Chappell,86,3.42,53,1548
139,T140,T140,Sam Saunders,83,3.43,50,1458
140,T140,T140,Michael Thompson,83,3.43,50,1458
141,142,142,Louis Oosthuizen,68,3.44,39,1134
142,T143,T143,Boo Weekley,79,3.45,49,1422
143,T143,T143,Gary Woodland,81,3.45,46,1332
144,145,145,Sung Joon Park,79,3.46,48,1386
145,146,146,Chesson Hadley,101,3.47,63,1818
146,T147,T147,Daniel Berger,97,3.49,61,1746
147,T147,T147,Vijay Singh,78,3.49,49,1404
148,149,149,Scott Stallings,60,3.52,38,1080
149,T150,T150,Jim Renner,68,3.54,42,1188
150,T150,T150,Byron Smith,59,3.54,35,990
151,152,152,Rory Sabbatini,81,3.57,52,1458
152,T153,T153,Billy Horschel,99,3.59,62,1728
153,T153,T153,Cameron Tringale,96,3.59,62,1728
154,T155,T155,Blayne Barber,76,3.6,48,1332
155,T155,T155,Nick Watney,91,3.6,59,1638
156,157,157,Greg Owen,58,3.64,38,1044
157,158,158,Michael Putnam,87,3.66,56,1530
158,T159,T159,Jason Gore,76,3.7,48,1296
159,T159,T159,Padraig Harrington,60,3.7,40,1080
160,T159,T159,Andrew Svoboda,80,3.7,52,1404
161,162,162,Heath Slocum,57,3.77,36,954
162,T163,T163,Ken Duke,93,3.81,61,1602
163,T163,T163,Nicholas Thompson,90,3.81,59,1548
164,165,165,Bill Lunde,50,3.86,32,828
165,166,166,Bo Van Pelt,81,3.87,55,1422
166,167,167,Henrik Stenson,63,3.89,42,1080
167,168,168,Keegan Bradley,87,3.9,59,1512
168,169,169,Robert Allenby,63,3.95,42,1062
169,170,170,D.A. Points,72,4.05,51,1260
170,T171,T171,Charl Schwartzel,67,4.06,46,1134
171,T171,T171,Webb Simpson,81,4.06,57,1404
172,T171,T171,Lee Westwood,56,4.06,38,936
173,174,174,Ernie Els,57,4.09,42,1026
174,175,175,Robert Garrigus,70,4.12,49,1188
175,176,176,John Merrick,78,4.13,55,1332
176,177,177,Derek Ernst,75,4.15,53,1278
177,178,178,Stewart Cink,77,4.18,58,1386
178,179,179,Camilo Villegas,83,4.35,65,1494
179,180,180,Jason Dufner,76,4.41,58,1314
180,181,181,Charlie Beljan,76,4.71,61,1296
181,182,182,Geoff Ogilvy,50,4.75,41,864
182,183,183,Adam Scott,51,4.86,42,864
183,184,184,Lucas Glover,79,5.49,78,1422
