,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
0,1,1,Hunter Mahan,88,"24' 7""",16390.833,666
1,T2,T2,Aaron Baddeley,76,"24' 5""",15650.167,641
2,T2,T2,Russell Henley,87,"24' 5""",17023.417,697
3,T2,T2,Henrik Stenson,63,"24' 5""",10731.75,440
4,5,5,Greg Chalmers,58,"24' 4""",8526.417,351
5,T6,T6,Alex Prugh,84,"24' 2""",19584.083,811
6,T6,T6,Jhonattan Vegas,90,"24' 2""",17916.5,741
7,T8,T8,Eric Axley,57,"24' 1""",10552.833,438
8,T8,T8,Adam Scott,51,"24' 1""",7625.1669999999995,317
9,T10,T10,Zac Blair,108,"24' 0""",21503.583,896
10,T10,T10,Hudson Swafford,97,"24' 0""",21058.25,878
11,T12,T12,Jason Day,75,"23' 11""",13148.833,549
12,T12,T12,Brice Garnett,81,"23' 11""",16609.667,695
13,T12,T12,Michael Thompson,83,"23' 11""",18548.0,775
14,T12,T12,Willy Wilcox,58,"23' 11""",10248.667,429
15,T16,T16,Jon Curran,83,"23' 9""",16261.083,685
16,T16,T16,Jamie Donaldson,50,"23' 9""",7659.6669999999995,322
17,T16,T16,J.J. Henry,94,"23' 9""",20813.333,876
18,T16,T16,Ryan Palmer,80,"23' 9""",12919.417,544
19,T20,T20,Jonathan Byrd,69,"23' 8""",12061.583,510
20,T20,T20,Erik Compton,86,"23' 8""",16065.917,680
21,T20,T20,Martin Flores,95,"23' 8""",19992.083,844
22,T20,T20,Bill Haas,89,"23' 8""",17919.25,756
23,T20,T20,Billy Horschel,99,"23' 8""",17676.583,746
24,T20,T20,Scott Pinckney,88,"23' 8""",18660.667,789
25,T20,T20,Jonathan Randolph,72,"23' 8""",13812.25,583
26,T20,T20,Robert Streb,110,"23' 8""",23281.25,982
27,T28,T28,Harris English,105,"23' 6""",20932.917,891
28,T28,T28,Brooks Koepka,84,"23' 6""",15303.583,651
29,T28,T28,Justin Rose,69,"23' 6""",11482.417,488
30,T28,T28,John Senden,80,"23' 6""",12305.917,523
31,T28,T28,Johnson Wagner,68,"23' 6""",14099.75,599
32,T28,T28,Jimmy Walker,89,"23' 6""",14298.25,609
33,T28,T28,Lee Westwood,56,"23' 6""",7195.5,306
34,T35,T35,Morgan Hoffmann,85,"23' 5""",15603.417,666
35,T35,T35,Troy Merritt,91,"23' 5""",19103.75,815
36,T35,T35,Carlos Ortiz,100,"23' 5""",20026.083,856
37,T35,T35,Andrew Putnam,68,"23' 5""",12180.917,521
38,T39,T39,Stewart Cink,77,"23' 4""",16213.75,696
39,T39,T39,Brian Harman,90,"23' 4""",18818.417,807
40,T41,T41,Tony Finau,106,"23' 3""",22237.917,957
