,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,1,1,Sergio Garcia,59,"1' 11""",369,712.9169999999999
1,T2,T2,Steven Alker,62,"2' 0""",527,1061.167
2,T2,T2,K.J. Choi,66,"2' 0""",584,1178.083
3,T2,T2,Ernie Els,57,"2' 0""",420,847.75
4,T2,T2,J.J. Henry,94,"2' 0""",910,1849.4170000000001
5,T2,T2,Zach Johnson,90,"2' 0""",737,1457.9170000000001
6,T2,T2,Jordan Spieth,91,"2' 0""",621,1250.083
7,T8,T8,Jason Bohn,95,"2' 1""",920,1913.25
8,T8,T8,Jason Day,75,"2' 1""",571,1206.75
9,T8,T8,Luke Donald,71,"2' 1""",571,1205.833
10,T8,T8,Charles Howell III,105,"2' 1""",1147,2418.167
11,T8,T8,Dustin Johnson,75,"2' 1""",554,1131.583
12,T8,T8,Matt Jones,89,"2' 1""",675,1412.75
13,T8,T8,Colt Knost,90,"2' 1""",800,1682.3329999999999
14,T8,T8,Justin Leonard,61,"2' 1""",559,1184.333
15,T8,T8,John Merrick,78,"2' 1""",644,1322.25
16,T8,T8,Francesco Molinari,56,"2' 1""",493,1045.083
17,T8,T8,Ryan Moore,81,"2' 1""",622,1303.417
18,T8,T8,Patrick Reed,103,"2' 1""",735,1548.5829999999999
19,T8,T8,Robert Streb,110,"2' 1""",1021,2138.583
20,T8,T8,Brian Stuard,97,"2' 1""",831,1755.1670000000001
21,T8,T8,Tyrone Van Aswegen,58,"2' 1""",470,996.75
22,T8,T8,Mark Wilson,89,"2' 1""",884,1872.1670000000001
23,T24,T24,Ricky Barnes,82,"2' 2""",644,1378.0829999999999
24,T24,T24,Steven Bowditch,103,"2' 2""",876,1895.8329999999999
25,T24,T24,Jonathan Byrd,69,"2' 2""",540,1190.417
26,T24,T24,Jim Furyk,71,"2' 2""",568,1253.0
27,T24,T24,Lucas Glover,79,"2' 2""",845,1844.9170000000001
28,T24,T24,James Hahn,94,"2' 2""",820,1790.1670000000001
29,T24,T24,Brian Harman,90,"2' 2""",833,1837.0
30,T24,T24,Charley Hoffman,97,"2' 2""",798,1759.0829999999999
31,T24,T24,Jerry Kelly,79,"2' 2""",676,1485.3329999999999
32,T24,T24,Russell Knox,96,"2' 2""",976,2104.5
33,T24,T24,Scott Langley,94,"2' 2""",863,1863.0829999999999
34,T24,T24,Marc Leishman,74,"2' 2""",571,1247.25
35,T24,T24,Spencer Levin,99,"2' 2""",941,2032.3329999999999
36,T24,T24,Ben Martin,93,"2' 2""",856,1878.3329999999999
37,T24,T24,Seung-Yul Noh,65,"2' 2""",579,1269.25
38,T24,T24,Carlos Ortiz,100,"2' 2""",901,1945.8329999999999
39,T24,T24,Greg Owen,58,"2' 2""",451,973.75
40,T24,T24,Cameron Percy,72,"2' 2""",638,1363.8329999999999
41,T24,T24,Alex Prugh,84,"2' 2""",846,1830.8329999999999
42,T24,T24,Chez Reavie,56,"2' 2""",555,1215.5
43,T24,T24,Kevin Streelman,95,"2' 2""",835,1818.0829999999999
44,T24,T24,Daniel Summerhays,101,"2' 2""",927,1984.3329999999999
45,T24,T24,Nicholas Thompson,90,"2' 2""",790,1715.75
46,T24,T24,Bubba Watson,71,"2' 2""",581,1243.583
47,T24,T24,Tim Wilkinson,73,"2' 2""",624,1369.1670000000001
48,T49,T49,Robert Allenby,63,"2' 3""",588,1307.0
49,T49,T49,Keegan Bradley,87,"2' 3""",674,1523.0
50,T49,T49,Chad Campbell,97,"2' 3""",1016,2322.667
51,T49,T49,Paul Casey,87,"2' 3""",702,1597.3329999999999
52,T49,T49,Roberto Castro,54,"2' 3""",409,908.1669999999999
53,T49,T49,Alex Cejka,94,"2' 3""",851,1883.5829999999999
54,T49,T49,Stewart Cink,77,"2' 3""",745,1700.0
55,T49,T49,Chad Collins,79,"2' 3""",648,1483.5829999999999
56,T49,T49,Ben Crane,62,"2' 3""",540,1215.917
57,T49,T49,Graham DeLaet,65,"2' 3""",588,1302.667
58,T49,T49,Jason Dufner,76,"2' 3""",529,1196.25
59,T49,T49,Gonzalo Fernandez-Castaño,81,"2' 3""",696,1544.6670000000001
60,T49,T49,Tony Finau,106,"2' 3""",1002,2263.0
61,T49,T49,Andres Gonzales,90,"2' 3""",818,1830.0
62,T49,T49,Retief Goosen,81,"2' 3""",624,1386.5829999999999
63,T49,T49,Bill Haas,89,"2' 3""",796,1798.5829999999999
64,T49,T49,Padraig Harrington,60,"2' 3""",519,1187.667
65,T49,T49,Jim Herman,88,"2' 3""",909,2079.583
66,T49,T49,Ryo Ishikawa,90,"2' 3""",792,1780.75
67,T49,T49,Matt Kuchar,97,"2' 3""",768,1712.5
68,T49,T49,Davis Love III,51,"2' 3""",475,1083.5
69,T49,T49,Hideki Matsuyama,95,"2' 3""",711,1620.3329999999999
70,T49,T49,William McGirt,103,"2' 3""",1041,2300.0
71,T49,T49,Bryce Molder,91,"2' 3""",810,1829.4170000000001
72,T49,T49,Geoff Ogilvy,50,"2' 3""",399,887.5830000000001
73,T49,T49,Sung Joon Park,79,"2' 3""",687,1551.75
74,T49,T49,Pat Perez,96,"2' 3""",881,1982.8329999999999
75,T49,T49,Carl Pettersson,106,"2' 3""",973,2170.333
76,T49,T49,Patrick Rodgers,57,"2' 3""",505,1149.0
77,T49,T49,Justin Rose,69,"2' 3""",511,1136.333
78,T49,T49,Sam Saunders,83,"2' 3""",676,1543.4170000000001
79,T49,T49,Vijay Singh,78,"2' 3""",738,1652.0829999999999
80,T49,T49,Byron Smith,59,"2' 3""",505,1115.5
81,T49,T49,Michael Thompson,83,"2' 3""",821,1872.4170000000001
82,T49,T49,David Toms,62,"2' 3""",580,1283.333
