,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Jordan Spieth,91,1.545,2448,1584
1,2,2,Patrick Reed,103,1.5490000000000002,2788,1800
2,3,3,Matt Jones,89,1.551,2401,1548
3,4,4,Rickie Fowler,76,1.558,2019,1296
4,5,5,Jonas Blixt,78,1.565,2085,1332
5,6,6,Steven Bowditch,103,1.567,2905,1854
6,7,7,Phil Mickelson,70,1.568,1976,1260
7,T8,T8,Danny Lee,120,1.57,3392,2160
8,T8,T8,Brandt Snedeker,98,1.57,2685,1710
9,T10,T10,Aaron Baddeley,76,1.571,2093,1332
10,T10,T10,Hunter Mahan,88,1.571,2376,1512
11,12,12,Morgan Hoffmann,85,1.5719999999999998,2405,1530
12,T13,T13,Ricky Barnes,82,1.5730000000000002,2208,1404
13,T13,T13,J.B. Holmes,89,1.5730000000000002,2407,1530
14,15,15,Andrew Putnam,68,1.574,1813,1152
15,16,16,Kevin Na,98,1.575,2693,1710
16,17,17,Ian Poulter,68,1.5759999999999998,1844,1170
17,T18,T18,Derek Fathauer,81,1.577,2186,1386
18,T18,T18,Matt Kuchar,97,1.577,2669,1692
19,T18,T18,Brendon Todd,96,1.577,2640,1674
20,21,21,Sean O'Hair,86,1.579,2444,1548
21,T22,T22,Erik Compton,86,1.58,2446,1548
22,T22,T22,Jason Day,75,1.58,2048,1296
23,T22,T22,Carl Pettersson,106,1.58,3015,1908
24,25,25,Jerry Kelly,79,1.581,2248,1422
25,T26,T26,Dustin Johnson,75,1.5819999999999999,2050,1296
26,T26,T26,Hideki Matsuyama,95,1.5819999999999999,2591,1638
27,T28,T28,Brian Davis,86,1.584,2338,1476
28,T28,T28,Ryan Moore,81,1.584,2224,1404
29,T30,T30,Jason Bohn,95,1.585,2711,1710
30,T30,T30,Bubba Watson,71,1.585,1940,1224
31,T32,T32,Eric Axley,57,1.5859999999999999,1570,990
32,T32,T32,Sangmoon Bae,98,1.5859999999999999,2798,1764
33,T32,T32,Scott Brown,97,1.5859999999999999,2770,1746
34,T32,T32,Chad Collins,79,1.5859999999999999,2256,1422
35,T32,T32,Daniel Summerhays,101,1.5859999999999999,2883,1818
36,T37,T37,Marc Leishman,74,1.587,2000,1260
37,T37,T37,Brian Stuard,97,1.587,2657,1674
38,T39,T39,Greg Chalmers,58,1.588,1544,972
39,T39,T39,Steve Wheatcroft,87,1.588,2373,1494
40,T41,T41,Chris Kirk,76,1.589,2088,1314
41,T41,T41,Troy Merritt,91,1.589,2602,1638
42,43,43,Ryan Palmer,80,1.59,2204,1386
43,T44,T44,Andres Romero,69,1.591,1890,1188
44,T44,T44,Justin Thomas,106,1.591,3036,1908
45,46,46,David Lingmerth,90,1.5919999999999999,2579,1620
46,T47,T47,Zac Blair,108,1.5930000000000002,2983,1872
47,T47,T47,Matt Every,73,1.5930000000000002,2007,1260
48,T47,T47,Bryce Molder,91,1.5930000000000002,2495,1566
49,T50,T50,Luke Guthrie,84,1.594,2353,1476
50,T50,T50,Chesson Hadley,101,1.594,2897,1818
51,T50,T50,Jimmy Walker,89,1.594,2468,1548
52,T53,T53,K.J. Choi,66,1.595,1780,1116
53,T53,T53,John Huh,102,1.595,2900,1818
54,T53,T53,Pat Perez,96,1.595,2756,1728
55,T56,T56,Steven Alker,62,1.5959999999999999,1724,1080
56,T56,T56,Fabián Gómez,83,1.5959999999999999,2384,1494
57,T56,T56,Kevin Kisner,104,1.5959999999999999,2987,1872
58,T56,T56,Louis Oosthuizen,68,1.5959999999999999,1810,1134
59,60,60,David Toms,62,1.597,1667,1044
60,T61,T61,Zach Johnson,90,1.599,2504,1566
61,T61,T61,Jeff Overton,94,1.599,2648,1656
62,63,63,Nick Taylor,91,1.6,2621,1638
63,T64,T64,Oscar Fraustro,58,1.601,1556,972
64,T64,T64,Justin Leonard,61,1.601,1758,1098
65,T66,T66,Harris English,105,1.6019999999999999,2941,1836
66,T66,T66,Charley Hoffman,97,1.6019999999999999,2710,1692
67,T66,T66,Billy Hurley III,83,1.6019999999999999,2278,1422
68,69,69,Max Homa,78,1.6030000000000002,2135,1332
69,70,70,Scott Piercy,90,1.604,2599,1620
70,T71,T71,Blayne Barber,76,1.605,2138,1332
71,T71,T71,Tom Hoge,83,1.605,2283,1422
72,73,73,Tim Wilkinson,73,1.6059999999999999,2053,1278
73,T74,T74,Alex Cejka,94,1.607,2662,1656
74,T74,T74,David Hearn,97,1.607,2806,1746
75,T74,T74,Camilo Villegas,83,1.607,2401,1494
76,T77,T77,Jonathan Byrd,69,1.608,1881,1170
77,T77,T77,Ben Crane,62,1.608,1679,1044
78,T77,T77,Rory Sabbatini,81,1.608,2344,1458
79,T77,T77,Chris Stroud,84,1.608,2432,1512
80,T81,T81,Kevin Chappell,86,1.609,2490,1548
81,T81,T81,Jamie Donaldson,50,1.609,1361,846
82,T81,T81,Sergio Garcia,59,1.609,1622,1008
83,T81,T81,Ryo Ishikawa,90,1.609,2548,1584
84,T81,T81,William McGirt,103,1.609,2983,1854
85,T86,T86,Andres Gonzales,90,1.61,2493,1548
86,T86,T86,Colt Knost,90,1.61,2492,1548
87,T86,T86,Jason Kokrak,88,1.61,2551,1584
88,T86,T86,Patrick Rodgers,57,1.61,1536,954
89,T90,T90,James Hahn,94,1.611,2726,1692
90,T90,T90,Scott Langley,94,1.611,2667,1656
91,T90,T90,Cameron Tringale,96,1.611,2784,1728
92,T93,T93,Ken Duke,93,1.6119999999999999,2582,1602
93,T93,T93,Russell Henley,87,1.6119999999999999,2437,1512
94,T93,T93,George McNeill,93,1.6119999999999999,2698,1674
95,T93,T93,Shawn Stefani,94,1.6119999999999999,2728,1692
96,T97,T97,Brendon de Jonge,106,1.6130000000000002,3077,1908
97,T97,T97,Retief Goosen,81,1.6130000000000002,2236,1386
98,99,99,Whee Kim,71,1.615,2006,1242
99,T100,T100,Brian Harman,90,1.6159999999999999,2618,1620
100,T100,T100,Billy Horschel,99,1.6159999999999999,2793,1728
101,T102,T102,Gonzalo Fernandez-Castaño,81,1.617,2241,1386
102,T102,T102,Tony Finau,106,1.617,3086,1908
103,T102,T102,Brooks Koepka,84,1.617,2357,1458
104,T102,T102,Robert Streb,110,1.617,3201,1980
105,T106,T106,Martin Laird,77,1.618,2242,1386
106,T106,T106,Brendan Steele,88,1.618,2447,1512
107,T108,T108,Adam Hadwin,95,1.619,2711,1674
108,T108,T108,Padraig Harrington,60,1.619,1749,1080
109,T110,T110,Kyle Reifers,96,1.62,2683,1656
110,T110,T110,Justin Rose,69,1.62,1925,1188
111,T110,T110,Vijay Singh,78,1.62,2274,1404
112,113,113,Luke Donald,71,1.621,2071,1278
113,114,114,Jonathan Randolph,72,1.6219999999999999,2044,1260
114,115,115,John Peterson,84,1.6230000000000002,2454,1512
115,T116,T116,Daniel Berger,97,1.624,2835,1746
116,T116,T116,Mark Hubbard,79,1.624,2251,1386
117,T116,T116,Sung Joon Park,79,1.624,2251,1386
118,T119,T119,D.A. Points,72,1.625,2047,1260
119,T119,T119,Heath Slocum,57,1.625,1550,954
120,T121,T121,Graham DeLaet,65,1.626,1902,1170
121,T121,T121,Carlos Ortiz,100,1.626,2809,1728
