,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Willy Wilcox,58,0.93,97,9.0
1,2,2,Jason Day,75,0.89,135,12.0
2,3,3,Matt Jones,89,0.88,160,14.0
3,4,4,Geoff Ogilvy,50,0.83,72,6.0
4,5,5,Adam Hadwin,95,0.79,165,13.0
5,6,6,Mark Wilson,89,0.71,170,12.0
6,7,7,Fabián Gómez,83,0.7,114,8.0
7,8,8,Billy Horschel,99,0.67,163,11.0
8,9,9,Ben Martin,93,0.66,167,11.0
9,T10,T10,Dustin Johnson,75,0.65,92,6.0
10,T10,T10,Camilo Villegas,83,0.65,169,11.0
11,T12,T12,Sergio Garcia,59,0.63,64,4.0
12,T12,T12,Johnson Wagner,68,0.63,128,8.0
13,T14,T14,Jonathan Byrd,69,0.62,130,8.0
14,T14,T14,Sean O'Hair,86,0.62,178,11.0
15,T14,T14,Jordan Spieth,91,0.62,97,6.0
16,T17,T17,Charles Howell III,105,0.61,229,14.0
17,T17,T17,Andres Romero,69,0.61,115,7.0
18,T17,T17,Gary Woodland,81,0.61,115,7.0
19,20,20,Luke Donald,71,0.6,100,6.0
20,21,21,Scott Piercy,90,0.59,187,11.0
21,22,22,Andrew Putnam,68,0.58,121,7.0
22,T23,T23,Steven Bowditch,103,0.57,141,8.0
23,T23,T23,John Peterson,84,0.57,141,8.0
24,25,25,Roger Sloan,56,0.56,72,4.0
25,T26,T26,Zac Blair,108,0.55,217,12.0
26,T26,T26,Martin Flores,95,0.55,200,11.0
27,T26,T26,Martin Laird,77,0.55,163,9.0
28,T26,T26,David Toms,62,0.55,91,5.0
29,T30,T30,Charlie Beljan,76,0.54,111,6.0
30,T30,T30,Greg Chalmers,58,0.54,74,4.0
