,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Tony Finau,106,31,633,4.9
1,2,2,Zac Blair,108,30,636,4.7
2,T3,T3,Martin Flores,95,28,511,5.5
3,T3,T3,Sean O'Hair,86,28,589,4.8
4,T3,T3,Pat Perez,96,28,591,4.7
5,T6,T6,Steven Bowditch,103,27,681,4.0
6,T6,T6,Stewart Cink,77,27,435,6.2
7,T6,T6,Billy Horschel,99,27,522,5.2
8,T6,T6,Charles Howell III,105,27,619,4.4
9,T10,T10,Matt Jones,89,26,514,5.1
10,T10,T10,Ben Martin,93,26,511,5.1
11,T10,T10,Scott Piercy,90,26,598,4.3
12,T10,T10,Camilo Villegas,83,26,550,4.7
13,T14,T14,Chad Campbell,97,25,603,4.1
14,T14,T14,Fabián Gómez,83,25,516,4.8
15,T14,T14,Carlos Ortiz,100,25,578,4.3
16,T14,T14,Daniel Summerhays,101,25,659,3.8
17,T18,T18,Adam Hadwin,95,24,558,4.3
18,T18,T18,Robert Streb,110,24,686,3.5
19,T18,T18,Hudson Swafford,97,24,567,4.2
20,T18,T18,Michael Thompson,83,24,515,4.7
21,T22,T22,Danny Lee,120,23,788,2.9
22,T22,T22,Troy Merritt,91,23,604,3.8
23,T24,T24,Jason Day,75,22,443,5.0
24,T24,T24,Jim Herman,88,22,464,4.7
25,T24,T24,Andrew Svoboda,80,22,474,4.6
26,T27,T27,Luke Guthrie,84,21,497,4.2
27,T27,T27,J.J. Henry,94,21,446,4.7
28,T27,T27,Matt Kuchar,97,21,600,3.5
29,T27,T27,Spencer Levin,99,21,538,3.9
30,T27,T27,John Peterson,84,21,506,4.2
31,T27,T27,Justin Thomas,106,21,713,2.9
32,T27,T27,Cameron Tringale,96,21,594,3.5
33,T27,T27,Mark Wilson,89,21,561,3.7
34,T35,T35,Jason Bohn,95,20,627,3.2
35,T35,T35,Chesson Hadley,101,20,673,3.0
36,T35,T35,Kevin Kisner,104,20,676,3.0
37,T35,T35,Jason Kokrak,88,20,548,3.6
38,T39,T39,Brian Davis,86,19,522,3.6
39,T39,T39,Ken Duke,93,19,554,3.4
40,T39,T39,James Hahn,94,19,566,3.4
41,T39,T39,Brian Harman,90,19,559,3.4
42,T39,T39,Charley Hoffman,97,19,557,3.4
43,T39,T39,Bryce Molder,91,19,565,3.4
44,T39,T39,Carl Pettersson,106,19,733,2.6
45,T39,T39,Brandt Snedeker,98,19,587,3.2
46,T39,T39,Kevin Streelman,95,19,473,4.0
47,T39,T39,Nicholas Thompson,90,19,464,4.1
48,T39,T39,Jhonattan Vegas,90,19,496,3.8
49,T39,T39,Steve Wheatcroft,87,19,529,3.6
50,T51,T51,Sangmoon Bae,98,18,671,2.7
51,T51,T51,Kevin Chappell,86,18,567,3.2
52,T51,T51,Brendon de Jonge,106,18,655,2.7
53,T51,T51,Harris English,105,18,644,2.8
54,T51,T51,Andres Gonzales,90,18,536,3.4
55,T51,T51,David Hearn,97,18,608,3.0
56,T51,T51,Russell Henley,87,18,468,3.8
57,T51,T51,Russell Knox,96,18,571,3.2
58,T51,T51,Martin Laird,77,18,506,3.6
59,T51,T51,Scott Pinckney,88,18,488,3.7
60,T51,T51,Rory Sabbatini,81,18,485,3.7
61,T51,T51,Brian Stuard,97,18,575,3.1
62,T63,T63,Brice Garnett,81,17,406,4.2
63,T63,T63,Ryo Ishikawa,90,17,540,3.1
64,T63,T63,Jordan Spieth,91,17,541,3.1
65,T63,T63,Brendan Steele,88,17,532,3.2
66,T63,T63,Shawn Stefani,94,17,602,2.8
67,T63,T63,Brendon Todd,96,17,600,2.8
68,T69,T69,Daniel Berger,97,16,571,2.8
69,T69,T69,Paul Casey,87,16,420,3.8
70,T69,T69,Erik Compton,86,16,535,3.0
71,T69,T69,Sergio Garcia,59,16,270,5.9
72,T69,T69,Mark Hubbard,79,16,419,3.8
73,T69,T69,John Huh,102,16,643,2.5
74,T69,T69,Zach Johnson,90,16,510,3.1
75,T69,T69,David Lingmerth,90,16,557,2.9
76,T69,T69,Hideki Matsuyama,95,16,534,3.0
77,T69,T69,George McNeill,93,16,645,2.5
78,T69,T69,Kevin Na,98,16,555,2.9
79,T69,T69,Andrew Putnam,68,16,413,3.9
80,T69,T69,Patrick Reed,103,16,612,2.6
81,T69,T69,Chris Stroud,84,16,477,3.4
82,T69,T69,Nick Taylor,91,16,604,2.6
83,T69,T69,Nick Watney,91,16,545,2.9
84,T69,T69,Willy Wilcox,58,16,275,5.8
85,T86,T86,Ricky Barnes,82,15,473,3.2
86,T86,T86,Jonas Blixt,78,15,373,4.0
87,T86,T86,Scott Brown,97,15,602,2.5
88,T86,T86,Alex Cejka,94,15,554,2.7
89,T86,T86,Jon Curran,83,15,440,3.4
90,T86,T86,Luke Donald,71,15,385,3.9
91,T86,T86,Hunter Mahan,88,15,460,3.3
92,T86,T86,Bo Van Pelt,81,15,441,3.4
93,T86,T86,Johnson Wagner,68,15,391,3.8
94,T86,T86,Gary Woodland,81,15,386,3.9
95,T96,T96,Aaron Baddeley,76,14,505,2.8
96,T96,T96,Jason Dufner,76,14,319,4.4
97,T96,T96,Bill Haas,89,14,467,3.0
98,T96,T96,Colt Knost,90,14,518,2.7
99,T96,T96,Jeff Overton,94,14,523,2.7
100,T96,T96,D.A. Points,72,14,419,3.3
101,T96,T96,Kyle Reifers,96,14,570,2.5
102,T96,T96,David Toms,62,14,399,3.5
103,T96,T96,Boo Weekley,79,14,463,3.0
104,T105,T105,Ben Crane,62,13,387,3.4
105,T105,T105,Derek Ernst,75,13,422,3.1
106,T105,T105,Gonzalo Fernandez-Castaño,81,13,419,3.1
107,T105,T105,Retief Goosen,81,13,446,2.9
108,T105,T105,Padraig Harrington,60,13,351,3.7
109,T105,T105,J.B. Holmes,89,13,522,2.5
110,T105,T105,Brooks Koepka,84,13,470,2.8
111,T105,T105,Scott Langley,94,13,545,2.4
