,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Ben Martin,93,"46' 5""",46.417,1,46,46
1,2,2,Brian Harman,90,"46' 0""",91.917,2,61,31
2,3,3,John Merrick,78,"38' 2""",76.25,2,68,9
3,4,4,Hunter Mahan,88,"38' 1""",114.167,3,69,22
4,5,5,Jim Herman,88,"33' 0""",99.0,3,47,18
5,6,6,Patrick Reed,103,"32' 7""",32.583,1,33,33
6,7,7,James Hahn,94,"28' 11""",144.5,5,51,9
7,8,8,Bill Haas,89,"28' 2""",140.667,5,68,7
8,9,9,Rickie Fowler,76,"27' 3""",136.333,5,81,2
9,10,10,Derek Ernst,75,"26' 11""",107.75,4,41,16
10,11,11,Willy Wilcox,58,"26' 5""",132.083,5,62,4
11,12,12,Chesson Hadley,101,"25' 11""",181.5,7,71,4
12,13,13,John Huh,102,"25' 1""",150.417,6,77,7
13,14,14,Colt Knost,90,"25' 0""",75.083,3,33,12
14,15,15,Brendon de Jonge,106,"24' 1""",72.167,3,34,14
15,16,16,Dustin Johnson,75,"23' 10""",142.75,6,51,2
16,17,17,Cameron Tringale,96,"23' 9""",47.5,2,24,23
17,18,18,Ángel Cabrera,53,"23' 4""",93.167,4,58,4
18,19,19,Sung Joon Park,79,"23' 2""",46.25,2,37,9
19,20,20,Greg Chalmers,58,"22' 11""",22.916999999999998,1,23,23
20,T21,T21,Patrick Rodgers,57,"22' 10""",68.5,3,25,20
21,T21,T21,Lee Westwood,56,"22' 10""",22.833000000000002,1,23,23
22,23,23,Daniel Berger,97,"22' 8""",68.0,3,39,5
23,T24,T24,Zac Blair,108,"22' 7""",45.167,2,41,4
24,T24,T24,Kevin Na,98,"22' 7""",22.583000000000002,1,23,23
25,26,26,Cameron Percy,72,"22' 6""",135.0,6,73,3
26,T27,T27,Jason Dufner,76,"22' 3""",111.25,5,60,5
27,T27,T27,Alex Prugh,84,"22' 3""",66.833,3,45,8
28,T29,T29,Greg Owen,58,"22' 1""",44.167,2,26,18
29,T29,T29,Justin Thomas,106,"22' 1""",220.5,10,88,"7"""
30,31,31,George McNeill,93,"21' 10""",131.083,6,42,3
31,32,32,Hideki Matsuyama,95,"21' 5""",149.667,7,65,3
32,T33,T33,Sangmoon Bae,98,"21' 2""",106.0,5,35,6
33,T33,T33,Hudson Swafford,97,"21' 2""",105.917,5,32,5
34,35,35,Nicholas Thompson,90,"20' 8""",82.667,4,30,10
35,36,36,Billy Horschel,99,"20' 7""",123.5,6,44,5
36,37,37,Jerry Kelly,79,"20' 6""",40.917,2,36,5
37,T38,T38,Mark Hubbard,79,"20' 5""",20.417,1,20,20
38,T38,T38,Tim Wilkinson,73,"20' 5""",20.417,1,20,20
39,40,40,Seung-Yul Noh,65,"20' 4""",81.417,4,45,8
40,T41,T41,Eric Axley,57,"20' 3""",40.5,2,37,3
41,T41,T41,Matt Jones,89,"20' 3""",121.333,6,58,7
42,T41,T41,Sean O'Hair,86,"20' 3""",121.667,6,43,7
43,44,44,David Lingmerth,90,"20' 1""",60.167,3,30,5
44,45,45,John Senden,80,"19' 1""",57.25,3,39,6
45,46,46,Ken Duke,93,"19' 0""",75.917,4,33,2
46,47,47,Pat Perez,96,"18' 11""",37.833,2,24,14
47,48,48,Sergio Garcia,59,"18' 9""",37.5,2,29,8
48,49,49,Daniel Summerhays,101,"18' 7""",92.917,5,45,6
49,50,50,David Hearn,97,"18' 5""",18.417,1,18,18
50,51,51,Martin Laird,77,"18' 4""",110.167,6,37,5
51,52,52,Ryan Moore,81,"18' 2""",72.5,4,34,5
52,53,53,Robert Streb,110,"17' 11""",71.583,4,48,3
53,T54,T54,Henrik Stenson,63,"17' 9""",106.25,6,24,10
54,T54,T54,Nick Taylor,91,"17' 9""",53.25,3,26,11
55,56,56,Brandt Snedeker,98,"17' 6""",87.417,5,43,8
56,57,57,Jason Day,75,"17' 5""",122.083,7,43,11
57,T58,T58,Chad Campbell,97,"17' 4""",52.083,3,42,4
58,T58,T58,Rory Sabbatini,81,"17' 4""",104.083,6,52,2
59,60,60,Adam Hadwin,95,"17' 3""",120.833,7,38,2
60,61,61,Jonathan Randolph,72,"17' 1""",17.083,1,17,17
61,62,62,Gary Woodland,81,"16' 11""",101.5,6,39,4
62,T63,T63,Jordan Spieth,91,"16' 10""",101.083,6,48,3
63,T63,T63,Bubba Watson,71,"16' 10""",134.833,8,42,1
64,65,65,Carlos Ortiz,100,"16' 6""",132.0,8,37,5
65,T66,T66,Jason Kokrak,88,"16' 5""",82.167,5,40,5
66,T66,T66,Kyle Reifers,96,"16' 5""",32.833,2,27,6
67,T68,T68,Ernie Els,57,"16' 4""",32.667,2,22,11
68,T68,T68,Geoff Ogilvy,50,"16' 4""",16.333,1,16,16
69,T68,T68,Mark Wilson,89,"16' 4""",32.667,2,28,5
70,T71,T71,Scott Brown,97,"16' 1""",32.083,2,18,14
71,T71,T71,Paul Casey,87,"16' 1""",64.167,4,28,4
72,T71,T71,Charles Howell III,105,"16' 1""",128.917,8,44,3
73,74,74,Alex Cejka,94,"16' 0""",64.083,4,27,4
74,75,75,Webb Simpson,81,"15' 11""",111.5,7,35,5
75,76,76,Zach Johnson,90,"15' 9""",31.5,2,23,9
76,77,77,Francesco Molinari,56,"15' 8""",15.667,1,16,16
77,78,78,Troy Merritt,91,"15' 5""",15.417,1,15,15
78,T79,T79,Luke Donald,71,"15' 4""",15.333,1,15,15
79,T79,T79,Brendon Todd,96,"15' 4""",46.0,3,25,3
80,81,81,Jonas Blixt,78,"15' 3""",45.75,3,26,4
81,T82,T82,Aaron Baddeley,76,"15' 1""",75.583,5,43,4
82,T82,T82,Matt Every,73,"15' 1""",45.25,3,27,9
83,84,84,Chris Kirk,76,"15' 0""",30.0,2,16,14
84,85,85,Morgan Hoffmann,85,"14' 11""",29.833000000000002,2,16,13
85,T86,T86,Jon Curran,83,"14' 10""",29.666999999999998,2,17,13
86,T86,T86,Andres Gonzales,90,"14' 10""",88.917,6,32,7
87,T86,T86,Matt Kuchar,97,"14' 10""",74.167,5,39,6
88,89,89,Andrew Svoboda,80,"14' 9""",59.0,4,27,3
89,90,90,Russell Knox,96,"14' 8""",29.25,2,20,9
90,91,91,Steve Wheatcroft,87,"14' 7""",102.333,7,48,"9"""
91,T92,T92,Steven Bowditch,103,"14' 6""",130.417,9,34,3
92,T92,T92,Scott Pinckney,88,"14' 6""",86.75,6,30,6
93,T94,T94,Luke Guthrie,84,"14' 3""",42.667,3,28,3
94,T94,T94,J.B. Holmes,89,"14' 3""",99.583,7,40,"11"""
95,96,96,Brian Davis,86,"14' 0""",27.916999999999998,2,15,13
96,97,97,Marc Leishman,74,"13' 10""",27.583000000000002,2,14,13
97,98,98,Kevin Chappell,86,"13' 9""",68.917,5,21,6
98,99,99,Jason Bohn,95,"13' 8""",27.25,2,15,13
99,100,100,Scott Stallings,60,"13' 6""",27.0,2,20,7
100,T101,T101,Jason Gore,76,"13' 5""",67.167,5,25,3
101,T101,T101,Ian Poulter,68,"13' 5""",13.417,1,13,13
102,103,103,K.J. Choi,66,"13' 4""",40.083,3,29,4
103,104,104,Retief Goosen,81,"13' 3""",26.416999999999998,2,18,9
104,T105,T105,Kevin Kisner,104,"13' 2""",52.75,4,31,4
105,T105,T105,Bryce Molder,91,"13' 2""",39.583,3,15,11
106,107,107,Jim Renner,68,"13' 0""",52.083,4,23,3
107,108,108,Tony Finau,106,"12' 10""",128.167,10,34,3
108,109,109,Ben Crane,62,"12' 9""",12.75,1,13,13
109,110,110,Danny Lee,120,"12' 8""",76.167,6,23,6
