,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Camilo Villegas,83,"82' 1""",72867,74,"4' 7""","171' 0"""
1,2,2,Jimmy Walker,89,"81' 4""",62461,64,"4' 7""","143' 3"""
2,3,3,Zac Blair,108,"81' 0""",85527,88,"4' 7""","158' 3"""
3,T4,T4,Stewart Cink,77,"80' 10""",64034,66,"4' 6""","176' 10"""
4,T4,T4,Russell Henley,87,"80' 10""",64990,67,"4' 7""","144' 11"""
5,6,6,Billy Horschel,99,"80' 9""",70741,73,"4' 6""","165' 6"""
6,7,7,Henrik Stenson,63,"80' 8""",42573,44,"4' 6""","144' 9"""
7,8,8,Lee Westwood,56,"80' 6""",30899,32,"4' 7""","168' 0"""
8,9,9,Greg Chalmers,58,"80' 3""",34662,36,"4' 6""","139' 4"""
9,10,10,Willy Wilcox,58,"80' 1""",39406,41,"4' 6""","166' 10"""
10,T11,T11,Jason Day,75,"80' 0""",54732,57,"4' 6""","160' 0"""
11,T11,T11,Brooks Koepka,84,"80' 0""",62421,65,"4' 6""","165' 5"""
12,13,13,Scott Pinckney,88,"79' 10""",70864,74,"4' 6""","150' 1"""
13,14,14,Matt Jones,89,"79' 8""",64027,67,"4' 6""","164' 3"""
14,15,15,Brandt Snedeker,98,"79' 7""",71637,75,"4' 6""","158' 4"""
15,16,16,Aaron Baddeley,76,"79' 5""",62914,66,"4' 6""","138' 2"""
16,17,17,Sean O'Hair,86,"79' 4""",77134,81,"4' 6""","151' 2"""
17,18,18,Steve Wheatcroft,87,"79' 2""",68412,72,"4' 6""","164' 3"""
18,19,19,Andrew Putnam,68,"79' 0""",51196,54,"4' 5""","154' 8"""
19,T20,T20,John Huh,102,"78' 9""",84138,89,"4' 5""","144' 7"""
20,T20,T20,Jordan Spieth,91,"78' 9""",62372,66,"4' 6""","142' 5"""
21,22,22,Jamie Donaldson,50,"78' 7""",30182,32,"4' 5""","111' 1"""
22,23,23,Hudson Swafford,97,"78' 5""",78076,83,"4' 5""","168' 1"""
23,24,24,Pat Perez,96,"78' 4""",78051,83,"4' 5""","153' 3"""
24,25,25,Danny Lee,120,"78' 3""",93861,100,"4' 5""","186' 0"""
25,T26,T26,Adam Hadwin,95,"78' 2""",75967,81,"4' 5""","134' 5"""
26,T26,T26,Ian Poulter,68,"78' 2""",45033,48,"4' 5""","143' 6"""
27,T28,T28,Luke Guthrie,84,"77' 9""",63465,68,"4' 4""","132' 11"""
28,T28,T28,Ben Martin,93,"77' 9""",71835,77,"4' 5""","182' 11"""
29,T30,T30,Sangmoon Bae,98,"77' 7""",81946,88,"4' 4""","170' 4"""
30,T30,T30,Andres Romero,69,"77' 7""",50285,54,"4' 5""","132' 4"""
31,T32,T32,Phil Mickelson,70,"77' 6""",51172,55,"4' 5""","148' 4"""
32,T32,T32,Scott Piercy,90,"77' 6""",77168,83,"4' 4""","150' 2"""
33,T34,T34,David Hearn,97,"77' 5""",78994,85,"4' 4""","163' 4"""
34,T34,T34,Troy Merritt,91,"77' 5""",76172,82,"4' 4""","137' 4"""
35,36,36,Hunter Mahan,88,"77' 4""",60332,65,"4' 4""","156' 7"""
36,37,37,Rickie Fowler,76,"77' 2""",52805,57,"4' 4""","134' 8"""
37,T38,T38,Paul Casey,87,"77' 1""",58281,63,"4' 4""","127' 4"""
38,T38,T38,Fabián Gómez,83,"77' 1""",63814,69,"4' 4""","139' 1"""
39,40,40,Martin Laird,77,"76' 10""",67288,73,"4' 4""","137' 2"""
40,41,41,Brendon Todd,96,"76' 9""",69997,76,"4' 4""","130' 7"""
41,42,42,Harris English,105,"76' 8""",80932,88,"4' 4""","121' 11"""
42,T43,T43,Kevin Chappell,86,"76' 7""",68949,75,"4' 4""","144' 2"""
43,T43,T43,Daniel Summerhays,101,"76' 7""",81790,89,"4' 4""","159' 2"""
44,T45,T45,Patrick Reed,103,"76' 6""",69733,76,"4' 4""","132' 8"""
45,T45,T45,Bo Van Pelt,81,"76' 6""",59644,65,"4' 4""","161' 8"""
46,47,47,Luke Donald,71,"76' 5""",49505,54,"4' 4""","133' 3"""
47,48,48,George McNeill,93,"76' 2""",81353,89,"4' 3""","130' 1"""
48,T49,T49,Ben Crane,62,"76' 0""",47425,52,"4' 3""","145' 1"""
49,T49,T49,Brian Davis,86,"76' 0""",64768,71,"4' 4""","139' 2"""
50,51,51,Cameron Tringale,96,"75' 11""",72006,79,"4' 3""","153' 2"""
51,T52,T52,Blayne Barber,76,"75' 10""",57327,63,"4' 3""","133' 11"""
52,T52,T52,Andres Gonzales,90,"75' 10""",69194,76,"4' 3""","156' 10"""
53,T52,T52,Bryce Molder,91,"75' 10""",70105,77,"4' 3""","147' 7"""
54,55,55,Jonas Blixt,78,"75' 7""",47183,52,"4' 3""","153' 1"""
55,T56,T56,Tom Hoge,83,"75' 6""",58895,65,"4' 3""","144' 3"""
56,T56,T56,Jonathan Randolph,72,"75' 6""",50733,56,"4' 3""","122' 3"""
57,T56,T56,Robert Streb,110,"75' 6""",86962,96,"4' 3""","139' 4"""
58,T59,T59,Sergio Garcia,59,"75' 5""",32596,36,"4' 3""","220' 5"""
59,T59,T59,Gary Woodland,81,"75' 5""",48847,54,"4' 3""","145' 1"""
60,T61,T61,Chesson Hadley,101,"75' 4""",80430,89,"4' 3""","127' 11"""
61,T61,T61,Whee Kim,71,"75' 4""",50610,56,"4' 3""","139' 5"""
62,T61,T61,Rory Sabbatini,81,"75' 4""",59662,66,"4' 3""","135' 7"""
63,T61,T61,Michael Thompson,83,"75' 4""",67812,75,"4' 3""","138' 3"""
64,T65,T65,Martin Flores,95,"75' 2""",71290,79,"4' 3""","159' 10"""
65,T65,T65,Matt Kuchar,97,"75' 2""",69459,77,"4' 3""","147' 10"""
66,T65,T65,Brian Stuard,97,"75' 2""",71296,79,"4' 3""","145' 9"""
67,68,68,Louis Oosthuizen,68,"74' 11""",42261,47,"4' 3""","123' 9"""
68,69,69,James Hahn,94,"74' 10""",70082,78,"4' 3""","149' 2"""
69,T70,T70,Colt Knost,90,"74' 9""",66402,74,"4' 2""","142' 2"""
70,T70,T70,Brendan Steele,88,"74' 9""",68139,76,"4' 2""","154' 10"""
71,T70,T70,Nick Taylor,91,"74' 9""",74417,83,"4' 2""","178' 0"""
72,T73,T73,Tony Finau,106,"74' 7""",82329,92,"4' 2""","148' 8"""
73,T73,T73,Charley Hoffman,97,"74' 7""",68041,76,"4' 2""","159' 1"""
74,T73,T73,Jerry Kelly,79,"74' 7""",59095,66,"4' 2""","161' 8"""
75,T73,T73,Justin Rose,69,"74' 7""",43836,49,"4' 2""","123' 1"""
76,77,77,Kevin Na,98,"74' 5""",63370,71,"4' 2""","135' 8"""
77,78,78,Carl Pettersson,106,"74' 3""",85550,96,"4' 2""","126' 1"""
78,T79,T79,Bill Lunde,50,"74' 2""",32035,36,"4' 2""","140' 4"""
79,T79,T79,Adam Scott,51,"74' 2""",28471,32,"4' 2""","132' 5"""
80,T81,T81,Steven Bowditch,103,"74' 1""",78267,88,"4' 2""","146' 9"""
81,T81,T81,Erik Compton,86,"74' 1""",62229,70,"4' 2""","138' 9"""
82,T83,T83,Jim Herman,88,"74' 0""",68394,77,"4' 2""","130' 6"""
83,T83,T83,Andrew Svoboda,80,"74' 0""",62127,70,"4' 2""","145' 10"""
84,T83,T83,Nick Watney,91,"74' 0""",71946,81,"4' 2""","172' 3"""
85,86,86,Kyle Reifers,96,"73' 11""",70955,80,"4' 2""","169' 7"""
86,87,87,Hideki Matsuyama,95,"73' 10""",62001,70,"4' 2""","160' 10"""
87,T88,T88,Jonathan Byrd,69,"73' 9""",45160,51,"4' 2""","128' 5"""
88,T88,T88,Johnson Wagner,68,"73' 9""",50458,57,"4' 2""","156' 11"""
89,T90,T90,Carlos Ortiz,100,"73' 8""",73380,83,"4' 2""","157' 7"""
90,T90,T90,David Toms,62,"73' 8""",48599,55,"4' 2""","152' 2"""
91,92,92,Billy Hurley III,83,"73' 5""",55515,63,"4' 1""","124' 4"""
92,93,93,Jason Gore,76,"73' 4""",51066,58,"4' 1""","133' 4"""
93,T94,T94,Derek Fathauer,81,"73' 3""",58030,66,"4' 2""","117' 7"""
94,T94,T94,Ryo Ishikawa,90,"73' 3""",65931,75,"4' 1""","143' 1"""
95,T94,T94,Dustin Johnson,75,"73' 3""",47486,54,"4' 2""","137' 6"""
96,T94,T94,Justin Leonard,61,"73' 3""",47457,54,"4' 1""","148' 4"""
97,T94,T94,David Lingmerth,90,"73' 3""",65070,74,"4' 2""","124' 3"""
98,T99,T99,Jason Bohn,95,"73' 2""",76360,87,"4' 1""","158' 3"""
99,T99,T99,Morgan Hoffmann,85,"73' 2""",60569,69,"4' 2""","121' 5"""
100,T99,T99,Zach Johnson,90,"73' 2""",61442,70,"4' 1""","137' 2"""
101,T99,T99,Jhonattan Vegas,90,"73' 2""",63231,72,"4' 1""","134' 2"""
102,103,103,Mark Hubbard,79,"73' 1""",53508,61,"4' 1""","134' 11"""
103,T104,T104,Kevin Kisner,104,"73' 0""",82347,94,"4' 1""","188' 6"""
104,T104,T104,Seung-Yul Noh,65,"73' 0""",47310,54,"4' 1""","112' 2"""
105,106,106,D.A. Points,72,"72' 11""",50760,58,"4' 1""","134' 8"""
106,T107,T107,Jason Dufner,76,"72' 10""",41941,48,"4' 1""","179' 7"""
107,T107,T107,Matt Every,73,"72' 10""",48931,56,"4' 1""","118' 2"""
108,T107,T107,Brian Harman,90,"72' 10""",68182,78,"4' 1""","155' 1"""
109,T110,T110,Ken Duke,93,"72' 9""",68120,78,"4' 1""","125' 1"""
110,T110,T110,J.B. Holmes,89,"72' 9""",57629,66,"4' 1""","146' 4"""
111,112,112,Mark Wilson,89,"72' 7""",70551,81,"4' 1""","170' 0"""
112,T113,T113,Keegan Bradley,87,"72' 5""",55635,64,"4' 1""","132' 7"""
113,T113,T113,K.J. Choi,66,"72' 5""",49536,57,"4' 1""","132' 7"""
114,T113,T113,Chris Kirk,76,"72' 5""",48653,56,"4' 1""","153' 6"""
115,T116,T116,Brice Garnett,81,"72' 4""",55546,64,"4' 1""","157' 9"""
116,T116,T116,Jason Kokrak,88,"72' 4""",69440,80,"4' 1""","128' 2"""
117,T118,T118,Ryan Palmer,80,"72' 3""",46833,54,"4' 1""","134' 4"""
118,T118,T118,Justin Thomas,106,"72' 3""",83204,96,"4' 1""","189' 9"""
119,120,120,Chad Campbell,97,"72' 2""",78829,91,"4' 1""","155' 8"""
120,121,121,Ryan Moore,81,"72' 1""",52762,61,"4' 1""","148' 4"""
121,122,122,Kevin Streelman,95,"71' 11""",62966,73,"4' 0""","142' 10"""
122,T123,T123,Geoff Ogilvy,50,"71' 8""",30089,35,"4' 0""","123' 9"""
123,T123,T123,Shawn Stefani,94,"71' 8""",75691,88,"4' 0""","142' 6"""
124,T125,T125,Sam Saunders,83,"71' 6""",54045,63,"4' 0""","169' 5"""
125,T125,T125,John Senden,80,"71' 6""",43766,51,"4' 0""","128' 2"""
126,127,127,William McGirt,103,"71' 5""",83171,97,"4' 0""","126' 9"""
127,128,128,Nicholas Thompson,90,"71' 4""",59926,70,"3' 12""","142' 11"""
128,T129,T129,Brendon de Jonge,106,"71' 3""",78614,92,"4' 0""","151' 8"""
129,T129,T129,Jeff Overton,94,"71' 3""",64119,75,"4' 0""","124' 2"""
130,131,131,Patrick Rodgers,57,"71' 2""",39280,46,"3' 12""","131' 9"""
131,T132,T132,Chris Stroud,84,"71' 1""",57974,68,"4' 0""","118' 8"""
132,T132,T132,Bubba Watson,71,"71' 1""",47765,56,"4' 0""","124' 7"""
133,134,134,Spencer Levin,99,"71' 0""",70730,83,"3' 12""","134' 8"""
134,135,135,Ricky Barnes,82,"70' 11""",53618,63,"4' 0""","125' 11"""
135,136,136,Russell Knox,96,"70' 10""",73917,87,"3' 12""","120' 1"""
136,137,137,Daniel Berger,97,"70' 9""",70439,83,"3' 12""","121' 10"""
137,T138,T138,Eric Axley,57,"70' 8""",36452,43,"3' 12""","106' 3"""
138,T138,T138,Scott Brown,97,"70' 8""",68677,81,"3' 12""","135' 2"""
139,T138,T138,Padraig Harrington,60,"70' 8""",41546,49,"3' 12""","152' 6"""
140,T138,T138,Scott Langley,94,"70' 8""",67024,79,"3' 12""","137' 5"""
141,142,142,Charles Howell III,105,"70' 7""",83878,99,"3' 12""","154' 6"""
142,T143,T143,John Peterson,84,"70' 6""",65147,77,"3' 12""","134' 5"""
143,T143,T143,Boo Weekley,79,"70' 6""",56713,67,"3' 12""","151' 9"""
144,145,145,Ángel Cabrera,53,"70' 4""",35456,42,"3' 11""","124' 5"""
145,146,146,Tim Wilkinson,73,"70' 2""",48820,58,"3' 11""","126' 9"""
146,T147,T147,Chad Collins,79,"70' 0""",52919,63,"3' 11""","171' 2"""
147,T147,T147,Jon Curran,83,"70' 0""",54623,65,"3' 11""","134' 8"""
148,T147,T147,Chez Reavie,56,"70' 0""",42014,50,"3' 11""","124' 7"""
149,150,150,Max Homa,78,"69' 11""",52038,62,"3' 11""","111' 4"""
150,T151,T151,Alex Cejka,94,"69' 6""",65889,79,"3' 11""","138' 11"""
151,T151,T151,Marc Leishman,74,"69' 6""",45060,54,"3' 11""","110' 3"""
152,T151,T151,Roger Sloan,56,"69' 6""",33352,40,"3' 11""","111' 9"""
153,T151,T151,Scott Stallings,60,"69' 6""",40878,49,"3' 11""","113' 8"""
154,155,155,Bill Haas,89,"69' 5""",59162,71,"3' 11""","130' 5"""
155,156,156,Webb Simpson,81,"69' 4""",53248,64,"3' 11""","121' 0"""
156,T157,T157,Derek Ernst,75,"69' 3""",52342,63,"3' 11""","130' 5"""
157,T157,T157,Cameron Percy,72,"69' 3""",48185,58,"3' 11""","140' 1"""
158,159,159,Charlie Beljan,76,"69' 2""",47304,57,"3' 11""","143' 7"""
159,T160,T160,Retief Goosen,81,"69' 0""",49695,60,"3' 10""","112' 7"""
160,T160,T160,Heath Slocum,57,"69' 0""",32297,39,"3' 11""","144' 2"""
161,162,162,Ernie Els,57,"68' 8""",32143,39,"3' 10""","135' 2"""
162,163,163,Jim Furyk,71,"68' 6""",42730,52,"3' 10""","152' 9"""
163,164,164,Graham DeLaet,65,"68' 5""",44318,54,"3' 10""","119' 4"""
164,165,165,Michael Putnam,87,"67' 9""",55291,68,"3' 10""","130' 11"""
165,166,166,Francesco Molinari,56,"67' 6""",34824,43,"3' 9""","134' 5"""
166,167,167,Oscar Fraustro,58,"67' 2""",32229,40,"3' 9""","95' 6"""
167,168,168,Vijay Singh,78,"67' 1""",55536,69,"3' 9""","150' 9"""
168,169,169,Steven Alker,62,"67' 0""",40203,50,"3' 9""","147' 8"""
169,170,170,John Merrick,78,"66' 3""",46091,58,"3' 9""","151' 6"""
170,T171,T171,Gonzalo Fernandez-Castaño,81,"66' 2""",50015,63,"3' 9""","136' 4"""
171,T171,T171,Tyrone Van Aswegen,58,"66' 2""",33345,42,"3' 8""","127' 0"""
172,173,173,Alex Prugh,84,"66' 1""",57092,72,"3' 9""","119' 7"""
173,174,174,Charl Schwartzel,67,"66' 0""",32488,41,"3' 9""","107' 8"""
174,175,175,Greg Owen,58,"65' 11""",31623,40,"3' 9""","115' 1"""
175,T176,T176,Roberto Castro,54,"65' 4""",28229,36,"3' 8""","109' 8"""
176,T176,T176,Byron Smith,59,"65' 4""",33728,43,"3' 8""","135' 2"""
177,178,178,Sung Joon Park,79,"64' 11""",49077,63,"3' 8""","127' 1"""
178,179,179,Robert Garrigus,70,"64' 8""",42657,55,"3' 8""","114' 1"""
179,180,180,Davis Love III,51,"63' 10""",32172,42,"3' 7""","131' 9"""
180,181,181,Lucas Glover,79,"63' 8""",55009,72,"3' 7""","113' 8"""
181,182,182,Robert Allenby,63,"63' 5""",38833,51,"3' 7""","106' 11"""
182,183,183,J.J. Henry,94,"63' 2""",57608,76,"3' 6""","110' 7"""
183,184,184,Jim Renner,68,"61' 2""",41131,56,"3' 5""","127' 4"""
