,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Sergio Garcia,59,10.95,137,15
1,2,2,Jason Day,75,9.36,235,22
2,3,3,Matt Jones,89,9.16,262,24
3,4,4,Steven Bowditch,103,8.88,304,27
4,5,5,Stewart Cink,77,8.63,313,27
5,6,6,Willy Wilcox,58,8.56,187,16
6,7,7,Fabián Gómez,83,8.49,259,22
7,8,8,Sean O'Hair,86,7.81,333,26
8,9,9,Billy Horschel,99,7.79,308,24
9,10,10,Camilo Villegas,83,7.77,309,24
10,11,11,Ian Poulter,68,7.47,174,13
11,12,12,Scott Piercy,90,7.41,324,24
12,13,13,Ben Martin,93,7.4,338,25
13,14,14,Pat Perez,96,7.36,326,24
14,T15,T15,Jason Dufner,76,7.29,192,14
15,T15,T15,David Toms,62,7.29,192,14
16,17,17,Jordan Spieth,91,7.27,220,16
17,18,18,Lee Westwood,56,7.2,125,9
18,19,19,Martin Flores,95,7.18,362,26
19,20,20,Jonas Blixt,78,7.11,211,15
20,T21,T21,Ricky Barnes,82,7.04,213,15
21,T21,T21,Geoff Ogilvy,50,7.04,142,10
22,T21,T21,Gary Woodland,81,7.04,213,15
23,24,24,Tony Finau,106,7.03,384,27
24,25,25,Matt Kuchar,97,6.99,272,19
25,26,26,Greg Owen,58,6.85,146,10
26,27,27,Zac Blair,108,6.84,395,27
27,28,28,James Hahn,94,6.81,279,19
28,29,29,Luke Guthrie,84,6.74,267,18
29,30,30,Greg Chalmers,58,6.67,150,10
30,31,31,Carlos Ortiz,100,6.61,363,24
31,32,32,Cameron Tringale,96,6.6,318,21
32,T33,T33,Hideki Matsuyama,95,6.58,243,16
33,T33,T33,John Peterson,84,6.58,304,20
34,T35,T35,Rory Sabbatini,81,6.56,259,17
35,T35,T35,Brian Stuard,97,6.56,259,17
36,37,37,Charley Hoffman,97,6.51,261,17
37,38,38,Andrew Svoboda,80,6.49,308,20
38,39,39,Brian Davis,86,6.46,263,17
39,40,40,Adam Hadwin,95,6.44,326,21
40,41,41,Steve Wheatcroft,87,6.41,281,18
41,42,42,Luke Donald,71,6.28,207,13
42,43,43,Kevin Na,98,6.23,257,16
43,44,44,Andrew Putnam,68,6.19,210,13
44,45,45,Patrick Reed,103,6.13,261,16
45,46,46,Ken Duke,93,6.12,294,18
46,47,47,Padraig Harrington,60,6.09,197,12
47,T48,T48,Ángel Cabrera,53,6.06,165,10
48,T48,T48,Kevin Streelman,95,6.06,297,18
49,50,50,Chad Campbell,97,6.02,399,24
50,T51,T51,John Merrick,78,5.99,217,13
51,T51,T51,Nicholas Thompson,90,5.99,284,17
52,53,53,Mark Wilson,89,5.92,338,20
53,54,54,Ryo Ishikawa,90,5.9,271,16
54,55,55,Michael Thompson,83,5.87,341,20
55,56,56,Mark Hubbard,79,5.86,273,16
56,T57,T57,Jason Kokrak,88,5.85,325,19
57,T57,T57,Danny Lee,120,5.85,342,20
58,T59,T59,Bryce Molder,91,5.83,309,18
59,T59,T59,Robert Streb,110,5.83,412,24
60,61,61,Brendon Todd,96,5.82,275,16
61,62,62,Chris Stroud,84,5.81,258,15
62,T63,T63,Jim Herman,88,5.78,346,20
63,T63,T63,J.B. Holmes,89,5.78,225,13
64,T63,T63,Dustin Johnson,75,5.78,173,10
65,T66,T66,Andres Romero,69,5.77,208,12
66,T66,T66,Hudson Swafford,97,5.77,381,22
67,68,68,Andres Gonzales,90,5.76,295,17
68,69,69,David Lingmerth,90,5.75,261,15
69,70,70,Brian Harman,90,5.73,314,18
70,T71,T71,Retief Goosen,81,5.7,228,13
71,T71,T71,Daniel Summerhays,101,5.7,351,20
72,73,73,Louis Oosthuizen,68,5.68,176,10
73,T74,T74,Russell Henley,87,5.63,302,17
74,T74,T74,Troy Merritt,91,5.63,320,18
75,T76,T76,Chesson Hadley,101,5.57,323,18
76,T76,T76,Justin Thomas,106,5.57,359,20
77,T78,T78,Steven Alker,62,5.56,180,10
78,T78,T78,Erik Compton,86,5.56,270,15
79,T78,T78,Zach Johnson,90,5.56,252,14
80,T78,T78,Spencer Levin,99,5.56,342,19
81,T78,T78,Tim Wilkinson,73,5.56,216,12
82,T83,T83,Charles Howell III,105,5.53,434,24
83,T83,T83,Johnson Wagner,68,5.53,253,14
84,85,85,Kevin Chappell,86,5.5,291,16
85,86,86,Ben Crane,62,5.48,219,12
86,T87,T87,Jason Bohn,95,5.45,330,18
87,T87,T87,Jonathan Byrd,69,5.45,220,12
88,89,89,Scott Pinckney,88,5.44,331,18
89,90,90,Jim Furyk,71,5.43,221,12
90,91,91,Rickie Fowler,76,5.42,203,11
91,92,92,Roger Sloan,56,5.37,149,8
92,93,93,D.A. Points,72,5.33,225,12
93,T94,T94,J.J. Henry,94,5.26,342,18
94,T94,T94,Phil Mickelson,70,5.26,190,10
95,96,96,Ryan Moore,81,5.21,211,11
96,97,97,Alex Cejka,94,5.19,289,15
97,98,98,Tom Hoge,83,5.16,213,11
98,99,99,Brandt Snedeker,98,5.15,291,15
99,100,100,David Hearn,97,5.14,331,17
100,101,101,Kevin Kisner,104,5.12,371,19
101,102,102,Paul Casey,87,5.09,275,14
102,103,103,Brice Garnett,81,5.07,296,15
103,104,104,John Senden,80,5.05,218,11
104,T105,T105,Seung-Yul Noh,65,5.03,199,10
105,T105,T105,Carl Pettersson,106,5.03,338,17
106,107,107,Sangmoon Bae,98,5.0,320,16
107,108,108,Gonzalo Fernandez-Castaño,81,4.96,242,12
108,T109,T109,Harris English,105,4.93,345,17
109,T109,T109,Justin Leonard,61,4.93,203,10
110,T109,T109,Henrik Stenson,63,4.93,203,10
111,112,112,Derek Fathauer,81,4.85,227,11
