,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Brendon Todd,96,90.39,1353,1223
1,2,2,Kevin Kisner,104,89.78,1703,1529
2,3,3,Rickie Fowler,76,89.76,1006,903
3,4,4,Ryan Palmer,80,89.69,980,879
4,5,5,Harris English,105,89.68,1580,1417
5,6,6,Johnson Wagner,68,89.63,1032,925
6,7,7,Jason Day,75,89.6,1019,913
7,8,8,Jim Furyk,71,89.45,948,848
8,9,9,Troy Merritt,91,89.43,1467,1312
9,10,10,Greg Chalmers,58,89.39,641,573
10,11,11,Brandt Snedeker,98,89.34,1332,1190
11,12,12,Daniel Summerhays,101,89.27,1585,1415
12,13,13,Derek Fathauer,81,89.21,1195,1066
13,14,14,Brooks Koepka,84,89.14,1160,1034
14,15,15,Adam Hadwin,95,89.08,1456,1297
15,16,16,Bryce Molder,91,89.04,1387,1235
16,17,17,Jon Curran,83,89.01,1192,1061
17,18,18,Graham DeLaet,65,88.94,995,885
18,19,19,Russell Henley,87,88.93,1192,1060
19,20,20,Zac Blair,108,88.91,1578,1403
20,21,21,Bo Van Pelt,81,88.87,1168,1038
21,T22,T22,Brian Harman,90,88.83,1424,1265
22,T22,T22,Davis Love III,51,88.83,779,692
23,24,24,Lee Westwood,56,88.81,554,492
24,T25,T25,Erik Compton,86,88.79,1267,1125
25,T25,T25,Robert Streb,110,88.79,1731,1537
26,27,27,Daniel Berger,97,88.76,1522,1351
27,T28,T28,Jamie Donaldson,50,88.75,578,513
28,T28,T28,Jim Herman,88,88.75,1413,1254
29,30,30,Aaron Baddeley,76,88.69,1167,1035
30,31,31,Jason Bohn,95,88.68,1563,1386
31,32,32,Steve Wheatcroft,87,88.62,1300,1152
32,33,33,Billy Hurley III,83,88.61,1150,1019
33,34,34,Andrew Putnam,68,88.59,964,854
34,T35,T35,Matt Kuchar,97,88.55,1397,1237
35,T35,T35,Carl Pettersson,106,88.55,1729,1531
36,T37,T37,Bill Haas,89,88.54,1309,1159
37,T37,T37,Justin Thomas,106,88.54,1780,1576
38,T37,T37,Jimmy Walker,89,88.54,1143,1012
39,40,40,Eric Axley,57,88.5,791,700
40,T41,T41,J.J. Henry,94,88.49,1425,1261
41,T41,T41,Alex Prugh,84,88.49,1338,1184
42,43,43,K.J. Choi,66,88.47,1041,921
43,44,44,Billy Horschel,99,88.45,1333,1179
44,45,45,John Peterson,84,88.39,1421,1256
45,46,46,Colt Knost,90,88.38,1342,1186
46,T47,T47,Hunter Mahan,88,88.3,1179,1041
47,T47,T47,Tyrone Van Aswegen,58,88.3,786,694
48,49,49,Cameron Percy,72,88.28,1075,949
49,50,50,Hudson Swafford,97,88.24,1505,1328
50,51,51,Steven Bowditch,103,88.21,1612,1422
51,T52,T52,Luke Donald,71,88.2,983,867
52,T52,T52,Kevin Na,98,88.2,1305,1151
53,T52,T52,Jordan Spieth,91,88.2,1169,1031
54,55,55,Francesco Molinari,56,88.18,795,701
55,T56,T56,Ricky Barnes,82,88.17,1158,1021
56,T56,T56,Ben Crane,62,88.17,938,827
57,58,58,Henrik Stenson,63,88.15,802,707
58,59,59,Scott Pinckney,88,88.13,1323,1166
59,60,60,Brendon de Jonge,106,88.12,1700,1498
60,61,61,Mark Hubbard,79,88.08,1133,998
61,62,62,Ryan Moore,81,88.06,1114,981
62,T63,T63,Russell Knox,96,88.03,1604,1412
63,T63,T63,Michael Thompson,83,88.03,1379,1214
64,65,65,Shawn Stefani,94,88.02,1619,1425
65,66,66,Ben Martin,93,88.01,1393,1226
66,67,67,Jerry Kelly,79,88.0,1200,1056
67,68,68,Chad Collins,79,87.99,1174,1033
68,T69,T69,Scott Brown,97,87.97,1505,1324
69,T69,T69,Andres Romero,69,87.97,989,870
70,71,71,Fabián Gómez,83,87.96,1254,1103
71,72,72,Charley Hoffman,97,87.94,1393,1225
72,T73,T73,David Hearn,97,87.89,1536,1350
73,T73,T73,George McNeill,93,87.89,1627,1430
74,75,75,Max Homa,78,87.86,1145,1006
75,76,76,D.A. Points,72,87.84,1077,946
76,T77,T77,Rory Sabbatini,81,87.82,1215,1067
77,T77,T77,Willy Wilcox,58,87.82,747,656
78,79,79,Hideki Matsuyama,95,87.81,1288,1131
79,80,80,Danny Lee,120,87.8,1811,1590
80,81,81,Jeff Overton,94,87.78,1383,1214
81,82,82,Keegan Bradley,87,87.77,1186,1041
82,T83,T83,Andres Gonzales,90,87.76,1389,1219
83,T83,T83,Louis Oosthuizen,68,87.76,866,760
84,85,85,Bubba Watson,71,87.75,1037,910
85,86,86,Martin Laird,77,87.72,1344,1179
86,T87,T87,Chad Campbell,97,87.7,1683,1476
87,T87,T87,Morgan Hoffmann,85,87.7,1260,1105
88,T87,T87,Chris Kirk,76,87.7,1024,898
89,90,90,Marc Leishman,74,87.68,998,875
90,91,91,Blayne Barber,76,87.67,1144,1003
91,92,92,Gary Woodland,81,87.65,996,873
92,93,93,Chesson Hadley,101,87.64,1634,1432
93,94,94,Carlos Ortiz,100,87.62,1535,1345
94,T95,T95,Jason Kokrak,88,87.57,1496,1310
95,T95,T95,Chez Reavie,56,87.57,925,810
96,97,97,Sung Joon Park,79,87.55,1197,1048
97,98,98,Sergio Garcia,59,87.54,658,576
98,99,99,Cameron Tringale,96,87.51,1449,1268
99,100,100,Patrick Rodgers,57,87.49,855,748
100,T101,T101,Steven Alker,62,87.42,930,813
101,T101,T101,Zach Johnson,90,87.42,1288,1126
102,T103,T103,Seung-Yul Noh,65,87.37,998,872
103,T103,T103,Roger Sloan,56,87.37,760,664
104,105,105,Sam Saunders,83,87.35,1170,1022
105,106,106,Alex Cejka,94,87.34,1469,1283
106,107,107,Sangmoon Bae,98,87.3,1614,1409
107,T108,T108,David Lingmerth,90,87.28,1376,1201
108,T108,T108,Pat Perez,96,87.28,1510,1318
109,110,110,William McGirt,103,87.26,1782,1555
110,T111,T111,Gonzalo Fernandez-Castaño,81,87.24,1183,1032
111,T111,T111,Justin Leonard,61,87.24,1011,882
112,T111,T111,Justin Rose,69,87.24,909,793
113,114,114,Phil Mickelson,70,87.23,1010,881
114,115,115,Retief Goosen,81,87.21,1118,975
115,T116,T116,Oscar Fraustro,58,87.2,750,654
116,T116,T116,Scott Piercy,90,87.2,1531,1335
117,118,118,Kevin Chappell,86,87.19,1382,1205
118,119,119,David Toms,62,87.18,1022,891
119,T120,T120,John Huh,102,87.16,1636,1426
120,T120,T120,Dustin Johnson,75,87.16,997,869
121,122,122,Brendan Steele,88,87.15,1409,1228
