,3-Putt_Avoidance_-_Inside_5_RANK THIS WEEK,3-Putt_Avoidance_-_Inside_5_RANK LAST WEEK,3-Putt_Avoidance_-_Inside_5_PLAYER NAME,3-Putt_Avoidance_-_Inside_5_ROUNDS,3-Putt_Avoidance_-_Inside_5_%,3-Putt_Avoidance_-_Inside_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Inside_5_ATTEMPTS,3-Putt_Avoidance_-_Inside_5_2 PUTT OR BETTER %
0,T1,T1,Steven Alker,62,0.0,,211,100.0
1,T1,T1,Robert Allenby,63,0.0,,185,100.0
2,T1,T1,Sangmoon Bae,98,0.0,,335,100.0
3,T1,T1,Blayne Barber,76,0.0,,231,100.0
4,T1,T1,Ricky Barnes,82,0.0,,280,100.0
5,T1,T1,Daniel Berger,97,0.0,,313,100.0
6,T1,T1,Jason Bohn,95,0.0,,325,100.0
7,T1,T1,Steven Bowditch,103,0.0,,383,100.0
8,T1,T1,Keegan Bradley,87,0.0,,258,100.0
9,T1,T1,Scott Brown,97,0.0,,358,100.0
10,T1,T1,Jonathan Byrd,69,0.0,,206,100.0
11,T1,T1,Ángel Cabrera,53,0.0,,161,100.0
12,T1,T1,Chad Campbell,97,0.0,,337,100.0
13,T1,T1,Paul Casey,87,0.0,,194,100.0
14,T1,T1,Roberto Castro,54,0.0,,127,100.0
15,T1,T1,Alex Cejka,94,0.0,,314,100.0
16,T1,T1,Greg Chalmers,58,0.0,,144,100.0
17,T1,T1,K.J. Choi,66,0.0,,222,100.0
18,T1,T1,Stewart Cink,77,0.0,,201,100.0
19,T1,T1,Chad Collins,79,0.0,,277,100.0
20,T1,T1,Erik Compton,86,0.0,,301,100.0
21,T1,T1,Ben Crane,62,0.0,,209,100.0
22,T1,T1,Jon Curran,83,0.0,,245,100.0
23,T1,T1,Brian Davis,86,0.0,,283,100.0
24,T1,T1,Jason Day,75,0.0,,239,100.0
25,T1,T1,Brendon de Jonge,106,0.0,,369,100.0
26,T1,T1,Graham DeLaet,65,0.0,,203,100.0
27,T1,T1,Luke Donald,71,0.0,,198,100.0
28,T1,T1,Jason Dufner,76,0.0,,175,100.0
29,T1,T1,Ernie Els,57,0.0,,163,100.0
30,T1,T1,Derek Ernst,75,0.0,,257,100.0
31,T1,T1,Derek Fathauer,81,0.0,,275,100.0
32,T1,T1,Tony Finau,106,0.0,,348,100.0
33,T1,T1,Oscar Fraustro,58,0.0,,155,100.0
34,T1,T1,Jim Furyk,71,0.0,,204,100.0
35,T1,T1,Brice Garnett,81,0.0,,223,100.0
36,T1,T1,Robert Garrigus,70,0.0,,214,100.0
