,Putting_from_8_RANK THIS WEEK,Putting_from_8_RANK LAST WEEK,Putting_from_8_PLAYER NAME,Putting_from_8_ROUNDS,Putting_from_8_% MADE,Putting_from_8_ATTEMPTS,Putting_from_8_PUTTS MADE
0,1,1,Marc Leishman,74,75.68,37,28
1,2,2,D.A. Points,72,70.27,37,26
2,3,3,Luke Donald,71,70.0,50,35
3,4,4,Brooks Koepka,84,69.77,43,30
4,5,5,Erik Compton,86,69.23,52,36
5,6,6,Tom Hoge,83,67.86,56,38
6,7,7,George McNeill,93,67.65,68,46
7,8,8,Roger Sloan,56,66.67,30,20
8,9,9,Kyle Reifers,96,66.28,86,57
9,10,10,K.J. Choi,66,66.07,56,37
10,11,11,Jimmy Walker,89,66.0,50,33
11,12,12,Jim Herman,88,64.79,71,46
12,13,13,Mark Wilson,89,64.62,65,42
13,14,14,James Hahn,94,64.41,59,38
14,15,15,Jason Day,75,64.1,39,25
15,16,16,Chris Kirk,76,63.89,36,23
16,T17,T17,Seung-Yul Noh,65,63.16,38,24
17,T17,T17,Gary Woodland,81,63.16,38,24
18,19,19,Daniel Summerhays,101,62.9,62,39
19,20,20,Jason Bohn,95,62.5,72,45
20,21,21,Alex Prugh,84,62.3,61,38
21,22,22,Shawn Stefani,94,61.67,60,37
22,T23,T23,Eric Axley,57,61.54,39,24
23,T23,T23,Adam Hadwin,95,61.54,52,32
24,25,25,Bubba Watson,71,61.22,49,30
25,T26,T26,Jon Curran,83,61.11,54,33
26,T26,T26,Francesco Molinari,56,61.11,36,22
27,T26,T26,Brendon Todd,96,61.11,54,33
28,29,29,Daniel Berger,97,60.66,61,37
29,30,30,Kevin Kisner,104,60.56,71,43
30,31,31,Ryo Ishikawa,90,60.34,58,35
31,32,32,Sangmoon Bae,98,60.27,73,44
32,T33,T33,Greg Chalmers,58,60.0,20,12
33,T33,T33,Robert Garrigus,70,60.0,45,27
34,T33,T33,Willy Wilcox,58,60.0,35,21
35,36,36,Robert Streb,110,59.74,77,46
36,37,37,Brendan Steele,88,59.72,72,43
37,38,38,Keegan Bradley,87,59.57,47,28
38,39,39,Graham DeLaet,65,59.52,42,25
39,40,40,Robert Allenby,63,59.38,32,19
40,41,41,Derek Fathauer,81,59.32,59,35
41,T42,T42,Sergio Garcia,59,59.26,27,16
42,T42,T42,J.B. Holmes,89,59.26,54,32
43,T42,T42,Hudson Swafford,97,59.26,54,32
44,45,45,Mark Hubbard,79,59.18,49,29
45,46,46,Russell Henley,87,58.82,51,30
46,T47,T47,Dustin Johnson,75,58.49,53,31
47,T47,T47,Troy Merritt,91,58.49,53,31
48,49,49,David Lingmerth,90,58.46,65,38
49,50,50,Steven Bowditch,103,58.06,62,36
50,51,51,Rickie Fowler,76,57.89,38,22
51,52,52,David Hearn,97,57.5,80,46
52,T53,T53,Danny Lee,120,57.45,94,54
53,T53,T53,Jordan Spieth,91,57.45,47,27
54,55,55,Kevin Na,98,57.41,54,31
55,56,56,Jamie Donaldson,50,57.14,21,12
56,57,57,Sung Joon Park,79,56.86,51,29
57,58,58,Henrik Stenson,63,56.41,39,22
58,59,59,Patrick Reed,103,56.25,64,36
59,60,60,Ian Poulter,68,56.1,41,23
60,61,61,Andres Romero,69,56.0,50,28
61,T62,T62,Harris English,105,55.84,77,43
62,T62,T62,William McGirt,103,55.84,77,43
63,64,64,Andrew Svoboda,80,55.74,61,34
64,65,65,Justin Thomas,106,55.7,79,44
65,T66,T66,Ryan Palmer,80,55.56,36,20
66,T66,T66,John Peterson,84,55.56,63,35
67,T66,T66,Jonathan Randolph,72,55.56,36,20
68,69,69,Martin Laird,77,55.42,83,46
69,T70,T70,Derek Ernst,75,55.36,56,31
70,T70,T70,Hunter Mahan,88,55.36,56,31
71,T70,T70,Kevin Streelman,95,55.36,56,31
72,T73,T73,Jonas Blixt,78,55.26,38,21
73,T73,T73,John Huh,102,55.26,76,42
74,T73,T73,Carl Pettersson,106,55.26,76,42
75,76,76,Bryce Molder,91,55.22,67,37
76,77,77,Hideki Matsuyama,95,55.17,58,32
77,78,78,Steven Alker,62,55.0,40,22
78,79,79,Johnson Wagner,68,54.9,51,28
79,80,80,Steve Wheatcroft,87,54.88,82,45
