,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Sergio Garcia,59,4.79,7,146,95.2
1,2,2,Kevin Streelman,95,5.08,16,315,94.9
2,3,3,Billy Hurley III,83,5.66,15,265,94.3
3,4,4,Zach Johnson,90,5.7,15,263,94.3
4,5,5,Eric Axley,57,5.76,11,191,94.2
5,6,6,Daniel Summerhays,101,5.79,22,380,94.2
6,7,7,Kevin Kisner,104,5.88,23,391,94.1
7,8,8,Brian Harman,90,5.92,20,338,94.0
8,9,9,Rickie Fowler,76,5.94,13,219,94.0
9,10,10,Jason Bohn,95,5.95,21,353,94.0
10,11,11,Jordan Spieth,91,5.98,14,234,94.0
11,12,12,Jamie Donaldson,50,6.04,9,149,93.9
12,13,13,Zac Blair,108,6.08,25,411,93.9
13,14,14,Colt Knost,90,6.09,19,312,93.9
14,15,15,Francesco Molinari,56,6.18,11,178,93.8
15,16,16,Kevin Na,98,6.23,17,273,93.7
16,17,17,Russell Henley,87,6.29,21,334,93.7
17,18,18,Derek Fathauer,81,6.45,16,248,93.5
18,19,19,Whee Kim,71,6.5,16,246,93.5
19,20,20,Harris English,105,6.54,25,382,93.4
20,21,21,Hudson Swafford,97,6.55,27,412,93.4
21,22,22,Ben Crane,62,6.58,15,228,93.4
22,T23,T23,Aaron Baddeley,76,6.62,19,287,93.3
23,T23,T23,Robert Streb,110,6.62,29,438,93.3
24,25,25,Morgan Hoffmann,85,6.64,18,271,93.3
25,26,26,Brendon Todd,96,6.8,20,294,93.2
26,27,27,Justin Rose,69,6.85,15,219,93.1
27,T28,T28,Greg Chalmers,58,6.88,11,160,93.1
28,T28,T28,Hunter Mahan,88,6.88,22,320,93.1
29,30,30,Bryce Molder,91,6.91,23,333,93.0
30,31,31,Gary Woodland,81,6.96,16,230,93.0
31,32,32,Charles Howell III,105,7.14,33,462,92.8
32,33,33,David Hearn,97,7.16,25,349,92.8
33,34,34,Pat Perez,96,7.25,25,345,92.7
34,35,35,Jason Day,75,7.26,18,248,92.7
35,36,36,John Peterson,84,7.38,24,325,92.6
36,37,37,Justin Leonard,61,7.44,16,215,92.5
37,38,38,Steven Alker,62,7.45,14,188,92.5
38,39,39,Erik Compton,86,7.59,22,290,92.4
39,T40,T40,Luke Donald,71,7.66,17,222,92.3
40,T40,T40,Marc Leishman,74,7.66,17,222,92.3
41,42,42,Patrick Reed,103,7.72,22,285,92.2
42,43,43,Dustin Johnson,75,7.77,15,193,92.2
43,T44,T44,Roger Sloan,56,7.78,13,167,92.2
44,T44,T44,Tyrone Van Aswegen,58,7.78,14,180,92.2
45,46,46,Russell Knox,96,7.81,30,384,92.1
46,47,47,Chris Kirk,76,7.83,18,230,92.1
47,48,48,Ryan Palmer,80,7.85,19,242,92.1
48,49,49,Sean O'Hair,86,7.87,28,356,92.1
49,50,50,Brian Stuard,97,7.91,22,278,92.0
50,T51,T51,James Hahn,94,7.92,24,303,92.0
51,T51,T51,Jerry Kelly,79,7.92,21,265,92.0
52,53,53,J.J. Henry,94,7.95,29,365,92.0
53,54,54,Graham DeLaet,65,7.98,19,238,92.0
54,55,55,Tony Finau,106,7.99,33,413,92.0
55,56,56,Jonas Blixt,78,8.0,18,225,92.0
56,57,57,Scott Pinckney,88,8.02,30,374,91.9
57,58,58,Brooks Koepka,84,8.03,22,274,91.9
58,59,59,Jeff Overton,94,8.06,25,310,91.9
59,60,60,Shawn Stefani,94,8.18,32,391,91.8
60,61,61,Ryan Moore,81,8.19,19,232,91.8
61,62,62,Chad Campbell,97,8.2,35,427,91.8
62,63,63,K.J. Choi,66,8.26,19,230,91.7
63,64,64,Bo Van Pelt,81,8.27,23,278,91.7
64,65,65,Greg Owen,58,8.28,13,157,91.7
65,T66,T66,Charley Hoffman,97,8.3,24,289,91.7
66,T66,T66,Matt Jones,89,8.3,23,277,91.7
67,68,68,Cameron Tringale,96,8.31,28,337,91.6
68,T69,T69,Steven Bowditch,103,8.33,27,324,91.6
69,T69,T69,Matt Kuchar,97,8.33,25,300,91.6
70,T69,T69,Louis Oosthuizen,68,8.33,16,192,91.6
71,72,72,Jon Curran,83,8.39,26,310,91.6
72,73,73,David Toms,62,8.42,17,202,91.5
73,74,74,Nick Taylor,91,8.48,29,342,91.5
74,75,75,Cameron Percy,72,8.5,21,247,91.5
75,76,76,Carl Pettersson,106,8.54,31,363,91.4
76,77,77,Troy Merritt,91,8.61,31,360,91.3
77,78,78,William McGirt,103,8.76,36,411,91.2
78,79,79,Tim Wilkinson,73,8.77,20,228,91.2
79,80,80,Ricky Barnes,82,8.79,21,239,91.2
80,81,81,Scott Langley,94,8.81,29,329,91.1
81,82,82,Adam Hadwin,95,8.86,32,361,91.1
82,T83,T83,David Lingmerth,90,8.96,25,279,91.0
83,T83,T83,Johnson Wagner,68,8.96,24,268,91.0
84,T85,T85,John Huh,102,9.02,33,366,90.9
85,T85,T85,Sam Saunders,83,9.02,23,255,90.9
86,87,87,Andres Gonzales,90,9.03,29,321,90.9
87,T88,T88,Danny Lee,120,9.04,33,365,90.9
88,T88,T88,Ian Poulter,68,9.04,17,188,90.9
89,T88,T88,Alex Prugh,84,9.04,32,354,90.9
90,91,91,Brendon de Jonge,106,9.09,36,396,90.9
91,92,92,Seung-Yul Noh,65,9.17,20,218,90.8
92,93,93,Jason Kokrak,88,9.2,32,348,90.8
93,94,94,Brandt Snedeker,98,9.21,29,315,90.7
94,95,95,Ben Martin,93,9.22,33,358,90.7
95,96,96,Jimmy Walker,89,9.29,25,269,90.7
96,97,97,Jim Furyk,71,9.32,22,236,90.6
97,98,98,George McNeill,93,9.35,36,385,90.6
98,T99,T99,Luke Guthrie,84,9.41,27,287,90.5
99,T99,T99,Jim Herman,88,9.41,35,372,90.5
100,T99,T99,Spencer Levin,99,9.41,35,372,90.5
101,102,102,Patrick Rodgers,57,9.42,18,191,90.5
102,103,103,Billy Horschel,99,9.5,32,337,90.5
103,104,104,Rory Sabbatini,81,9.63,26,270,90.3
104,T105,T105,Keegan Bradley,87,9.64,27,280,90.3
105,T105,T105,Mark Wilson,89,9.64,35,363,90.3
106,107,107,Brendan Steele,88,9.68,33,341,90.3
107,108,108,Steve Wheatcroft,87,9.74,30,308,90.2
108,109,109,Chad Collins,79,9.8,25,255,90.2
109,110,110,Ryo Ishikawa,90,9.83,29,295,90.1
110,111,111,Byron Smith,59,9.95,19,191,90.0
111,T112,T112,Scott Brown,97,10.0,32,320,90.0
112,T112,T112,Jonathan Byrd,69,10.0,23,230,90.0
113,114,114,Kevin Chappell,86,10.03,31,309,89.9
114,115,115,Carlos Ortiz,100,10.08,39,387,89.9
115,116,116,Andrew Putnam,68,10.13,24,237,89.8
116,117,117,Bill Haas,89,10.17,35,344,89.8
117,118,118,Martin Flores,95,10.24,39,381,89.7
118,119,119,Tom Hoge,83,10.3,24,233,89.7
119,T120,T120,Gonzalo Fernandez-Castaño,81,10.38,27,260,89.6
120,T120,T120,Henrik Stenson,63,10.38,22,212,89.6
121,T122,T122,Geoff Ogilvy,50,10.46,16,153,89.5
122,T122,T122,Michael Thompson,83,10.46,39,373,89.5
123,124,124,Scott Piercy,90,10.5,36,343,89.5
124,125,125,Roberto Castro,54,10.53,14,133,89.4
125,126,126,Willy Wilcox,58,10.55,21,199,89.4
126,127,127,Paul Casey,87,10.58,31,293,89.4
127,128,128,Mark Hubbard,79,10.65,31,291,89.3
128,129,129,D.A. Points,72,10.7,26,243,89.3
129,130,130,Brice Garnett,81,10.73,34,317,89.2
130,T131,T131,Davis Love III,51,10.82,21,194,89.1
131,T131,T131,Nick Watney,91,10.82,37,342,89.1
132,133,133,Ernie Els,57,10.83,17,157,89.1
133,134,134,Ángel Cabrera,53,10.87,20,184,89.1
134,135,135,Martin Laird,77,10.88,37,340,89.1
135,136,136,Justin Thomas,106,10.97,42,383,89.0
136,T137,T137,Sangmoon Bae,98,10.99,39,355,89.0
137,T137,T137,Brian Davis,86,10.99,31,282,89.0
138,139,139,Jhonattan Vegas,90,11.02,40,363,88.9
139,T140,T140,Alex Cejka,94,11.07,34,307,88.9
140,T140,T140,Fabián Gómez,83,11.07,32,289,88.9
141,T140,T140,Max Homa,78,11.07,28,253,88.9
142,143,143,Bubba Watson,71,11.2,27,241,88.8
143,144,144,Kyle Reifers,96,11.21,37,330,88.7
144,145,145,Sung Joon Park,79,11.27,31,275,88.7
145,146,146,Chesson Hadley,101,11.29,41,363,88.7
146,147,147,John Senden,80,11.34,27,238,88.6
147,148,148,Hideki Matsuyama,95,11.42,29,254,88.5
148,149,149,Charl Schwartzel,67,11.43,20,175,88.5
149,150,150,Jonathan Randolph,72,11.55,29,251,88.4
150,151,151,Andres Romero,69,11.79,27,229,88.2
151,152,152,Nicholas Thompson,90,11.88,36,303,88.1
152,153,153,Vijay Singh,78,11.9,32,269,88.1
153,154,154,Stewart Cink,77,12.12,40,330,87.8
154,155,155,Phil Mickelson,70,12.14,25,206,87.8
155,156,156,Boo Weekley,79,12.15,35,288,87.8
156,157,157,Daniel Berger,97,12.21,42,344,87.7
157,158,158,Andrew Svoboda,80,12.24,41,335,87.7
158,159,159,Ken Duke,93,12.26,39,318,87.7
159,160,160,Oscar Fraustro,58,12.35,21,170,87.6
160,T161,T161,Padraig Harrington,60,12.5,27,216,87.5
161,T161,T161,J.B. Holmes,89,12.5,31,248,87.5
162,163,163,Webb Simpson,81,12.6,32,254,87.4
163,164,164,Retief Goosen,81,12.7,32,252,87.3
164,165,165,Michael Putnam,87,12.71,37,291,87.2
165,T166,T166,Matt Every,73,12.75,26,204,87.2
166,T166,T166,Chez Reavie,56,12.75,26,204,87.2
167,168,168,Camilo Villegas,83,12.8,43,336,87.2
168,169,169,Lee Westwood,56,12.95,18,139,87.0
169,170,170,Jim Renner,68,12.99,30,231,87.0
170,171,171,Bill Lunde,50,13.13,21,160,86.8
171,172,172,Jason Gore,76,13.27,30,226,86.7
172,173,173,Chris Stroud,84,13.29,38,286,86.7
173,174,174,Blayne Barber,76,13.36,35,262,86.6
174,175,175,Derek Ernst,75,13.62,38,279,86.3
175,176,176,Scott Stallings,60,13.95,30,215,86.0
176,177,177,Heath Slocum,57,13.99,20,143,86.0
177,178,178,Robert Garrigus,70,14.65,29,198,85.3
178,179,179,Robert Allenby,63,14.72,34,231,85.2
179,180,180,Charlie Beljan,76,14.73,38,258,85.2
180,181,181,Lucas Glover,79,16.21,47,290,83.7
181,182,182,Adam Scott,51,16.23,25,154,83.7
182,183,183,Jason Dufner,76,17.24,35,203,82.7
183,184,184,John Merrick,78,17.67,41,232,82.3
