,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,David Toms,62,"11' 10""",1956.1670000000001,165,62,"5"""
1,T2,T2,Stewart Cink,77,"11' 6""",2864.917,249,58,"2"""
2,T2,T2,Bill Lunde,50,"11' 6""",1229.667,107,59,"7"""
3,4,4,Scott Pinckney,88,"11' 5""",2792.167,244,68,"3"""
4,5,5,Zac Blair,108,"11' 4""",3102.417,273,75,"4"""
5,6,6,Luke Donald,71,"11' 3""",1953.5,174,67,"3"""
6,7,7,Martin Flores,95,"11' 2""",2804.333,252,55,"2"""
7,T8,T8,Brian Davis,86,"11' 1""",2387.25,216,49,"6"""
8,T8,T8,Jason Dufner,76,"11' 1""",1623.0,146,65,"4"""
9,T8,T8,Andrew Putnam,68,"11' 1""",1945.3329999999999,176,53,"6"""
10,T11,T11,Greg Chalmers,58,"11' 0""",1275.25,116,45,"8"""
11,T11,T11,Brian Stuard,97,"11' 0""",2681.75,244,56,"4"""
12,T13,T13,Camilo Villegas,83,"10' 11""",2889.833,264,52,"4"""
13,T13,T13,Lee Westwood,56,"10' 11""",1289.167,118,49,"3"""
14,T15,T15,Ben Crane,62,"10' 10""",1746.0829999999999,161,54,"3"""
15,T15,T15,Fabián Gómez,83,"10' 10""",2564.5,236,51,"3"""
16,T15,T15,Ben Martin,93,"10' 10""",3187.0,295,70,"4"""
17,T18,T18,Jamie Donaldson,50,"10' 9""",964.4169999999999,90,44,2
18,T18,T18,Luke Guthrie,84,"10' 9""",2452.333,228,56,"3"""
19,T18,T18,Russell Henley,87,"10' 9""",2684.583,249,73,"2"""
20,T18,T18,Sean O'Hair,86,"10' 9""",2969.667,276,55,"4"""
21,T18,T18,Willy Wilcox,58,"10' 9""",1666.5,155,59,"4"""
22,T23,T23,Matt Jones,89,"10' 8""",2639.25,247,75,"4"""
23,T23,T23,Colt Knost,90,"10' 8""",2702.0,254,47,"3"""
24,T23,T23,Scott Piercy,90,"10' 8""",3112.833,292,63,"4"""
25,T23,T23,Cameron Tringale,96,"10' 8""",2822.833,264,43,"2"""
26,T23,T23,Johnson Wagner,68,"10' 8""",1998.8329999999999,188,51,"2"""
27,T28,T28,Jonathan Byrd,69,"10' 7""",1923.9170000000001,182,50,"3"""
28,T28,T28,Andres Gonzales,90,"10' 7""",2670.25,253,71,"2"""
29,T28,T28,Spencer Levin,99,"10' 7""",2737.917,258,58,"4"""
30,T28,T28,Bryce Molder,91,"10' 7""",2750.833,260,46,"4"""
31,T28,T28,Mark Wilson,89,"10' 7""",2834.5,267,61,"6"""
32,T33,T33,Jonas Blixt,78,"10' 6""",1757.9170000000001,167,62,"3"""
33,T33,T33,Sergio Garcia,59,"10' 6""",1398.0829999999999,133,64,"5"""
