,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Aaron Baddeley,76,0.722,47.648999999999994,66
1,2,2,Jimmy Walker,89,0.6920000000000001,44.265,64
2,3,3,Daniel Summerhays,101,0.644,57.333,89
3,4,4,Lee Westwood,56,0.595,19.046,32
4,5,5,Brandt Snedeker,98,0.588,44.074,75
5,6,6,Jason Day,75,0.586,33.407,57
6,7,7,Brendon Todd,96,0.5820000000000001,44.218999999999994,76
7,8,8,Russell Henley,87,0.579,38.773,67
8,9,9,Jordan Spieth,91,0.5710000000000001,37.665,66
9,10,10,Harris English,105,0.56,49.298,88
10,11,11,Greg Chalmers,58,0.529,19.028,36
11,12,12,Zac Blair,108,0.527,46.358999999999995,88
12,13,13,Andrew Putnam,68,0.525,28.357,54
13,14,14,Bryce Molder,91,0.508,39.105,77
14,15,15,Erik Compton,86,0.469,32.861999999999995,70
15,16,16,Henrik Stenson,63,0.436,19.205,44
16,17,17,Brooks Koepka,84,0.42100000000000004,27.372,65
17,18,18,K.J. Choi,66,0.415,23.677,57
18,19,19,Matt Jones,89,0.401,26.87,67
19,20,20,Patrick Reed,103,0.39399999999999996,29.919,76
20,21,21,Hunter Mahan,88,0.39,25.348000000000003,65
21,22,22,Troy Merritt,91,0.384,31.459,82
22,23,23,Robert Streb,110,0.381,36.561,96
23,24,24,Danny Lee,120,0.374,37.446,100
24,25,25,Pat Perez,96,0.364,30.224,83
25,26,26,Hudson Swafford,97,0.36,29.896,83
26,27,27,David Hearn,97,0.358,30.441999999999997,85
27,28,28,Jamie Donaldson,50,0.349,11.182,32
28,29,29,Colt Knost,90,0.348,25.734,74
29,30,30,Steve Wheatcroft,87,0.345,24.849,72
30,31,31,Carl Pettersson,106,0.335,32.204,96
31,32,32,Willy Wilcox,58,0.322,13.22,41
32,33,33,Matt Kuchar,97,0.316,24.322,77
33,34,34,Blayne Barber,76,0.313,19.695999999999998,63
34,35,35,Billy Hurley III,83,0.311,19.597,63
35,36,36,Rickie Fowler,76,0.309,17.616,57
36,37,37,Derek Fathauer,81,0.301,19.834,66
37,38,38,Scott Pinckney,88,0.294,21.766,74
38,39,39,Luke Donald,71,0.289,15.579,54
39,40,40,John Huh,102,0.27899999999999997,24.869,89
40,41,41,Phil Mickelson,70,0.262,14.421,55
41,42,42,Sangmoon Bae,98,0.26,22.865,88
42,43,43,Jerry Kelly,79,0.25,16.49,66
43,44,44,Billy Horschel,99,0.244,17.840999999999998,73
44,45,45,Kevin Kisner,104,0.24,22.516,94
45,46,46,Jason Bohn,95,0.239,20.775,87
46,47,47,Brian Harman,90,0.23600000000000002,18.39,78
47,48,48,Adam Hadwin,95,0.235,19.029,81
48,49,49,Kevin Na,98,0.233,16.544,71
49,50,50,Morgan Hoffmann,85,0.23199999999999998,15.981,69
50,51,51,Justin Leonard,61,0.231,12.475,54
51,52,52,Ian Poulter,68,0.225,10.82,48
52,T53,T53,George McNeill,93,0.212,18.879,89
53,T53,T53,Bubba Watson,71,0.212,11.875,56
54,55,55,Johnson Wagner,68,0.203,11.571,57
55,56,56,Ben Crane,62,0.201,10.452,52
56,57,57,Camilo Villegas,83,0.195,14.447000000000001,74
57,58,58,Andres Romero,69,0.19,10.244000000000002,54
58,59,59,Andres Gonzales,90,0.177,13.481,76
59,60,60,Carlos Ortiz,100,0.172,14.293,83
60,61,61,Sean O'Hair,86,0.16899999999999998,13.657,81
61,T62,T62,Kevin Chappell,86,0.168,12.628,75
62,T62,T62,Chesson Hadley,101,0.168,14.950999999999999,89
63,64,64,Ryan Moore,81,0.16,9.741,61
