,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Jordan Spieth,91,20.73,632,131
1,2,2,Lee Westwood,56,20.11,358,72
2,3,3,Ian Poulter,68,20.0,480,96
3,4,4,Aaron Baddeley,76,19.69,701,138
4,5,5,Jimmy Walker,89,19.34,667,129
5,6,6,Matt Jones,89,19.02,673,128
6,7,7,Brian Stuard,97,18.9,799,151
7,8,8,Camilo Villegas,83,18.8,782,147
8,9,9,Patrick Reed,103,18.77,714,134
9,10,10,Andrew Putnam,68,18.61,575,107
10,11,11,Danny Lee,120,18.24,987,180
11,12,12,Ben Crane,62,17.99,556,100
12,13,13,Daniel Summerhays,101,17.96,952,171
13,14,14,Brandt Snedeker,98,17.94,775,139
14,15,15,Rickie Fowler,76,17.88,593,106
15,16,16,Jerry Kelly,79,17.81,685,122
16,17,17,David Hearn,97,17.78,911,162
17,18,18,Phil Mickelson,70,17.73,519,92
18,19,19,Carl Pettersson,106,17.61,994,175
19,20,20,Pat Perez,96,17.54,878,154
20,21,21,Brian Davis,86,17.52,719,126
21,22,22,Russell Henley,87,17.51,748,131
22,23,23,Sergio Garcia,59,17.5,360,63
23,24,24,Scott Pinckney,88,17.48,864,151
24,25,25,Fabián Gómez,83,17.41,735,128
25,26,26,Matt Every,73,17.38,564,98
26,27,27,Luke Guthrie,84,17.35,703,122
27,28,28,Jason Bohn,95,17.33,929,161
28,29,29,Blayne Barber,76,17.24,673,116
29,30,30,Kevin Chappell,86,17.23,766,132
30,31,31,Jamie Donaldson,50,17.21,337,58
31,32,32,Jason Day,75,17.18,588,101
32,33,33,Sangmoon Bae,98,17.15,892,153
33,34,34,Zac Blair,108,17.14,957,164
34,35,35,Paul Casey,87,17.11,707,121
35,36,36,Matt Kuchar,97,17.1,766,131
36,37,37,Cameron Tringale,96,17.07,820,140
37,38,38,Whee Kim,71,17.06,592,101
38,39,39,Greg Chalmers,58,17.02,382,65
39,T40,T40,Stewart Cink,77,16.97,760,129
40,T40,T40,Bryce Molder,91,16.97,825,140
41,T42,T42,Ryo Ishikawa,90,16.92,780,132
42,T42,T42,Zach Johnson,90,16.92,715,121
43,44,44,John Huh,102,16.79,929,156
44,45,45,Brendon Todd,96,16.77,781,131
45,46,46,Henrik Stenson,63,16.67,474,79
46,47,47,Sean O'Hair,86,16.65,817,136
47,48,48,Hudson Swafford,97,16.58,929,154
48,49,49,Morgan Hoffmann,85,16.57,670,111
49,50,50,George McNeill,93,16.54,949,157
50,T51,T51,Erik Compton,86,16.5,709,117
51,T51,T51,Colt Knost,90,16.5,800,132
52,T51,T51,Justin Rose,69,16.5,503,83
