,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,T1,T1,Stewart Cink,77,"12' 3""",2801.25,229
1,T1,T1,Bill Lunde,50,"12' 3""",1203.417,98
2,T1,T1,Scott Pinckney,88,"12' 3""",2842.667,232
3,T4,T4,Martin Flores,95,"12' 2""",2774.917,228
4,T4,T4,Willy Wilcox,58,"12' 2""",1750.4170000000001,144
5,T6,T6,Ben Martin,93,"12' 1""",3134.167,260
6,T6,T6,Camilo Villegas,83,"12' 1""",2831.5,235
7,T8,T8,Luke Donald,71,"12' 0""",1940.3329999999999,162
8,T8,T8,Andrew Putnam,68,"12' 0""",1913.75,160
9,T8,T8,David Toms,62,"12' 0""",1953.75,163
10,T11,T11,Zac Blair,108,"11' 11""",3101.167,260
11,T11,T11,Matt Jones,89,"11' 11""",2704.167,227
12,T13,T13,Jason Dufner,76,"11' 10""",1708.6670000000001,144
13,T13,T13,Russell Henley,87,"11' 10""",2633.75,222
14,15,15,Billy Horschel,99,"11' 9""",2869.667,245
15,T16,T16,Jonathan Byrd,69,"11' 8""",1896.0829999999999,163
16,T16,T16,Sean O'Hair,86,"11' 8""",3035.167,261
17,T18,T18,Greg Chalmers,58,"11' 7""",1275.25,110
18,T18,T18,Lee Westwood,56,"11' 7""",1270.667,110
19,T20,T20,Brian Davis,86,"11' 6""",2377.083,207
20,T20,T20,Colt Knost,90,"11' 6""",2733.917,237
21,T20,T20,Geoff Ogilvy,50,"11' 6""",1100.083,96
22,T23,T23,Fabián Gómez,83,"11' 5""",2548.083,224
23,T23,T23,Spencer Levin,99,"11' 5""",2723.5,239
24,T23,T23,Johnson Wagner,68,"11' 5""",1979.9170000000001,173
25,T26,T26,Jonas Blixt,78,"11' 4""",1770.0,156
26,T26,T26,Jamie Donaldson,50,"11' 4""",939.0830000000001,83
27,T26,T26,Sergio Garcia,59,"11' 4""",1421.6670000000001,125
28,T26,T26,Andres Gonzales,90,"11' 4""",2700.5,239
29,T26,T26,Charles Howell III,105,"11' 4""",3288.5,290
30,T26,T26,Hunter Mahan,88,"11' 4""",2181.583,193
31,T26,T26,Scott Piercy,90,"11' 4""",3150.417,278
32,T26,T26,Cameron Tringale,96,"11' 4""",2804.833,247
33,T34,T34,Ben Crane,62,"11' 3""",1719.0829999999999,153
34,T34,T34,Luke Guthrie,84,"11' 3""",2465.833,219
35,T34,T34,Padraig Harrington,60,"11' 3""",1431.5829999999999,127
36,T34,T34,Brian Stuard,97,"11' 3""",2671.167,238
37,T34,T34,Jhonattan Vegas,90,"11' 3""",2286.917,203
38,T34,T34,Steve Wheatcroft,87,"11' 3""",2660.333,236
39,T40,T40,Adam Hadwin,95,"11' 2""",2880.083,258
40,T40,T40,John Huh,102,"11' 2""",3082.333,277
41,T40,T40,Michael Thompson,83,"11' 2""",2676.917,239
42,T43,T43,Aaron Baddeley,76,"11' 1""",2252.917,204
43,T43,T43,Chad Campbell,97,"11' 1""",3139.75,283
44,T43,T43,Jim Herman,88,"11' 1""",2622.5,237
45,T43,T43,Bryce Molder,91,"11' 1""",2752.0,249
46,T43,T43,Pat Perez,96,"11' 1""",3146.333,283
47,T43,T43,Andres Romero,69,"11' 1""",1846.6670000000001,166
48,T43,T43,Hudson Swafford,97,"11' 1""",2995.167,270
49,T50,T50,Kevin Chappell,86,"11' 0""",2765.833,252
50,T50,T50,Gonzalo Fernandez-Castaño,81,"11' 0""",1853.9170000000001,169
51,T50,T50,Brice Garnett,81,"11' 0""",2040.3329999999999,186
52,T50,T50,Kevin Streelman,95,"11' 0""",2443.333,222
53,T50,T50,Bo Van Pelt,81,"11' 0""",2185.333,199
54,T50,T50,Mark Wilson,89,"11' 0""",2843.25,259
55,T56,T56,Steven Bowditch,103,"10' 11""",3085.25,283
56,T56,T56,Jason Day,75,"10' 11""",2492.833,229
57,T56,T56,Rickie Fowler,76,"10' 11""",2177.0,199
58,T56,T56,James Hahn,94,"10' 11""",2810.667,258
59,T56,T56,Billy Hurley III,83,"10' 11""",1829.6670000000001,168
60,T61,T61,Paul Casey,87,"10' 10""",2379.667,219
61,T61,T61,Mark Hubbard,79,"10' 10""",1981.1670000000001,183
62,T61,T61,Brooks Koepka,84,"10' 10""",2381.167,220
63,T61,T61,George McNeill,93,"10' 10""",3191.0,294
64,T61,T61,Louis Oosthuizen,68,"10' 10""",1605.3329999999999,148
65,T61,T61,Brandt Snedeker,98,"10' 10""",2744.667,254
66,T61,T61,Jordan Spieth,91,"10' 10""",2799.667,258
67,T61,T61,Daniel Summerhays,101,"10' 10""",3223.5,298
68,T61,T61,Andrew Svoboda,80,"10' 10""",2335.583,216
69,70,70,Nicholas Thompson,90,"10' 9""",2391.5,223
70,T71,T71,David Hearn,97,"10' 8""",3124.667,293
71,T71,T71,Whee Kim,71,"10' 8""",1962.1670000000001,184
72,T71,T71,John Merrick,78,"10' 8""",1954.3329999999999,183
73,T71,T71,John Peterson,84,"10' 8""",2279.083,213
74,T71,T71,Robert Streb,110,"10' 8""",3621.667,340
75,T71,T71,Gary Woodland,81,"10' 8""",1734.3329999999999,163
76,T77,T77,Scott Langley,94,"10' 7""",2448.75,232
77,T77,T77,Justin Leonard,61,"10' 7""",1667.3329999999999,158
78,T77,T77,Troy Merritt,91,"10' 7""",2526.25,238
79,T77,T77,Carlos Ortiz,100,"10' 7""",2868.583,271
80,T77,T77,D.A. Points,72,"10' 7""",1813.25,171
81,T77,T77,Rory Sabbatini,81,"10' 7""",2324.167,219
82,T77,T77,Henrik Stenson,63,"10' 7""",1769.6670000000001,167
83,T77,T77,Tim Wilkinson,73,"10' 7""",1695.5,160
84,T85,T85,Alex Cejka,94,"10' 6""",2483.667,237
85,T85,T85,Tony Finau,106,"10' 6""",3172.5,303
86,T85,T85,Bill Haas,89,"10' 6""",2200.333,209
87,T85,T85,Brian Harman,90,"10' 6""",2676.75,254
88,T85,T85,Martin Laird,77,"10' 6""",2421.833,231
89,T85,T85,William McGirt,103,"10' 6""",3210.917,306
90,T85,T85,Cameron Percy,72,"10' 6""",1999.1670000000001,190
91,T85,T85,Carl Pettersson,106,"10' 6""",3122.833,297
92,T85,T85,Ian Poulter,68,"10' 6""",1740.5829999999999,166
93,T85,T85,Patrick Reed,103,"10' 6""",2752.417,262
94,T85,T85,Adam Scott,51,"10' 6""",1098.917,105
95,T85,T85,Nick Watney,91,"10' 6""",2651.5,252
96,T97,T97,Ricky Barnes,82,"10' 5""",1958.5829999999999,188
97,T97,T97,K.J. Choi,66,"10' 5""",1923.9170000000001,184
98,T97,T97,Erik Compton,86,"10' 5""",2434.917,234
99,T97,T97,Jon Curran,83,"10' 5""",1957.9170000000001,188
100,T97,T97,Derek Ernst,75,"10' 5""",1875.25,180
101,T97,T97,Jerry Kelly,79,"10' 5""",2366.0,228
102,T97,T97,Russell Knox,96,"10' 5""",2928.25,282
103,T97,T97,Jonathan Randolph,72,"10' 5""",1693.3329999999999,163
