,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,David Hearn,24,72,45,27
1,2,2,Kenny Perry,23,98,9,89
2,3,3,Harrison Frazar,31,104,17,87
3,4,4,Joe Durant,25,105,92,13
4,5,5,Charles Warren,31,106,27,79
5,6,6,Mathias Grönberg,19,108,15,93
6,7,7,Bradley Hughes,20,113,75,38
7,8,8,Joey Snyder III,31,118,68,50
8,9,9,Billy Mayfair,31,125,103,22
9,10,10,John Senden,29,131,77,54
10,11,11,Will MacKenzie,25,132,20,112
11,T12,T12,Zach Johnson,30,133,86,47
12,T12,T12,Michael Long,26,133,29,104
13,T12,T12,John Rollins,30,133,49,84
14,15,15,Jeff Brehaut,23,134,114,20
15,T16,T16,D.J. Brigman,26,136,42,94
16,T16,T16,Ted Purdy,34,136,45,91
17,T16,T16,Justin Rose,28,136,51,85
18,19,19,Roland Thatcher,26,137,67,70
19,20,20,Mark Calcavecchia,27,140,91,49
20,21,21,Robert Allenby,31,142,33,109
21,22,22,Briny Baird,33,143,100,43
22,23,23,Joey Sindelar,29,144,113,31
23,T24,T24,Richard Johnson,16,145,117,28
24,T24,T24,Jonathan Kaye,24,145,80,65
25,26,26,Sean O'Hair,29,150,23,127
26,T27,T27,Lucas Glover,28,151,12,139
27,T27,T27,J.L. Lewis,30,151,71,80
28,T27,T27,Jeff Maggert,25,151,135,16
29,T30,T30,Bart Bryant,26,153,147,6
30,T30,T30,Alex Cejka,31,153,114,39
31,32,32,Bo Van Pelt,33,157,59,98
32,T33,T33,Craig Barlow,26,159,88,71
33,T33,T33,D.J. Trahan,28,159,41,118
34,35,35,John Huston,31,161,56,105
35,T36,T36,Vaughn Taylor,32,162,84,78
36,T36,T36,David Toms,25,162,107,55
37,T38,T38,Brian Davis,23,163,155,8
38,T38,T38,Marco Dawson,23,163,63,100
39,T38,T38,Sergio Garcia,20,163,10,153
40,T38,T38,Kent Jones,32,163,102,61
41,T42,T42,Vijay Singh,30,164,16,148
