,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Scott Hend,75,318.9,46560,146
1,2,2,Tiger Woods,76,316.1,46787,148
2,3,3,Brett Wetterich,76,311.7,46133,148
3,4,4,Scott Gutschewski,86,310.5,50914,164
4,5,5,John Daly,78,310.1,47138,152
5,6,6,Brenden Pappas,51,309.4,31562,102
6,7,7,Hank Kuehne,84,307.7,49225,160
7,8,8,Davis Love III,80,305.4,45810,150
8,9,9,Kenny Perry,82,304.7,48751,160
9,10,10,Sergio Garcia,73,303.5,41271,136
10,11,11,Brandt Jobe,96,302.3,55622,184
11,12,12,Lucas Glover,88,302.2,51974,172
12,13,13,John Elliott,58,301.7,33791,112
13,14,14,Brendan Jones,81,301.5,47632,158
14,15,15,Mathias Grönberg,60,301.4,34960,116
15,16,16,Vijay Singh,111,301.1,65646,218
16,17,17,Harrison Frazar,105,301.0,60798,202
17,18,18,Chris Smith,93,300.8,55957,186
18,19,19,Stuart Appleby,84,300.6,47789,159
19,T20,T20,Jason Allred,75,300.2,43822,146
20,T20,T20,Will MacKenzie,75,300.2,43836,146
21,T20,T20,Tag Ridings,93,300.2,54640,182
22,T23,T23,Sean O'Hair,103,300.1,59415,198
23,T23,T23,Adam Scott,72,300.1,40815,136
24,T23,T23,Kevin Stadler,96,300.1,55217,184
25,26,26,Phil Mickelson,81,300.0,44400,148
26,27,27,Charles Warren,89,299.2,52066,174
27,28,28,Nick Watney,91,298.9,53209,178
28,29,29,Michael Long,72,298.3,41755,140
29,30,30,Dennis Paulson,63,298.2,37578,126
30,31,31,Geoff Ogilvy,97,298.0,55431,186
31,32,32,Steve Allan,102,297.8,58367,196
32,33,33,Robert Allenby,95,297.7,52987,178
33,34,34,J.J. Henry,102,297.6,59514,200
34,35,35,Daniel Chopra,108,297.3,61843,208
35,36,36,Rory Sabbatini,81,297.2,46366,156
36,37,37,Jonathan Byrd,103,297.0,58799,198
37,38,38,Lee Westwood,50,296.8,28497,96
38,39,39,Fred Couples,72,296.4,40310,136
39,40,40,Rod Pampling,89,295.9,49719,168
40,41,41,D.J. Trahan,81,295.8,45557,154
41,T42,T42,D.J. Brigman,76,295.5,42558,144
42,T42,T42,James Driscoll,73,295.5,41962,142
43,44,44,Retief Goosen,71,295.4,36038,122
44,T45,T45,David Hearn,68,295.2,40147,136
45,T45,T45,Ted Purdy,122,295.2,72037,244
46,47,47,Ryan Palmer,101,295.0,57235,194
47,48,48,Carlos Franco,78,294.7,44801,152
48,49,49,John Rollins,97,294.4,55937,190
49,50,50,Arjun Atwal,65,294.2,38246,130
50,51,51,Justin Rose,99,294.1,55879,190
51,T52,T52,Chad Campbell,95,294.0,54101,184
52,T52,T52,Dan Forsman,52,294.0,29401,100
53,54,54,Padraig Harrington,50,293.9,28214,96
54,55,55,Hunter Mahan,103,293.8,59356,202
55,T56,T56,Charles Howell III,95,293.6,52855,180
56,T56,T56,John Huston,90,293.6,50504,172
57,58,58,Neal Lancaster,95,293.4,55742,190
58,T59,T59,Brett Quigley,96,293.3,53963,184
59,T59,T59,Bo Van Pelt,112,293.3,65699,224
60,61,61,Ben Crane,78,293.1,43377,148
61,62,62,Jason Bohn,91,292.9,53310,182
62,63,63,Marco Dawson,82,292.4,47960,164
63,64,64,Jesper Parnevik,84,292.2,47917,164
64,T65,T65,Michael Allen,90,292.1,52579,180
65,T65,T65,Tim Herron,100,292.1,57829,198
66,67,67,Roland Thatcher,75,292.0,42635,146
67,T68,T68,Pat Perez,89,291.8,51945,178
68,T68,T68,Joey Snyder III,102,291.8,57185,196
69,70,70,Carl Pettersson,109,291.7,61252,210
70,T71,T71,Bob Heintz,67,291.5,39058,134
71,T71,T71,J.L. Lewis,98,291.5,57130,196
72,T71,T71,Greg Owen,84,291.5,46646,160
73,74,74,Aaron Baddeley,84,291.4,47788,164
74,75,75,Bradley Hughes,52,291.3,30300,104
75,76,76,Brian Bateman,98,291.1,54725,188
76,T77,T77,Steve Lowery,100,291.0,55866,192
77,T77,T77,Scott McCarron,78,291.0,43065,148
78,T77,T77,John Senden,101,291.0,57624,198
79,T80,T80,Jonathan Kaye,77,290.7,43030,148
80,T80,T80,Tom Pernice Jr.,111,290.7,61912,213
81,82,82,D.A. Points,94,290.5,52290,180
82,83,83,Mark Hensby,70,290.4,39491,136
83,84,84,Vaughn Taylor,99,290.3,57486,198
84,85,85,Ryuji Imada,78,290.1,45256,156
85,86,86,Zach Johnson,96,290.0,55093,190
86,87,87,Andrew Magee,82,289.9,44937,155
87,T88,T88,Craig Barlow,81,289.6,44592,154
88,T88,T88,Hunter Haas,83,289.6,45762,158
89,90,90,Freddie Jacobson,72,289.5,41116,142
90,91,91,Mark Calcavecchia,92,289.3,52070,180
91,92,92,Joe Durant,81,289.2,46844,162
92,T93,T93,Woody Austin,100,289.1,57815,200
93,T93,T93,Bernhard Langer,67,289.1,38744,134
94,T93,T93,Peter Lonard,85,289.1,48566,168
95,T96,T96,Justin Bolli,65,289.0,36413,126
96,T96,T96,Patrick Sheehan,114,289.0,63587,220
