,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Phil Mickelson,81,-.072
1,2,2,Steve Stricker,62,-.054
2,3,3,Vijay Singh,111,-.052
3,T4,T4,Charles Howell III,95,-.036
4,T4,T4,Bernhard Langer,67,-.036
5,6,6,Scott Gutschewski,86,-.035
6,7,7,Charles Warren,89,-.032
7,8,8,David Toms,87,-.009
8,9,9,Heath Slocum,103,-.007
9,10,10,Lee Janzen,75,E
10,11,11,Dan Forsman,52,+.009
11,12,12,Justin Leonard,78,+.010
12,T13,T13,Arron Oberholser,65,+.011
13,T13,T13,Bo Van Pelt,112,+.011
14,15,15,J.J. Henry,102,+.012
15,16,16,Tom Pernice Jr.,111,+.013
16,17,17,Daniel Chopra,108,+.014
17,18,18,Justin Rose,99,+.018
18,T19,T19,Luke Donald,67,+.022
19,T19,T19,Sergio Garcia,73,+.022
20,T21,T21,Hank Kuehne,84,+.023
21,T21,T21,Kenny Perry,82,+.023
22,T23,T23,James Driscoll,73,+.027
23,T23,T23,Retief Goosen,71,+.027
24,T23,T23,Adam Scott,72,+.027
25,T23,T23,Tiger Woods,76,+.027
26,T27,T27,Jonathan Byrd,103,+.028
27,T27,T27,Geoff Ogilvy,97,+.028
28,29,29,Stuart Appleby,84,+.031
29,T30,T30,Marco Dawson,82,+.033
30,T30,T30,Tim Herron,100,+.033
31,T32,T32,Joe Durant,81,+.034
32,T32,T32,Jim Furyk,94,+.034
33,34,34,Aaron Baddeley,84,+.039
34,T35,T35,Robert Allenby,95,+.040
35,T35,T35,Rocco Mediate,73,+.040
36,T37,T37,Jason Allred,75,+.042
37,T37,T37,Brenden Pappas,51,+.042
38,T37,T37,Phillip Price,77,+.042
39,T40,T40,Brad Faxon,75,+.045
40,T40,T40,Jay Haas,54,+.045
41,T40,T40,Kevin Na,88,+.045
42,43,43,Brett Quigley,96,+.046
43,T44,T44,Justin Bolli,65,+.047
44,T44,T44,Stewart Cink,98,+.047
45,46,46,Nick Watney,91,+.049
46,47,47,Jason Bohn,91,+.051
47,48,48,Duffy Waldorf,86,+.053
48,49,49,Glen Hnatiuk,59,+.054
49,50,50,Brendan Jones,81,+.055
50,51,51,Craig Barlow,81,+.057
51,52,52,Omar Uresti,84,+.063
52,53,53,Scott McCarron,78,+.065
53,54,54,Carl Pettersson,109,+.066
54,T55,T55,Briny Baird,98,+.067
55,T55,T55,Jonathan Kaye,77,+.067
56,57,57,Kevin Stadler,96,+.069
57,58,58,Rory Sabbatini,81,+.075
58,T59,T59,Lucas Glover,88,+.076
59,T59,T59,Bob Tway,87,+.076
60,61,61,Doug Barron,70,+.078
61,T62,T62,Olin Browne,99,+.079
62,T62,T62,Carlos Franco,78,+.079
63,64,64,Steve Elkington,67,+.080
64,65,65,Dean Wilson,86,+.082
65,T66,T66,Arjun Atwal,65,+.083
66,T66,T66,Charlie Wi,67,+.083
67,T68,T68,Hunter Haas,83,+.084
68,T68,T68,J.P. Hayes,63,+.084
69,T68,T68,John Senden,101,+.084
70,T71,T71,Brandt Jobe,96,+.086
71,T71,T71,Jesper Parnevik,84,+.086
72,73,73,Greg Owen,84,+.088
73,74,74,Freddie Jacobson,72,+.089
74,75,75,Matt Davidson,53,+.091
75,76,76,Hunter Mahan,103,+.095
76,T77,T77,Matt Gogel,78,+.099
77,T77,T77,Brett Wetterich,76,+.099
78,79,79,Jeff Sluman,94,+.101
79,80,80,Len Mattiace,86,+.102
80,T81,T81,Tim Clark,92,+.103
81,T81,T81,Gavin Coles,70,+.103
82,T81,T81,Bob Estes,92,+.103
83,T84,T84,Harrison Frazar,105,+.104
84,T84,T84,Brent Geiberger,61,+.104
85,86,86,D.J. Brigman,76,+.105
86,87,87,Mark Calcavecchia,92,+.106
87,88,88,Woody Austin,100,+.107
88,T89,T89,John Huston,90,+.108
89,T89,T89,Ryuji Imada,78,+.108
90,91,91,Mario Tiziani,67,+.109
91,T92,T92,Rich Beem,66,+.111
92,T92,T92,Matt Kuchar,60,+.111
93,T92,T92,Jay Williamson,53,+.111
94,95,95,Ryan Palmer,101,+.112
95,T96,T96,David Hearn,68,+.113
96,T96,T96,Pat Perez,89,+.113
97,T98,T98,Chris DiMarco,83,+.114
98,T98,T98,Joe Ogilvie,103,+.114
99,100,100,Richard Johnson,50,+.118
100,T101,T101,Stephen Ames,82,+.119
101,T101,T101,Tjaart van der Walt,56,+.119
102,103,103,Neal Lancaster,95,+.120
103,104,104,Jeff Brehaut,71,+.122
104,T105,T105,Glen Day,80,+.126
105,T105,T105,Dennis Paulson,63,+.126
106,T105,T105,Kevin Sutherland,89,+.126
107,T108,T108,Rod Pampling,89,+.128
108,T108,T108,Vaughn Taylor,99,+.128
109,T110,T110,Shigeki Maruyama,99,+.132
110,T110,T110,Billy Mayfair,114,+.132
111,T110,T110,Ted Purdy,122,+.132
112,T113,T113,John Cook,72,+.133
113,T113,T113,John Daly,78,+.133
114,T113,T113,Skip Kendall,80,+.133
115,T113,T113,Mark O'Meara,66,+.133
116,T117,T117,Mathias Grönberg,60,+.135
117,T117,T117,Davis Love III,80,+.135
118,T117,T117,John Rollins,97,+.135
119,120,120,Ian Poulter,62,+.136
120,T121,T121,Sean O'Hair,103,+.137
121,T121,T121,Patrick Sheehan,114,+.137
122,123,123,Kent Jones,99,+.138
123,124,124,Mike Weir,71,+.139
124,T125,T125,Bob Heintz,67,+.140
125,T125,T125,Hidemichi Tanaka,106,+.140
126,127,127,Michael Allen,90,+.143
127,128,128,Todd Hamilton,94,+.148
128,T129,T129,Joey Snyder III,102,+.149
129,T129,T129,D.J. Trahan,81,+.149
130,T131,T131,Scott Hend,75,+.150
131,T131,T131,Jeff Maggert,79,+.150
132,T131,T131,Corey Pavin,77,+.150
133,T134,T134,Fred Couples,72,+.152
134,T134,T134,Frank Lickliter II,100,+.152
135,136,136,Stephen Leaney,89,+.153
136,137,137,Brian Bateman,98,+.154
137,138,138,Steve Flesch,90,+.156
138,T139,T139,Tag Ridings,93,+.158
139,T139,T139,Darron Stiles,78,+.158
140,T141,T141,Padraig Harrington,50,+.160
141,T141,T141,José María Olazábal,55,+.160
142,143,143,Tommy Armour III,103,+.161
143,144,144,D.A. Points,94,+.163
144,T145,T145,Billy Andrade,83,+.164
145,T145,T145,Roland Thatcher,75,+.164
146,147,147,Zach Johnson,96,+.165
147,148,148,Bradley Hughes,52,+.167
148,149,149,J.L. Lewis,98,+.168
149,150,150,Joey Sindelar,104,+.169
150,T151,T151,Cameron Beckman,96,+.170
151,T151,T151,Peter Lonard,85,+.170
152,153,153,Jerry Kelly,101,+.171
153,T154,T154,Steve Allan,102,+.172
154,T154,T154,Alex Cejka,84,+.172
155,T154,T154,Loren Roberts,54,+.172
156,157,157,Jim Carter,62,+.174
157,158,158,Andrew Magee,82,+.175
158,159,159,Brian Davis,75,+.177
159,160,160,Mark Brooks,72,+.181
160,161,161,Chris Smith,93,+.187
161,162,162,Steve Lowery,100,+.188
162,163,163,Jeff Hart,63,+.190
163,164,164,Craig Perks,67,+.191
164,T165,T165,Franklin Langham,91,+.192
165,T165,T165,Shaun Micheel,81,+.192
166,167,167,Dudley Hart,84,+.194
167,168,168,Ben Crane,78,+.196
168,T169,T169,Ben Curtis,65,+.198
169,T169,T169,Thomas Levet,54,+.198
170,T171,T171,Bart Bryant,91,+.202
171,T171,T171,Tom Gillis,77,+.202
172,173,173,Steve Jones,56,+.203
173,T174,T174,K.J. Choi,78,+.204
174,T174,T174,John Elliott,58,+.204
175,176,176,Robert Damron,89,+.206
176,177,177,José Coceres,56,+.207
177,178,178,Mark Wilson,74,+.212
178,179,179,Danny Briggs,70,+.214
179,180,180,Paul Claxton,79,+.216
180,181,181,Larry Mize,54,+.222
181,182,182,Tom Lehman,69,+.225
182,183,183,Chris Anderson,66,+.227
183,184,184,Brian Gay,101,+.230
184,185,185,Chad Campbell,95,+.231
185,186,186,Robert Gamez,91,+.238
186,187,187,Fred Funk,102,+.245
187,188,188,Lee Westwood,50,+.246
188,189,189,Tom Byrum,83,+.250
189,190,190,Paul Azinger,66,+.252
190,191,191,Rob Rashell,65,+.256
191,192,192,Bill Glasson,54,+.259
192,193,193,Paul Gow,78,+.264
193,194,194,Scott Verplank,87,+.278
194,195,195,Todd Fischer,99,+.282
195,196,196,Will MacKenzie,75,+.284
196,197,197,Tim Petrovic,97,+.308
197,198,198,Michael Long,72,+.313
198,199,199,Kirk Triplett,55,+.316
199,200,200,Chris Riley,67,+.328
200,201,201,Hideto Tanihara,50,+.329
201,202,202,Mark Hensby,70,+.330
