,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Paul Claxton,79,17.21,180,1046,+2.22
1,2,2,Jeff Hart,63,17.31,147,849,+2.18
2,3,3,Fred Funk,102,17.68,219,1239,+1.78
3,4,4,Robert Damron,89,18.32,227,1239,+2.25
4,5,5,Omar Uresti,84,18.8,210,1117,+1.24
5,6,6,Olin Browne,99,18.92,239,1263,+1.30
6,7,7,Brian Davis,75,18.95,187,987,+1.50
7,8,8,Gavin Coles,70,19.41,190,979,+1.21
8,9,9,Bart Bryant,91,19.52,226,1158,+1.77
9,10,10,Duffy Waldorf,86,19.76,215,1088,+1.30
10,11,11,Jeff Maggert,79,19.96,178,892,+1.35
11,12,12,Matt Kuchar,60,20.32,164,807,+1.40
12,13,13,Chris Riley,67,20.39,147,721,+2.24
13,T14,T14,John Cook,72,20.67,190,919,+1.95
14,T14,T14,David Hearn,68,20.67,190,919,+1.16
15,16,16,Mark Brooks,72,20.88,203,972,+2.22
16,17,17,Scott Verplank,87,20.96,210,1002,+1.95
17,18,18,Jay Williamson,53,20.97,155,739,+1.35
18,19,19,Danny Briggs,70,21.07,200,949,+1.55
19,20,20,Doug Barron,70,21.08,206,977,+0.78
20,21,21,Skip Kendall,80,21.09,229,1086,+1.75
21,22,22,Jeff Sluman,94,21.27,272,1279,+1.07
22,23,23,Joe Durant,81,21.32,223,1046,+0.63
23,24,24,José Coceres,56,21.35,161,754,+1.93
24,25,25,Darron Stiles,78,21.39,227,1061,+1.45
25,26,26,Jeff Brehaut,71,21.48,200,931,+0.70
26,27,27,Alex Cejka,84,21.7,232,1069,+1.59
27,28,28,Billy Mayfair,114,21.85,329,1506,+1.37
28,T29,T29,Craig Barlow,81,21.97,223,1015,+1.30
29,T29,T29,Jerry Kelly,101,21.97,259,1179,+1.35
30,31,31,Heath Slocum,103,22.04,292,1325,+0.68
31,32,32,J.L. Lewis,98,22.56,282,1250,+1.24
32,33,33,Ben Curtis,65,22.58,173,766,+1.91
33,34,34,Kirk Triplett,55,22.65,152,671,+2.04
34,35,35,Kent Jones,99,22.68,306,1349,+1.37
35,36,36,Phillip Price,77,22.76,231,1015,+0.74
36,37,37,Corey Pavin,77,22.77,219,962,+1.46
37,38,38,Jim Furyk,94,22.94,253,1103,+1.46
38,39,39,Joey Sindelar,104,22.97,333,1450,+1.35
39,40,40,Robert Gamez,91,23.0,284,1235,+2.29
40,41,41,Larry Mize,54,23.02,154,669,+2.47
41,42,42,Zach Johnson,96,23.15,276,1192,+1.41
42,43,43,Brian Gay,101,23.21,320,1379,+1.88
43,44,44,Stephen Leaney,89,23.24,271,1166,+1.40
44,45,45,Jim Carter,62,23.3,195,837,+2.31
45,T46,T46,Richard Johnson,50,23.39,156,667,+0.90
46,T46,T46,Steve Jones,56,23.39,163,697,+2.39
47,48,48,Jonathan Kaye,77,23.46,224,955,+0.89
48,49,49,Briny Baird,98,23.5,314,1336,+0.70
49,50,50,Joey Snyder III,102,23.56,322,1367,+0.75
50,51,51,Matt Gogel,78,23.58,250,1060,+0.92
51,52,52,Paul Gow,78,23.62,244,1033,+2.66
52,53,53,Hidemichi Tanaka,106,23.66,336,1420,+0.92
53,54,54,Steve Elkington,67,23.84,195,818,+1.44
54,55,55,Mark Calcavecchia,92,23.86,272,1140,+0.96
55,56,56,Roland Thatcher,75,23.89,243,1017,+1.60
56,57,57,Mark Wilson,74,23.95,233,973,+1.89
57,58,58,John Senden,101,24.0,331,1379,+1.30
58,59,59,Todd Fischer,99,24.13,326,1351,+1.90
59,60,60,Tom Byrum,83,24.18,273,1129,+2.34
60,61,61,Vaughn Taylor,99,24.19,321,1327,+1.31
61,62,62,Bradley Hughes,52,24.2,175,723,+1.83
62,63,63,Cameron Beckman,96,24.24,310,1279,+1.71
63,64,64,Bob Tway,87,24.39,248,1017,+0.77
64,65,65,Mike Weir,71,24.45,178,728,+1.85
65,66,66,Charlie Wi,67,24.48,222,907,+1.35
66,67,67,Steve Lowery,100,24.49,321,1311,+1.28
67,68,68,D.A. Points,94,24.54,308,1255,+1.30
68,69,69,Billy Andrade,83,24.58,277,1127,+2.17
69,70,70,Tom Gillis,77,24.59,257,1045,+1.71
70,71,71,Steve Flesch,90,24.61,237,963,+1.94
71,72,72,Mark O'Meara,66,24.64,206,836,+1.21
72,T73,T73,Tim Clark,92,24.67,244,989,+0.98
73,T73,T73,Jay Haas,54,24.67,148,600,+0.81
74,T75,T75,Tommy Armour III,103,24.71,340,1376,+1.35
75,T75,T75,Arron Oberholser,65,24.71,189,765,+0.79
76,T77,T77,Harrison Frazar,105,24.72,348,1408,+1.12
77,T77,T77,Bernhard Langer,67,24.72,175,708,+0.34
78,79,79,Robert Allenby,95,24.84,274,1103,+1.13
79,80,80,Kevin Sutherland,89,24.85,288,1159,+1.08
80,81,81,Tjaart van der Walt,56,24.87,194,780,+1.49
81,82,82,Ted Purdy,122,24.88,375,1507,+1.15
82,T83,T83,Brent Geiberger,61,24.94,198,794,+1.52
83,T83,T83,Joe Ogilvie,103,24.94,295,1183,+0.95
