,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Olin Browne,99,89.23,1177,1319
1,2,2,Omar Uresti,84,88.24,1035,1173
2,3,3,Joe Durant,81,88.18,1000,1134
3,4,4,Jeff Hart,63,87.51,743,849
4,5,5,Billy Mayfair,114,87.48,1342,1534
5,6,6,Doug Barron,70,87.41,854,977
6,7,7,Bart Bryant,91,87.17,1114,1278
7,8,8,Jay Williamson,53,87.14,644,739
8,9,9,Fred Funk,102,87.1,1229,1411
9,10,10,Heath Slocum,103,86.97,1201,1381
10,11,11,Jeff Brehaut,71,86.68,807,931
11,12,12,David Hearn,68,86.48,819,947
12,13,13,Brian Davis,75,86.25,903,1047
13,14,14,Darron Stiles,78,86.24,915,1061
14,15,15,Joey Snyder III,102,86.1,1177,1367
15,16,16,Scott Verplank,87,86.07,1038,1206
16,17,17,Kenny Perry,82,85.84,964,1123
17,18,18,José Coceres,56,85.81,647,754
18,19,19,Joey Sindelar,104,85.79,1244,1450
19,20,20,Mario Tiziani,67,85.75,776,905
20,21,21,Skip Kendall,80,85.73,931,1086
21,22,22,Sergio Garcia,73,85.68,826,964
22,23,23,Paul Claxton,79,85.66,944,1102
23,24,24,Robert Damron,89,85.55,1060,1239
24,25,25,Hidemichi Tanaka,106,85.49,1214,1420
25,26,26,Tommy Armour III,103,85.47,1224,1432
26,27,27,Vijay Singh,111,85.41,1311,1535
27,28,28,Charles Warren,89,85.38,1034,1211
28,29,29,John Senden,101,85.35,1177,1379
29,30,30,Briny Baird,98,85.33,1140,1336
30,31,31,Gavin Coles,70,85.19,834,979
31,32,32,Tom Gillis,77,84.98,888,1045
32,33,33,Justin Rose,99,84.97,1125,1324
33,34,34,Stephen Leaney,89,84.84,1013,1194
34,35,35,Mark Wilson,74,84.69,824,973
35,36,36,Greg Owen,84,84.66,944,1115
36,37,37,Richard Johnson,50,84.6,588,695
37,38,38,Duffy Waldorf,86,84.55,974,1152
38,39,39,John Cook,72,84.51,824,975
39,40,40,Arron Oberholser,65,84.49,741,877
40,41,41,Tom Byrum,83,84.41,980,1161
41,42,42,Danny Briggs,70,84.4,801,949
42,43,43,Jeff Sluman,94,84.39,1103,1307
43,44,44,Jeff Maggert,79,84.3,870,1032
44,45,45,Tjaart van der Walt,56,84.23,657,780
45,46,46,Jerry Kelly,101,84.19,1161,1379
46,47,47,Jim Carter,62,84.11,704,837
47,48,48,Mark Calcavecchia,92,84.05,1059,1260
48,T49,T49,Jim Furyk,94,84.04,1095,1303
49,T49,T49,Kirk Triplett,55,84.04,611,727
50,51,51,Dean Wilson,86,84.02,1004,1195
51,52,52,Jay Haas,54,83.99,598,712
52,53,53,Alex Cejka,84,83.97,948,1129
53,54,54,Marco Dawson,82,83.95,957,1140
54,55,55,Larry Mize,54,83.93,585,697
55,T56,T56,Luke Donald,67,83.83,710,847
56,T56,T56,Zach Johnson,96,83.83,1120,1336
57,58,58,D.J. Trahan,81,83.81,901,1075
58,59,59,Jonathan Kaye,77,83.73,870,1039
59,60,60,Bo Van Pelt,112,83.72,1311,1566
60,61,61,Robert Allenby,95,83.69,1047,1251
61,62,62,Paul Gow,78,83.64,864,1033
62,63,63,Tom Lehman,69,83.63,787,941
63,T64,T64,D.J. Brigman,76,83.58,840,1005
64,T64,T64,Roland Thatcher,75,83.58,850,1017
65,66,66,Vaughn Taylor,99,83.51,1155,1383
66,67,67,Phillip Price,77,83.45,847,1015
67,68,68,Cameron Beckman,96,83.42,1067,1279
68,69,69,Ben Curtis,65,83.41,759,910
69,70,70,J.J. Henry,102,83.39,1160,1391
70,71,71,Justin Leonard,78,83.33,880,1056
71,T72,T72,Kent Jones,99,83.32,1124,1349
72,T72,T72,Brett Wetterich,76,83.32,859,1031
73,74,74,Peter Lonard,85,83.28,981,1178
74,T75,T75,Chris Anderson,66,83.24,720,865
75,T75,T75,Harrison Frazar,105,83.24,1172,1408
76,77,77,Geoff Ogilvy,97,83.23,1087,1306
77,78,78,Corey Pavin,77,83.2,847,1018
78,79,79,J.L. Lewis,98,83.19,1133,1362
79,80,80,Sean O'Hair,103,83.08,1154,1389
80,T81,T81,Tim Clark,92,83.05,1014,1221
81,T81,T81,Ted Purdy,122,83.05,1421,1711
82,83,83,Brian Gay,101,83.03,1145,1379
83,84,84,Rocco Mediate,73,83.02,841,1013
84,85,85,Steve Elkington,67,83.01,772,930
85,86,86,Lucas Glover,88,82.99,995,1199
86,87,87,Kevin Sutherland,89,82.96,1008,1215
87,88,88,Charles Howell III,95,82.92,1044,1259
88,89,89,Mathias Grönberg,60,82.9,669,807
89,90,90,Glen Hnatiuk,59,82.88,634,765
90,91,91,Fred Couples,72,82.86,793,957
91,92,92,Bradley Hughes,52,82.85,599,723
92,93,93,K.J. Choi,78,82.78,851,1028
93,94,94,Scott Gutschewski,86,82.74,954,1153
94,95,95,Craig Barlow,81,82.63,885,1071
95,96,96,Dudley Hart,84,82.62,970,1174
96,97,97,Carl Pettersson,109,82.6,1206,1460
97,98,98,John Rollins,97,82.59,1096,1327
98,99,99,Phil Mickelson,81,82.52,859,1041
99,100,100,Matt Kuchar,60,82.51,689,835
100,T101,T101,Neal Lancaster,95,82.49,1093,1325
101,T101,T101,Frank Lickliter II,100,82.49,1102,1336
102,T103,T103,Glen Day,80,82.43,896,1087
103,T103,T103,Shigeki Maruyama,99,82.43,1131,1372
104,105,105,Robert Gamez,91,82.42,1041,1263
105,106,106,Bob Tway,87,82.4,960,1165
106,107,107,David Toms,87,82.37,888,1078
107,108,108,Hunter Mahan,103,82.28,1156,1405
108,109,109,John Huston,90,82.26,983,1195
109,110,110,Loren Roberts,54,82.16,608,740
110,111,111,Chris Smith,93,82.12,1061,1292
111,112,112,Jason Bohn,91,82.06,1038,1265
112,113,113,Billy Andrade,83,81.99,947,1155
113,114,114,Adam Scott,72,81.98,787,960
114,115,115,Kevin Stadler,96,81.97,1050,1281
115,116,116,Todd Fischer,99,81.94,1107,1351
116,T117,T117,Ryuji Imada,78,81.93,893,1090
117,T117,T117,Pat Perez,89,81.93,1025,1251
118,T119,T119,Stuart Appleby,84,81.91,924,1128
119,T119,T119,Dan Forsman,52,81.91,566,691
120,T119,T119,Bernhard Langer,67,81.91,770,940
121,T119,T119,D.A. Points,94,81.91,1028,1255
122,123,123,Matt Gogel,78,81.89,868,1060
123,124,124,Jonathan Byrd,103,81.88,1134,1385
124,125,125,Brent Geiberger,61,81.87,673,822
125,126,126,Tim Herron,100,81.85,1132,1383
126,127,127,Will MacKenzie,75,81.81,832,1017
127,128,128,Tiger Woods,76,81.77,857,1048
128,129,129,Chris Riley,67,81.61,732,897
129,130,130,Mark Brooks,72,81.6,816,1000
130,131,131,Nick Watney,91,81.58,1014,1243
131,132,132,Bob Estes,92,81.56,1044,1280
132,133,133,Todd Hamilton,94,81.55,1043,1279
133,134,134,Joe Ogilvie,103,81.54,1131,1387
134,T135,T135,Woody Austin,100,81.53,1139,1397
135,T135,T135,Brian Bateman,98,81.53,1064,1305
136,137,137,Chad Campbell,95,81.52,1050,1288
137,138,138,Daniel Chopra,108,81.45,1181,1450
138,139,139,Steve Flesch,90,81.42,973,1195
139,140,140,Rod Pampling,89,81.37,965,1186
140,141,141,Arjun Atwal,65,81.33,736,905
141,142,142,Mark O'Meara,66,81.28,751,924
142,143,143,Brendan Jones,81,81.18,897,1105
143,144,144,Tom Pernice Jr.,111,81.07,1212,1495
144,145,145,Brandt Jobe,96,81.06,1040,1283
145,146,146,Michael Long,72,81.03,790,975
146,T147,T147,Chris DiMarco,83,80.97,855,1056
147,T147,T147,Bill Glasson,54,80.97,587,725
148,149,149,Steve Lowery,100,80.96,1084,1339
149,150,150,Steve Jones,56,80.88,609,753
150,151,151,Retief Goosen,71,80.86,697,862
151,152,152,Shaun Micheel,81,80.78,891,1103
152,153,153,Mark Hensby,70,80.71,778,964
153,154,154,Stewart Cink,98,80.67,1018,1262
154,T155,T155,Ryan Palmer,101,80.63,1095,1358
155,T155,T155,Jesper Parnevik,84,80.63,920,1141
156,157,157,Hunter Haas,83,80.51,888,1103
157,158,158,Steve Allan,102,80.41,1096,1363
158,159,159,Charlie Wi,67,80.37,729,907
159,160,160,Scott McCarron,78,80.35,830,1033
160,161,161,Patrick Sheehan,114,80.33,1229,1530
161,T162,T162,Kevin Na,88,80.13,960,1198
162,T162,T162,Ian Poulter,62,80.13,633,790
163,164,164,Carlos Franco,78,80.04,850,1062
164,165,165,José María Olazábal,55,79.97,599,749
165,166,166,Tim Petrovic,97,79.86,1039,1301
166,167,167,Mike Weir,71,79.74,740,928
167,168,168,Brad Faxon,75,79.72,794,996
168,169,169,Lee Westwood,50,79.7,538,675
169,170,170,Matt Davidson,53,79.65,587,737
170,171,171,Davis Love III,80,79.47,832,1047
171,172,172,Tag Ridings,93,79.43,1008,1269
172,173,173,Paul Azinger,66,79.26,730,921
173,174,174,James Driscoll,73,79.23,782,987
174,175,175,Rob Rashell,65,79.14,717,906
175,176,176,Lee Janzen,75,78.99,801,1014
176,177,177,Bob Heintz,67,78.93,738,935
177,178,178,J.P. Hayes,63,78.91,692,877
178,179,179,Brett Quigley,96,78.69,1008,1281
179,T180,T180,Michael Allen,90,78.68,989,1257
180,T180,T180,Justin Bolli,65,78.68,690,877
181,T180,T180,Dennis Paulson,63,78.68,690,877
182,183,183,Ben Crane,78,78.65,807,1026
183,184,184,Franklin Langham,91,78.5,953,1214
184,185,185,Hideto Tanihara,50,78.41,523,667
185,186,186,Freddie Jacobson,72,78.3,783,1000
186,187,187,Stephen Ames,82,78.07,865,1108
187,188,188,Rich Beem,66,78.02,678,869
188,189,189,Andrew Magee,82,78.01,848,1087
189,190,190,Hank Kuehne,84,77.71,868,1117
190,191,191,Aaron Baddeley,84,77.53,887,1144
191,192,192,Rory Sabbatini,81,77.49,847,1093
192,193,193,John Elliott,58,77.41,603,779
193,194,194,Len Mattiace,86,77.07,901,1169
194,195,195,Padraig Harrington,50,76.79,516,672
195,196,196,Brenden Pappas,51,76.58,546,713
196,197,197,Craig Perks,67,76.3,692,907
197,198,198,John Daly,78,76.12,816,1072
198,199,199,Jason Allred,75,76.01,773,1017
199,200,200,Steve Stricker,62,75.95,657,865
200,201,201,Thomas Levet,54,75.17,563,749
201,202,202,Scott Hend,75,74.1,758,1023
