,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Sergio Garcia,73,1.003,52.17,52
1,2,2,Kenny Perry,82,0.9490000000000001,56.964,60
2,3,3,Vijay Singh,111,0.934,82.18299999999999,88
3,4,4,Tiger Woods,76,0.8959999999999999,49.272,55
4,5,5,Brett Wetterich,76,0.737,50.121,68
5,6,6,Charles Warren,89,0.708,57.376999999999995,81
6,7,7,Lee Westwood,50,0.7020000000000001,23.171,33
7,8,8,David Hearn,68,0.564,34.433,61
8,9,9,Joe Durant,81,0.562,38.756,69
9,T10,T10,John Rollins,97,0.551,45.70399999999999,83
10,T10,T10,D.J. Trahan,81,0.551,39.115,71
11,12,12,Sean O'Hair,103,0.5489999999999999,47.218,86
12,13,13,Lucas Glover,88,0.541,42.771,79
13,14,14,Mathias Grönberg,60,0.529,29.612,56
14,15,15,Fred Couples,72,0.499,21.961,44
15,16,16,Davis Love III,80,0.498,28.375999999999998,57
16,T17,T17,Zach Johnson,96,0.49,40.658,83
17,T17,T17,Joey Snyder III,102,0.49,45.09,92
18,19,19,Harrison Frazar,105,0.489,45.993,94
19,20,20,Brian Davis,75,0.488,31.238000000000003,64
20,21,21,Scott Gutschewski,86,0.45799999999999996,32.982,72
21,T22,T22,Greg Owen,84,0.441,31.288,71
22,T22,T22,Adam Scott,72,0.441,22.918000000000003,52
23,24,24,Bart Bryant,91,0.44,33.895,77
24,T25,T25,Charles Howell III,95,0.429,30.916,72
25,T25,T25,Brandt Jobe,96,0.429,35.157,82
26,27,27,Roland Thatcher,75,0.42200000000000004,28.714000000000002,68
27,28,28,Stuart Appleby,84,0.41,25.807,63
28,29,29,Billy Mayfair,114,0.409,41.717,102
29,30,30,K.J. Choi,78,0.392,21.147,54
30,31,31,Chris Smith,93,0.376,32.336999999999996,86
31,32,32,Rod Pampling,89,0.353,24.69,70
32,33,33,Ted Purdy,122,0.35200000000000004,35.193000000000005,100
33,34,34,Mark Calcavecchia,92,0.348,26.829,77
34,35,35,Robert Allenby,95,0.345,25.185,73
35,36,36,Justin Rose,99,0.342,30.465,89
36,37,37,Phil Mickelson,81,0.341,17.070999999999998,50
37,38,38,Jonathan Kaye,77,0.34,21.771,64
38,39,39,Jerry Kelly,101,0.336,25.543000000000003,76
39,40,40,Jay Williamson,53,0.319,14.977,47
40,41,41,J.J. Henry,102,0.316,27.517,87
41,42,42,Bradley Hughes,52,0.298,14.620999999999999,49
42,T43,T43,Jeff Maggert,79,0.297,17.823,60
43,T43,T43,John Senden,101,0.297,27.06,91
44,45,45,Joey Sindelar,104,0.29,28.684,99
45,46,46,Retief Goosen,71,0.281,12.07,43
46,47,47,Tommy Armour III,103,0.268,24.678,92
47,T48,T48,Tim Herron,100,0.249,19.415,78
48,T48,T48,Hunter Mahan,103,0.249,23.155,93
49,50,50,Scott Verplank,87,0.24600000000000002,16.204,66
50,51,51,Arron Oberholser,65,0.245,12.491,51
51,52,52,Daniel Chopra,108,0.22699999999999998,21.121,93
52,53,53,J.L. Lewis,98,0.20600000000000002,16.902,82
53,54,54,David Toms,87,0.201,12.888,64
54,55,55,Briny Baird,98,0.2,17.769000000000002,89
