,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Fred Funk,102,76.92,953,1239,-0.1
1,2,2,Jeff Hart,63,76.09,646,849,-0.03
2,3,3,Omar Uresti,84,75.47,843,1117,-0.14
3,4,4,Bart Bryant,91,74.35,861,1158,-0.16
4,5,5,Olin Browne,99,74.03,935,1263,-0.15
5,6,6,Gavin Coles,70,73.65,721,979,-0.08
6,7,7,Brian Davis,75,72.64,717,987,-0.17
7,8,8,José Coceres,56,72.28,545,754,-0.1
8,9,9,Paul Claxton,79,72.18,755,1046,-0.13
9,10,10,Joe Durant,81,71.99,753,1046,-0.13
10,11,11,Jeff Maggert,79,71.97,642,892,-0.13
11,12,12,Scott Verplank,87,71.96,721,1002,-0.2
12,13,13,Robert Damron,89,71.35,884,1239,-0.11
13,14,14,Heath Slocum,103,71.32,945,1325,-0.13
14,15,15,Jay Williamson,53,71.31,527,739,-0.12
15,16,16,Skip Kendall,80,70.63,767,1086,-0.08
16,17,17,Billy Mayfair,114,70.52,1062,1506,-0.18
17,18,18,Tom Byrum,83,70.33,794,1129,-0.1
18,19,19,Jeff Brehaut,71,70.03,652,931,-0.17
19,20,20,John Cook,72,69.97,643,919,-0.13
20,21,21,Duffy Waldorf,86,69.67,758,1088,-0.16
21,22,22,Darron Stiles,78,69.65,739,1061,-0.16
22,23,23,Larry Mize,54,69.36,464,669,-0.1
23,24,24,Kirk Triplett,55,69.3,465,671,-0.1
24,25,25,Matt Kuchar,60,69.27,559,807,-0.09
25,T26,T26,Jim Furyk,94,68.99,761,1103,-0.23
26,T26,T26,David Hearn,68,68.99,634,919,-0.15
27,28,28,Jerry Kelly,101,68.96,813,1179,-0.14
28,29,29,Stephen Leaney,89,68.87,803,1166,-0.14
29,30,30,Doug Barron,70,68.78,672,977,-0.14
30,31,31,Joey Sindelar,104,68.76,997,1450,-0.18
31,32,32,Hidemichi Tanaka,106,68.66,975,1420,-0.13
32,T33,T33,Mark Brooks,72,68.52,666,972,-0.06
33,T33,T33,Richard Johnson,50,68.52,457,667,-0.21
34,35,35,Jim Carter,62,68.46,573,837,-0.05
35,36,36,Loren Roberts,54,68.4,487,712,-0.15
36,37,37,Chris Riley,67,68.38,493,721,-0.08
37,38,38,Danny Briggs,70,68.18,647,949,-0.05
38,39,39,Jeff Sluman,94,68.1,871,1279,-0.16
39,40,40,Corey Pavin,77,67.98,654,962,-0.13
40,41,41,Brian Gay,101,67.95,937,1379,-0.12
41,42,42,Mark Calcavecchia,92,67.89,774,1140,-0.17
42,43,43,Alex Cejka,84,67.82,725,1069,-0.12
43,44,44,Zach Johnson,96,67.53,805,1192,-0.18
44,45,45,Arron Oberholser,65,67.45,516,765,-0.13
45,46,46,Mark Wilson,74,67.42,656,973,-0.15
46,47,47,Robert Gamez,91,67.37,832,1235,-0.17
47,48,48,Bradley Hughes,52,67.36,487,723,-0.1
48,T49,T49,Briny Baird,98,67.29,899,1336,-0.14
49,T49,T49,Steve Jones,56,67.29,469,697,-0.08
50,51,51,Steve Elkington,67,67.24,550,818,-0.17
51,52,52,Tommy Armour III,103,66.79,919,1376,-0.16
52,53,53,Joey Snyder III,102,66.72,912,1367,-0.13
53,54,54,Rocco Mediate,73,66.56,637,957,-0.15
54,55,55,Paul Gow,78,66.51,687,1033,-0.13
55,56,56,John Senden,101,66.35,915,1379,-0.19
56,57,57,Tjaart van der Walt,56,66.28,517,780,-0.14
57,58,58,Tim Clark,92,66.23,655,989,-0.19
58,T59,T59,Cameron Beckman,96,65.83,842,1279,-0.16
59,T59,T59,Jay Haas,54,65.83,395,600,-0.14
60,61,61,Phillip Price,77,65.81,668,1015,-0.17
61,62,62,Kent Jones,99,65.68,886,1349,-0.14
62,63,63,Jonathan Kaye,77,65.65,627,955,-0.18
63,64,64,David Toms,87,65.46,614,938,-0.25
64,65,65,Dean Wilson,86,65.36,781,1195,-0.16
65,66,66,Mario Tiziani,67,65.3,591,905,-0.11
66,67,67,Bob Estes,92,65.24,762,1168,-0.18
67,68,68,Kevin Sutherland,89,65.23,756,1159,-0.17
68,69,69,K.J. Choi,78,65.2,519,796,-0.19
69,70,70,Craig Barlow,81,65.12,661,1015,-0.18
70,71,71,Mike Weir,71,65.11,474,728,-0.1
71,72,72,Kenny Perry,82,65.1,580,891,-0.18
72,73,73,Luke Donald,67,65.04,400,615,-0.18
73,74,74,Matt Davidson,53,64.99,479,737,-0.1
74,75,75,Tom Lehman,69,64.97,497,765,-0.17
75,76,76,Todd Fischer,99,64.84,876,1351,-0.14
76,77,77,Tom Gillis,77,64.78,677,1045,-0.12
77,78,78,Vaughn Taylor,99,64.73,859,1327,-0.2
78,79,79,J.L. Lewis,98,64.72,809,1250,-0.16
79,80,80,Roland Thatcher,75,64.7,658,1017,-0.15
80,81,81,Steve Flesch,90,64.69,623,963,-0.14
81,82,82,Justin Leonard,78,64.67,551,852,-0.2
82,83,83,John Rollins,97,64.44,801,1243,-0.19
83,84,84,Charles Warren,89,64.41,780,1211,-0.15
84,85,85,Brent Geiberger,61,64.36,511,794,-0.16
85,86,86,Justin Rose,99,64.05,848,1324,-0.15
86,87,87,Billy Andrade,83,63.98,721,1127,-0.2
