,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Tiger Woods,76,-0.07200000000000001
1,2,2,Geoff Ogilvy,97,-0.040999999999999995
2,3,3,Vijay Singh,111,-0.04
3,4,4,Adam Scott,72,-0.028999999999999998
4,5,5,Phil Mickelson,81,-0.022000000000000002
5,6,6,José María Olazábal,55,-0.018000000000000002
6,7,7,Daniel Chopra,108,0.005
7,8,8,Justin Rose,99,0.006
8,9,9,Joey Snyder III,102,0.011000000000000001
9,10,10,Sergio Garcia,73,0.017
10,11,11,Charles Howell III,95,0.025
11,12,12,Jeff Brehaut,71,0.027000000000000003
12,13,13,Ryuji Imada,78,0.036000000000000004
13,T14,T14,Tag Ridings,93,0.038
14,T14,T14,Hidemichi Tanaka,106,0.038
15,16,16,Dudley Hart,84,0.049
16,17,17,Mario Tiziani,67,0.051
17,18,18,Steve Stricker,62,0.053
18,19,19,D.J. Trahan,81,0.054000000000000006
19,20,20,Peter Lonard,85,0.055
20,T21,T21,Michael Allen,90,0.059000000000000004
21,T21,T21,Fred Couples,72,0.059000000000000004
22,T21,T21,Jesper Parnevik,84,0.059000000000000004
23,T24,T24,Dan Forsman,52,0.06
24,T24,T24,Steve Lowery,100,0.06
25,26,26,Brett Wetterich,76,0.061
26,T27,T27,Richard Johnson,50,0.063
27,T27,T27,Davis Love III,80,0.063
28,T29,T29,Glen Day,80,0.069
29,T29,T29,Carlos Franco,78,0.069
30,31,31,Ben Crane,78,0.07
31,32,32,Briny Baird,98,0.073
32,33,33,J.L. Lewis,98,0.075
33,34,34,Doug Barron,70,0.077
34,35,35,Bob Tway,87,0.078
35,T36,T36,Paul Azinger,66,0.079
36,T36,T36,Marco Dawson,82,0.079
37,38,38,Jason Bohn,91,0.08
38,T39,T39,Joe Durant,81,0.081
39,T39,T39,Hunter Haas,83,0.081
40,T39,T39,Joe Ogilvie,103,0.081
41,42,42,Padraig Harrington,50,0.08199999999999999
42,T43,T43,Neal Lancaster,95,0.083
43,T43,T43,Carl Pettersson,109,0.083
44,45,45,Mark Calcavecchia,92,0.084
45,T46,T46,Matt Gogel,78,0.086
46,T46,T46,Bo Van Pelt,112,0.086
47,48,48,Brendan Jones,81,0.087
48,49,49,Kevin Sutherland,89,0.08800000000000001
49,50,50,Dean Wilson,86,0.09
50,T51,T51,Danny Briggs,70,0.09300000000000001
51,T51,T51,Tim Clark,92,0.09300000000000001
52,T51,T51,Shigeki Maruyama,99,0.09300000000000001
53,T51,T51,Kenny Perry,82,0.09300000000000001
54,T55,T55,D.A. Points,94,0.095
55,T55,T55,Chris Smith,93,0.095
56,T57,T57,Stuart Appleby,84,0.096
57,T57,T57,Tim Herron,100,0.096
58,T57,T57,Phillip Price,77,0.096
59,T57,T57,John Rollins,97,0.096
60,61,61,Ted Purdy,122,0.09699999999999999
61,62,62,Bernhard Langer,67,0.098
62,63,63,Jerry Kelly,101,0.1
63,64,64,Andrew Magee,82,0.10400000000000001
64,T65,T65,Steve Allan,102,0.106
65,T65,T65,J.J. Henry,102,0.106
66,67,67,Rocco Mediate,73,0.107
67,T68,T68,Tommy Armour III,103,0.10800000000000001
68,T68,T68,Dennis Paulson,63,0.10800000000000001
69,70,70,Brad Faxon,75,0.109
70,T71,T71,Fred Funk,102,0.11
71,T71,T71,Jay Haas,54,0.11
72,T73,T73,Woody Austin,100,0.111
73,T73,T73,Scott McCarron,78,0.111
74,T75,T75,Mark O'Meara,66,0.11199999999999999
75,T75,T75,Joey Sindelar,104,0.11199999999999999
76,T75,T75,David Toms,87,0.11199999999999999
77,T78,T78,Todd Fischer,99,0.113
78,T78,T78,Jeff Maggert,79,0.113
79,T78,T78,Rod Pampling,89,0.113
80,T78,T78,Jeff Sluman,94,0.113
81,82,82,Jonathan Kaye,77,0.115
82,T83,T83,Chad Campbell,95,0.11599999999999999
83,T83,T83,J.P. Hayes,63,0.11599999999999999
84,T85,T85,Mathias Grönberg,60,0.11800000000000001
85,T85,T85,David Hearn,68,0.11800000000000001
86,87,87,Bob Estes,92,0.11900000000000001
87,T88,T88,D.J. Brigman,76,0.12
88,T88,T88,Harrison Frazar,105,0.12
89,T88,T88,Hank Kuehne,84,0.12
90,91,91,Franklin Langham,91,0.121
91,T92,T92,Chris Anderson,66,0.122
92,T92,T92,Chris DiMarco,83,0.122
93,T94,T94,Jonathan Byrd,103,0.12300000000000001
94,T94,T94,Zach Johnson,96,0.12300000000000001
95,T94,T94,Kevin Na,88,0.12300000000000001
96,T97,T97,Brian Gay,101,0.124
97,T97,T97,Will MacKenzie,75,0.124
98,T99,T99,Lucas Glover,88,0.126
99,T99,T99,Scott Gutschewski,86,0.126
100,101,101,Stephen Leaney,89,0.127
101,T102,T102,Scott Hend,75,0.128
102,T102,T102,Hunter Mahan,103,0.128
103,104,104,Retief Goosen,71,0.131
104,T105,T105,Freddie Jacobson,72,0.133
105,T105,T105,Vaughn Taylor,99,0.133
106,T107,T107,Arjun Atwal,65,0.134
107,T107,T107,Gavin Coles,70,0.134
108,109,109,Darron Stiles,78,0.135
109,T110,T110,Brian Davis,75,0.136
110,T110,T110,Michael Long,72,0.136
111,T110,T110,Sean O'Hair,103,0.136
112,T113,T113,Kent Jones,99,0.13699999999999998
113,T113,T113,Kirk Triplett,55,0.13699999999999998
114,T115,T115,Billy Mayfair,114,0.14
115,T115,T115,Greg Owen,84,0.14
116,T117,T117,Tom Gillis,77,0.141
117,T117,T117,Ryan Palmer,101,0.141
118,T117,T117,Heath Slocum,103,0.141
119,120,120,Arron Oberholser,65,0.14300000000000002
120,T121,T121,Alex Cejka,84,0.14400000000000002
121,T121,T121,Corey Pavin,77,0.14400000000000002
122,123,123,Scott Verplank,87,0.145
123,124,124,Rob Rashell,65,0.146
124,125,125,Nick Watney,91,0.14800000000000002
125,T126,T126,Shaun Micheel,81,0.149
126,T126,T126,Ian Poulter,62,0.149
127,T128,T128,Len Mattiace,86,0.151
128,T128,T128,Tim Petrovic,97,0.151
129,T130,T130,Bart Bryant,91,0.157
130,T130,T130,John Huston,90,0.157
131,T130,T130,Chris Riley,67,0.157
132,T130,T130,Roland Thatcher,75,0.157
133,T130,T130,Jay Williamson,53,0.157
134,T135,T135,James Driscoll,73,0.162
135,T135,T135,Lee Westwood,50,0.162
136,137,137,Brett Quigley,96,0.163
137,T138,T138,Frank Lickliter II,100,0.16399999999999998
138,T138,T138,Rory Sabbatini,81,0.16399999999999998
139,T140,T140,Brenden Pappas,51,0.165
140,T140,T140,Tjaart van der Walt,56,0.165
141,T140,T140,Mark Wilson,74,0.165
142,143,143,Brandt Jobe,96,0.166
143,144,144,Glen Hnatiuk,59,0.17
144,145,145,Tom Pernice Jr.,111,0.171
145,146,146,Cameron Beckman,96,0.172
146,147,147,Robert Allenby,95,0.17300000000000001
147,T148,T148,Omar Uresti,84,0.175
148,T148,T148,Charlie Wi,67,0.175
149,T150,T150,Matt Kuchar,60,0.17600000000000002
150,T150,T150,John Senden,101,0.17600000000000002
151,T152,T152,Stephen Ames,82,0.179
152,T152,T152,Charles Warren,89,0.179
153,154,154,Aaron Baddeley,84,0.18
154,155,155,José Coceres,56,0.184
155,156,156,Ben Curtis,65,0.185
156,157,157,Bill Glasson,54,0.18899999999999997
157,158,158,Steve Elkington,67,0.19399999999999998
158,159,159,John Elliott,58,0.195
159,160,160,Bradley Hughes,52,0.196
160,T161,T161,Craig Barlow,81,0.19699999999999998
161,T161,T161,Luke Donald,67,0.19699999999999998
162,163,163,Patrick Sheehan,114,0.19899999999999998
163,164,164,Stewart Cink,98,0.201
164,165,165,Olin Browne,99,0.20199999999999999
165,166,166,Kevin Stadler,96,0.204
166,167,167,Brent Geiberger,61,0.207
167,168,168,Brian Bateman,98,0.21
168,169,169,K.J. Choi,78,0.212
169,170,170,Mark Hensby,70,0.213
170,171,171,Jason Allred,75,0.214
171,172,172,Duffy Waldorf,86,0.21600000000000003
172,T173,T173,Tom Byrum,83,0.22
173,T173,T173,Skip Kendall,80,0.22
174,T175,T175,Robert Gamez,91,0.222
175,T175,T175,Mike Weir,71,0.222
176,177,177,Paul Claxton,79,0.226
177,178,178,Todd Hamilton,94,0.22699999999999998
178,T179,T179,Bob Heintz,67,0.228
179,T179,T179,Loren Roberts,54,0.228
180,181,181,Rich Beem,66,0.231
181,T182,T182,John Daly,78,0.23199999999999998
182,T182,T182,Justin Leonard,78,0.23199999999999998
183,T184,T184,Steve Flesch,90,0.235
184,T184,T184,Hideto Tanihara,50,0.235
