,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Corey Pavin,77,13.77,19.0,138,-0.16
1,2,2,Jeff Hart,63,8.2,10.0,122,+0.20
2,3,3,Gavin Coles,70,7.86,11.0,140,-0.09
3,4,4,José Coceres,56,6.48,7.0,108,+0.43
4,5,5,Stephen Ames,82,6.15,8.0,130,+0.13
5,6,6,Tom Byrum,83,5.56,9.0,162,E
6,7,7,Brad Faxon,75,5.38,7.0,130,E
7,8,8,Brent Geiberger,61,5.26,6.0,114,+0.83
8,9,9,Loren Roberts,54,4.9,5.0,102,+0.60
9,T10,T10,Chris Anderson,66,4.84,6.0,124,+0.33
10,T10,T10,Steve Stricker,62,4.84,6.0,124,-0.17
11,12,12,Jay Haas,54,4.65,4.0,86,E
12,13,13,John Cook,72,4.55,6.0,132,E
13,14,14,Fred Funk,102,4.49,8.0,178,-0.38
14,15,15,Mark Brooks,72,4.29,6.0,140,+0.67
15,16,16,Len Mattiace,86,4.27,7.0,164,+0.14
16,17,17,Larry Mize,54,4.17,4.0,96,+0.50
17,18,18,Todd Fischer,99,4.12,8.0,194,-0.13
18,T19,T19,Skip Kendall,80,3.85,6.0,156,+0.83
19,T19,T19,Thomas Levet,54,3.85,3.0,78,E
20,T19,T19,Chris Riley,67,3.85,4.0,104,+0.25
21,22,22,Jay Williamson,53,3.77,4.0,106,+0.25
22,23,23,Mark Wilson,74,3.57,5.0,140,+0.40
23,24,24,Peter Lonard,85,3.47,5.0,144,+0.20
24,25,25,Jason Bohn,91,3.45,6.0,174,+0.17
25,26,26,Hideto Tanihara,50,3.13,3.0,96,+1.67
26,27,27,Charlie Wi,67,3.08,4.0,130,+0.25
27,28,28,Bart Bryant,91,3.01,5.0,166,+0.20
28,29,29,Steve Jones,56,3.0,3.0,100,+0.67
29,30,30,Danny Briggs,70,2.94,4.0,136,+0.50
30,T31,T31,Mark Hensby,70,2.88,3.0,104,E
31,T31,T31,Adam Scott,72,2.88,3.0,104,E
32,T31,T31,Joey Sindelar,104,2.88,6.0,208,-0.33
33,T31,T31,Mike Weir,71,2.88,3.0,104,+0.33
34,35,35,Robert Damron,89,2.81,5.0,178,-0.20
