,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Scott Hend,75,303.6,272602,898
1,2,2,John Daly,78,302.2,236935,784
2,3,3,Tiger Woods,76,301.6,233423,774
3,4,4,Brett Wetterich,76,299.7,281132,938
4,5,5,Vijay Singh,111,296.4,362751,1224
5,6,6,Scott Gutschewski,86,296.3,295079,996
6,7,7,Hank Kuehne,84,295.5,306187,1036
7,8,8,Brenden Pappas,51,294.6,202093,686
8,9,9,Sergio Garcia,73,294.3,215413,732
9,10,10,Lucas Glover,88,293.6,320614,1092
10,11,11,Brendan Jones,81,292.3,295788,1012
11,12,12,Fred Couples,72,291.8,175959,603
12,13,13,Chris Smith,93,291.7,345321,1184
13,14,14,Phil Mickelson,81,291.5,203491,698
14,15,15,Stuart Appleby,84,291.4,256982,882
15,T16,T16,Mathias Grönberg,60,291.2,227119,780
16,T16,T16,Tag Ridings,93,291.2,338044,1161
17,T16,T16,Kevin Stadler,96,291.2,333749,1146
18,T19,T19,John Elliott,58,291.1,207823,714
19,T19,T19,Harrison Frazar,105,291.1,377831,1298
20,T19,T19,Davis Love III,80,291.1,227315,781
21,22,22,Charles Warren,89,290.6,324571,1117
22,23,23,Dennis Paulson,63,290.5,227146,782
23,24,24,Sean O'Hair,103,290.1,345196,1190
24,T25,T25,Brandt Jobe,96,289.7,327932,1132
25,T25,T25,Will MacKenzie,75,289.7,274631,948
26,T25,T25,Kenny Perry,82,289.7,241933,835
27,28,28,Jason Allred,75,289.6,254305,878
28,29,29,Rod Pampling,89,289.3,280914,971
29,30,30,Adam Scott,72,289.2,210567,728
30,31,31,Ryan Palmer,101,288.9,324989,1125
31,32,32,Retief Goosen,71,288.7,173820,602
32,33,33,D.J. Trahan,81,288.5,283306,982
33,34,34,Rory Sabbatini,81,288.1,241446,838
34,35,35,Jonathan Byrd,103,288.0,376154,1306
35,36,36,David Hearn,68,287.9,244718,850
36,37,37,Daniel Chopra,108,287.7,369057,1283
37,T38,T38,Charles Howell III,95,287.5,288680,1004
38,T38,T38,Roland Thatcher,75,287.5,269719,938
39,T40,T40,John Rollins,97,287.4,330246,1149
40,T40,T40,Nick Watney,91,287.4,318412,1108
41,42,42,Robert Allenby,95,287.3,289842,1009
42,43,43,Steve Allan,102,286.9,352005,1227
43,T44,T44,James Driscoll,73,286.8,248353,866
44,T44,T44,Mark Hensby,70,286.8,199065,694
45,46,46,J.J. Henry,102,286.5,343758,1200
46,T47,T47,Michael Long,72,286.3,255411,892
47,T47,T47,Ted Purdy,122,286.3,399705,1396
48,49,49,Craig Barlow,81,286.2,251824,880
49,50,50,Marco Dawson,82,286.0,311207,1088
50,51,51,Geoff Ogilvy,97,285.9,296170,1036
51,T52,T52,Bob Heintz,67,285.7,247428,866
52,T52,T52,Neal Lancaster,95,285.7,339998,1190
53,54,54,Lee Westwood,50,285.6,131937,462
54,55,55,Hunter Mahan,103,285.5,369490,1294
55,T56,T56,Arjun Atwal,65,285.1,242296,850
56,T56,T56,Tim Herron,100,285.1,305658,1072
57,T56,T56,Greg Owen,84,285.1,279390,980
58,59,59,Zach Johnson,96,285.0,331693,1164
59,60,60,Jonathan Kaye,77,284.8,256022,899
60,61,61,Ryuji Imada,78,284.7,263595,926
61,62,62,Carlos Franco,78,284.6,266356,936
62,63,63,Brett Quigley,96,284.4,333888,1174
63,T64,T64,John Huston,90,284.1,312798,1101
64,T64,T64,Bo Van Pelt,112,284.1,367352,1293
65,66,66,Jason Bohn,91,283.9,320825,1130
66,67,67,Justin Rose,99,283.7,348967,1230
67,68,68,David Toms,87,283.6,251279,886
68,T69,T69,J.L. Lewis,98,283.5,319781,1128
69,T69,T69,Steve Lowery,100,283.5,341033,1203
70,T71,T71,D.J. Brigman,76,283.4,242568,856
71,T71,T71,Dan Forsman,52,283.4,184221,650
72,73,73,Frank Lickliter II,100,283.2,338746,1196
73,T74,T74,Andrew Magee,82,283.1,277140,979
74,T74,T74,Jesper Parnevik,84,283.1,265025,936
