,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Scott Hend,75,66.25,272560.3,411432
1,2,2,Tiger Woods,76,65.71,233419.7,355236
2,3,3,John Daly,78,65.64,236889.5,360881
3,4,4,Brett Wetterich,76,65.6,281107.6,428487
4,5,5,Scott Gutschewski,86,64.75,295045.9,455654
5,6,6,Vijay Singh,111,64.7,362727.8,560625
6,7,7,Sergio Garcia,73,64.63,215407.0,333272
7,8,8,Hank Kuehne,84,64.58,306162.3,474055
8,9,9,Brenden Pappas,51,64.54,202056.4,313084
9,10,10,Mathias Grönberg,60,64.19,227076.4,353765
10,11,11,Kenny Perry,82,64.17,241930.8,377025
11,12,12,Brendan Jones,81,64.15,295742.8,461052
12,T13,T13,John Elliott,58,64.03,207770.8,324487
13,T13,T13,Lucas Glover,88,64.03,320580.5,500639
14,15,15,Harrison Frazar,105,63.77,377823.3,592454
15,16,16,Stuart Appleby,84,63.76,256980.0,403055
16,17,17,Phil Mickelson,81,63.72,203479.7,319343
17,18,18,Kevin Stadler,96,63.7,333723.6,523871
18,19,19,Chris Smith,93,63.69,345250.4,542104
19,20,20,Tag Ridings,93,63.63,338015.3,531198
20,21,21,Davis Love III,80,63.6,227314.7,357428
21,22,22,Charles Warren,89,63.53,324554.2,510835
22,23,23,Rod Pampling,89,63.52,280913.6,442219
23,24,24,Lee Westwood,50,63.48,131923.5,207829
24,25,25,Will MacKenzie,75,63.41,274591.8,433035
25,26,26,Ryan Palmer,101,63.4,324967.4,512527
26,27,27,Fred Couples,72,63.35,175958.0,277748
27,28,28,Jason Allred,75,63.32,254285.3,401598
28,29,29,D.J. Trahan,81,63.25,283295.1,447873
29,30,30,John Rollins,97,63.2,330177.1,522431
30,T31,T31,Sean O'Hair,103,63.18,345195.7,546352
31,T31,T31,Adam Scott,72,63.18,210567.2,333302
32,33,33,Jonathan Byrd,103,63.15,376153.7,595687
33,34,34,Brandt Jobe,96,63.14,327895.3,519313
34,35,35,Retief Goosen,71,63.13,173819.3,275343
35,36,36,Rory Sabbatini,81,63.11,241427.1,382545
36,37,37,Nick Watney,91,63.09,318380.2,504644
37,38,38,David Hearn,68,63.06,244679.9,388030
38,39,39,Dennis Paulson,63,63.03,227138.9,360338
39,40,40,Daniel Chopra,108,63.02,369035.6,585589
40,41,41,Steve Allan,102,63.01,351989.4,558584
41,42,42,Hunter Mahan,103,62.92,369480.8,587207
42,43,43,Mark Hensby,70,62.9,199050.1,316469
43,44,44,Michael Long,72,62.89,255396.9,406115
44,45,45,Ted Purdy,122,62.75,399702.3,636949
45,46,46,Robert Allenby,95,62.73,289826.1,462024
46,47,47,Roland Thatcher,75,62.71,269710.5,430080
47,T48,T48,Marco Dawson,82,62.66,311201.0,496621
48,T48,T48,J.J. Henry,102,62.66,343685.9,548536
49,50,50,Zach Johnson,96,62.61,331692.6,529812
50,51,51,Jonathan Kaye,77,62.58,256022.3,409087
51,52,52,Bob Heintz,67,62.57,247418.0,395414
52,53,53,Neal Lancaster,95,62.56,339989.6,543484
53,54,54,Charles Howell III,95,62.54,288665.7,461577
54,55,55,John Huston,90,62.49,312741.2,500491
55,56,56,James Driscoll,73,62.46,248335.7,397598
56,T57,T57,Arjun Atwal,65,62.44,242295.6,388057
57,T57,T57,Geoff Ogilvy,97,62.44,296170.0,474291
58,59,59,Craig Barlow,81,62.42,251818.9,403429
59,60,60,Dan Forsman,52,62.33,184221.2,295570
60,61,61,Jason Bohn,91,62.27,320787.2,515157
61,62,62,Pat Perez,89,62.26,288634.6,463560
62,63,63,Justin Rose,99,62.24,348926.6,560624
63,T64,T64,Ben Crane,78,62.19,253512.8,407654
64,T64,T64,Tim Herron,100,62.19,305648.5,491438
65,T64,T64,Greg Owen,84,62.19,279390.2,449271
66,T64,T64,Bo Van Pelt,112,62.19,367307.5,590654
67,68,68,Carlos Franco,78,62.17,266349.7,428408
68,T69,T69,Woody Austin,100,62.16,356970.3,574231
69,T69,T69,Frank Lickliter II,100,62.16,338729.0,544908
70,71,71,Brett Quigley,96,62.14,333888.2,537288
71,72,72,John Senden,101,62.11,354935.9,571442
72,73,73,Andrew Magee,82,62.06,277121.5,446518
73,74,74,Steve Lowery,100,62.05,341001.0,549593
74,75,75,Vaughn Taylor,99,62.03,352956.5,568965
75,76,76,Ryuji Imada,78,62.01,263579.8,425053
76,77,77,Justin Bolli,65,61.99,232186.8,374533
77,78,78,J.L. Lewis,98,61.98,319759.3,515933
78,T79,T79,Jesper Parnevik,84,61.97,265024.1,427673
79,T79,T79,Joey Snyder III,102,61.97,359656.8,580337
80,81,81,David Toms,87,61.96,251279.1,405534
81,82,82,Bradley Hughes,52,61.92,192148.4,310312
82,T83,T83,D.J. Brigman,76,61.88,242544.9,391962
83,T83,T83,D.A. Points,94,61.88,322807.7,521681
84,T85,T85,Michael Allen,90,61.86,302368.2,488796
85,T85,T85,Briny Baird,98,61.86,348113.6,562716
86,T85,T85,Padraig Harrington,50,61.86,159530.5,257872
87,T88,T88,Mark Calcavecchia,92,61.84,297558.3,481186
88,T88,T88,Rocco Mediate,73,61.84,254796.3,412049
89,90,90,Chad Campbell,95,61.81,296151.8,479130
90,91,91,Glen Day,80,61.8,286967.6,464347
91,T92,T92,Joe Ogilvie,103,61.77,306393.8,496034
92,T92,T92,Carl Pettersson,109,61.77,367188.0,594409
93,94,94,Mario Tiziani,67,61.72,235717.6,381930
94,95,95,Brian Bateman,98,61.69,332410.8,538848
95,96,96,Jeff Maggert,79,61.68,234960.6,380960
96,97,97,Patrick Sheehan,114,61.66,376636.3,610818
97,T98,T98,Jeff Brehaut,71,61.65,246020.7,399056
98,T98,T98,Peter Lonard,85,61.65,258454.7,419208
99,100,100,Freddie Jacobson,72,61.63,218097.4,353888
100,T101,T101,K.J. Choi,78,61.6,211998.7,344165
101,T101,T101,Hideto Tanihara,50,61.6,175575.2,285045
102,103,103,Tom Pernice Jr.,111,61.57,347471.0,564370
103,104,104,Rich Beem,66,61.54,188551.8,306397
104,105,105,Craig Perks,67,61.53,228210.1,370922
105,106,106,Hunter Haas,83,61.51,283673.7,461155
106,107,107,Tim Petrovic,97,61.48,309686.6,503693
107,108,108,Todd Hamilton,94,61.44,293186.3,477189
108,T109,T109,Joe Durant,81,61.36,267485.6,435937
109,T109,T109,Joey Sindelar,104,61.36,383870.8,625652
110,T111,T111,Bart Bryant,91,61.35,295135.2,481107
