,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Jeff Hart,63,75.97,645,849
1,2,2,Fred Funk,102,75.9,1071,1411
2,3,3,Omar Uresti,84,74.94,879,1173
3,4,4,Olin Browne,99,73.46,969,1319
4,5,5,Gavin Coles,70,73.44,719,979
5,6,6,Bart Bryant,91,73.0,933,1278
6,7,7,José Coceres,56,71.88,542,754
7,8,8,Brian Davis,75,71.73,751,1047
8,9,9,Scott Verplank,87,71.48,862,1206
9,10,10,Robert Damron,89,71.43,885,1239
10,11,11,Heath Slocum,103,71.25,984,1381
11,12,12,Paul Claxton,79,71.14,784,1102
12,13,13,Joe Durant,81,70.9,804,1134
13,14,14,Jay Williamson,53,70.77,523,739
14,15,15,Skip Kendall,80,70.63,767,1086
15,16,16,Jeff Maggert,79,70.54,728,1032
16,17,17,Kirk Triplett,55,70.43,512,727
17,18,18,Tom Byrum,83,70.28,816,1161
18,19,19,Larry Mize,54,70.16,489,697
19,20,20,Jeff Brehaut,71,69.92,651,931
20,21,21,John Cook,72,69.85,681,975
21,22,22,Billy Mayfair,114,69.75,1070,1534
22,T23,T23,Darron Stiles,78,69.27,735,1061
23,T23,T23,Duffy Waldorf,86,69.27,798,1152
24,25,25,Matt Kuchar,60,68.98,576,835
25,26,26,Doug Barron,70,68.88,673,977
26,27,27,David Hearn,68,68.53,649,947
27,28,28,Richard Johnson,50,68.49,476,695
28,29,29,Hidemichi Tanaka,106,68.45,972,1420
29,30,30,Jim Carter,62,68.22,571,837
30,31,31,Joey Sindelar,104,68.14,988,1450
31,32,32,Jim Furyk,94,68.07,887,1303
32,33,33,Jerry Kelly,101,68.02,938,1379
33,34,34,Loren Roberts,54,67.97,503,740
34,35,35,Stephen Leaney,89,67.92,811,1194
35,36,36,Mark Brooks,72,67.9,679,1000
36,37,37,Danny Briggs,70,67.86,644,949
37,38,38,Bradley Hughes,52,67.5,488,723
38,39,39,Alex Cejka,84,67.23,759,1129
39,40,40,Brian Gay,101,67.22,927,1379
40,41,41,Mark Wilson,74,67.21,654,973
41,42,42,Jeff Sluman,94,67.18,878,1307
42,43,43,Briny Baird,98,67.14,897,1336
43,44,44,Chris Riley,67,67.11,602,897
44,45,45,Corey Pavin,77,66.99,682,1018
45,46,46,Robert Gamez,91,66.98,846,1263
46,47,47,Zach Johnson,96,66.92,894,1336
47,48,48,Arron Oberholser,65,66.7,585,877
48,49,49,Mark Calcavecchia,92,66.51,838,1260
49,T50,T50,Joey Snyder III,102,66.28,906,1367
50,T50,T50,Tjaart van der Walt,56,66.28,517,780
51,52,52,Paul Gow,78,66.21,684,1033
52,53,53,Tommy Armour III,103,66.06,946,1432
53,54,54,John Senden,101,65.99,910,1379
54,55,55,David Toms,87,65.96,711,1078
55,56,56,Steve Elkington,67,65.91,613,930
56,57,57,Steve Jones,56,65.87,496,753
57,58,58,Phillip Price,77,65.81,668,1015
58,59,59,Tim Clark,92,65.77,803,1221
59,60,60,Rocco Mediate,73,65.75,666,1013
60,61,61,Kent Jones,99,65.6,885,1349
61,62,62,Jay Haas,54,65.59,467,712
62,63,63,Cameron Beckman,96,65.52,838,1279
63,64,64,Mario Tiziani,67,65.41,592,905
64,65,65,Jonathan Kaye,77,65.35,679,1039
65,66,66,Dean Wilson,86,65.19,779,1195
66,67,67,K.J. Choi,78,64.98,668,1028
67,68,68,Kevin Sutherland,89,64.94,789,1215
68,69,69,Matt Davidson,53,64.72,477,737
69,70,70,Roland Thatcher,75,64.6,657,1017
70,71,71,Craig Barlow,81,64.52,691,1071
71,72,72,Tom Gillis,77,64.5,674,1045
72,73,73,Todd Fischer,99,64.47,871,1351
73,74,74,Justin Leonard,78,64.39,680,1056
74,75,75,Luke Donald,67,64.34,545,847
75,76,76,Tom Lehman,69,64.29,605,941
76,77,77,Bob Estes,92,64.22,822,1280
77,78,78,Vaughn Taylor,99,64.21,888,1383
78,79,79,Charles Warren,89,64.16,777,1211
79,80,80,J.L. Lewis,98,63.95,871,1362
80,81,81,Chris Anderson,66,63.7,551,865
81,T82,T82,Bob Tway,87,63.69,742,1165
82,T82,T82,Mike Weir,71,63.69,591,928
83,84,84,John Rollins,97,63.68,845,1327
84,85,85,Justin Rose,99,63.67,843,1324
85,86,86,D.A. Points,94,63.59,798,1255
86,87,87,Harrison Frazar,105,63.49,894,1408
87,88,88,Ben Curtis,65,63.41,577,910
88,89,89,Kenny Perry,82,63.4,712,1123
89,90,90,Billy Andrade,83,63.38,732,1155
90,91,91,Ted Purdy,122,63.35,1084,1711
91,92,92,Matt Gogel,78,63.3,671,1060
92,93,93,Mathias Grönberg,60,63.2,510,807
93,94,94,D.J. Brigman,76,63.08,634,1005
94,95,95,Bill Glasson,54,63.03,457,725
95,96,96,Brent Geiberger,61,63.02,518,822
96,97,97,Steve Flesch,90,62.93,752,1195
97,98,98,Bo Van Pelt,112,62.9,985,1566
98,99,99,Tom Pernice Jr.,111,62.88,940,1495
99,100,100,Marco Dawson,82,62.81,716,1140
100,101,101,Frank Lickliter II,100,62.8,839,1336
101,102,102,Mark Hensby,70,62.66,604,964
102,103,103,Joe Ogilvie,103,62.44,866,1387
103,104,104,Michael Long,72,62.36,608,975
104,105,105,John Huston,90,62.34,745,1195
105,106,106,Steve Lowery,100,62.29,834,1339
106,T107,T107,Glen Day,80,62.28,677,1087
107,T107,T107,Ian Poulter,62,62.28,492,790
108,109,109,Robert Allenby,95,62.27,779,1251
109,110,110,Glen Hnatiuk,59,62.22,476,765
110,111,111,Brian Bateman,98,62.15,811,1305
111,112,112,Will MacKenzie,75,62.14,632,1017
112,113,113,Jason Bohn,91,62.13,786,1265
113,114,114,Shaun Micheel,81,62.1,685,1103
114,115,115,Charlie Wi,67,62.07,563,907
115,116,116,Greg Owen,84,62.06,692,1115
116,117,117,Todd Hamilton,94,61.92,792,1279
