,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Scott Hend,75,70.35,203099.5,288708
1,2,2,John Daly,78,70.24,178255.3,253798
2,3,3,Tiger Woods,76,69.75,176117.7,252501
3,4,4,Brett Wetterich,76,69.47,211452.0,304377
4,5,5,Vijay Singh,111,69.08,276703.2,400556
5,6,6,Hank Kuehne,84,68.75,229418.0,333680
6,7,7,Scott Gutschewski,86,68.74,220579.5,320906
7,8,8,Sergio Garcia,73,68.68,165399.5,240825
8,9,9,Brenden Pappas,51,68.35,151039.2,220975
9,10,10,Brendan Jones,81,68.29,222405.3,325662
10,11,11,Mathias Grönberg,60,68.24,173134.2,253715
11,12,12,Lucas Glover,88,68.23,240296.2,352199
12,13,13,Kevin Stadler,96,68.21,246924.5,362001
13,14,14,Chris Smith,93,68.09,255632.9,375455
14,15,15,Harrison Frazar,105,67.94,283234.8,416910
15,16,16,Tag Ridings,93,67.83,250618.5,369472
16,17,17,Rod Pampling,89,67.81,216116.4,318692
17,18,18,Charles Warren,89,67.78,243168.1,358770
18,19,19,Phil Mickelson,81,67.77,154202.7,227535
19,20,20,Stuart Appleby,84,67.73,196904.6,290728
20,21,21,John Elliott,58,67.72,158613.2,234232
21,22,22,Fred Couples,72,67.71,132349.1,195460
22,23,23,Kenny Perry,82,67.67,188955.4,279220
23,24,24,Dennis Paulson,63,67.6,169253.1,250357
24,T25,T25,Will MacKenzie,75,67.56,206013.0,304911
25,T25,T25,Ryan Palmer,101,67.56,245591.7,363499
26,27,27,Retief Goosen,71,67.5,132344.9,196078
27,T28,T28,John Rollins,97,67.42,250341.7,371321
28,T28,T28,Roland Thatcher,75,67.42,201312.6,298607
29,30,30,Lee Westwood,50,67.33,103437.6,153626
30,31,31,D.J. Trahan,81,67.31,213536.3,317229
31,32,32,Jason Allred,75,67.25,190122.0,282713
32,T33,T33,Craig Barlow,81,67.24,187311.9,278583
33,T33,T33,David Hearn,68,67.24,183754.6,273297
