,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Vijay Singh,111,2.03,0.934,0.6970000000000001,0.39799999999999996,88
1,2,2,Kenny Perry,82,1.835,0.9490000000000001,0.898,-0.012,60
2,3,3,Sergio Garcia,73,1.7730000000000001,1.003,0.522,0.248,52
3,4,4,Tiger Woods,76,1.742,0.8959999999999999,0.86,-0.015,55
4,5,5,Jim Furyk,94,1.5,0.096,0.982,0.42200000000000004,72
5,6,6,Luke Donald,67,1.4340000000000002,0.08199999999999999,0.93,0.42200000000000004,40
6,7,7,Phil Mickelson,81,1.261,0.341,0.565,0.355,50
7,8,8,Brian Davis,75,1.12,0.488,0.5920000000000001,0.04,64
8,9,9,Joe Durant,81,1.112,0.562,0.523,0.027999999999999997,69
9,10,10,Fred Couples,72,1.0979999999999999,0.499,0.629,-0.03,44
10,11,11,Scott Verplank,87,1.042,0.24600000000000002,0.593,0.203,66
11,12,12,Adam Scott,72,1.03,0.441,0.5660000000000001,0.024,52
12,13,13,Billy Mayfair,114,0.9840000000000001,0.409,0.304,0.271,102
13,14,14,Justin Rose,99,0.9640000000000001,0.342,0.39899999999999997,0.223,89
14,15,15,Davis Love III,80,0.945,0.498,0.433,0.013999999999999999,57
15,16,16,David Toms,87,0.922,0.201,0.546,0.174,64
16,17,17,Shigeki Maruyama,99,0.92,-0.11699999999999999,0.721,0.316,85
17,18,18,Robert Allenby,95,0.88,0.345,0.705,-0.17,73
18,19,19,Alex Cejka,84,0.853,0.012,0.7609999999999999,0.08,70
19,20,20,Tim Clark,92,0.848,0.052000000000000005,0.608,0.188,65
20,21,21,Greg Owen,84,0.818,0.441,0.386,-0.008,71
21,22,22,Woody Austin,100,0.815,0.126,0.49,0.2,91
22,23,23,Tim Herron,100,0.797,0.249,0.18899999999999997,0.359,78
23,24,24,Stuart Appleby,84,0.7829999999999999,0.41,0.20600000000000002,0.168,63
24,25,25,Bart Bryant,91,0.772,0.44,0.452,-0.12,77
25,26,26,D.J. Trahan,81,0.758,0.551,0.203,0.003,71
26,27,27,Jerry Kelly,101,0.7440000000000001,0.336,0.292,0.115,76
27,28,28,Bob Estes,92,0.737,-0.06,0.6759999999999999,0.121,80
28,29,29,Mark Calcavecchia,92,0.73,0.348,0.586,-0.204,77
29,30,30,Charles Howell III,95,0.705,0.429,0.047,0.22899999999999998,72
30,31,31,David Hearn,68,0.703,0.564,0.139,0.0,61
31,32,32,Rod Pampling,89,0.688,0.353,0.302,0.033,70
32,T33,T33,Jeff Brehaut,71,0.674,0.048,0.633,-0.006,63
33,T33,T33,Rocco Mediate,73,0.674,0.168,0.436,0.069,66
34,35,35,Joey Sindelar,104,0.65,0.29,0.532,-0.172,99
35,36,36,Jason Bohn,91,0.643,0.18899999999999997,0.435,0.019,82
36,37,37,J.J. Henry,102,0.64,0.316,0.371,-0.047,87
37,38,38,Omar Uresti,84,0.639,0.114,0.294,0.231,74
38,39,39,Lucas Glover,88,0.623,0.541,0.25,-0.16899999999999998,79
39,40,40,John Senden,101,0.599,0.297,0.36200000000000004,-0.06,91
40,41,41,Mathias Grönberg,60,0.5920000000000001,0.529,0.02,0.043,56
41,T42,T42,Chris DiMarco,83,0.591,-0.22899999999999998,0.762,0.057999999999999996,59
42,T42,T42,Zach Johnson,96,0.591,0.49,0.08,0.021,83
43,44,44,Heath Slocum,103,0.585,0.11900000000000001,0.45899999999999996,0.006999999999999999,90
44,45,45,Retief Goosen,71,0.583,0.281,0.336,-0.034,43
45,46,46,Tom Lehman,69,0.58,0.067,0.47600000000000003,0.037000000000000005,50
46,47,47,Justin Leonard,78,0.564,-0.031,0.39299999999999996,0.20199999999999999,55
47,48,48,Vaughn Taylor,99,0.5579999999999999,0.17600000000000002,0.312,0.07,90
48,49,49,Brandt Jobe,96,0.557,0.429,0.314,-0.18600000000000003,82
49,50,50,John Rollins,97,0.547,0.551,-0.031,0.027999999999999997,83
50,T51,T51,Tommy Armour III,103,0.529,0.268,0.37799999999999995,-0.11699999999999999,92
51,T51,T51,Chad Campbell,95,0.529,-0.06,0.47600000000000003,0.113,76
52,53,53,Jay Haas,54,0.523,-0.218,0.615,0.126,39
53,54,54,Jeff Maggert,79,0.508,0.297,0.40299999999999997,-0.193,60
54,55,55,Jonathan Kaye,77,0.505,0.34,0.155,0.01,64
55,56,56,Scott Gutschewski,86,0.501,0.45799999999999996,0.11199999999999999,-0.07,72
56,57,57,J.L. Lewis,98,0.489,0.20600000000000002,0.161,0.122,82
57,58,58,José María Olazábal,55,0.48700000000000004,-0.177,0.239,0.425,41
58,59,59,Fred Funk,102,0.48,-0.018000000000000002,0.42700000000000005,0.07200000000000001,82
59,60,60,Craig Barlow,81,0.479,0.040999999999999995,0.425,0.013999999999999999,64
60,61,61,Carlos Franco,78,0.47700000000000004,0.025,0.368,0.084,67
61,62,62,Brett Wetterich,76,0.473,0.737,0.122,-0.386,68
62,63,63,Harrison Frazar,105,0.466,0.489,0.21,-0.23399999999999999,94
63,64,64,Stephen Leaney,89,0.452,-0.182,0.331,0.303,76
64,65,65,Brett Quigley,96,0.42700000000000005,-0.024,0.055999999999999994,0.396,85
65,66,66,Loren Roberts,54,0.42,-0.539,0.7709999999999999,0.188,48
66,67,67,Bo Van Pelt,112,0.419,0.156,0.42700000000000005,-0.163,93
67,T68,T68,K.J. Choi,78,0.41600000000000004,0.392,-0.221,0.245,54
68,T68,T68,Geoff Ogilvy,97,0.41600000000000004,0.18899999999999997,0.028999999999999998,0.198,75
69,T68,T68,Tom Pernice Jr.,111,0.41600000000000004,0.157,0.11599999999999999,0.14300000000000002,89
70,T71,T71,Peter Lonard,85,0.396,0.162,0.198,0.037000000000000005,66
71,T71,T71,Lee Westwood,50,0.396,0.7020000000000001,0.08900000000000001,-0.395,33
72,73,73,Stephen Ames,82,0.376,-0.087,0.369,0.094,61
73,74,74,Ted Purdy,122,0.375,0.35200000000000004,0.034,-0.011000000000000001,100
74,75,75,Jeff Sluman,94,0.371,-0.028999999999999998,0.35600000000000004,0.044000000000000004,85
75,76,76,Bernhard Langer,67,0.34700000000000003,-0.218,0.39,0.17600000000000002,46
76,77,77,Kevin Sutherland,89,0.34600000000000003,-0.009000000000000001,-0.01,0.366,74
77,78,78,Carl Pettersson,109,0.33799999999999997,-0.235,0.39399999999999996,0.18,94
78,79,79,Rory Sabbatini,81,0.322,0.17600000000000002,-0.057999999999999996,0.204,60
79,80,80,Joey Snyder III,102,0.318,0.49,0.177,-0.349,92
80,81,81,Arron Oberholser,65,0.315,0.245,0.11199999999999999,-0.042,51
81,82,82,Marco Dawson,82,0.304,0.142,-0.092,0.255,79
82,83,83,Ryuji Imada,78,0.303,0.142,-0.008,0.17,67
83,84,84,Doug Barron,70,0.285,-0.055999999999999994,0.222,0.11900000000000001,65
84,85,85,Charles Warren,89,0.27899999999999997,0.708,-0.077,-0.35200000000000004,81
85,86,86,Stewart Cink,98,0.278,-0.262,0.529,0.011000000000000001,71
86,87,87,Arjun Atwal,65,0.27,0.075,0.256,-0.061,61
87,88,88,Jay Williamson,53,0.264,0.319,-0.21100000000000002,0.156,47
88,89,89,Jonathan Byrd,103,0.248,0.10400000000000001,-0.037000000000000005,0.18100000000000002,94
89,90,90,Steve Elkington,67,0.23800000000000002,0.14300000000000002,-0.033,0.128,55
90,91,91,Briny Baird,98,0.237,0.2,0.105,-0.068,89
91,92,92,Dudley Hart,84,0.235,-0.213,0.41,0.038,73
92,93,93,Sean O'Hair,103,0.22899999999999998,0.5489999999999999,0.004,-0.324,86
93,94,94,Richard Johnson,50,0.192,-0.018000000000000002,0.19,0.019,46
94,95,95,Darron Stiles,78,0.172,0.107,0.128,-0.063,70
95,96,96,Daniel Chopra,108,0.166,0.22699999999999998,-0.152,0.091,93
96,97,97,Dan Forsman,52,0.165,-0.295,0.332,0.129,47
97,98,98,John Huston,90,0.147,0.1,0.29100000000000004,-0.243,80
98,99,99,Olin Browne,99,0.14300000000000002,-0.105,0.40700000000000003,-0.16,84
99,100,100,Hidemichi Tanaka,106,0.13699999999999998,0.051,0.071,0.015,95
100,101,101,Robert Damron,89,0.133,0.016,-0.011000000000000001,0.128,80
101,102,102,Tim Petrovic,97,0.126,-0.24,0.268,0.098,80
102,103,103,Mike Weir,71,0.109,-0.066,-0.34600000000000003,0.521,47
103,104,104,Padraig Harrington,50,0.102,-0.34299999999999997,-0.031,0.47600000000000003,41
104,105,105,Steve Lowery,100,0.09699999999999999,0.113,0.098,-0.114,87
105,106,106,Roland Thatcher,75,0.096,0.42200000000000004,-0.054000000000000006,-0.272,68
106,107,107,Pat Perez,89,0.095,0.184,-0.17800000000000002,0.09,74
107,108,108,Billy Andrade,83,0.08800000000000001,0.031,0.12,-0.063,74
108,109,109,Robert Gamez,91,0.087,0.14,0.17800000000000002,-0.23199999999999998,81
109,110,110,Frank Lickliter II,100,0.08199999999999999,0.075,0.057999999999999996,-0.051,86
110,111,111,Neal Lancaster,95,0.08,0.135,-0.05,-0.005,86
111,112,112,Brian Bateman,98,0.075,-0.034,0.179,-0.07,86
112,113,113,Corey Pavin,77,0.069,-1.008,0.556,0.521,61
113,T114,T114,Glen Hnatiuk,59,0.061,-0.213,0.14400000000000002,0.13,51
114,T114,T114,D.A. Points,94,0.061,0.191,0.124,-0.254,83
115,116,116,Brad Faxon,75,0.055,-0.45899999999999996,0.415,0.099,58
116,117,117,Bob Tway,87,0.049,-0.013000000000000001,0.075,-0.012,66
117,118,118,Chris Smith,93,0.044000000000000004,0.376,-0.109,-0.223,86
118,119,119,Ben Crane,78,0.0,0.09699999999999999,-0.215,0.11900000000000001,65
119,120,120,Michael Allen,90,-0.011000000000000001,-0.26,-0.03,0.27899999999999997,77
120,121,121,John Daly,78,-0.027000000000000003,0.192,-0.113,-0.106,56
121,122,122,Shaun Micheel,81,-0.034,0.052000000000000005,0.14,-0.226,64
122,123,123,Cameron Beckman,96,-0.044000000000000004,-0.05,-0.022000000000000002,0.027999999999999997,85
123,124,124,Jesper Parnevik,84,-0.063,0.0,-0.179,0.11599999999999999,68
124,125,125,Phillip Price,77,-0.066,-0.34700000000000003,0.163,0.11699999999999999,64
125,126,126,Joe Ogilvie,103,-0.08199999999999999,0.042,-0.254,0.13,79
126,127,127,Dean Wilson,86,-0.083,-0.27,0.14,0.046,80
127,128,128,Hunter Mahan,103,-0.092,0.249,-0.018000000000000002,-0.32299999999999995,93
128,129,129,Brendan Jones,81,-0.096,0.003,0.063,-0.161,73
129,130,130,Will MacKenzie,75,-0.10800000000000001,-0.016,-0.085,-0.006999999999999999,68
130,131,131,Duffy Waldorf,86,-0.114,-0.249,0.154,-0.019,71
131,132,132,Todd Hamilton,94,-0.14300000000000002,0.19899999999999998,-0.032,-0.31,75
132,133,133,Steve Jones,56,-0.174,-0.013000000000000001,-0.035,-0.126,46
133,134,134,Kevin Na,88,-0.177,-0.262,-0.057999999999999996,0.14300000000000002,80
134,135,135,Lee Janzen,75,-0.19,-0.789,0.245,0.353,60
135,136,136,Paul Gow,78,-0.20600000000000002,-0.32799999999999996,-0.162,0.285,68
136,137,137,Rich Beem,66,-0.20800000000000002,-0.049,-0.22699999999999998,0.068,48
137,138,138,Kirk Triplett,55,-0.218,-0.039,-0.055999999999999994,-0.124,44
138,139,139,Freddie Jacobson,72,-0.222,-0.281,0.096,-0.036000000000000004,56
139,140,140,Franklin Langham,91,-0.228,-0.43799999999999994,-0.025,0.23399999999999999,77
140,141,141,D.J. Brigman,76,-0.22899999999999998,0.11699999999999999,-0.177,-0.16899999999999998,62
141,142,142,Glen Day,80,-0.23,-0.113,-0.32299999999999995,0.20600000000000002,74
142,143,143,Hunter Haas,83,-0.243,-0.359,0.162,-0.046,73
143,144,144,Paul Claxton,79,-0.252,-0.11900000000000001,-0.204,0.071,66
144,145,145,Andrew Magee,82,-0.259,-0.327,-0.027999999999999997,0.096,71
145,146,146,Mark Wilson,74,-0.261,-0.336,-0.19899999999999998,0.27399999999999997,64
146,147,147,Tag Ridings,93,-0.27,0.054000000000000006,-0.055999999999999994,-0.267,84
147,148,148,Michael Long,72,-0.27399999999999997,-0.011000000000000001,-0.36200000000000004,0.099,64
148,149,149,Bradley Hughes,52,-0.27899999999999997,0.298,0.036000000000000004,-0.613,49
149,150,150,Tom Byrum,83,-0.305,-0.255,0.073,-0.12300000000000001,76
