,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,D.A. Points,94,442,Buick Championship,1,14,503
1,2,2,Stuart Appleby,84,427,World Golf Championships-NEC Invitational,3,16,36
2,3,3,Graeme McDowell,44,422,The Honda Classic,4,9,710
3,4,4,Richard Johnson,50,418,Valero Texas Open,3,5,625
4,5,5,Jason Allred,75,417,Valero Texas Open,2,14,625
5,6,6,Jerry Kelly,101,416,Valero Texas Open,2,14,625
6,7,2,Stuart Appleby,84,412,World Golf Championships-NEC Invitational,2,16,36
7,T8,T8,Davis Love III,80,408,World Golf Championships-NEC Invitational,2,16,36
8,T8,T8,Tiger Woods,76,408,Mercedes Championships,2,12,656
9,T8,2,Stuart Appleby,84,408,World Golf Championships-NEC Invitational,1,16,36
10,11,11,Patrick Sheehan,114,407,Valero Texas Open,2,14,625
11,12,12,Henrik Stenson,16,406,World Golf Championships-NEC Invitational,2,16,36
12,T13,T13,Ángel Cabrera,32,402,World Golf Championships-NEC Invitational,2,16,36
13,T13,T13,Daniel Chopra,108,402,Valero Texas Open,2,1,625
14,T13,T13,Will MacKenzie,75,402,Reno-Tahoe Open,2,14,660
15,T16,T16,Ernie Els,44,401,Mercedes Championships,3,12,656
16,T16,T16,D.J. Brigman,76,401,Valero Texas Open,2,14,625
17,18,18,Sean O'Hair,103,400,World Golf Championships-NEC Invitational,1,9,36
18,T19,T19,John Daly,78,399,Cialis Western Open,2,17,526
19,T19,T19,Jeff Maggert,79,399,Valero Texas Open,4,11,625
20,T19,T19,Michael Long,72,399,Valero Texas Open,2,14,625
21,T22,T22,Phil Mickelson,81,398,World Golf Championships-NEC Invitational,3,16,36
22,T22,T22,Harrison Frazar,105,398,Valero Texas Open,3,18,625
23,T22,T22,Roland Thatcher,75,398,Valero Texas Open,2,14,625
24,T25,T19,John Daly,78,397,Shell Houston Open,3,16,699
25,T25,T25,Vijay Singh,111,397,Mercedes Championships,2,12,656
26,T27,T16,Ernie Els,44,396,Mercedes Championships,2,12,656
27,T27,2,Stuart Appleby,84,396,Mercedes Championships,3,12,656
28,T27,T27,Jason Gore,28,396,84 LUMBER Classic,2,5,696
29,T27,T27,Brett Wetterich,76,396,84 LUMBER Classic,2,8,696
30,T31,T31,John Huston,90,395,Michelin Championship at Las Vegas,1,1,538
31,T31,T8,Tiger Woods,76,395,Mercedes Championships,3,12,656
32,T31,T31,Rod Pampling,89,395,Valero Texas Open,1,11,625
33,T31,T31,Ryan Palmer,101,395,Mercedes Championships,2,12,656
34,T35,T35,Carlos Franco,78,394,Mercedes Championships,3,18,656
35,T35,T35,Retief Goosen,71,394,Mercedes Championships,3,12,656
36,T35,T35,Mark Hensby,70,394,Mercedes Championships,3,12,656
37,T35,T35,John Rollins,97,394,84 LUMBER Classic,2,11,696
38,T39,T39,David Toms,87,393,Mercedes Championships,3,12,656
39,T39,T31,Rod Pampling,89,393,Valero Texas Open,4,11,625
40,T39,T39,Geoff Ogilvy,97,393,FBR Open,1,10,510
41,T39,T39,Scott Hend,75,393,84 LUMBER Classic,2,5,696
42,T39,T39,J.J. Henry,102,393,FBR Open,1,3,510
43,T44,T44,Steve Stricker,62,392,Valero Texas Open,2,14,625
44,T44,T44,Stewart Cink,98,392,Mercedes Championships,2,12,656
45,T44,T31,Rod Pampling,89,392,Mercedes Championships,2,12,656
46,T44,11,Patrick Sheehan,114,392,84 LUMBER Classic,2,11,696
47,T44,T44,Vaughn Taylor,99,392,Valero Texas Open,4,11,625
48,T49,T49,Brandt Jobe,96,391,84 LUMBER Classic,2,11,696
49,T49,T49,Brett Quigley,96,391,Shell Houston Open,3,9,699
50,T49,T49,Sergio Garcia,73,391,Mercedes Championships,3,12,656
51,T49,T49,Hank Kuehne,84,391,Shell Houston Open,2,14,699
52,T49,T13,Will MacKenzie,75,391,Valero Texas Open,4,11,625
53,T54,T8,Tiger Woods,76,390,Mercedes Championships,2,7,656
54,T54,T54,Adam Scott,72,390,World Golf Championships-NEC Invitational,1,16,36
55,T56,T56,Chris Smith,93,389,Valero Texas Open,2,1,625
56,T56,T25,Vijay Singh,111,389,Mercedes Championships,3,18,656
57,T56,2,Stuart Appleby,84,389,Mercedes Championships,4,6,656
58,T59,T49,Brandt Jobe,96,388,Bell Canadian Open,2,7,716
59,T59,T59,Craig Bowden,41,388,Valero Texas Open,2,1,625
60,T59,T8,Tiger Woods,76,388,World Golf Championships-NEC Invitational,4,16,36
61,T59,T49,Sergio Garcia,73,388,THE TOUR Championship presented by Coca-Cola,1,16,688
62,T59,T59,Steve Allan,102,388,FBR Open,1,10,510
63,T59,T39,J.J. Henry,102,388,Chrysler Classic of Greensboro,4,16,13
64,T65,T56,Chris Smith,93,387,84 LUMBER Classic,2,8,696
65,T65,T65,Bo Van Pelt,112,387,Michelin Championship at Las Vegas,3,9,538
66,T65,T65,Jason Bohn,91,387,Valero Texas Open,3,14,625
67,T68,T68,Bill Glasson,54,386,FBR Open,1,3,510
68,T68,T68,Tim Petrovic,97,386,Valero Texas Open,2,1,625
69,T68,T68,Joey Sindelar,104,386,Mercedes Championships,2,12,656
70,T68,T16,Ernie Els,44,386,Mercedes Championships,3,18,656
71,T68,T68,Glen Hnatiuk,59,386,Buick Championship,1,14,503
72,T68,T27,Brett Wetterich,76,386,84 LUMBER Classic,2,11,696
73,T68,T68,Rory Sabbatini,81,386,Valero Texas Open,3,14,625
74,T75,T75,Fred Couples,72,385,World Golf Championships-NEC Invitational,2,16,36
75,T75,T19,John Daly,78,385,84 LUMBER Classic,2,5,696
76,T75,T75,Neal Lancaster,95,385,Valero Texas Open,2,14,625
77,T75,T27,Jason Gore,28,385,84 LUMBER Classic,2,11,696
78,T79,T79,Clark Dennis,4,384,Valero Texas Open,2,1,625
79,T79,T79,John Elliott,58,384,Valero Texas Open,3,1,625
80,T79,T35,Retief Goosen,71,384,World Golf Championships-NEC Invitational,2,16,36
81,T79,T13,Daniel Chopra,108,384,Valero Texas Open,2,14,625
82,T79,T79,Aaron Baddeley,84,384,Reno-Tahoe Open,2,5,660
83,T79,T39,Scott Hend,75,384,Chrysler Classic of Greensboro,1,9,13
84,T79,T79,Jonathan Byrd,103,384,Mercedes Championships,3,18,656
85,T86,T68,Joey Sindelar,104,383,Mercedes Championships,4,17,656
86,T86,T86,Per-Ulrik Johansson,23,383,Valero Texas Open,2,14,625
87,T86,T8,Tiger Woods,76,383,Cialis Western Open,4,11,526
88,T86,T35,Retief Goosen,71,383,World Golf Championships-NEC Invitational,1,16,36
89,T86,12,Henrik Stenson,16,383,World Golf Championships-NEC Invitational,2,9,36
90,T86,T39,Scott Hend,75,383,Zurich Classic of New Orleans,2,7,714
91,T86,T39,Scott Hend,75,383,Valero Texas Open,1,1,625
92,T86,T86,Tim Clark,92,383,The Open Championship,3,2,668
93,T86,T31,Ryan Palmer,101,383,Mercedes Championships,1,12,656
94,T86,T27,Brett Wetterich,76,383,Valero Texas Open,2,14,625
95,T86,T86,Scott Gutschewski,86,383,Reno-Tahoe Open,1,17,660
96,T97,T97,Bart Bryant,91,382,Valero Texas Open,2,1,625
97,T97,T19,John Daly,78,382,Mercedes Championships,3,18,656
98,T97,T19,John Daly,78,382,Michelin Championship at Las Vegas,3,4,538
99,T97,T25,Vijay Singh,111,382,Mercedes Championships,3,12,656
100,T97,T97,"Wes Short, Jr.",44,382,Valero Texas Open,2,1,625
101,T97,T49,Brett Quigley,96,382,Bell Canadian Open,2,7,716
102,T97,T97,Brent Geiberger,61,382,Valero Texas Open,2,14,625
103,T97,T97,Tjaart van der Walt,56,382,John Deere Classic,2,11,669
104,T97,T97,Joe Ogilvie,103,382,Valero Texas Open,2,1,625
105,T97,T39,Scott Hend,75,382,Zurich Classic of New Orleans,4,12,714
106,T97,T39,Scott Hend,75,382,Valero Texas Open,2,14,625
107,T97,T97,Brendan Jones,81,382,Valero Texas Open,2,14,625
108,T97,T97,Brendan Jones,81,382,Southern Farm Bureau Classic,2,5,609
109,T97,T54,Adam Scott,72,382,World Golf Championships-NEC Invitational,1,9,36
110,T97,T97,Paul Casey,24,382,World Golf Championships-NEC Invitational,3,16,36
111,T112,6,Jerry Kelly,101,381,Valero Texas Open,2,1,625
112,T112,T112,Bob Heintz,67,381,John Deere Classic,4,9,669
113,T112,T112,Miguel Angel Jiménez,30,381,The Open Championship,3,2,668
114,T112,T112,Garrett Willis,21,381,Reno-Tahoe Open,1,14,660
115,T112,T31,Rod Pampling,89,381,World Golf Championships-NEC Invitational,3,16,36
116,T112,T49,Sergio Garcia,73,381,Mercedes Championships,2,12,656
117,T118,T118,John Cook,72,380,Buick Championship,1,1,503
118,T118,T19,John Daly,78,380,Mercedes Championships,3,12,656
119,T118,T118,David Peoples,31,380,Bell Canadian Open,2,7,716
120,T118,T118,Kenny Perry,82,380,World Golf Championships-NEC Invitational,3,16,36
121,T118,T16,Ernie Els,44,380,Mercedes Championships,1,12,656
