,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Jordan Spieth,25,6.21,"$12,030,463","$193,650,000"
1,2,2,Jason Day,20,5.89,"$9,403,328","$159,550,000"
2,3,3,Rory McIlroy,12,4.73,"$4,863,311","$102,750,000"
3,4,4,Bubba Watson,19,4.41,"$6,876,795","$156,050,000"
4,5,5,Henrik Stenson,16,3.45,"$4,755,069","$137,750,000"
5,6,6,Rickie Fowler,21,3.4,"$5,773,428","$169,850,000"
6,7,7,Justin Rose,20,3.35,"$5,462,676","$163,150,000"
7,8,8,Dustin Johnson,21,3.27,"$5,509,463","$168,250,000"
8,T9,T9,Prom Meesawat,1,2.7,"$189,000","$7,000,000"
9,T9,T9,Angelo Que,1,2.7,"$189,000","$7,000,000"
10,11,11,Zach Johnson,25,2.55,"$4,801,486","$188,050,000"
11,12,12,Thorbjørn Olesen,1,2.51,"$213,666","$8,500,000"
12,13,13,Jim Furyk,19,2.45,"$3,732,663","$152,300,000"
13,14,14,Jimmy Walker,24,2.4,"$4,521,345","$188,250,000"
14,15,15,Sergio Garcia,15,2.11,"$2,670,227","$126,500,000"
15,T16,T16,J.B. Holmes,25,2.07,"$4,037,427","$195,350,000"
16,T16,T16,Shane Lowry,13,2.07,"$2,298,516","$111,050,000"
17,T18,T18,Brooks Koepka,23,2.01,"$3,571,898","$177,650,000"
18,T18,T18,Louis Oosthuizen,20,2.01,"$3,251,172","$161,600,000"
19,20,20,Charley Hoffman,28,1.96,"$4,041,087","$206,550,000"
20,21,21,Hideki Matsuyama,25,1.94,"$3,758,615","$193,250,000"
21,22,22,Paul Casey,24,1.88,"$3,488,309","$185,250,000"
22,23,23,Robert Streb,30,1.83,"$3,947,421","$215,900,000"
23,24,24,Brandt Snedeker,27,1.8,"$3,698,053","$205,950,000"
24,25,25,Anthony Wall,1,1.76,"$162,107","$9,200,000"
25,26,26,Patrick Reed,27,1.73,"$3,590,563","$207,350,000"
