,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Jordan Spieth,25,"$12,030,465",5.0
1,2,2,Jason Day,20,"$9,403,330",5.0
2,3,3,Bubba Watson,19,"$6,876,797",2.0
3,4,4,Rickie Fowler,21,"$5,773,430",2.0
4,5,5,Dustin Johnson,21,"$5,509,467",1.0
5,6,6,Justin Rose,20,"$5,462,677",1.0
6,7,7,Rory McIlroy,12,"$4,863,312",2.0
7,8,8,Zach Johnson,25,"$4,801,487",1.0
8,9,9,Henrik Stenson,16,"$4,755,070",
9,10,10,Jimmy Walker,24,"$4,521,350",2.0
10,11,11,Charley Hoffman,28,"$4,041,089",1.0
11,12,12,J.B. Holmes,25,"$4,037,430",1.0
12,13,13,Danny Lee,36,"$3,965,933",1.0
13,14,14,Robert Streb,30,"$3,947,424",1.0
14,15,15,Hideki Matsuyama,25,"$3,758,619",
15,16,16,Jim Furyk,19,"$3,732,664",1.0
16,17,17,Brandt Snedeker,27,"$3,698,056",1.0
17,18,18,Patrick Reed,27,"$3,590,566",1.0
18,19,19,Brooks Koepka,23,"$3,571,900",1.0
19,20,20,Kevin Kisner,30,"$3,567,939",
20,21,21,Paul Casey,24,"$3,488,311",
21,22,22,Louis Oosthuizen,20,"$3,251,174",
22,23,23,Steven Bowditch,32,"$3,075,410",1.0
23,24,24,Bill Haas,25,"$3,064,024",1.0
24,25,25,Daniel Berger,31,"$3,028,901",
25,26,26,Kevin Na,27,"$2,820,766",
26,27,27,Scott Piercy,28,"$2,780,027",1.0
27,28,28,Matt Kuchar,25,"$2,774,170",
28,29,29,David Lingmerth,28,"$2,736,378",1.0
29,30,30,Ben Martin,27,"$2,717,305",1.0
30,31,31,Sergio Garcia,15,"$2,670,229",
31,32,32,Ryan Moore,24,"$2,642,306",1.0
32,33,33,Gary Woodland,24,"$2,605,083",
33,34,34,Sangmoon Bae,30,"$2,599,632",1.0
34,35,35,Chris Kirk,21,"$2,369,326",1.0
35,36,36,Jason Bohn,27,"$2,337,580",
