,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Jordan Spieth,25,"$481,218","$12,030,464"
1,2,2,Jason Day,20,"$470,166","$9,403,330"
2,3,3,Rory McIlroy,12,"$405,275","$4,863,311"
3,4,4,Bubba Watson,19,"$361,936","$6,876,797"
4,5,5,Henrik Stenson,16,"$297,191","$4,755,070"
5,6,6,Rickie Fowler,21,"$274,925","$5,773,430"
6,7,7,Justin Rose,20,"$273,133","$5,462,677"
7,8,8,Dustin Johnson,21,"$262,355","$5,509,466"
8,9,9,Jim Furyk,19,"$196,456","$3,732,664"
9,10,10,Zach Johnson,25,"$192,059","$4,801,487"
10,T11,T11,Prom Meesawat,1,"$189,000","$189,000"
11,T11,T11,Angelo Que,1,"$189,000","$189,000"
12,13,13,Jimmy Walker,24,"$188,389","$4,521,350"
13,14,14,Sergio Garcia,15,"$178,015","$2,670,229"
14,15,15,Louis Oosthuizen,20,"$162,558","$3,251,173"
15,16,16,Anthony Wall,1,"$162,107","$162,107"
16,17,17,J.B. Holmes,25,"$161,497","$4,037,430"
17,18,18,Brooks Koepka,23,"$155,300","$3,571,900"
18,19,19,Hideki Matsuyama,25,"$150,344","$3,758,618"
19,20,20,Paul Casey,24,"$145,346","$3,488,310"
20,21,21,Charley Hoffman,28,"$144,324","$4,041,088"
21,22,22,Brandt Snedeker,27,"$136,965","$3,698,055"
22,23,23,Patrick Reed,27,"$132,983","$3,590,566"
23,24,24,Robert Streb,30,"$131,580","$3,947,424"
24,25,25,Bill Haas,25,"$122,560","$3,064,023"
25,26,26,Kevin Kisner,30,"$118,931","$3,567,938"
26,27,27,Phil Mickelson,19,"$113,378","$2,154,199"
27,28,28,Branden Grace,13,"$113,166","$1,471,159"
28,29,29,Chris Kirk,21,"$112,825","$2,369,326"
29,30,30,Matt Kuchar,25,"$110,966","$2,774,169"
30,31,31,Danny Lee,36,"$110,164","$3,965,932"
31,32,32,Ryan Moore,24,"$110,096","$2,642,305"
32,33,33,Gary Woodland,24,"$108,545","$2,605,082"
33,34,34,Kevin Na,27,"$104,472","$2,820,765"
34,35,35,Ben Martin,27,"$100,640","$2,717,304"
35,36,36,Scott Piercy,28,"$99,286","$2,780,026"
36,37,37,David Lingmerth,28,"$97,727","$2,736,378"
37,38,38,Daniel Berger,31,"$97,706","$3,028,901"
38,39,39,Steven Bowditch,32,"$96,106","$3,075,409"
39,40,40,Webb Simpson,22,"$93,011","$2,046,259"
40,41,41,Adam Scott,15,"$92,157","$1,382,364"
41,42,42,Ryan Palmer,22,"$89,751","$1,974,522"
42,43,43,Ian Poulter,19,"$88,978","$1,690,586"
43,44,44,Russell Henley,24,"$87,948","$2,110,773"
44,45,45,Sangmoon Bae,30,"$86,654","$2,599,632"
45,46,46,Jason Bohn,27,"$86,577","$2,337,580"
46,47,47,Matt Jones,25,"$79,822","$1,995,553"
47,48,48,Tim Clark,13,"$79,087","$1,028,139"
48,49,49,Austin Cook,7,"$76,806","$537,648"
49,50,50,Marc Leishman,23,"$76,620","$1,762,266"
50,51,51,Justin Thomas,30,"$75,952","$2,278,563"
51,52,52,Cameron Smith,13,"$75,099","$976,297"
52,53,53,James Hahn,28,"$73,742","$2,064,782"
53,54,54,Brendan Steele,24,"$73,311","$1,759,484"
54,55,55,Jamie Lovemark,2,"$73,069","$146,138"
55,56,56,Troy Merritt,29,"$72,160","$2,092,668"
56,57,57,Fred Funk,2,"$70,585","$141,171"
57,58,58,Boo Weekley,24,"$70,413","$1,689,914"
58,59,59,Davis Love III,18,"$70,199","$1,263,596"
59,60,60,Emiliano Grillo,5,"$69,681","$348,406"
60,61,61,Willy Wilcox,17,"$68,723","$1,168,302"
61,62,62,Russell Knox,28,"$68,452","$1,916,665"
62,63,63,Martin Kaymer,13,"$68,182","$886,377"
63,64,64,Harris English,29,"$67,989","$1,971,687"
64,65,65,Shawn Stefani,26,"$67,607","$1,757,803"
65,66,66,Tony Finau,31,"$67,586","$2,095,185"
66,67,67,Hunter Mahan,24,"$67,415","$1,617,973"
67,68,68,Brendon Todd,27,"$67,007","$1,809,192"
68,69,69,Cameron Tringale,28,"$65,613","$1,837,164"
69,70,70,Keegan Bradley,24,"$65,211","$1,565,079"
70,71,71,Jimmy Gunn,1,"$64,126","$64,126"
71,72,72,Sean O'Hair,26,"$63,934","$1,662,299"
72,73,73,Charl Schwartzel,19,"$63,659","$1,209,528"
73,74,74,Fabián Gómez,26,"$63,500","$1,651,011"
74,75,75,Padraig Harrington,21,"$63,373","$1,330,851"
75,76,76,Lee Westwood,15,"$63,108","$946,628"
76,77,77,Francesco Molinari,16,"$62,336","$997,389"
77,78,78,Greg Owen,19,"$62,147","$1,180,793"
78,79,79,Billy Horschel,28,"$61,991","$1,735,750"
79,80,80,Nick Watney,28,"$61,924","$1,733,872"
80,81,81,Mark Hensby,2,"$61,468","$122,937"
81,82,82,Pat Perez,26,"$61,102","$1,588,663"
82,83,83,Patrick Rodgers,17,"$61,075","$1,038,291"
83,84,84,Rory Sabbatini,25,"$61,031","$1,525,784"
84,85,85,David Hearn,30,"$60,568","$1,817,042"
85,86,86,Marcus Fraser,2,"$59,879","$119,759"
86,87,87,John Senden,24,"$59,251","$1,422,032"
87,88,88,Jamie Donaldson,16,"$58,666","$938,664"
88,89,89,Matt Every,26,"$58,531","$1,521,816"
89,90,90,Mark O'Meara,2,"$57,457","$114,915"
90,91,91,Kiradech Aphibarnrat,4,"$57,312","$229,250"
91,92,92,James Morrison,2,"$56,618","$113,237"
92,93,93,Kevin Streelman,27,"$56,510","$1,525,774"
93,94,94,Daniel Summerhays,29,"$56,343","$1,633,956"
94,95,95,Jerry Kelly,24,"$55,691","$1,336,606"
95,96,96,Will MacKenzie,16,"$53,972","$863,562"
96,97,97,Brian Harman,29,"$53,391","$1,548,352"
97,98,98,Brendon de Jonge,31,"$51,449","$1,594,934"
98,99,99,Luke Donald,20,"$51,332","$1,026,643"
99,100,100,George McNeill,27,"$49,324","$1,331,768"
100,101,101,Kevin Chappell,26,"$49,290","$1,281,551"
101,102,102,Johnson Wagner,23,"$49,202","$1,131,659"
102,103,103,George Coetzee,7,"$48,410","$338,872"
103,104,104,Scott Stallings,19,"$48,401","$919,619"
104,105,105,Jason Dufner,21,"$47,999","$1,007,997"
105,106,106,Martin Piller,1,"$47,250","$47,250"
106,107,107,Martin Laird,24,"$46,874","$1,124,988"
107,108,108,Scott Pinckney,27,"$46,644","$1,259,388"
108,109,109,Graeme McDowell,15,"$45,762","$686,438"
109,110,110,Graham DeLaet,22,"$44,924","$988,348"
110,111,111,Jim Herman,27,"$44,917","$1,212,777"
111,112,112,Bryce Molder,26,"$44,828","$1,165,547"
112,113,113,Vaughn Taylor,12,"$44,419","$533,036"
113,114,114,Geoff Ogilvy,15,"$43,595","$653,925"
114,T115,T115,Scott Arnold,1,"$43,479","$43,479"
115,T115,T115,Paul Lawrie,1,"$43,479","$43,479"
116,117,117,Morgan Hoffmann,26,"$42,740","$1,111,240"
117,118,118,Jason Gore,26,"$42,355","$1,101,246"
118,119,119,Charles Howell III,30,"$41,912","$1,257,361"
119,120,120,Peter Uihlein,4,"$41,333","$165,333"
120,121,121,Alex Cejka,30,"$40,906","$1,227,195"
121,122,122,Danny Willett,10,"$40,843","$408,435"
122,123,123,Anirban Lahiri,12,"$40,833","$490,003"
123,124,124,Tiger Woods,11,"$40,781","$448,598"
124,125,125,Tom Gillis,16,"$39,659","$634,554"
125,126,126,Cory Whitsett,2,"$39,272","$78,544"
126,127,127,Scott Brown,30,"$38,725","$1,161,750"
127,128,128,Shane Lowry,13,"$38,655","$502,516"
128,129,129,Thomas Aiken,4,"$38,337","$153,350"
129,130,130,Nick Taylor,28,"$38,298","$1,072,360"
130,131,131,Kyle Reifers,31,"$38,039","$1,179,227"
131,132,132,Chesson Hadley,30,"$37,850","$1,135,528"
132,133,133,Jon Curran,28,"$37,483","$1,049,548"
133,134,134,Tyrrell Hatton,2,"$37,300","$74,600"
134,135,135,Carl Pettersson,32,"$37,086","$1,186,762"
135,136,136,Jason Kokrak,28,"$36,910","$1,033,489"
136,137,137,Retief Goosen,25,"$36,873","$921,829"
137,138,138,Colt Knost,29,"$36,777","$1,066,553"
138,139,139,Zac Blair,34,"$36,608","$1,244,676"
139,140,140,Victor Dubuisson,10,"$35,462","$354,624"
140,141,141,David Toms,21,"$35,355","$742,470"
141,142,142,J.J. Henry,30,"$34,870","$1,046,122"
142,143,143,Steve Wheatcroft,28,"$34,750","$973,023"
143,144,144,Seung-Yul Noh,21,"$33,886","$711,608"
144,145,145,Chad Campbell,30,"$33,856","$1,015,707"
145,146,146,William McGirt,30,"$33,489","$1,004,696"
146,147,147,Andres Gonzales,28,"$33,047","$925,335"
147,148,148,Whee Kim,23,"$32,869","$755,997"
148,149,149,Vijay Singh,23,"$32,715","$752,461"
149,150,150,C.T. Pan,2,"$32,528","$65,056"
150,151,151,Rafa Cabrera Bello,4,"$32,362","$129,449"
151,152,152,Carlos Ortiz,30,"$32,137","$964,136"
152,153,153,Hudson Swafford,30,"$31,979","$959,391"
153,154,154,Adam Hadwin,30,"$31,253","$937,610"
154,155,155,John Peterson,25,"$31,180","$779,508"
155,156,156,Chad Collins,24,"$31,162","$747,899"
156,157,157,Michael Smith,1,"$31,099","$31,099"
157,158,158,Mark Wilson,28,"$30,423","$851,844"
158,159,159,Ryo Ishikawa,28,"$30,394","$851,044"
159,160,160,Stewart Cink,23,"$30,202","$694,654"
160,161,161,Steve Stricker,9,"$29,966","$269,701"
161,162,162,Andy Sullivan,6,"$29,887","$179,324"
162,163,163,Freddie Jacobson,14,"$29,732","$416,259"
163,164,164,Blayne Barber,26,"$29,553","$768,382"
164,165,165,Ryan Fox,1,"$29,226","$29,226"
165,166,166,Charlie Beljan,27,"$28,983","$782,546"
166,167,167,Adam Svensson,1,"$28,668","$28,668"
167,168,168,Ken Duke,30,"$27,255","$817,675"
168,169,169,Jonas Blixt,26,"$27,063","$703,663"
169,170,170,Spencer Levin,31,"$26,990","$836,697"
170,171,171,Chris Stroud,28,"$26,671","$746,813"
171,172,172,Camilo Villegas,27,"$26,610","$718,496"
172,173,173,Tom Hoge,26,"$26,550","$690,318"
173,174,174,Andres Romero,24,"$25,718","$617,252"
174,175,175,Brad Elder,1,"$25,358","$25,358"
175,176,176,Ernie Els,18,"$25,198","$453,579"
176,177,177,Cameron Percy,23,"$25,041","$575,943"
177,178,178,Garrett Osborn,4,"$25,000","$100,000"
178,179,179,Hiroshi Iwata,4,"$24,416","$97,666"
179,180,180,Erik Compton,28,"$24,164","$676,602"
180,181,181,Chris Smith,9,"$23,656","$212,910"
181,182,182,K.J. Choi,19,"$23,624","$448,864"
182,183,183,Alex Prugh,27,"$23,569","$636,373"
183,184,184,Ollie Schniederjans,7,"$22,872","$160,106"
184,185,185,Scott Langley,28,"$22,792","$638,182"
185,186,186,Ricky Barnes,27,"$22,757","$614,454"
186,187,187,Brett Rumford,1,"$22,550","$22,550"
187,188,188,Michael Thompson,27,"$22,216","$599,834"
188,189,189,Brian Stuard,31,"$22,164","$687,109"
189,190,190,Sung Joon Park,27,"$22,114","$597,102"
190,191,191,John Parry,1,"$22,067","$22,067"
191,192,192,Brice Garnett,29,"$21,992","$637,789"
192,193,193,John Huh,31,"$21,888","$678,556"
193,194,194,Nicholas Thompson,31,"$21,522","$667,184"
194,195,195,Luke Guthrie,27,"$21,301","$575,149"
195,196,196,Brian Davis,31,"$21,178","$656,534"
196,197,197,Billy Hurley III,28,"$21,123","$591,450"
197,198,198,Bo Van Pelt,28,"$20,736","$580,610"
198,199,199,Sam Saunders,28,"$20,663","$578,570"
199,200,200,Wes Roach,1,"$20,495","$20,495"
200,201,201,Kyle Stanley,12,"$20,458","$245,503"
201,202,202,Jonathan Byrd,22,"$20,305","$446,731"
202,203,203,J.J. Spaun,1,"$20,300","$20,300"
203,204,204,Tim Petrovic,11,"$20,231","$222,551"
204,205,205,Ángel Cabrera,19,"$20,102","$381,942"
205,206,206,Michael Putnam,28,"$19,921","$557,803"
206,207,207,Stuart Appleby,7,"$19,852","$138,968"
207,208,208,Lucas Glover,26,"$19,816","$515,241"
208,209,209,D.H. Lee,2,"$19,492","$38,985"
209,210,210,Steve Lewton,1,"$19,180","$19,180"
210,211,211,Rod Pampling,10,"$18,905","$189,054"
211,212,212,Fabrizio Zanotti,1,"$18,736","$18,736"
212,213,213,Jeff Overton,30,"$18,720","$561,614"
213,214,214,Mark Anderson,7,"$18,459","$129,215"
214,215,215,Marc Warren,9,"$18,213","$163,921"
215,216,216,Joost Luiten,13,"$18,082","$235,074"
216,217,217,Brian Gaffney,1,"$17,900","$17,900"
217,218,218,Derek Fathauer,27,"$17,852","$482,023"
218,219,219,Aaron Baddeley,25,"$17,597","$439,925"
219,220,220,Chez Reavie,19,"$17,453","$331,623"
220,221,221,Andy Pope,2,"$17,262","$34,524"
221,222,222,Greg Chalmers,17,"$17,118","$291,016"
222,223,223,Hyung-Sung Kim,2,"$16,640","$33,280"
223,224,224,Jhonattan Vegas,27,"$16,531","$446,345"
224,225,225,Kenny Perry,9,"$15,821","$142,389"
225,226,226,Steve Flesch,7,"$15,789","$110,526"
226,227,227,John Rollins,14,"$15,576","$218,064"
227,228,228,Marcel Siem,8,"$15,118","$120,950"
228,229,229,D.A. Points,26,"$15,023","$390,607"
229,230,230,Martin Flores,30,"$14,975","$449,274"
230,231,231,Duffy Waldorf,2,"$14,972","$29,944"
231,232,232,Scott Gutschewski,1,"$14,697","$14,697"
232,T233,T233,David Howell,2,"$14,613","$29,226"
233,T233,T233,Eddie Pepperell,2,"$14,613","$29,226"
234,235,235,Alexandre Rocha,1,"$14,528","$14,528"
235,236,236,John Merrick,27,"$14,500","$391,513"
236,T237,T237,Danny Chia,1,"$14,420","$14,420"
237,T237,T237,Nicholas Fung,1,"$14,420","$14,420"
238,239,239,Kevin Tway,1,"$14,322","$14,322"
239,240,240,Bernd Wiesberger,11,"$14,104","$155,148"
240,241,241,Max Homa,27,"$14,086","$380,339"
241,242,242,Andrew Svoboda,30,"$13,965","$418,963"
242,243,243,Cory Renfrew,1,"$13,734","$13,734"
243,T244,T244,Rikard Karlberg,2,"$13,650","$27,300"
244,T244,T244,Doug LaBelle II,1,"$13,650","$13,650"
245,246,246,Mark Silvers,2,"$13,636","$27,272"
246,247,247,Byeong Hun An,5,"$12,690","$63,450"
247,248,248,Y.E. Yang,4,"$12,505","$50,023"
248,249,249,Oscar Fraustro,21,"$12,498","$262,475"
249,250,250,Brad Fritsch,3,"$12,363","$37,090"
250,251,251,Daniel Miernicki,1,"$12,348","$12,348"
251,252,252,Derek Ernst,26,"$12,311","$320,095"
252,253,253,Andrew Putnam,23,"$12,299","$282,878"
253,254,254,Jay Woodson,1,"$12,261","$12,261"
254,255,255,Andrew Loupe,15,"$12,256","$183,849"
255,256,256,Thomas Birdsey,1,"$12,090","$12,090"
256,257,257,Blake Adams,13,"$12,072","$156,939"
257,258,258,Colin Montgomerie,2,"$11,911","$23,822"
258,259,259,Mark Hubbard,25,"$11,759","$293,979"
259,260,260,Richie Ramsay,2,"$11,665","$23,330"
260,261,261,Patrick Cantlay,1,"$11,468","$11,468"
261,262,262,Roberto Castro,16,"$11,232","$179,722"
262,263,263,Gonzalo Fernandez-Castaño,28,"$11,144","$312,052"
263,264,264,Cameron Wilson,3,"$11,100","$33,300"
264,265,265,Jason Allred,3,"$10,894","$32,682"
265,T266,T266,Robert Allenby,25,"$10,875","$271,887"
266,T266,T266,Lee Janzen,4,"$10,875","$43,500"
267,268,268,Steven Alker,22,"$10,766","$236,861"
268,269,269,Kelvin Day,2,"$10,617","$21,235"
269,270,270,Jason Knutzon,2,"$10,500","$21,000"
270,271,271,Jonathan Randolph,25,"$10,242","$256,066"
271,272,272,Robert Garrigus,25,"$10,147","$253,699"
272,273,273,Justin Leonard,22,"$9,962","$219,174"
273,274,274,Alexander Levy,8,"$9,707","$77,658"
274,275,275,Brandon Hagy,8,"$9,638","$77,111"
275,276,276,Marcelo Rozo,1,"$9,628","$9,628"
276,277,277,Ben Crane,22,"$9,238","$203,253"
277,278,278,Sebastian Cappelen,2,"$9,237","$18,475"
278,279,279,John Daly,10,"$9,193","$91,933"
279,280,280,Tommy Fleetwood,7,"$9,160","$64,126"
280,281,281,Arjun Atwal,7,"$9,129","$63,909"
281,282,282,Alvaro Quiros,2,"$8,825","$17,651"
282,283,283,Garrett Willis,1,"$8,708","$8,708"
283,284,284,Cody Gribble,4,"$8,557","$34,228"
284,285,285,Ryan Armour,17,"$8,484","$144,228"
285,286,286,Kevin Stadler,5,"$8,432","$42,160"
286,287,287,Tyrone Van Aswegen,20,"$8,411","$168,233"
287,288,288,Eric Axley,21,"$8,127","$170,687"
288,289,289,Wes Homan,4,"$7,947","$31,789"
289,290,290,Dicky Pride,5,"$7,882","$39,414"
290,291,291,Joe Affrunti,4,"$7,870","$31,480"
291,292,292,Tommy Gainey,9,"$7,793","$70,137"
292,293,293,Ross Fisher,3,"$7,776","$23,330"
293,294,294,David Lipsky,5,"$7,652","$38,264"
294,T295,T295,Stephen Ames,1,"$7,612","$7,612"
295,T295,T295,Alex Kang,1,"$7,612","$7,612"
