,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Jordan Spieth,25,34.79,"$12,030,464","$34,580,690"
1,2,2,Jason Day,20,32.78,"$9,403,330","$28,686,690"
2,3,3,Rory McIlroy,12,26.57,"$4,863,311","$18,305,000"
3,4,4,Bubba Watson,19,24.62,"$6,876,797","$27,926,690"
4,5,5,Henrik Stenson,16,19.39,"$4,755,070","$24,518,690"
5,6,6,Rickie Fowler,21,19.06,"$5,773,430","$30,296,690"
6,7,7,Justin Rose,20,18.78,"$5,462,677","$29,090,690"
7,8,8,Dustin Johnson,21,18.28,"$5,509,466","$30,138,690"
8,9,9,Thorbjørn Olesen,1,15.26,"$213,666","$1,400,000"
9,T10,T10,Prom Meesawat,1,15.0,"$189,000","$1,260,000"
10,T10,T10,Angelo Que,1,15.0,"$189,000","$1,260,000"
11,12,12,Zach Johnson,25,14.2,"$4,801,487","$33,816,690"
12,13,13,Jim Furyk,19,13.69,"$3,732,664","$27,267,690"
13,14,14,Jimmy Walker,24,13.41,"$4,521,350","$33,722,690"
14,15,15,Sergio Garcia,15,11.87,"$2,670,229","$22,493,690"
15,16,16,Shane Lowry,13,11.66,"$2,298,516","$19,712,690"
16,17,17,J.B. Holmes,25,11.54,"$4,037,430","$35,000,690"
17,18,18,Louis Oosthuizen,20,11.28,"$3,251,173","$28,811,690"
18,19,19,Brooks Koepka,23,11.22,"$3,571,900","$31,830,690"
19,20,20,Charley Hoffman,28,10.88,"$4,041,088","$37,146,690"
20,21,21,Hideki Matsuyama,25,10.86,"$3,758,618","$34,622,690"
21,22,22,Paul Casey,24,10.51,"$3,488,310","$33,198,690"
22,23,23,Robert Streb,30,10.14,"$3,947,424","$38,924,690"
23,24,24,Brandt Snedeker,27,10.05,"$3,698,055","$36,794,690"
24,25,25,Patrick Reed,27,9.66,"$3,590,566","$37,160,690"
25,26,26,Kevin Kisner,30,9.45,"$3,567,938","$37,744,690"
26,27,27,Branden Grace,13,9.2,"$1,761,659","$19,140,690"
27,28,28,Anthony Wall,1,9.03,"$162,107","$1,794,690"
28,29,29,Bill Haas,25,8.86,"$3,064,023","$34,580,690"
29,30,30,Danny Lee,36,8.84,"$3,965,932","$44,872,690"
30,31,31,Chris Kirk,21,8.57,"$2,369,326","$27,631,000"
31,32,32,Scott Piercy,28,8.35,"$2,780,026","$33,282,000"
32,33,33,Matt Kuchar,25,8.18,"$2,774,169","$33,906,690"
33,34,34,Phil Mickelson,19,8.05,"$2,154,199","$26,759,690"
34,35,35,Ryan Moore,24,8.03,"$2,642,305","$32,903,690"
35,36,36,Hiroshi Iwata,4,7.99,"$479,333","$6,002,690"
36,T37,T37,Daniel Berger,31,7.97,"$3,028,901","$38,010,690"
37,T37,T37,Austin Cook,7,7.97,"$537,648","$6,750,000"
38,39,39,Gary Woodland,24,7.93,"$2,605,082","$32,843,690"
39,40,40,Danny Willett,10,7.9,"$1,265,935","$16,026,690"
40,41,41,David Lingmerth,28,7.83,"$2,736,378","$34,963,690"
41,42,42,Ben Martin,27,7.75,"$2,717,304","$35,063,690"
42,43,43,Steven Bowditch,32,7.64,"$3,075,409","$40,234,690"
43,44,44,Kevin Na,27,7.63,"$2,820,765","$36,974,690"
44,45,45,Martin Piller,1,7.5,"$47,250","$630,000"
45,46,46,Mark Hensby,2,7.34,"$122,937","$1,674,000"
46,47,47,Jason Bohn,27,7.24,"$2,337,580","$32,301,000"
47,48,48,Tim Clark,13,6.92,"$1,028,139","$14,861,000"
48,49,49,Emiliano Grillo,5,6.86,"$348,406","$5,076,000"
49,T50,T50,Sangmoon Bae,30,6.76,"$2,599,632","$38,480,000"
50,T50,T50,Webb Simpson,22,6.76,"$2,046,259","$30,255,690"
51,52,52,Fred Funk,2,6.7,"$141,171","$2,106,000"
52,53,53,Willy Wilcox,17,6.69,"$1,168,302","$17,469,000"
53,T54,T54,Ashun Wu,1,6.42,"$89,833","$1,400,000"
54,T54,T54,Ryan Palmer,22,6.42,"$1,974,522","$30,737,690"
55,56,56,Justin Thomas,30,6.41,"$2,278,563","$35,541,000"
56,57,57,Russell Henley,24,6.37,"$2,110,773","$33,137,690"
57,58,58,Adam Scott,15,6.23,"$1,382,364","$22,205,690"
58,59,59,Boo Weekley,24,6.21,"$1,689,914","$27,234,000"
59,60,60,Matt Jones,25,6.18,"$1,995,553","$32,283,690"
60,T61,T61,Ian Poulter,19,6.16,"$1,690,586","$27,443,690"
61,T61,T61,Cameron Smith,13,6.16,"$976,297","$15,858,000"
62,63,63,Brendan Steele,24,6.08,"$1,759,484","$28,935,000"
63,64,64,Troy Merritt,29,5.96,"$2,092,668","$35,131,000"
64,65,65,Davis Love III,18,5.88,"$1,263,596","$21,492,000"
65,66,66,James Hahn,28,5.8,"$2,064,782","$35,611,690"
66,67,67,Marc Leishman,23,5.71,"$1,762,266","$30,850,690"
67,68,68,Tony Finau,31,5.7,"$2,095,185","$36,783,000"
68,69,69,Shawn Stefani,26,5.68,"$1,757,803","$30,951,000"
69,70,70,Patrick Rodgers,17,5.67,"$1,038,291","$18,324,000"
70,71,71,Russell Knox,28,5.66,"$1,916,665","$33,861,690"
71,72,72,Harris English,29,5.47,"$1,971,687","$36,016,690"
72,73,73,Fabián Gómez,26,5.41,"$1,651,011","$30,541,000"
73,74,74,Greg Owen,19,5.39,"$1,180,793","$21,891,690"
74,75,75,Sean O'Hair,26,5.32,"$1,662,299","$31,257,000"
75,76,76,Nick Watney,28,5.14,"$1,733,872","$33,759,000"
76,77,77,George Coetzee,7,5.1,"$532,695","$10,452,690"
77,78,78,Cameron Tringale,28,5.05,"$1,837,164","$36,367,690"
78,79,79,Jamie Lovemark,2,5.04,"$146,138","$2,898,000"
79,80,80,Pat Perez,26,5.01,"$1,588,663","$31,707,000"
80,81,81,Brendon Todd,27,4.98,"$1,809,192","$36,305,690"
81,T82,T82,Padraig Harrington,21,4.95,"$1,330,851","$26,881,690"
82,T82,T82,Rory Sabbatini,25,4.95,"$1,525,784","$30,825,000"
83,84,84,Jerry Kelly,24,4.94,"$1,336,606","$27,045,000"
84,85,85,David Hearn,30,4.92,"$1,817,042","$36,903,690"
85,86,86,Hunter Mahan,24,4.82,"$1,617,973","$33,587,690"
86,87,87,Francesco Molinari,16,4.8,"$997,389","$20,774,690"
87,88,88,Daniel Summerhays,29,4.79,"$1,633,956","$34,137,000"
88,89,89,Will MacKenzie,16,4.77,"$863,562","$18,090,000"
89,90,90,Vaughn Taylor,12,4.72,"$533,036","$11,304,000"
90,91,91,Keegan Bradley,24,4.68,"$1,565,079","$33,473,690"
91,92,92,Billy Horschel,28,4.62,"$1,735,750","$37,565,690"
92,93,93,Peter Uihlein,4,4.57,"$165,333","$3,618,000"
93,T94,T94,Martin Kaymer,13,4.55,"$886,377","$19,478,690"
94,T94,T94,Kevin Streelman,27,4.55,"$1,525,774","$33,530,690"
95,T94,T94,Cory Whitsett,2,4.55,"$78,544","$1,728,000"
96,97,97,Johnson Wagner,23,4.52,"$1,131,659","$25,038,000"
97,98,98,Charl Schwartzel,19,4.47,"$1,209,528","$27,047,690"
98,99,99,Matt Every,26,4.45,"$1,521,816","$34,222,690"
99,100,100,HaoTong Li,1,4.39,"$61,500","$1,400,000"
100,101,101,Brendon de Jonge,31,4.37,"$1,594,934","$36,513,000"
101,102,102,John Senden,24,4.35,"$1,422,032","$32,692,690"
102,103,103,Lee Westwood,15,4.25,"$946,628","$22,277,690"
103,T104,T104,Brian Harman,29,4.22,"$1,548,352","$36,657,690"
104,T104,T104,Scott Pinckney,27,4.22,"$1,259,388","$29,862,000"
105,106,106,Tommy Fleetwood,7,4.21,"$465,251","$11,050,690"
106,107,107,Jamie Donaldson,16,4.07,"$938,664","$23,042,690"
107,108,108,Scott Stallings,19,4.05,"$919,619","$22,700,000"
108,T109,T109,Martin Laird,24,4.03,"$1,124,988","$27,900,000"
109,T109,T109,George McNeill,27,4.03,"$1,331,768","$33,021,000"
110,111,111,Dawie van der Walt,1,4.0,"$56,000","$1,400,000"
111,112,112,Jason Gore,26,3.97,"$1,101,246","$27,738,000"
112,113,113,Jim Herman,27,3.96,"$1,212,777","$30,636,000"
113,114,114,Kevin Chappell,26,3.93,"$1,281,551","$32,589,000"
114,115,115,Kiradech Aphibarnrat,4,3.92,"$229,250","$5,844,690"
115,116,116,Bryce Molder,26,3.9,"$1,165,547","$29,853,000"
116,T117,T117,Luke Donald,20,3.83,"$1,026,643","$26,778,690"
117,T117,T117,Anirban Lahiri,12,3.83,"$712,794","$18,614,690"
118,119,119,Thomas Aiken,4,3.76,"$236,350","$6,280,690"
119,120,120,Alex Cejka,30,3.69,"$1,227,195","$33,264,000"
120,121,121,Tom Gillis,16,3.67,"$634,554","$17,292,690"
121,122,122,Graham DeLaet,22,3.66,"$988,348","$26,981,690"
122,123,123,Charles Howell III,30,3.63,"$1,257,361","$34,614,000"
123,124,124,Jimmy Gunn,1,3.56,"$64,126","$1,800,000"
124,125,125,Felipe Aguilar,1,3.52,"$49,300","$1,400,000"
125,126,126,Jason Dufner,21,3.5,"$1,007,997","$28,798,690"
126,127,127,Jon Curran,28,3.48,"$1,049,548","$30,141,000"
127,T128,T128,Kyle Reifers,31,3.47,"$1,179,227","$33,966,000"
128,T128,T128,Fabrizio Zanotti,1,3.47,"$18,736","$540,000"
129,130,130,Scott Brown,30,3.42,"$1,161,750","$34,002,000"
130,T131,T131,Zac Blair,34,3.36,"$1,244,676","$37,053,000"
131,T131,T131,Hennie Otto,1,3.36,"$47,000","$1,400,000"
132,T133,T133,Marcus Fraser,2,3.33,"$119,759","$3,594,690"
133,T133,T133,Marc Warren,9,3.33,"$461,088","$13,862,690"
134,135,135,Nick Taylor,28,3.3,"$1,072,360","$32,523,000"
135,T136,T136,Chesson Hadley,30,3.29,"$1,135,528","$34,548,000"
136,T136,T136,David Toms,21,3.29,"$742,470","$22,554,000"
137,138,138,Colt Knost,29,3.28,"$1,066,553","$32,490,000"
138,139,139,Morgan Hoffmann,26,3.26,"$1,111,240","$34,036,690"
139,140,140,Jason Kokrak,28,3.22,"$1,033,489","$32,076,000"
140,T141,T141,Mark O'Meara,2,3.2,"$114,915","$3,594,690"
141,T141,T141,Geoff Ogilvy,15,3.2,"$653,925","$20,452,690"
142,T143,T143,J.J. Henry,30,3.18,"$1,046,122","$32,850,000"
