,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Billy Hurley III,27,30.0,95,317,1.16
1,2,2,Robert Streb,29,36.9,141,382,2.34
2,3,3,Michael Thompson,19,38.2,100,262,1.1
3,4,4,Wesley Bryan,23,39.0,126,323,2.86
4,5,5,Blayne Barber,22,40.4,114,282,1.67
5,6,6,Matt Kuchar,24,40.5,123,304,1.95
6,7,7,Phil Mickelson,24,41.3,177,429,0.45
7,8,8,Ryan Blaum,28,42.2,147,348,1.63
8,9,9,Matt Every,30,42.4,158,373,1.77
9,T10,T10,Chris Kirk,29,43.3,202,466,0.99
10,T10,T10,Brett Stegmaier,21,43.3,113,261,1.42
11,12,12,Patrick Rodgers,30,43.4,160,369,1.13
12,13,13,Seamus Power,28,43.5,168,386,0.89
13,14,14,Kevin Chappell,23,43.7,129,295,1.01
14,15,15,Alex Cejka,24,43.8,116,265,2.5
15,16,16,Andrew Yun,22,44.1,100,227,3.0
16,T17,T17,Zach Johnson,25,44.2,144,326,0.76
17,T17,T17,Keith Mitchell,29,44.2,207,468,0.82
18,19,19,Henrik Stenson,16,44.5,57,128,1.93
19,20,20,Keegan Bradley,27,44.7,149,333,1.14
20,21,21,Brian Harman,25,44.8,138,308,1.81
21,22,22,Cameron Percy,16,45.2,99,219,2.32
22,23,23,Aaron Baddeley,27,45.4,199,438,1.21
23,24,24,Kiradech Aphibarnrat,14,45.6,62,136,0.48
24,25,25,J.J. Henry,28,45.7,132,289,1.89
25,26,26,Kevin Kisner,25,45.8,130,284,1.92
26,27,27,Brandt Snedeker,25,46.0,162,352,0.74
27,T28,T28,Austin Cook,29,46.2,186,403,2.31
28,T28,T28,J.B. Holmes,24,46.2,174,377,0.57
29,T28,T28,Brendan Steele,22,46.2,120,260,0.83
30,31,31,Denny McCarthy,22,46.4,108,233,1.57
31,T32,T32,Brooks Koepka,17,46.6,132,283,0.98
32,T32,T32,Webb Simpson,26,46.6,187,401,0.75
33,34,34,Martin Piller,28,46.7,176,377,1.42
34,T35,T35,Harris English,31,46.8,173,370,1.33
35,T35,T35,Chesson Hadley,30,46.8,214,457,1.4
36,T35,T35,Whee Kim,30,46.8,183,391,2.62
37,T35,T35,Ollie Schniederjans,27,46.8,235,502,1.28
38,39,39,Grayson Murray,22,47.0,163,347,1.72
39,40,40,Zecheng Dou,23,47.2,103,218,2.72
40,41,41,Jason Dufner,22,47.4,110,232,2.0
41,42,42,Shane Lowry,19,47.5,124,261,1.94
42,T43,T43,Vaughn Taylor,25,47.6,150,315,1.73
43,T43,T43,Nick Watney,26,47.6,212,445,1.46
44,45,45,D.A. Points,25,47.7,127,266,0.71
45,T46,T46,Kelly Kraft,31,47.8,165,345,1.7
46,T46,T46,Richy Werenski,32,47.8,166,347,2.05
47,T48,T48,Retief Goosen,20,47.9,115,240,1.57
48,T48,T48,"Ted Potter, Jr.",28,47.9,162,338,2.53
49,50,50,David Lingmerth,26,48.0,142,296,1.2
50,51,51,Chad Campbell,28,48.8,165,338,0.79
51,T52,T52,Pat Perez,23,48.9,114,233,2.63
52,T52,T52,Cameron Tringale,26,48.9,159,325,1.82
53,T54,T54,Tommy Fleetwood,19,49.1,115,234,2.0
54,T54,T54,Cameron Smith,24,49.1,171,348,1.05
55,T54,T54,Brian Stuard,32,49.1,168,342,2.44
56,T57,T57,Trey Mullinax,24,49.2,161,327,1.99
57,T57,T57,Ben Silverman,28,49.2,174,354,2.01
58,T57,T57,Daniel Summerhays,19,49.2,117,238,2.48
59,T60,T60,Fabián Gómez,28,49.3,175,355,1.49
60,T60,T60,Billy Horschel,27,49.3,165,335,1.82
61,62,62,Bryson DeChambeau,26,49.4,172,348,0.99
62,T63,T63,Luke List,29,49.8,224,450,0.09
63,T63,T63,Tiger Woods,18,49.8,149,299,1.01
64,T65,T65,Anirban Lahiri,24,49.9,180,361,1.56
65,T65,T65,Kevin Na,26,49.9,176,353,1.99
66,T67,T67,Nate Lashley,17,50.0,96,192,0.83
67,T67,T67,Hideki Matsuyama,21,50.0,137,274,0.88
68,T69,T69,Ryan Armour,32,50.3,170,338,0.35
69,T69,T69,Martin Flores,29,50.3,221,439,1.36
70,T69,T69,J.T. Poston,22,50.3,153,304,2.03
71,T72,T72,David Hearn,21,50.4,118,234,1.53
72,T72,T72,Tyrone Van Aswegen,31,50.4,248,492,1.98
73,T74,T74,Ben Crane,21,50.5,108,214,1.39
74,T74,T74,Jim Furyk,15,50.5,93,184,0.65
75,T74,T74,Chez Reavie,28,50.5,112,222,1.52
76,T77,T77,Jonathan Byrd,24,50.6,134,265,1.34
77,T77,T77,Paul Casey,20,50.6,118,233,1.69
78,T77,T77,Bud Cauley,17,50.6,117,231,0.68
79,T80,T80,Patrick Cantlay,23,50.7,151,298,1.06
80,T80,T80,Sean O'Hair,22,50.7,155,306,1.87
81,T82,T82,Russell Henley,23,50.9,117,230,2.31
82,T82,T82,Satoshi Kodaira,18,50.9,89,175,2.7
83,T84,T84,John Huh,29,51.0,205,402,1.71
84,T84,T84,Stephan Jaeger,26,51.0,186,365,0.59
85,T86,T86,Ryan Palmer,22,51.1,168,329,0.71
86,T86,T86,Jonathan Randolph,25,51.1,157,307,2.61
