,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Dustin Johnson,77,0.919,56.983999999999995,62
1,2,2,Jon Rahm,71,0.8170000000000001,41.659,51
2,3,3,Gary Woodland,96,0.8029999999999999,56.201,70
3,4,4,Luke List,98,0.795,61.974,78
4,5,5,Bubba Watson,90,0.78,53.012,68
5,6,6,Rory McIlroy,64,0.7609999999999999,38.798,51
6,7,7,Keith Mitchell,99,0.706,58.589,83
7,8,8,Francesco Molinari,73,0.69,39.315,57
8,9,9,Brooks Koepka,64,0.6579999999999999,35.527,54
9,10,10,Patrick Cantlay,87,0.622,41.703,67
10,11,11,Kevin Chappell,77,0.608,37.674,62
11,12,12,Bryson DeChambeau,93,0.586,45.74,78
12,13,13,Tommy Fleetwood,73,0.58,31.343000000000004,54
13,14,14,J.B. Holmes,77,0.565,38.418,68
14,15,15,Brendan Steele,74,0.557,30.07,54
15,16,16,Justin Rose,70,0.551,29.226,53
16,17,17,Billy Horschel,86,0.5379999999999999,41.435,77
17,18,18,Lucas Glover,65,0.514,23.636,46
18,19,19,Trey Mullinax,75,0.506,29.83,59
19,20,20,Corey Conners,97,0.501,39.616,79
20,21,21,Kiradech Aphibarnrat,51,0.485,16.492,34
21,22,22,Tony Finau,105,0.48100000000000004,38.969,81
22,23,23,Byeong Hun An,86,0.475,34.677,73
23,24,24,Hunter Mahan,67,0.465,23.730999999999998,51
24,25,25,Kevin Streelman,94,0.439,35.994,82
25,26,26,Henrik Stenson,60,0.42700000000000005,18.788,44
26,27,27,Aaron Wise,90,0.41,32.834,80
27,28,28,Justin Thomas,91,0.408,27.721,68
28,29,29,Ryan Moore,78,0.406,26.814,66
29,30,30,Louis Oosthuizen,62,0.401,18.428,46
30,31,31,J.T. Poston,73,0.381,21.691,57
31,32,32,Tom Lovelady,87,0.379,26.149,69
32,33,33,Kyle Stanley,93,0.37799999999999995,25.343000000000004,67
33,34,34,Grayson Murray,72,0.375,22.151999999999997,59
34,35,35,Emiliano Grillo,94,0.364,26.593000000000004,73
35,36,36,Jason Kokrak,99,0.36,31.698,88
36,37,37,Sam Saunders,80,0.35,23.444000000000003,67
37,38,38,Matt Jones,70,0.33299999999999996,15.639000000000001,47
38,39,39,Shane Lowry,64,0.331,16.886,51
39,40,40,Abraham Ancer,98,0.325,26.951999999999998,83
40,41,41,Charles Howell III,104,0.324,25.304000000000002,78
41,42,42,James Hahn,85,0.32299999999999995,22.256,69
42,43,43,Bronson Burgoon,69,0.309,17.586,57
43,T44,T44,Joel Dahmen,93,0.3,21.325,71
44,T44,T44,Adam Scott,78,0.3,17.986,60
45,46,46,Jhonattan Vegas,92,0.294,18.788,64
46,47,47,J.J. Spaun,85,0.28600000000000003,20.322,71
47,48,48,Beau Hossler,104,0.281,25.256999999999998,90
48,49,49,Tyler Duncan,97,0.273,22.103,81
49,T50,T50,Jordan Spieth,81,0.271,17.878,66
50,T50,T50,Kevin Tway,110,0.271,24.386999999999997,90
51,T52,T52,Rafa Cabrera Bello,75,0.256,12.287,48
52,T52,T52,Jason Dufner,71,0.256,13.314,52
53,54,54,Charley Hoffman,87,0.254,17.242,68
54,55,55,Rickie Fowler,74,0.244,14.856,61
55,56,56,Cameron Percy,56,0.24100000000000002,9.868,41
56,57,57,Xander Schauffele,96,0.24,17.31,72
57,58,58,Keegan Bradley,98,0.237,18.955,80
58,59,59,Ryan Palmer,69,0.235,14.103,60
59,60,60,Hudson Swafford,73,0.225,11.714,52
60,61,61,Rory Sabbatini,91,0.217,16.252,75
61,62,62,C.T. Pan,104,0.215,17.59,82
62,63,63,Sean O'Hair,67,0.21100000000000002,12.04,57
63,64,64,Robert Garrigus,80,0.21,14.3,68
64,65,65,Scott Piercy,84,0.209,14.208,68
65,66,66,Alex Noren,67,0.20800000000000002,10.169,49
66,67,67,Andrew Landry,82,0.20600000000000002,15.038,73
67,68,68,Harold Varner III,91,0.204,15.079,74
68,69,69,Sam Ryder,82,0.203,14.205,70
69,70,70,Hideki Matsuyama,75,0.19399999999999998,11.079,57
70,71,71,Brice Garnett,99,0.188,15.24,81
