,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
143,T143,T143,Roberto Díaz,72,1.482,77.063,52,1.5190000000000001,1.432
144,T143,T143,Hideki Matsuyama,75,1.482,60.782,41,1.517,1.4509999999999998
145,T143,T143,Xander Schauffele,96,1.482,87.45200000000001,59,1.518,1.422
146,T143,T143,Tiger Woods,68,1.482,62.256,42,1.514,1.411
147,T148,T148,Charles Howell III,104,1.4809999999999999,102.21,69,1.5090000000000001,1.439
148,T148,T148,Jamie Lovemark,92,1.4809999999999999,99.251,67,1.517,1.425
149,T148,T148,Ethan Tracy,72,1.4809999999999999,66.624,45,1.515,1.425
150,T148,T148,Cameron Tringale,67,1.4809999999999999,68.139,46,1.5119999999999998,1.416
151,152,152,Chris Kirk,108,1.48,133.238,90,1.514,1.3769999999999998
152,T153,T153,Billy Hurley III,70,1.479,81.35,55,1.511,1.416
153,T153,T153,Chez Reavie,93,1.479,68.055,46,1.516,1.412
154,T153,T153,Patrick Reed,94,1.479,76.92399999999999,52,1.5130000000000001,1.4480000000000002
155,156,156,Charl Schwartzel,65,1.4780000000000002,47.28,32,1.5119999999999998,1.435
156,T157,T157,Daniel Berger,81,1.4769999999999999,78.268,53,1.507,1.425
157,T157,T157,Kevin Streelman,94,1.4769999999999999,110.76700000000001,75,1.5090000000000001,1.429
158,T159,T159,Ben Martin,64,1.476,82.648,56,1.517,1.42
159,T159,T159,Andrew Putnam,97,1.476,101.83200000000001,69,1.5119999999999998,1.4
160,T159,T159,Peter Uihlein,83,1.476,75.298,51,1.518,1.3980000000000001
161,T162,T162,Ryan Armour,109,1.475,131.246,89,1.511,1.42
162,T162,T162,J.B. Holmes,77,1.475,87.005,59,1.515,1.3869999999999998
163,T162,T162,Brooks Koepka,64,1.475,63.446000000000005,43,1.5119999999999998,1.421
164,T162,T162,Graeme McDowell,67,1.475,60.49,41,1.516,1.3969999999999998
165,T162,T162,Justin Rose,70,1.475,57.544,39,1.515,1.406
166,T167,T167,Fabián Gómez,88,1.473,92.77,63,1.514,1.422
167,T167,T167,Shawn Stefani,76,1.473,75.143,51,1.514,1.379
168,T169,T169,Bill Haas,76,1.472,69.202,47,1.517,1.423
169,T169,T169,Adam Schenk,86,1.472,94.211,64,1.508,1.426
170,T169,T169,Xinjun Zhang,81,1.472,72.145,49,1.518,1.411
171,T172,T172,Emiliano Grillo,94,1.4709999999999999,100.007,68,1.5030000000000001,1.4140000000000001
172,T172,T172,Alex Noren,67,1.4709999999999999,54.423,37,1.507,1.425
173,T174,T174,Hudson Swafford,73,1.47,66.172,45,1.516,1.392
174,T174,T174,Gary Woodland,96,1.47,79.38,54,1.5219999999999998,1.4180000000000001
175,176,176,James Hahn,85,1.469,91.05799999999999,62,1.5090000000000001,1.4
176,177,177,Zac Blair,64,1.4680000000000002,63.129,43,1.516,1.367
177,T178,T178,Kevin Kisner,89,1.465,83.52600000000001,57,1.516,1.403
178,T178,T178,Hunter Mahan,67,1.465,73.244,50,1.492,1.432
179,180,180,Matt Atkins,56,1.464,54.181999999999995,37,1.507,1.39
180,181,181,Scott Brown,102,1.462,100.89200000000001,69,1.514,1.3969999999999998
181,182,182,Kevin Na,91,1.4609999999999999,87.677,60,1.507,1.42
182,183,183,"Ted Potter, Jr.",87,1.46,102.195,70,1.5119999999999998,1.415
183,184,184,J.J. Spaun,85,1.459,86.10600000000001,59,1.506,1.4040000000000001
184,T185,T185,Rod Pampling,62,1.4580000000000002,62.687,43,1.496,1.3880000000000001
185,T185,T185,Jonathan Randolph,71,1.4580000000000002,87.46700000000001,60,1.4969999999999999,1.412
186,187,187,Tyler Duncan,97,1.4569999999999999,94.70200000000001,65,1.516,1.3769999999999998
187,188,188,Keith Mitchell,99,1.455,101.85600000000001,70,1.51,1.379
188,189,189,Ricky Barnes,65,1.453,47.95,33,1.517,1.412
189,190,190,Sam Ryder,82,1.45,86.973,60,1.4969999999999999,1.3840000000000001
190,191,191,Pat Perez,82,1.442,59.105,41,1.473,1.393
191,192,192,Conrad Shindler,60,1.425,41.336000000000006,29,1.5119999999999998,1.3530000000000002
192,193,193,Zecheng Dou,53,1.423,44.099,31,1.506,1.337
