,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Rory McIlroy,64,305.6,11611.3,38,342.3,260.7
1,2,2,Tom Lovelady,87,302.6,18461.1,61,330.4,252.1
2,3,3,Luke List,98,301.1,18666.3,62,323.8,248.2
3,4,4,Dustin Johnson,77,301.0,12341.6,41,337.9,275.7
4,5,5,Trey Mullinax,75,300.4,14417.7,48,329.6,266.7
5,6,6,Jon Rahm,71,299.9,11095.0,37,332.4,263.0
6,7,7,Brooks Koepka,64,299.6,11983.9,40,333.0,269.1
7,8,8,Tony Finau,105,298.6,18217.5,61,334.4,264.4
8,9,9,Gary Woodland,96,297.4,15465.8,52,333.8,262.0
9,10,10,Jason Day,75,295.6,11528.3,39,327.9,259.0
10,11,11,Bubba Watson,90,295.5,15072.4,51,323.2,259.5
11,12,12,Keith Mitchell,99,295.4,19789.4,67,322.3,262.9
12,T13,T13,Phil Mickelson,90,295.2,14167.3,48,317.5,265.6
13,T13,T13,Grayson Murray,72,295.2,14758.3,50,322.7,253.4
14,15,15,Bryson DeChambeau,93,294.2,17065.7,58,326.7,251.3
15,16,16,Jason Kokrak,99,293.7,22318.1,76,322.5,248.0
16,17,17,Justin Rose,70,293.5,10567.5,36,316.6,266.1
17,18,18,Harold Varner III,91,292.9,17864.6,61,315.4,268.3
18,T19,T19,Byeong Hun An,86,292.2,16069.1,55,319.6,261.3
19,T19,T19,J.B. Holmes,77,292.2,16069.8,55,320.1,257.7
20,T21,T21,Kevin Chappell,77,291.9,14009.3,48,324.0,259.1
21,T21,T21,Tiger Woods,68,291.9,10798.8,37,319.1,264.3
22,23,23,Rickie Fowler,74,291.5,11075.9,38,314.8,266.5
23,24,24,Robert Garrigus,80,291.3,16605.7,57,321.0,228.9
24,T25,T25,Xander Schauffele,96,291.0,16589.0,57,319.5,246.2
25,T25,T25,Peter Uihlein,83,291.0,13965.6,48,330.1,259.9
26,27,27,Patrick Rodgers,97,290.3,15965.8,55,322.7,246.2
27,28,28,Brandon Harkins,101,290.0,18267.6,63,311.5,264.2
28,29,29,Kevin Tway,110,289.5,19396.8,67,316.7,260.0
29,30,30,Nick Watney,94,289.3,20542.5,71,315.8,253.8
30,31,31,Jhonattan Vegas,92,289.2,13883.9,48,320.5,255.0
31,32,32,Hideki Matsuyama,75,289.1,11563.6,40,311.3,264.2
32,33,33,Tommy Fleetwood,73,288.2,12106.2,42,315.0,264.5
33,34,34,Harris English,84,288.0,17853.5,62,322.2,254.7
34,35,35,Justin Thomas,91,287.6,14093.6,49,318.4,230.2
35,36,36,Charl Schwartzel,65,287.4,8045.9,28,311.9,267.7
36,37,37,Francesco Molinari,73,286.8,12331.5,43,303.9,264.8
37,38,38,Matt Atkins,56,286.7,9462.6,33,316.9,234.5
38,39,39,Patrick Cantlay,87,286.5,16043.3,56,312.6,263.2
39,40,40,Adam Scott,78,286.3,13169.5,46,313.6,264.6
40,41,41,Brendan Steele,74,285.8,11719.0,41,317.3,251.9
41,42,42,Sean O'Hair,67,285.4,13699.3,48,313.0,251.3
42,43,43,Cody Gribble,71,285.3,12552.8,44,317.7,251.4
43,44,44,Seamus Power,86,285.1,16536.7,58,317.5,255.0
44,45,45,Sam Saunders,80,285.0,15104.2,53,309.5,249.1
45,46,46,Ryan Palmer,69,284.9,13388.4,47,308.1,264.5
46,T47,T47,Matt Jones,70,284.7,11671.9,41,308.8,251.6
47,T47,T47,Marc Leishman,93,284.7,15657.6,55,316.3,249.1
48,49,49,Keegan Bradley,98,284.5,19060.7,67,315.4,254.1
49,50,50,Tyrrell Hatton,58,284.2,7389.2,26,299.7,262.1
50,51,51,Paul Casey,74,284.0,9656.4,34,314.2,256.8
51,T52,T52,Denny McCarthy,71,283.7,11348.0,40,309.9,252.6
52,T52,T52,Scott Stallings,96,283.7,19578.2,69,311.8,239.0
53,54,54,Talor Gooch,78,283.5,13040.2,46,314.3,257.5
54,T55,T55,Bronson Burgoon,69,283.3,13030.1,46,305.8,246.3
55,T55,T55,Martin Laird,73,283.3,14731.3,52,317.4,247.4
56,T57,T57,Chesson Hadley,103,283.2,21808.9,77,309.1,244.2
57,T57,T57,Hudson Swafford,73,283.2,11329.3,40,313.7,250.7
58,T59,T59,Beau Hossler,104,283.0,20938.3,74,306.7,234.6
59,T59,T59,Adam Schenk,86,283.0,16411.9,58,305.0,236.8
60,T61,T61,Bud Cauley,55,282.8,10180.5,36,304.5,250.1
61,T61,T61,J.T. Poston,73,282.8,14423.1,51,310.1,245.8
62,T61,T61,Aaron Wise,90,282.8,16966.6,60,314.6,255.7
63,64,64,Cameron Smith,85,282.5,12711.8,45,306.8,247.5
64,65,65,Charley Hoffman,87,282.4,14401.1,51,313.6,252.8
65,66,66,Louis Oosthuizen,62,282.3,11009.6,39,320.7,259.0
66,67,67,Patrick Reed,94,282.2,12983.0,46,331.7,252.7
67,68,68,Patton Kizzire,92,282.1,18336.9,65,313.2,256.7
68,69,69,Shane Lowry,64,282.0,11562.3,41,311.4,210.8
69,T70,T70,Corey Conners,97,281.8,20287.2,72,316.4,250.2
70,T70,T70,Bill Haas,76,281.8,12679.6,45,304.1,250.3
71,T72,T72,James Hahn,85,281.7,16337.5,58,312.1,249.6
72,T72,T72,Hunter Mahan,67,281.7,13522.6,48,299.7,249.8
73,T74,T74,Retief Goosen,60,281.6,9574.1,34,302.5,237.0
74,T74,T74,Jamie Lovemark,92,281.6,17460.1,62,314.2,248.1
75,T74,T74,Henrik Stenson,60,281.6,4505.5,16,300.3,261.0
76,77,77,Jimmy Walker,81,281.5,13232.1,47,312.2,249.8
77,78,78,Matt Every,79,281.3,14344.3,51,304.7,254.0
78,T79,T79,Sung Kang,89,280.9,12920.3,46,309.9,243.7
79,T79,T79,Alex Noren,67,280.9,9831.8,35,308.1,260.2
80,81,81,Billy Horschel,86,280.7,19368.4,69,321.5,243.0
81,82,82,Shawn Stefani,76,280.6,13467.6,48,306.4,247.9
82,T83,T83,Stephan Jaeger,81,280.2,14848.5,53,308.6,243.3
83,T83,T83,Xinjun Zhang,81,280.2,13171.7,47,307.2,253.0
84,85,85,Kevin Streelman,94,279.9,20153.9,72,313.5,248.8
85,86,86,Charles Howell III,104,279.8,17906.6,64,303.5,248.0
86,87,87,Martin Flores,92,279.7,17341.4,62,309.1,246.4
87,88,88,Jordan Spieth,81,279.6,15378.4,55,312.2,245.7
88,T89,T89,Dominic Bozzelli,65,279.5,13697.7,49,304.9,248.0
89,T89,T89,Brett Stegmaier,67,279.5,12299.3,44,309.6,239.5
90,91,91,Mackenzie Hughes,80,279.4,16484.9,59,297.6,246.9
