,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Dustin Johnson,77,305.9,266752,872
1,T2,T2,Rory McIlroy,64,305.7,217651,712
2,T2,T2,Jon Rahm,71,305.7,219457,718
3,4,4,Bubba Watson,90,304.7,290058,952
4,5,5,Brooks Koepka,64,304.1,231091,760
5,6,6,Luke List,98,302.5,329169,1088
6,7,7,Tony Finau,105,301.6,341446,1132
7,8,8,Trey Mullinax,75,301.5,247867,822
8,9,9,Tom Lovelady,87,301.2,290314,964
9,T10,T10,Kevin Chappell,77,301.0,262472,872
10,T10,T10,Justin Thomas,91,301.0,287754,956
11,12,12,Gary Woodland,96,300.6,293980,978
12,13,13,Keith Mitchell,99,300.3,348926,1162
13,14,14,Grayson Murray,72,299.3,247839,828
14,15,15,Brendan Steele,74,298.8,227053,760
15,16,16,Kevin Tway,110,298.1,375051,1258
16,17,17,Patrick Cantlay,87,297.7,280461,942
17,18,18,Peter Uihlein,83,297.2,270454,910
18,19,19,Tommy Fleetwood,73,297.0,224522,756
19,T20,T20,Byeong Hun An,86,296.6,302506,1020
20,T20,T20,J.B. Holmes,77,296.6,281182,948
21,22,22,Francesco Molinari,73,296.4,236519,798
22,23,23,Xander Schauffele,96,296.3,299894,1012
23,24,24,Jason Day,75,295.9,202988,686
24,25,25,Ryan Palmer,69,294.8,246423,836
25,26,26,Bryson DeChambeau,93,294.7,322678,1095
26,T27,T27,Brandon Harkins,101,294.2,349477,1188
27,T27,T27,Phil Mickelson,90,294.2,288322,980
28,T29,T29,Hideki Matsuyama,75,294.1,235876,802
29,T29,T29,Jhonattan Vegas,92,294.1,264708,900
30,T31,T31,Jason Kokrak,99,293.9,360971,1228
31,T31,T31,Harold Varner III,91,293.9,303326,1032
32,33,33,Robert Garrigus,80,293.2,278000,948
33,34,34,Jordan Spieth,81,293.1,271381,926
34,35,35,Aaron Wise,90,293.0,327016,1116
35,36,36,Patrick Reed,94,292.6,256867,878
36,T37,T37,Branden Grace,67,292.4,178919,612
37,T37,T37,Tyrrell Hatton,58,292.4,171928,588
38,T37,T37,Charley Hoffman,87,292.4,277776,950
39,T37,T37,Justin Rose,70,292.4,215812,738
40,T41,T41,Matt Jones,70,292.2,192243,658
41,T41,T41,Charl Schwartzel,65,292.2,170647,584
42,43,43,Paul Casey,74,292.0,199167,682
43,T44,T44,Beau Hossler,104,291.9,367251,1258
44,T44,T44,Nick Watney,94,291.9,325758,1116
45,46,46,Shane Lowry,64,291.7,207133,710
46,47,47,Cameron Smith,85,291.5,248971,854
47,T48,T48,Matt Atkins,56,291.3,163108,560
48,T48,T48,Marc Leishman,93,291.3,298919,1026
49,T48,T48,Adam Schenk,86,291.3,267976,920
50,T51,T51,Lanto Griffin,80,290.9,244374,840
51,T51,T51,Hudson Swafford,73,290.9,212321,730
52,T53,T53,Patrick Rodgers,97,290.7,295889,1018
53,T53,T53,Sam Saunders,80,290.7,271491,934
54,T55,T55,Corey Conners,97,290.4,319971,1102
55,T55,T55,J.T. Poston,73,290.4,231721,798
56,T57,T57,Rickie Fowler,74,290.3,249101,858
57,T57,T57,Alex Noren,67,290.3,199131,686
58,59,59,Charles Howell III,104,290.2,315730,1088
59,60,60,Sean O'Hair,67,290.0,230286,794
60,61,61,Patton Kizzire,92,289.9,317769,1096
61,T62,T62,Martin Flores,92,289.7,290824,1004
62,T62,T62,Adam Scott,78,289.7,242173,836
63,64,64,Tiger Woods,68,289.6,238034,822
64,T65,T65,Bronson Burgoon,69,289.4,230979,798
65,T65,T65,Cameron Percy,56,289.4,166104,574
66,T67,T67,Jamie Lovemark,92,289.3,314770,1088
67,T67,T67,Louis Oosthuizen,62,289.3,185155,640
68,69,69,Kyle Stanley,93,289.2,272429,942
69,T70,T70,Abraham Ancer,98,289.1,334835,1158
70,T70,T70,Seamus Power,86,289.1,266585,922
71,T72,T72,Jason Dufner,71,289.0,210968,730
72,T72,T72,James Hahn,85,289.0,279175,966
73,74,74,Hunter Mahan,67,288.7,206119,714
74,T75,T75,Daniel Berger,81,288.5,251615,872
75,T75,T75,Keegan Bradley,98,288.5,322007,1116
76,77,77,Billy Horschel,86,288.3,311335,1080
77,T78,T78,Kiradech Aphibarnrat,51,288.2,137200,476
78,T78,T78,Stephan Jaeger,81,288.2,252997,878
79,80,80,Scott Stallings,96,288.1,321470,1116
80,81,81,Joel Dahmen,93,288.0,286265,994
81,82,82,Brian Harman,94,287.8,291288,1012
82,83,83,Chesson Hadley,103,287.7,357845,1244
83,84,84,Matt Every,79,287.6,244422,850
84,T85,T85,Lucas Glover,65,287.5,184016,640
85,T85,T85,Ethan Tracy,72,287.5,217370,756
86,87,87,Rory Sabbatini,91,287.2,300369,1046
87,T88,T88,Zecheng Dou,53,287.1,144107,502
88,T88,T88,Anirban Lahiri,82,287.1,269313,938
89,T88,T88,Nate Lashley,51,287.1,140667,490
90,91,91,Ollie Schniederjans,91,287.0,308259,1074
91,T92,T92,Retief Goosen,60,286.9,160115,558
92,T92,T92,Si Woo Kim,108,286.9,313270,1092
93,T92,T92,J.J. Spaun,85,286.9,285176,994
94,95,95,Cody Gribble,71,286.8,216792,756
95,96,96,Brett Stegmaier,67,286.7,188670,658
96,97,97,Rafa Cabrera Bello,75,286.6,192575,672
97,98,98,Jonas Blixt,67,286.4,193608,676
98,T99,T99,Aaron Baddeley,84,286.2,279372,976
99,T99,T99,Stewart Cink,87,286.2,267323,934
100,101,101,Harris English,84,286.1,271836,950
101,102,102,Adam Hadwin,92,285.9,264197,924
102,T103,T103,Sam Ryder,82,285.8,278982,976
103,T103,T103,Jimmy Walker,81,285.8,262894,920
104,105,105,Austin Cook,107,285.7,368000,1288
105,T106,T106,Dominic Bozzelli,65,285.6,242800,850
106,T106,T106,Brice Garnett,99,285.6,322699,1130
107,T106,T106,Andrew Landry,82,285.6,291890,1022
108,T106,T106,Shawn Stefani,76,285.6,239920,840
109,T106,T106,Nick Taylor,94,285.6,295295,1034
110,111,111,Xinjun Zhang,81,285.5,227238,796
111,112,112,Kevin Streelman,94,285.3,326930,1146
112,113,113,Mackenzie Hughes,80,285.1,270819,950
113,T114,T114,Bud Cauley,55,285.0,163033,572
114,T114,T114,Peter Malnati,87,285.0,298657,1048
115,T116,T116,Blayne Barber,69,284.9,238171,836
116,T116,T116,Talor Gooch,78,284.9,246741,866
117,T116,T116,Scott Piercy,84,284.9,271210,952
118,119,119,Pat Perez,82,284.8,204459,718
119,T120,T120,Tyler Duncan,97,284.6,322206,1132
120,T120,T120,Danny Lee,88,284.6,278349,978
121,122,122,Graeme McDowell,67,284.5,182066,640
122,T123,T123,Emiliano Grillo,94,284.4,290612,1022
123,T123,T123,Bill Haas,76,284.4,261631,920
124,125,125,Troy Merritt,89,284.3,289988,1020
125,T126,T126,Martin Laird,73,284.2,242137,852
126,T126,T126,Webb Simpson,95,284.2,321094,1130
127,128,128,Chris Stroud,81,284.1,231842,816
128,T129,T129,Tom Hoge,101,283.9,329322,1160
129,T129,T129,Denny McCarthy,71,283.9,194786,686
130,131,131,Steve Wheatcroft,60,283.7,182695,644
131,T132,T132,Russell Henley,77,283.6,231436,816
132,T132,T132,Ian Poulter,73,283.6,197978,698
133,134,134,Kevin Kisner,89,283.3,258921,914
134,T135,T135,Satoshi Kodaira,51,283.1,158556,560
135,T135,T135,Michael Thompson,62,283.1,221978,784
136,T137,T137,Sung Kang,89,283.0,264337,934
137,T137,T137,C.T. Pan,104,283.0,324297,1146
138,T137,T137,Andrew Putnam,97,283.0,304538,1076
139,T137,T137,Conrad Shindler,60,283.0,174314,616
140,141,141,Zach Johnson,94,282.9,283986,1004
141,142,142,Matt Kuchar,88,282.8,256184,906
142,143,143,Brandt Snedeker,84,282.7,291756,1032
143,144,144,Henrik Stenson,60,282.6,173490,614
144,145,145,Ben Silverman,90,282.4,299883,1062
145,146,146,Richy Werenski,98,282.2,291752,1034
146,T147,T147,Fabián Gómez,88,282.1,279296,990
147,T147,T147,Andrew Yun,51,282.1,134296,476
148,149,149,Russell Knox,94,282.0,291013,1032
149,150,150,Jonathan Byrd,70,281.9,189430,672
150,151,151,Nicholas Lindheim,77,281.8,232176,824
151,152,152,Martin Piller,79,281.7,263713,936
152,153,153,J.J. Henry,81,281.6,247210,878
153,154,154,Chris Kirk,108,281.4,377121,1340
154,T155,T155,Scott Brown,102,281.2,317728,1130
155,T155,T155,Cameron Tringale,67,281.2,200783,714
156,157,157,Chez Reavie,93,281.1,235538,838
157,T158,T158,Rod Pampling,62,281.0,175934,626
158,T158,T158,Robert Streb,78,281.0,235519,838
159,160,160,Ryan Blaum,81,280.9,281996,1004
160,161,161,Tyrone Van Aswegen,101,280.8,325112,1158
161,162,162,Roberto Díaz,72,280.6,219991,784
162,163,163,David Lingmerth,82,280.5,269830,962
163,164,164,Derek Fathauer,84,280.4,266400,950
164,T165,T165,Chad Campbell,87,280.3,261827,934
165,T165,T165,Kevin Na,91,280.3,274706,980
166,167,167,Ryan Moore,78,280.1,258286,922
167,168,168,Vaughn Taylor,83,279.7,274149,980
168,T169,T169,Michael Kim,74,279.6,210838,754
169,T169,T169,Ben Martin,64,279.6,222041,794
170,T171,T171,William McGirt,84,279.4,292269,1046
171,T171,T171,Jonathan Randolph,71,279.4,234096,838
172,T173,T173,"Ted Potter, Jr.",87,279.2,300368,1076
173,T173,T173,Johnson Wagner,75,279.2,214992,770
174,T175,T175,Ricky Barnes,65,279.1,175810,630
175,T175,T175,Kelly Kraft,94,279.1,288004,1032
176,177,177,Kyle Thompson,50,278.7,140459,504
177,T178,T178,Zac Blair,64,278.4,179276,644
178,T178,T178,Alex Cejka,77,278.4,232731,836
179,180,180,Rob Oppenheim,74,278.3,210423,756
180,181,181,Daniel Summerhays,51,277.9,147827,532
181,182,182,John Huh,94,277.6,318137,1146
182,183,183,Greg Chalmers,56,277.2,158572,572
183,184,184,Brian Gay,103,277.1,356363,1286
184,185,185,David Hearn,66,277.0,193923,700
185,186,186,Whee Kim,93,276.7,281666,1018
186,187,187,Billy Hurley III,70,276.2,219883,796
187,188,188,Ryan Armour,109,275.7,370481,1344
188,189,189,Brian Stuard,103,274.8,338047,1230
189,190,190,Ben Crane,65,274.4,176687,644
190,191,191,D.A. Points,63,273.7,184484,674
191,192,192,Wesley Bryan,69,271.2,194740,718
192,193,193,Jim Furyk,50,270.5,173100,640
