,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Tom Lovelady,87,"137' 10""","8546' 9""",62,"183' 11""","96' 5"""
1,2,2,Kevin Chappell,77,"127' 7""","6379' 9""",50,"160' 11""","93' 2"""
2,3,3,Luke List,98,"127' 3""","8526' 6""",67,"156' 7""","92' 3"""
3,T4,T4,Dustin Johnson,77,"125' 8""","5402' 4""",43,"177' 4""","97' 9"""
4,T4,T4,Sam Saunders,80,"125' 8""",6912',55,"156' 1""","88' 8"""
5,6,6,Byeong Hun An,86,"125' 7""","7031' 9""",56,"153' 6""","80' 4"""
6,7,7,Gary Woodland,96,"125' 6""","6776' 3""",54,"156' 3""","86' 0"""
7,8,8,Phil Mickelson,90,"125' 0""","6000' 8""",48,"157' 8""","79' 2"""
8,9,9,Rory McIlroy,64,"124' 0""","4712' 0""",38,"148' 3""","74' 6"""
9,10,10,Tyrrell Hatton,58,"123' 11""","3593' 1""",29,"140' 9""","92' 1"""
10,11,11,Bryson DeChambeau,93,"123' 4""","7276' 1""",59,"161' 0""","80' 4"""
11,T12,T12,Matt Atkins,56,"122' 9""","4420' 2""",36,"151' 7""","66' 4"""
12,T12,T12,J.B. Holmes,77,"122' 9""","6995' 0""",57,"160' 1""","85' 4"""
13,T12,T12,Jon Rahm,71,"122' 9""","4908' 6""",40,"183' 0""","79' 0"""
14,15,15,James Hahn,85,"121' 11""","7438' 8""",61,"159' 11""","14' 6"""
15,16,16,Harold Varner III,91,"121' 6""","8264' 5""",68,"164' 4""","65' 5"""
16,17,17,Ryan Blaum,81,"121' 2""","7510' 4""",62,"158' 4""","80' 2"""
17,18,18,Stephan Jaeger,81,"120' 10""","6644' 4""",55,"157' 9""","56' 1"""
18,19,19,Danny Lee,88,"120' 6""","7711' 4""",64,"167' 2""","75' 5"""
19,20,20,Keegan Bradley,98,"120' 3""",8537',71,"141' 8""","95' 9"""
20,21,21,Trey Mullinax,75,"120' 2""","5889' 1""",49,"174' 5""","75' 4"""
21,22,22,Pat Perez,82,"120' 1""",4801',40,"164' 8""","76' 8"""
22,23,23,Brooks Koepka,64,"119' 10""","5152' 9""",43,"161' 4""","86' 9"""
23,T24,T24,Retief Goosen,60,"119' 9""","4429' 4""",37,"145' 11""","68' 8"""
24,T24,T24,Francesco Molinari,73,"119' 9""",5270',44,"147' 0""","90' 0"""
25,26,26,Rickie Fowler,74,"119' 6""","4900' 5""",41,"150' 5""","96' 1"""
26,27,27,Xander Schauffele,96,"119' 4""","7042' 1""",59,"151' 0""","76' 8"""
27,28,28,Joel Dahmen,93,"119' 1""","8098' 6""",68,"153' 7""","73' 3"""
28,29,29,Jason Kokrak,99,"119' 0""","9402' 9""",79,"154' 8""","69' 6"""
29,30,30,Sean O'Hair,67,"118' 6""","5805' 4""",49,"159' 6""","77' 5"""
30,31,31,Alex Cejka,77,"118' 1""","6492' 5""",55,"145' 5""","85' 0"""
31,32,32,Cameron Tringale,67,"117' 6""","5406' 8""",46,"156' 9""","81' 2"""
32,33,33,Denny McCarthy,71,"117' 3""",4805',41,"151' 10""","87' 9"""
33,T34,T34,Bud Cauley,55,"116' 8""",4316',37,"160' 8""","73' 3"""
34,T34,T34,Patrick Rodgers,97,"116' 8""",6416',55,"165' 5""","65' 0"""
35,36,36,Beau Hossler,104,"115' 10""","9036' 8""",78,"161' 3""","58' 0"""
36,37,37,Cody Gribble,71,"115' 1""","5063' 6""",44,"154' 9""","85' 10"""
37,T38,T38,David Hearn,66,"114' 7""",5155',45,"148' 7""","99' 6"""
38,T38,T38,Sung Kang,89,"114' 7""","5958' 5""",52,"168' 6""","57' 10"""
39,T40,T40,Jonas Blixt,67,"113' 11""","5240' 2""",46,"159' 5""","80' 11"""
40,T40,T40,Louis Oosthuizen,62,"113' 11""","4672' 2""",41,"141' 2""","78' 3"""
41,T42,T42,Martin Laird,73,"113' 9""","6030' 6""",53,"148' 6""","84' 4"""
42,T42,T42,Alex Noren,67,"113' 9""","4096' 2""",36,"148' 3""","70' 9"""
43,44,44,Keith Mitchell,99,"113' 7""","7837' 8""",69,"155' 4""","81' 9"""
44,45,45,Tommy Fleetwood,73,"113' 4""","4873' 5""",43,"149' 3""","91' 2"""
45,T46,T46,Dominic Bozzelli,65,"113' 1""","5994' 7""",53,"159' 1""","86' 6"""
46,T46,T46,Henrik Stenson,60,"113' 1""","1808' 9""",16,"133' 0""","91' 7"""
47,T46,T46,Bubba Watson,90,"113' 1""","5993' 8""",53,"161' 4""","66' 1"""
48,49,49,Cameron Smith,85,"112' 10""","5190' 0""",46,"141' 11""","57' 0"""
49,50,50,Brandon Harkins,101,"112' 7""","7657' 3""",68,"149' 2""","75' 2"""
50,51,51,Shane Lowry,64,"112' 6""","4723' 7""",42,"149' 8""","43' 7"""
51,T52,T52,Robert Garrigus,80,"112' 4""","6513' 2""",58,"160' 11""","62' 11"""
52,T52,T52,Hideki Matsuyama,75,"112' 4""",4604',41,"138' 2""","88' 6"""
53,54,54,Tony Finau,105,"112' 3""","7408' 6""",66,"149' 4""","78' 2"""
54,55,55,Patrick Cantlay,87,"112' 0""","6273' 0""",56,"138' 5""","80' 3"""
55,56,56,Jason Day,75,"111' 10""","4474' 1""",40,"139' 11""","6' 5"""
56,57,57,Satoshi Kodaira,51,"111' 9""","2906' 1""",26,"134' 11""","89' 2"""
57,58,58,Justin Rose,70,"111' 7""",4350',39,"139' 4""","9' 11"""
58,T59,T59,Adam Hadwin,92,"111' 5""","5791' 6""",52,"140' 9""","76' 0"""
59,T59,T59,Troy Merritt,89,"111' 5""","7466' 3""",67,"146' 2""","85' 6"""
60,T59,T59,Justin Thomas,91,"111' 5""","5792' 7""",52,"148' 11""","68' 1"""
61,T62,T62,Billy Horschel,86,"111' 3""","7789' 3""",70,"152' 8""","81' 7"""
