,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Henrik Stenson,60,7.82,48,614,+0.13
1,2,2,Ryan Armour,109,9.9,133,1343,-0.06
2,3,3,Billy Hurley III,70,10.01,79,789,+0.06
3,4,4,Michael Thompson,62,10.17,79,777,+0.04
4,5,5,Brian Harman,94,10.22,103,1008,+0.14
5,6,6,Brian Stuard,103,10.35,127,1227,+0.20
6,7,7,Keegan Bradley,98,10.54,117,1110,+0.08
7,8,8,Blayne Barber,69,10.59,88,831,+0.02
8,9,9,Chez Reavie,93,10.87,91,837,+0.10
9,10,10,Zach Johnson,94,11.23,112,997,+0.13
10,11,11,Alex Cejka,77,11.28,94,833,+0.22
11,12,12,Kevin Kisner,89,11.33,103,909,+0.10
12,13,13,Brian Gay,103,11.38,146,1283,+0.16
13,14,14,Matt Kuchar,88,11.44,103,900,+0.17
14,15,15,Austin Cook,107,11.48,147,1281,+0.16
15,16,16,Emiliano Grillo,94,11.52,117,1016,+0.10
16,17,17,David Lingmerth,82,11.67,112,960,E
17,18,18,Chris Kirk,108,11.83,158,1336,E
18,19,19,Vaughn Taylor,83,11.87,116,977,+0.11
19,20,20,Hudson Swafford,73,11.88,86,724,+0.06
20,21,21,Brandt Snedeker,84,11.9,122,1025,+0.07
21,22,22,Russell Knox,94,11.95,123,1029,+0.15
22,23,23,Jason Dufner,71,12.0,87,725,+0.25
23,24,24,C.T. Pan,104,12.03,137,1139,+0.10
24,25,25,Billy Horschel,86,12.04,130,1080,+0.05
25,26,26,Ryan Blaum,81,12.06,121,1003,+0.14
26,27,27,Kyle Stanley,93,12.11,114,941,+0.17
27,28,28,Russell Henley,77,12.13,99,816,+0.21
28,29,29,Robert Streb,78,12.15,101,831,+0.17
29,30,30,J.J. Henry,81,12.17,106,871,+0.08
30,31,31,Kevin Chappell,77,12.38,107,864,+0.13
31,32,32,Kiradech Aphibarnrat,51,12.45,59,474,+0.10
32,T33,T33,Kelly Kraft,94,12.55,129,1028,+0.06
33,T33,T33,"Ted Potter, Jr.",87,12.55,134,1068,+0.23
34,T35,T35,J.J. Spaun,85,12.63,125,990,+0.06
35,T35,T35,Richy Werenski,98,12.63,130,1029,+0.22
36,37,37,Jim Furyk,50,12.66,81,640,+0.07
37,38,38,Tommy Fleetwood,73,12.75,96,753,+0.13
38,39,39,Denny McCarthy,71,12.78,87,681,+0.11
39,40,40,Rafa Cabrera Bello,75,12.84,86,670,+0.12
40,41,41,Justin Rose,70,12.89,95,737,+0.04
41,42,42,Shane Lowry,64,13.01,92,707,+0.11
42,43,43,Patrick Rodgers,97,13.1,132,1008,+0.03
43,44,44,Paul Casey,74,13.11,89,679,+0.10
44,45,45,Steve Wheatcroft,60,13.19,84,637,+0.18
45,46,46,Harris English,84,13.33,125,938,E
46,T47,T47,Wesley Bryan,69,13.36,95,711,+0.18
47,T47,T47,Xinjun Zhang,81,13.36,105,786,+0.20
48,49,49,Brendan Steele,74,13.41,101,753,+0.02
49,50,50,Kevin Na,91,13.42,131,976,+0.19
50,T51,T51,Fabián Gómez,88,13.49,133,986,+0.07
51,T51,T51,David Hearn,66,13.49,94,697,+0.10
52,53,53,Keith Mitchell,99,13.51,156,1155,-0.01
