,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Dustin Johnson,77,204.8,8805.3,43,226.4,184.3
1,2,2,Luke List,98,202.9,13595.6,67,215.1,170.3
2,3,3,Brooks Koepka,64,202.4,8701.8,43,231.5,186.1
3,4,4,Peter Uihlein,83,201.9,10097.1,50,225.5,180.6
4,5,5,Rory McIlroy,64,201.8,7668.5,38,213.9,179.9
5,6,6,Gary Woodland,96,201.7,10891.6,54,221.0,179.3
6,7,7,Jon Rahm,71,200.8,8030.4,40,223.7,184.2
7,8,8,Trey Mullinax,75,200.4,9818.8,49,217.3,175.9
8,9,9,Tony Finau,105,200.2,13215.3,66,226.8,181.1
9,10,10,Bubba Watson,90,199.9,10592.6,53,216.2,176.2
10,11,11,Jhonattan Vegas,92,199.4,10169.4,51,215.2,182.2
11,12,12,Tom Lovelady,87,199.0,12338.0,62,214.6,181.1
12,13,13,Adam Scott,78,198.4,9921.0,50,210.4,185.5
13,14,14,Keith Mitchell,99,197.6,13632.1,69,212.2,176.6
14,15,15,J.B. Holmes,77,197.4,11249.6,57,212.8,179.0
15,16,16,Patrick Rodgers,97,197.0,10834.7,55,213.1,164.0
16,17,17,Grayson Murray,72,196.2,10398.7,53,214.3,158.8
17,18,18,Kevin Tway,110,195.8,14289.8,73,213.2,181.6
18,19,19,Adam Schenk,86,195.6,12518.5,64,209.9,162.5
19,20,20,Nick Watney,94,195.4,14658.6,75,208.0,162.6
20,21,21,Bryson DeChambeau,93,195.1,11512.6,59,213.8,176.7
21,22,22,Byeong Hun An,86,195.0,10921.1,56,215.1,174.8
22,23,23,Tiger Woods,68,194.9,7407.1,38,207.4,180.6
23,T24,T24,Kevin Chappell,77,194.8,9739.8,50,210.6,178.3
24,T24,T24,Phil Mickelson,90,194.8,9348.3,48,204.0,175.0
25,26,26,Matt Jones,70,194.7,7982.1,41,206.8,172.5
26,27,27,Xander Schauffele,96,194.6,11479.3,59,218.5,172.8
27,28,28,Tommy Fleetwood,73,194.1,8348.1,43,209.3,179.0
28,29,29,Brandon Harkins,101,193.9,13186.4,68,204.4,177.7
29,T30,T30,Charl Schwartzel,65,193.2,5989.0,31,212.9,171.9
30,T30,T30,Brendan Steele,74,193.2,8500.2,44,218.3,170.2
31,32,32,Jason Kokrak,99,193.1,15258.4,79,205.4,164.9
32,33,33,Alex Noren,67,192.9,6945.2,36,206.2,183.1
33,34,34,Marc Leishman,93,192.8,10988.5,57,206.4,171.0
34,T35,T35,Harris English,84,192.6,12326.2,64,205.8,176.0
35,T35,T35,Hideki Matsuyama,75,192.6,7896.8,41,206.0,178.2
36,T35,T35,Harold Varner III,91,192.6,13097.6,68,208.7,168.6
37,38,38,Paul Casey,74,192.0,6526.8,34,207.6,172.0
38,39,39,Tyrrell Hatton,58,191.5,5552.1,29,206.1,174.8
39,T40,T40,Seamus Power,86,191.3,11476.1,60,211.0,170.5
40,T40,T40,Hudson Swafford,73,191.3,8415.8,44,205.3,172.3
41,42,42,Patrick Cantlay,87,191.1,10703.4,56,207.7,175.1
42,43,43,Justin Thomas,91,191.0,9931.7,52,209.2,145.0
43,T44,T44,Robert Garrigus,80,190.9,11073.9,58,206.6,142.9
44,T44,T44,Justin Rose,70,190.9,7445.0,39,209.2,129.2
45,T44,T44,Ollie Schniederjans,91,190.9,11456.1,60,212.3,128.5
46,47,47,Jason Day,75,190.8,7633.8,40,211.4,103.6
47,T48,T48,Rickie Fowler,74,190.7,7819.7,41,204.3,177.4
48,T48,T48,Henrik Stenson,60,190.7,3051.0,16,198.3,174.2
49,50,50,Keegan Bradley,98,190.4,13521.5,71,206.9,173.3
50,51,51,Aaron Wise,90,190.2,12171.9,64,204.2,172.4
51,T52,T52,Martin Laird,73,189.3,10031.7,53,203.0,171.2
52,T52,T52,Louis Oosthuizen,62,189.3,7761.2,41,212.6,172.1
53,54,54,Patrick Reed,94,189.2,9650.8,51,209.9,173.4
54,55,55,Ryan Palmer,69,189.0,9826.4,52,201.7,164.8
55,T56,T56,Corey Conners,97,188.6,14331.1,76,204.4,162.1
56,T56,T56,Branden Grace,67,188.6,6035.9,32,199.9,172.7
57,T56,T56,Charley Hoffman,87,188.6,10184.5,54,207.4,168.6
58,59,59,Patton Kizzire,92,188.5,12820.2,68,207.5,169.9
59,60,60,Sean O'Hair,67,188.3,9227.9,49,201.9,170.9
60,61,61,Charles Howell III,104,187.8,12396.7,66,204.7,166.2
61,T62,T62,Bill Haas,76,187.7,8819.7,47,201.5,171.5
62,T62,T62,J.T. Poston,73,187.7,10509.9,56,203.9,153.3
63,64,64,Ethan Tracy,72,187.6,8440.9,45,203.7,166.4
64,T65,T65,Dominic Bozzelli,65,187.3,9924.3,53,200.9,155.7
65,T65,T65,Adam Hadwin,92,187.3,9741.1,52,209.5,173.9
66,T67,T67,Shane Lowry,64,187.2,7863.7,42,201.6,134.2
67,T67,T67,Pat Perez,82,187.2,7489.3,40,209.0,165.0
68,69,69,Denny McCarthy,71,187.1,7671.5,41,197.3,164.9
69,T70,T70,Matt Atkins,56,187.0,6732.0,36,203.0,163.8
70,T70,T70,Talor Gooch,78,187.0,8790.9,47,204.7,163.4
71,T70,T70,Francesco Molinari,73,187.0,8227.5,44,204.3,168.7
72,T73,T73,Stephan Jaeger,81,186.7,10270.6,55,198.5,155.4
73,T73,T73,Cameron Smith,85,186.7,8590.1,46,201.3,145.0
74,75,75,Billy Horschel,86,186.5,13053.3,70,212.7,169.6
75,T76,T76,Lanto Griffin,80,186.4,9134.8,49,207.6,132.5
76,T76,T76,Xinjun Zhang,81,186.4,8949.5,48,201.6,170.0
77,T78,T78,Kiradech Aphibarnrat,51,186.3,5031.2,27,203.8,171.4
78,T78,T78,Daniel Berger,81,186.3,9874.5,53,202.2,161.7
79,80,80,Scott Stallings,96,186.1,13399.2,72,203.5,141.0
80,T81,T81,Bronson Burgoon,69,186.0,8926.7,48,199.4,166.0
81,T81,T81,Kevin Streelman,94,186.0,13764.0,74,199.2,167.5
82,83,83,Sam Ryder,82,185.9,10782.8,58,198.4,164.4
83,84,84,Shawn Stefani,76,185.7,9471.7,51,198.5,163.9
84,T85,T85,Matt Every,79,185.5,9833.9,53,194.5,157.6
85,T85,T85,Conrad Shindler,60,185.5,5379.5,29,194.2,162.1
86,87,87,Lucas Glover,65,185.1,7590.8,41,203.2,153.3
87,T88,T88,Aaron Baddeley,84,185.0,11100.9,60,200.5,164.1
88,T88,T88,Chesson Hadley,103,185.0,14796.4,80,201.0,148.6
89,T90,T90,Emiliano Grillo,94,184.9,12570.9,68,198.7,150.2
90,T90,T90,Jamie Lovemark,92,184.9,12386.0,67,201.1,167.7
91,T90,T90,Andrew Putnam,97,184.9,12574.3,68,200.8,163.2
92,93,93,Hunter Mahan,67,184.7,9052.1,49,197.6,168.5
93,94,94,Mackenzie Hughes,80,184.6,11630.5,63,194.1,171.3
94,95,95,Jimmy Walker,81,184.5,9040.8,49,201.9,101.4
95,T96,T96,Joel Dahmen,93,184.3,12534.9,68,199.9,154.1
96,T96,T96,Nate Lashley,51,184.3,6080.9,33,192.9,170.3
97,T96,T96,J.J. Spaun,85,184.3,10876.1,59,199.6,170.5
98,T96,T96,Jordan Spieth,81,184.3,10507.6,57,209.1,166.7
99,100,100,Jason Dufner,71,184.1,7914.5,43,201.5,164.0
100,101,101,Beau Hossler,104,184.0,14350.5,78,196.9,162.3
101,102,102,Robert Streb,78,183.9,10300.9,56,199.1,164.4
102,T103,T103,Retief Goosen,60,183.7,6797.1,37,196.0,155.8
103,T103,T103,Kyle Stanley,93,183.7,10656.1,58,203.4,157.2
104,T105,T105,Sung Kang,89,183.5,9544.1,52,195.1,158.7
105,T105,T105,C.T. Pan,104,183.5,12294.3,67,194.5,160.5
106,107,107,Troy Merritt,89,183.3,12284.0,67,197.1,160.4
107,T108,T108,"Ted Potter, Jr.",87,183.2,12643.3,69,196.7,156.7
108,T108,T108,Sam Saunders,80,183.2,10073.7,55,202.2,168.8
109,110,110,Michael Thompson,62,182.9,9692.5,53,191.8,168.9
110,111,111,Stewart Cink,87,182.6,11504.8,63,203.7,164.9
111,112,112,Abraham Ancer,98,182.5,14602.1,80,199.6,133.1
112,113,113,Rory Sabbatini,91,182.3,12579.8,69,198.0,163.6
113,114,114,J.J. Henry,81,182.1,9469.3,52,193.7,161.6
114,115,115,James Hahn,85,182.0,11100.4,61,196.5,119.2
115,T116,T116,Martin Flores,92,181.9,11640.1,64,196.8,165.7
116,T116,T116,Anirban Lahiri,82,181.9,11275.7,62,195.0,165.1
117,T118,T118,Jonas Blixt,67,181.8,8362.1,46,196.9,165.5
118,T118,T118,Bud Cauley,55,181.8,6725.3,37,193.9,165.5
119,T120,T120,Zecheng Dou,53,181.7,5631.4,31,192.2,169.5
120,T120,T120,Russell Henley,77,181.7,7814.7,43,201.0,140.5
121,T120,T120,Cameron Tringale,67,181.7,8359.6,46,193.9,161.6
122,T123,T123,Cody Gribble,71,181.6,7990.2,44,195.3,156.9
123,T123,T123,Satoshi Kodaira,51,181.6,4720.5,26,197.4,164.4
124,T123,T123,Danny Lee,88,181.6,11622.1,64,196.1,150.6
125,126,126,Jonathan Byrd,70,181.5,7805.8,43,195.8,161.8
126,127,127,Chris Stroud,81,181.4,9071.0,50,196.8,161.0
127,T128,T128,Blayne Barber,69,181.1,9234.4,51,194.9,164.6
128,T128,T128,Ricky Barnes,65,181.1,5977.6,33,196.9,159.4
129,T128,T128,Andrew Landry,82,181.1,11770.6,65,199.6,160.9
130,T131,T131,Rafa Cabrera Bello,75,180.7,6684.1,37,201.6,165.9
131,T131,T131,Ben Martin,64,180.7,10121.9,56,194.7,162.4
132,T131,T131,Kevin Na,91,180.7,10843.3,60,199.3,155.7
133,134,134,Kevin Kisner,89,180.3,10275.0,57,194.2,161.2
134,135,135,Peter Malnati,87,180.0,12243.1,68,193.7,159.3
135,136,136,Webb Simpson,95,179.8,12407.2,69,194.2,157.3
136,T137,T137,Brandt Snedeker,84,179.7,10603.6,59,197.1,161.2
137,T137,T137,Nick Taylor,94,179.7,12042.5,67,192.4,163.8
138,139,139,David Lingmerth,82,179.6,11137.5,62,191.4,149.7
139,T140,T140,Scott Brown,102,179.5,12205.1,68,195.7,163.5
140,T140,T140,William McGirt,84,179.5,12562.6,70,192.9,147.4
141,T140,T140,Scott Piercy,84,179.5,8797.2,49,195.1,155.0
142,143,143,Rob Oppenheim,74,179.4,8790.4,49,197.1,157.7
143,144,144,Austin Cook,107,179.1,14329.4,80,193.7,148.4
144,145,145,Brice Garnett,99,179.0,11994.1,67,194.7,144.6
145,146,146,Russell Knox,94,178.9,11631.5,65,190.6,135.8
146,147,147,Tyler Duncan,97,178.7,11612.7,65,196.1,163.7
147,T148,T148,Si Woo Kim,108,178.6,11968.5,67,191.5,142.5
148,T148,T148,Richy Werenski,98,178.6,11427.3,64,192.1,158.8
149,T150,T150,Tom Hoge,101,178.3,14083.5,79,193.3,157.4
150,T150,T150,Brett Stegmaier,67,178.3,7846.4,44,191.7,152.1
151,152,152,Ian Poulter,73,178.2,7306.5,41,192.6,162.1
152,153,153,Brian Harman,94,178.0,10143.9,57,193.1,163.5
153,154,154,Ben Silverman,90,177.9,11738.7,66,188.0,157.4
154,T155,T155,Ryan Blaum,81,177.8,11022.8,62,186.3,162.9
155,T155,T155,Whee Kim,93,177.8,10135.1,57,187.3,155.3
156,157,157,Chris Kirk,108,177.7,15812.8,89,193.6,150.2
157,158,158,Nicholas Lindheim,77,177.5,9051.6,51,193.9,156.6
158,T159,T159,Michael Kim,74,177.2,8152.1,46,191.7,135.0
159,T159,T159,Andrew Yun,51,177.2,5139.2,29,188.8,162.2
160,161,161,Rod Pampling,62,177.1,7615.9,43,189.0,135.7
161,162,162,Matt Kuchar,88,177.0,9912.6,56,187.6,154.8
162,T163,T163,Graeme McDowell,67,176.7,7246.4,41,190.9,139.0
163,T163,T163,Cameron Percy,56,176.7,6715.2,38,187.6,155.2
164,T163,T163,Martin Piller,79,176.7,10776.2,61,186.6,161.7
165,166,166,Tyrone Van Aswegen,101,176.6,12009.0,68,193.7,136.9
166,167,167,Fabián Gómez,88,176.4,10934.7,62,188.8,161.6
167,168,168,Steve Wheatcroft,60,175.7,7202.2,41,183.7,155.7
168,169,169,Zach Johnson,94,175.5,10527.3,60,189.7,133.1
169,170,170,Kelly Kraft,94,175.4,11754.0,67,187.9,158.3
170,171,171,Alex Cejka,77,175.3,9643.7,55,182.9,161.0
171,172,172,David Hearn,66,174.8,7868.0,45,186.8,158.2
172,173,173,Derek Fathauer,84,174.7,10309.4,59,190.5,156.0
173,174,174,Ryan Moore,78,173.7,10249.1,59,186.1,153.9
174,175,175,Jonathan Randolph,71,173.6,10243.1,59,190.2,158.8
175,176,176,Chez Reavie,93,173.3,7625.1,44,189.2,151.2
176,177,177,Johnson Wagner,75,173.1,7960.7,46,191.9,144.2
177,178,178,Billy Hurley III,70,173.0,9516.3,55,185.5,137.8
178,179,179,D.A. Points,63,172.9,6917.0,40,187.2,150.1
179,180,180,Wesley Bryan,69,172.7,6562.9,38,185.6,137.3
180,181,181,Chad Campbell,87,172.4,8277.4,48,186.5,147.9
181,182,182,Zac Blair,64,172.3,7408.1,43,188.7,151.4
182,T183,T183,Ryan Armour,109,171.9,15300.9,89,186.4,151.6
183,T183,T183,Roberto Díaz,72,171.9,8936.5,52,187.8,151.8
184,185,185,John Huh,94,171.0,12314.4,72,184.9,156.1
185,186,186,Brian Stuard,103,170.8,13492.7,79,182.0,146.0
186,187,187,Ben Crane,65,170.3,7493.0,44,182.0,148.7
187,188,188,Vaughn Taylor,83,170.0,11389.1,67,181.9,152.5
188,189,189,Greg Chalmers,56,169.4,6774.1,40,183.4,151.7
189,190,190,Daniel Summerhays,51,169.2,5584.4,33,183.0,133.2
190,191,191,Brian Gay,103,167.9,13433.2,80,177.6,153.8
191,192,192,Jim Furyk,50,166.1,5481.5,33,175.9,150.3
192,193,193,Kyle Thompson,50,165.5,5461.4,33,178.8,146.4
