,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
143,144,144,Russell Knox,94,111.36,7461.2,67,113.76,108.24
144,145,145,C.T. Pan,104,111.32,7680.83,69,114.63,108.14
145,146,146,Cameron Tringale,67,111.28,5118.77,46,117.1,107.26
146,147,147,Blayne Barber,69,111.16,5669.22,51,115.14,107.46
147,148,148,Brandt Snedeker,84,111.12,6555.88,59,116.29,107.65
148,149,149,Cameron Percy,56,111.11,4222.29,38,114.44,107.3
149,150,150,Austin Cook,107,110.96,9209.3,83,114.7,107.99
150,151,151,Danny Lee,88,110.92,7210.06,65,117.07,106.17
151,152,152,Webb Simpson,95,110.89,7762.16,70,115.4,107.03
152,153,153,Satoshi Kodaira,51,110.87,2993.39,27,113.37,107.7
153,154,154,Andrew Landry,82,110.86,7205.84,65,116.06,107.74
154,155,155,Brett Stegmaier,67,110.85,4877.52,44,112.97,107.79
155,156,156,Ben Silverman,90,110.66,7303.31,66,115.53,106.93
156,157,157,Michael Kim,74,110.64,5310.64,48,114.2,106.78
157,158,158,Andrew Yun,51,110.52,3315.65,30,113.5,106.63
158,159,159,Jonas Blixt,67,110.49,5082.64,46,116.34,106.77
159,160,160,Derek Fathauer,84,110.46,6627.44,60,117.81,102.83
160,161,161,William McGirt,84,110.35,7724.71,70,114.75,106.81
161,162,162,Zach Johnson,94,110.0,6709.95,61,113.97,107.4
162,163,163,Brian Harman,94,109.93,6265.83,57,116.41,107.31
163,164,164,Nick Taylor,94,109.88,7472.13,68,114.86,106.7
164,T165,T165,Whee Kim,93,109.67,6251.36,57,113.54,106.62
165,T165,T165,Martin Piller,79,109.67,6689.95,61,112.6,106.99
166,167,167,Chad Campbell,87,109.5,5475.13,50,114.26,104.77
167,168,168,David Lingmerth,82,109.47,6896.56,63,114.63,105.63
168,169,169,Ryan Moore,78,109.43,6456.32,59,113.08,104.92
169,170,170,Steve Wheatcroft,60,109.41,4485.86,41,112.99,106.04
170,171,171,John Huh,94,109.36,7983.6,73,114.62,105.63
171,172,172,Billy Hurley III,70,109.3,6011.54,55,115.9,105.21
172,173,173,Ryan Armour,109,109.29,9726.64,89,115.34,105.84
173,174,174,Daniel Summerhays,51,109.15,3710.96,34,113.06,105.63
174,175,175,Richy Werenski,98,109.14,7093.95,65,112.02,105.83
175,176,176,Chez Reavie,93,108.83,5006.35,46,114.36,105.1
176,177,177,Roberto Díaz,72,108.82,5658.42,52,113.95,103.16
177,178,178,Wesley Bryan,69,108.78,4242.58,39,111.48,106.1
178,179,179,Johnson Wagner,75,108.61,5104.79,47,112.88,105.55
179,180,180,Kelly Kraft,94,108.58,7492.18,69,113.72,105.57
180,181,181,Greg Chalmers,56,108.56,4342.34,40,113.43,103.13
181,182,182,Ryan Blaum,81,108.05,6699.19,62,111.99,104.96
182,183,183,Matt Kuchar,88,107.97,6046.26,56,110.49,105.16
183,184,184,D.A. Points,63,107.93,4532.89,42,112.31,103.48
184,185,185,Zac Blair,64,107.9,4639.6,43,110.66,104.53
185,186,186,Ben Crane,65,107.78,4850.19,45,112.92,103.62
186,187,187,David Hearn,66,107.54,4839.08,45,111.31,103.92
187,188,188,Alex Cejka,77,107.28,5900.27,55,113.77,104.16
188,189,189,Vaughn Taylor,83,107.04,7171.56,67,111.91,104.28
189,190,190,Kyle Thompson,50,106.27,3506.78,33,111.01,103.36
190,191,191,Brian Stuard,103,105.86,8469.0,80,109.16,102.16
191,192,192,Brian Gay,103,105.76,8460.71,80,109.25,102.15
192,193,193,Jim Furyk,50,105.27,3473.97,33,109.25,102.44
