,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Henrik Stenson,60,76.87,472,614,-0.18
1,2,2,Ryan Armour,109,73.79,991,1343,-0.14
2,3,3,Ryan Moore,78,72.28,665,920,-0.17
3,4,4,Kyle Stanley,93,71.52,673,941,-0.19
4,5,5,Chez Reavie,93,71.33,597,837,-0.16
5,6,6,Brian Stuard,103,71.23,874,1227,-0.16
6,7,7,Brian Gay,103,71.01,911,1283,-0.18
7,8,8,Emiliano Grillo,94,70.08,712,1016,-0.18
8,9,9,Jim Furyk,50,69.69,446,640,-0.09
9,10,10,Russell Henley,77,69.61,568,816,-0.17
10,11,11,Steve Wheatcroft,60,68.92,439,637,-0.18
11,12,12,Rafa Cabrera Bello,75,68.36,458,670,-0.2
12,13,13,Kevin Streelman,94,68.24,780,1143,-0.16
13,14,14,David Lingmerth,82,68.13,654,960,-0.15
14,15,15,C.T. Pan,104,68.04,775,1139,-0.19
15,16,16,Keegan Bradley,98,67.93,754,1110,-0.21
16,17,17,Russell Knox,94,67.83,698,1029,-0.15
17,18,18,Kiradech Aphibarnrat,51,67.72,321,474,-0.14
18,19,19,Billy Horschel,86,67.5,729,1080,-0.2
19,20,20,Justin Rose,70,67.3,496,737,-0.25
20,T21,T21,Austin Cook,107,67.14,860,1281,-0.18
21,T21,T21,Vaughn Taylor,83,67.14,656,977,-0.15
22,23,23,Francesco Molinari,73,67.13,531,791,-0.21
23,24,24,Kevin Kisner,89,67.11,610,909,-0.16
24,25,25,Brian Harman,94,66.96,675,1008,-0.18
25,26,26,Alex Cejka,77,66.87,557,833,-0.15
26,27,27,Satoshi Kodaira,51,66.73,373,559,-0.06
27,28,28,Conrad Shindler,60,66.67,408,612,-0.19
28,29,29,Ian Poulter,73,66.62,463,695,-0.15
29,30,30,"Ted Potter, Jr.",87,66.57,711,1068,-0.14
30,31,31,J.J. Spaun,85,66.46,658,990,-0.18
31,32,32,Adam Hadwin,92,66.45,612,921,-0.2
32,33,33,Tyler Duncan,97,66.37,750,1130,-0.15
33,34,34,J.J. Henry,81,66.02,575,871,-0.15
34,35,35,Rickie Fowler,74,66.0,561,850,-0.2
35,36,36,Ben Crane,65,65.99,425,644,-0.15
36,37,37,David Hearn,66,65.85,459,697,-0.14
37,38,38,Sam Ryder,82,65.81,639,971,-0.18
38,39,39,Tommy Fleetwood,73,65.74,495,753,-0.29
39,40,40,Jason Dufner,71,65.52,475,725,-0.16
40,T41,T41,Zach Johnson,94,65.4,652,997,-0.21
41,T41,T41,Scott Piercy,84,65.4,618,945,-0.17
42,43,43,Michael Thompson,62,65.38,508,777,-0.2
43,44,44,Louis Oosthuizen,62,65.36,417,638,-0.14
44,45,45,Ben Silverman,90,65.28,690,1057,-0.16
45,46,46,Kelly Kraft,94,65.27,671,1028,-0.15
46,47,47,Joel Dahmen,93,65.22,645,989,-0.16
47,48,48,Daniel Berger,81,65.17,565,867,-0.2
48,49,49,Blayne Barber,69,65.1,541,831,-0.18
49,50,50,Hudson Swafford,73,64.92,470,724,-0.16
50,51,51,James Hahn,85,64.75,621,959,-0.17
51,52,52,Richy Werenski,98,64.63,665,1029,-0.2
52,53,53,Denny McCarthy,71,64.61,440,681,-0.17
53,54,54,Bryson DeChambeau,93,64.51,698,1082,-0.23
54,55,55,Pat Perez,82,64.43,460,714,-0.14
55,56,56,Johnson Wagner,75,64.23,492,766,-0.22
56,57,57,Adam Scott,78,64.16,528,823,-0.18
57,58,58,Xinjun Zhang,81,64.12,504,786,-0.12
58,59,59,Bronson Burgoon,69,63.98,508,794,-0.21
59,60,60,Gary Woodland,96,63.95,621,971,-0.21
60,61,61,Ryan Blaum,81,63.91,641,1003,-0.15
61,62,62,Tyrrell Hatton,58,63.88,375,587,-0.18
62,63,63,Martin Laird,73,63.83,540,846,-0.19
63,T64,T64,Matt Kuchar,88,63.78,574,900,-0.18
64,T64,T64,Aaron Wise,90,63.78,706,1107,-0.22
65,66,66,Chris Kirk,108,63.77,852,1336,-0.21
66,67,67,Hunter Mahan,67,63.66,452,710,-0.18
67,68,68,Patrick Cantlay,87,63.65,597,938,-0.22
68,69,69,John Huh,94,63.58,728,1145,-0.17
69,70,70,Andrew Landry,82,63.52,646,1017,-0.15
70,71,71,Alex Noren,67,63.4,433,683,-0.19
71,72,72,Lucas Glover,65,63.38,405,639,-0.14
72,73,73,Graeme McDowell,67,63.36,403,636,-0.15
73,74,74,Brandt Snedeker,84,63.12,647,1025,-0.18
74,75,75,Kevin Na,91,63.11,616,976,-0.25
75,76,76,Fabián Gómez,88,62.98,621,986,-0.15
76,77,77,Rod Pampling,62,62.92,392,623,-0.09
77,78,78,Chad Campbell,87,62.86,584,929,-0.11
78,T79,T79,Abraham Ancer,98,62.74,724,1154,-0.2
79,T79,T79,Roberto Díaz,72,62.74,490,781,-0.14
80,81,81,Tom Hoge,101,62.73,722,1151,-0.15
81,82,82,Charles Howell III,104,62.67,680,1085,-0.18
82,83,83,Troy Merritt,89,62.62,635,1014,-0.18
83,84,84,Paul Casey,74,62.59,425,679,-0.18
84,85,85,Ben Martin,64,62.53,494,790,-0.16
85,86,86,Brice Garnett,99,62.38,703,1127,-0.16
86,T87,T87,Corey Conners,97,62.3,684,1098,-0.16
87,T87,T87,Jonathan Randolph,71,62.3,519,833,-0.12
88,89,89,Jordan Spieth,81,62.25,569,914,-0.24
89,90,90,Hideki Matsuyama,75,62.17,493,793,-0.27
90,91,91,Webb Simpson,95,61.93,698,1127,-0.25
91,92,92,Danny Lee,88,61.92,600,969,-0.16
92,93,93,Marc Leishman,93,61.83,627,1014,-0.2
93,94,94,Beau Hossler,104,61.54,768,1248,-0.19
94,95,95,Brendan Steele,74,61.35,462,753,-0.15
95,96,96,Cameron Percy,56,61.32,352,574,-0.23
96,97,97,Shane Lowry,64,61.24,433,707,-0.14
97,98,98,Kyle Thompson,50,61.03,307,503,-0.11
98,99,99,Mackenzie Hughes,80,61.02,576,944,-0.19
99,100,100,Zac Blair,64,60.96,392,643,-0.17
100,101,101,Chesson Hadley,103,60.88,750,1232,-0.22
101,102,102,Chris Stroud,81,60.77,491,808,-0.2
102,T103,T103,Kevin Chappell,77,60.76,525,864,-0.2
103,T103,T103,Jon Rahm,71,60.76,429,706,-0.22
104,105,105,Patrick Rodgers,97,60.71,612,1008,-0.16
105,106,106,Branden Grace,67,60.63,368,607,-0.19
106,107,107,Rory Sabbatini,91,60.61,631,1041,-0.19
107,108,108,Whee Kim,93,60.56,611,1009,-0.18
108,109,109,Tiger Woods,68,60.54,491,811,-0.29
109,110,110,J.T. Poston,73,60.4,479,793,-0.18
110,T111,T111,Scott Brown,102,60.39,677,1121,-0.16
111,T111,T111,Si Woo Kim,108,60.39,654,1083,-0.14
112,113,113,Dustin Johnson,77,60.21,519,862,-0.31
113,114,114,D.A. Points,63,60.03,401,668,-0.1
114,115,115,Matt Jones,70,59.91,390,651,-0.26
115,116,116,William McGirt,84,59.88,621,1037,-0.17
116,117,117,Sam Saunders,80,59.8,552,923,-0.17
117,118,118,Byeong Hun An,86,59.72,602,1008,-0.2
118,119,119,Andrew Putnam,97,59.68,638,1069,-0.16
119,120,120,Nate Lashley,51,59.67,290,486,-0.17
120,121,121,Anirban Lahiri,82,59.66,556,932,-0.16
121,122,122,Xander Schauffele,96,59.64,597,1001,-0.2
122,123,123,Nick Taylor,94,59.51,610,1025,-0.15
123,124,124,Sean O'Hair,67,59.44,469,789,-0.18
124,125,125,Ethan Tracy,72,59.33,445,750,-0.15
125,T126,T126,Jonathan Byrd,70,58.95,392,665,-0.18
126,T126,T126,Nicholas Lindheim,77,58.95,484,821,-0.17
127,128,128,Brett Stegmaier,67,58.9,384,652,-0.2
128,129,129,Billy Hurley III,70,58.81,464,789,-0.17
129,130,130,Jonas Blixt,67,58.78,395,672,-0.13
130,131,131,Harris English,84,58.74,551,938,-0.17
131,132,132,Martin Piller,79,58.67,545,929,-0.11
132,133,133,Greg Chalmers,56,58.55,332,567,-0.05
133,134,134,Charley Hoffman,87,58.5,554,947,-0.16
134,135,135,Bud Cauley,55,58.45,332,568,-0.14
135,136,136,Jhonattan Vegas,92,58.33,518,888,-0.13
136,137,137,Ryan Palmer,69,58.19,483,830,-0.2
137,138,138,Bubba Watson,90,57.98,545,940,-0.23
138,139,139,Harold Varner III,91,57.83,591,1022,-0.2
139,140,140,Jason Kokrak,99,57.81,703,1216,-0.21
140,141,141,J.B. Holmes,77,57.8,541,936,-0.17
141,142,142,Keith Mitchell,99,57.66,666,1155,-0.21
142,143,143,Stephan Jaeger,81,57.63,502,871,-0.17
143,144,144,Brooks Koepka,64,57.62,435,755,-0.27
144,145,145,Justin Thomas,91,57.42,542,944,-0.27
145,146,146,Scott Stallings,96,57.31,631,1101,-0.18
146,147,147,Nick Watney,94,57.29,633,1105,-0.21
147,148,148,Sung Kang,89,57.21,524,916,-0.11
148,149,149,Patrick Reed,94,57.11,498,872,-0.21
149,150,150,Stewart Cink,87,57.1,531,930,-0.18
150,151,151,Bill Haas,76,57.02,520,912,-0.12
151,152,152,Shawn Stefani,76,56.87,472,830,-0.2
152,153,153,Peter Malnati,87,56.81,592,1042,-0.2
153,154,154,Matt Atkins,56,56.7,313,552,-0.15
154,155,155,Adam Schenk,86,56.48,514,910,-0.17
155,156,156,Tyrone Van Aswegen,101,56.41,647,1147,-0.18
156,157,157,Dominic Bozzelli,65,56.29,474,842,-0.19
157,158,158,Jason Day,75,56.24,383,681,-0.29
158,159,159,Robert Garrigus,80,56.23,528,939,-0.18
159,160,160,Cameron Smith,85,56.06,472,842,-0.21
160,161,161,Rob Oppenheim,74,55.84,416,745,-0.14
161,162,162,Rory McIlroy,64,55.73,394,707,-0.29
162,163,163,Talor Gooch,78,55.58,473,851,-0.16
163,164,164,Seamus Power,86,55.48,506,912,-0.14
164,165,165,Lanto Griffin,80,55.45,458,826,-0.14
165,166,166,Patton Kizzire,92,55.35,600,1084,-0.19
166,167,167,Tony Finau,105,55.26,620,1122,-0.28
167,168,168,Jimmy Walker,81,54.98,491,893,-0.19
168,169,169,Charl Schwartzel,65,54.96,316,575,-0.16
169,T170,T170,Zecheng Dou,53,54.93,273,497,-0.11
170,T170,T170,Jamie Lovemark,92,54.93,591,1076,-0.2
171,172,172,Trey Mullinax,75,54.85,441,804,-0.18
172,173,173,Tom Lovelady,87,54.8,519,947,-0.22
173,174,174,Martin Flores,92,54.74,543,992,-0.14
174,175,175,Cody Gribble,71,54.68,409,748,-0.21
175,176,176,Grayson Murray,72,54.53,445,816,-0.23
176,177,177,Brandon Harkins,101,54.49,643,1180,-0.23
177,178,178,Retief Goosen,60,54.36,299,550,-0.11
178,179,179,Luke List,98,54.28,584,1076,-0.21
179,T180,T180,Wesley Bryan,69,53.87,383,711,-0.22
180,T180,T180,Matt Every,79,53.87,452,839,-0.13
181,182,182,Michael Kim,74,53.53,394,736,-0.18
182,183,183,Peter Uihlein,83,53.3,477,895,-0.22
183,184,184,Phil Mickelson,90,53.25,516,969,-0.23
184,185,185,Daniel Summerhays,51,53.05,278,524,-0.19
185,186,186,Derek Fathauer,84,52.99,496,936,-0.16
186,187,187,Aaron Baddeley,84,52.89,512,968,-0.21
187,188,188,Robert Streb,78,52.59,437,831,-0.17
188,189,189,Cameron Tringale,67,51.95,360,693,-0.2
189,190,190,Kevin Tway,110,51.85,645,1244,-0.23
190,191,191,Andrew Yun,51,50.53,237,469,-0.05
191,192,192,Ollie Schniederjans,91,50.09,533,1064,-0.23
192,193,193,Ricky Barnes,65,47.39,291,614,-0.2
