,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Henrik Stenson,60,89.69,705,786
1,2,2,Ryan Armour,109,88.39,1325,1499
2,3,3,Ryan Moore,78,88.03,963,1094
3,4,4,Chez Reavie,93,87.86,1057,1203
4,5,5,Kevin Streelman,94,87.63,1126,1285
5,6,6,Hunter Mahan,67,86.83,765,881
6,7,7,Scott Piercy,84,86.51,968,1119
7,8,8,Kyle Stanley,93,86.37,1071,1240
8,9,9,Sam Ryder,82,86.1,960,1115
9,10,10,Billy Horschel,86,86.07,989,1149
10,11,11,C.T. Pan,104,86.06,1179,1370
11,12,12,Vaughn Taylor,83,85.88,949,1105
12,13,13,Russell Henley,77,85.78,893,1041
13,14,14,Russell Knox,94,85.76,1078,1257
14,15,15,Emiliano Grillo,94,85.66,1105,1290
15,16,16,Steve Wheatcroft,60,85.57,694,811
16,17,17,Rafa Cabrera Bello,75,85.55,841,983
17,18,18,Brian Stuard,103,85.46,1158,1355
18,19,19,Joel Dahmen,93,85.37,1015,1189
19,20,20,J.J. Henry,81,85.26,891,1045
20,21,21,Bryson DeChambeau,93,85.24,1115,1308
21,22,22,Brian Harman,94,85.23,1079,1266
22,23,23,Hudson Swafford,73,85.21,801,940
23,24,24,Abraham Ancer,98,85.1,1142,1342
24,25,25,Gary Woodland,96,85.02,1084,1275
25,26,26,Francesco Molinari,73,84.86,835,984
26,27,27,Justin Rose,70,84.85,784,924
27,28,28,Brian Gay,103,84.83,1197,1411
28,29,29,Ian Poulter,73,84.82,760,896
29,30,30,J.J. Spaun,85,84.81,938,1106
30,31,31,Blayne Barber,69,84.8,792,934
31,T32,T32,Chad Campbell,87,84.66,933,1102
32,T32,T32,Jordan Spieth,81,84.66,905,1069
33,34,34,Rickie Fowler,74,84.58,883,1044
34,35,35,Brendan Steele,74,84.57,800,946
35,36,36,David Hearn,66,84.51,709,839
36,37,37,James Hahn,85,84.48,969,1147
37,38,38,Tyler Duncan,97,84.45,1097,1299
38,39,39,Fabián Gómez,88,84.37,988,1171
39,40,40,Austin Cook,107,84.34,1266,1501
40,41,41,Louis Oosthuizen,62,84.26,637,756
41,42,42,Webb Simpson,95,84.24,1085,1288
42,43,43,Tommy Fleetwood,73,84.16,781,928
43,44,44,Lucas Glover,65,84.12,715,850
44,45,45,David Lingmerth,82,84.01,914,1088
45,46,46,Chris Kirk,108,83.98,1242,1479
46,T47,T47,Zac Blair,64,83.97,681,811
47,T47,T47,Bronson Burgoon,69,83.97,812,967
48,49,49,Rory Sabbatini,91,83.96,1042,1241
49,50,50,Hideki Matsuyama,75,83.93,851,1014
50,51,51,Adam Scott,78,83.87,915,1091
51,52,52,Dustin Johnson,77,83.86,873,1041
52,53,53,Patrick Cantlay,87,83.85,945,1127
53,T54,T54,Andrew Putnam,97,83.83,1042,1243
54,T54,T54,Johnson Wagner,75,83.83,809,965
55,56,56,Corey Conners,97,83.81,1087,1297
56,57,57,Keegan Bradley,98,83.79,1091,1302
57,58,58,Xinjun Zhang,81,83.76,877,1047
58,59,59,Brice Garnett,99,83.47,1106,1325
59,60,60,Alex Cejka,77,83.45,802,961
60,61,61,Adam Hadwin,92,83.44,1043,1250
61,62,62,Jon Rahm,71,83.42,775,929
62,63,63,Jason Kokrak,99,83.37,1153,1383
63,64,64,Pat Perez,82,83.35,881,1057
64,T65,T65,"Ted Potter, Jr.",87,83.29,1012,1215
65,T65,T65,Ben Silverman,90,83.29,977,1173
66,67,67,Troy Merritt,89,83.24,988,1187
67,68,68,Tom Hoge,101,83.14,1080,1299
68,69,69,Charles Howell III,104,83.05,1161,1398
69,70,70,Kevin Chappell,77,83.03,866,1043
70,T71,T71,Matt Kuchar,88,83.02,929,1119
71,T71,T71,Justin Thomas,91,83.02,958,1154
72,73,73,Michael Thompson,62,83.0,674,812
73,74,74,Daniel Berger,81,82.99,888,1070
74,75,75,Cameron Percy,56,82.98,580,699
75,T76,T76,Tony Finau,105,82.97,1140,1374
76,T76,T76,Stephan Jaeger,81,82.97,867,1045
77,78,78,John Huh,94,82.91,1043,1258
78,79,79,Aaron Wise,90,82.89,1017,1227
79,80,80,Richy Werenski,98,82.88,1065,1285
80,81,81,Kiradech Aphibarnrat,51,82.87,537,648
81,82,82,Beau Hossler,104,82.84,1207,1457
82,83,83,Graeme McDowell,67,82.83,680,821
83,84,84,Alex Noren,67,82.82,699,844
84,85,85,Ben Crane,65,82.79,683,825
85,86,86,Paul Casey,74,82.78,822,993
86,87,87,Tyrrell Hatton,58,82.76,629,760
87,88,88,Branden Grace,67,82.75,739,893
88,89,89,Kelly Kraft,94,82.72,1063,1285
89,T90,T90,Jason Dufner,71,82.71,746,902
90,T90,T90,Kevin Kisner,89,82.71,909,1099
91,T90,T90,Brandt Snedeker,84,82.71,947,1145
92,93,93,Jonathan Byrd,70,82.7,717,867
93,94,94,Zach Johnson,94,82.68,1007,1218
94,95,95,Nick Taylor,94,82.66,1039,1257
95,96,96,Nate Lashley,51,82.65,543,657
96,97,97,Stewart Cink,87,82.58,1005,1217
97,98,98,Keith Mitchell,99,82.54,1120,1357
98,99,99,Conrad Shindler,60,82.5,646,783
99,100,100,Jim Furyk,50,82.49,551,668
100,101,101,Ryan Blaum,81,82.43,896,1087
101,102,102,Brett Stegmaier,67,82.42,703,853
102,103,103,Nick Watney,94,82.39,1034,1255
103,104,104,Charley Hoffman,87,82.34,923,1121
104,105,105,Chesson Hadley,103,82.31,1140,1385
105,106,106,J.T. Poston,73,82.28,817,993
106,107,107,Si Woo Kim,108,82.26,1201,1460
107,108,108,Sam Saunders,80,82.25,848,1031
108,109,109,Andrew Landry,82,82.17,922,1122
109,110,110,Martin Laird,73,82.16,746,908
110,111,111,Ryan Palmer,69,82.12,721,878
111,112,112,Bubba Watson,90,82.11,909,1107
112,113,113,William McGirt,84,82.06,892,1087
113,114,114,Shawn Stefani,76,82.03,849,1035
114,T115,T115,Byeong Hun An,86,82.0,966,1178
115,T115,T115,Seamus Power,86,82.0,893,1089
116,117,117,Adam Schenk,86,81.97,914,1115
117,118,118,Harold Varner III,91,81.96,1018,1242
118,119,119,Denny McCarthy,71,81.95,722,881
119,120,120,Luke List,98,81.88,1089,1330
120,121,121,Shane Lowry,64,81.69,638,781
121,122,122,Matt Jones,70,81.59,709,869
122,123,123,J.B. Holmes,77,81.53,852,1045
123,124,124,Roberto Díaz,72,81.49,775,951
124,125,125,Robert Garrigus,80,81.4,862,1059
125,126,126,Marc Leishman,93,81.31,1031,1268
126,127,127,Danny Lee,88,81.28,977,1202
127,128,128,Lanto Griffin,80,81.16,840,1035
128,129,129,Ethan Tracy,72,80.97,770,951
129,130,130,Jamie Lovemark,92,80.94,994,1228
130,131,131,Ben Martin,64,80.92,721,891
131,132,132,Jhonattan Vegas,92,80.91,1013,1252
132,133,133,Xander Schauffele,96,80.84,1059,1310
133,134,134,Scott Brown,102,80.83,1105,1367
134,135,135,Nicholas Lindheim,77,80.69,777,963
135,136,136,Bill Haas,76,80.62,832,1032
136,137,137,Brooks Koepka,64,80.59,706,876
