,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Cody Gribble,71,4,3,1
1,2,2,Beau Hossler,104,5,2,3
2,3,3,Brett Stegmaier,67,8,6,2
3,4,4,Francesco Molinari,73,9,1,8
4,5,5,Rickie Fowler,74,16,10,6
5,T6,T6,Bud Cauley,55,20,8,12
6,T6,T6,Richy Werenski,98,20,16,4
7,8,8,Bronson Burgoon,69,25,18,7
8,9,9,Satoshi Kodaira,51,27,22,5
9,T10,T10,Jonas Blixt,67,29,20,9
10,T10,T10,Jon Rahm,71,29,5,24
11,12,12,Phil Mickelson,90,33,4,29
12,13,13,Harold Varner III,91,40,15,25
13,14,14,Cameron Smith,85,42,29,13
14,T15,T15,David Hearn,66,43,22,21
15,T15,T15,Denny McCarthy,71,43,16,27
16,T17,T17,Rory McIlroy,64,46,8,38
17,T17,T17,Justin Rose,70,46,12,34
18,19,19,Patrick Cantlay,87,49,26,23
19,20,20,Nick Taylor,94,50,31,19
20,21,21,Sam Saunders,80,53,11,42
21,T22,T22,Sean O'Hair,67,55,22,33
22,T22,T22,Cameron Percy,56,55,39,16
23,24,24,Danny Lee,88,58,29,29
24,25,25,Brian Gay,103,62,52,10
25,26,26,Michael Thompson,62,63,42,21
26,27,27,Retief Goosen,60,65,12,53
27,28,28,Bryson DeChambeau,93,67,21,46
28,T29,T29,Martin Piller,79,68,39,29
29,T29,T29,Vaughn Taylor,83,68,57,11
30,T31,T31,Blayne Barber,69,70,27,43
31,T31,T31,Jason Day,75,70,7,63
32,33,33,Matt Kuchar,88,72,45,27
33,34,34,C.T. Pan,104,73,39,34
34,T35,T35,Brice Garnett,99,75,55,20
35,T35,T35,Grayson Murray,72,75,31,44
36,37,37,Brian Harman,94,79,64,15
37,T38,T38,Tom Lovelady,87,80,12,68
38,T38,T38,Xander Schauffele,96,80,51,29
39,40,40,Matt Every,79,83,34,49
40,41,41,Austin Cook,107,84,59,25
41,42,42,Ryan Blaum,81,85,33,52
42,43,43,Trey Mullinax,75,87,48,39
43,44,44,Jason Dufner,71,88,75,13
44,45,45,Brandon Harkins,101,91,44,47
45,46,46,Robert Garrigus,80,92,36,56
46,47,47,Webb Simpson,95,96,59,37
47,48,48,Cameron Tringale,67,101,19,82
48,T49,T49,Adam Hadwin,92,102,38,64
49,T49,T49,Jordan Spieth,81,102,66,36
50,51,51,Hideki Matsuyama,75,104,53,51
51,52,52,Brendan Steele,74,106,90,16
52,53,53,Harris English,84,108,64,44
53,54,54,Jason Kokrak,99,111,36,75
54,55,55,Chesson Hadley,103,113,43,70
55,56,56,Whee Kim,93,115,59,56
56,57,57,Jonathan Byrd,70,116,50,66
57,T58,T58,Keegan Bradley,98,117,35,82
58,T58,T58,Corey Conners,97,117,78,39
59,60,60,Dustin Johnson,77,120,45,75
60,61,61,Chad Campbell,87,123,107,16
61,62,62,Abraham Ancer,98,124,75,49
62,63,63,Anirban Lahiri,82,128,72,56
63,64,64,Chez Reavie,93,132,85,47
64,65,65,Byeong Hun An,86,133,27,106
65,66,66,Justin Thomas,91,136,82,54
66,67,67,Marc Leishman,93,139,59,80
67,68,68,Alex Cejka,77,140,48,92
68,69,69,Andrew Landry,82,144,80,64
69,70,70,Stephan Jaeger,81,149,57,92
70,71,71,Zach Johnson,94,150,89,61
71,72,72,Joel Dahmen,93,151,59,92
72,73,73,Brian Stuard,103,153,78,75
73,74,74,Scott Piercy,84,156,102,54
74,75,75,Sung Kang,89,157,22,135
75,76,76,Martin Laird,73,158,66,92
76,77,77,Rory Sabbatini,91,162,90,72
77,T78,T78,James Hahn,85,164,66,98
78,T78,T78,J.J. Henry,81,164,84,80
79,80,80,Billy Horschel,86,169,85,84
80,81,81,Michael Kim,74,171,81,90
81,82,82,Scott Stallings,96,173,85,88
82,83,83,Brandt Snedeker,84,174,108,66
83,84,84,Ben Silverman,90,175,100,75
84,85,85,Graeme McDowell,67,176,120,56
85,86,86,Tommy Fleetwood,73,179,71,108
86,87,87,D.A. Points,63,180,124,56
87,T88,T88,David Lingmerth,82,184,82,102
88,T88,T88,Aaron Wise,90,184,53,131
89,90,90,Kelly Kraft,94,185,72,113
90,91,91,Wesley Bryan,69,186,113,73
91,T92,T92,Kevin Streelman,94,187,97,90
92,T92,T92,Johnson Wagner,75,187,113,74
93,94,94,Steve Wheatcroft,60,191,123,68
94,T95,T95,Tony Finau,105,192,74,118
95,T95,T95,Shane Lowry,64,192,70,122
96,T95,T95,Kyle Thompson,50,192,151,41
97,T98,T98,Matt Atkins,56,194,66,128
98,T98,T98,Luke List,98,194,45,149
99,100,100,Aaron Baddeley,84,195,97,98
100,T101,T101,Martin Flores,92,204,118,86
101,T101,T101,Xinjun Zhang,81,204,108,96
102,103,103,Kyle Stanley,93,205,119,86
103,T104,T104,J.T. Poston,73,207,93,114
104,T104,T104,Tyrone Van Aswegen,101,207,93,114
105,T106,T106,William McGirt,84,209,108,101
106,T106,T106,Ryan Moore,78,209,148,61
107,108,108,Shawn Stefani,76,211,108,103
108,109,109,Rafa Cabrera Bello,75,212,137,75
109,110,110,Louis Oosthuizen,62,215,56,159
110,111,111,Troy Merritt,89,216,85,131
111,112,112,John Huh,94,218,120,98
112,T113,T113,Tom Hoge,101,220,106,114
113,T113,T113,Ryan Palmer,69,220,102,118
114,T115,T115,Brooks Koepka,64,222,95,127
115,T115,T115,Peter Malnati,87,222,116,106
116,117,117,Nate Lashley,51,223,127,96
117,118,118,Tyrrell Hatton,58,226,75,151
118,119,119,Fabián Gómez,88,227,157,70
119,120,120,Jimmy Walker,81,239,116,123
120,121,121,Kevin Chappell,77,240,92,148
121,T122,T122,Bill Haas,76,244,100,144
122,T122,T122,Charley Hoffman,87,244,102,142
123,T122,T122,Patton Kizzire,92,244,108,136
124,125,125,Nick Watney,94,247,102,145
125,126,126,Zac Blair,64,250,147,103
126,T127,T127,Hunter Mahan,67,253,95,158
127,T127,T127,Patrick Rodgers,97,253,97,156
128,129,129,Nicholas Lindheim,77,255,166,89
129,130,130,Andrew Yun,51,256,132,124
130,T131,T131,Ben Martin,64,257,154,103
131,T131,T131,Chris Stroud,81,257,126,131
132,133,133,Jim Furyk,50,258,174,84
133,134,134,Chris Kirk,108,259,141,118
