,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Dustin Johnson,77,-.102
1,2,2,Hudson Swafford,73,-.094
2,3,3,Kevin Streelman,94,-.092
3,4,4,Joel Dahmen,93,-.083
4,5,5,Billy Horschel,86,-.070
5,6,6,Justin Thomas,91,-.069
6,7,7,Seamus Power,86,-.060
7,8,8,Rory Sabbatini,91,-.054
8,T9,T9,Paul Casey,74,-.045
9,T9,T9,J.B. Holmes,77,-.045
10,11,11,Matt Kuchar,88,-.043
11,12,12,Phil Mickelson,90,-.041
12,13,13,Charley Hoffman,87,-.037
13,14,14,Rory McIlroy,64,-.034
14,15,15,Peter Uihlein,83,-.031
15,16,16,Trey Mullinax,75,-.029
16,T17,T17,Cameron Percy,56,-.021
17,T17,T17,Brandt Snedeker,84,-.021
18,19,19,Justin Rose,70,-.013
19,T20,T20,Rickie Fowler,74,-.012
20,T20,T20,Graeme McDowell,67,-.012
21,22,22,Bubba Watson,90,-.007
22,T23,T23,Abraham Ancer,98,E
23,T23,T23,Patrick Cantlay,87,E
24,T23,T23,Stephan Jaeger,81,E
25,T23,T23,William McGirt,84,E
26,T23,T23,Jhonattan Vegas,92,E
27,T28,T28,Andrew Putnam,97,+.007
28,T28,T28,Cameron Smith,85,+.007
29,T30,T30,Jason Dufner,71,+.011
30,T30,T30,Hunter Mahan,67,+.011
31,32,32,Austin Cook,107,+.013
32,33,33,Bryson DeChambeau,93,+.014
33,34,34,Martin Laird,73,+.015
34,T35,T35,Tony Finau,105,+.017
35,T35,T35,Nick Watney,94,+.017
36,T37,T37,Aaron Baddeley,84,+.022
37,T37,T37,Jonas Blixt,67,+.022
38,T39,T39,Stewart Cink,87,+.023
39,T39,T39,Jason Kokrak,99,+.023
40,T39,T39,Troy Merritt,89,+.023
41,42,42,Charl Schwartzel,65,+.024
42,T43,T43,Tyler Duncan,97,+.025
43,T43,T43,Beau Hossler,104,+.025
44,45,45,Jamie Lovemark,92,+.030
45,46,46,Robert Garrigus,80,+.031
46,T47,T47,Ricky Barnes,65,+.032
47,T47,T47,Jordan Spieth,81,+.032
48,T47,T47,Gary Woodland,96,+.032
49,50,50,Dominic Bozzelli,65,+.034
50,51,51,Chad Campbell,87,+.036
51,T52,T52,Bud Cauley,55,+.038
52,T52,T52,Tom Lovelady,87,+.038
53,T54,T54,Chesson Hadley,103,+.039
54,T54,T54,Chris Stroud,81,+.039
55,56,56,Sam Saunders,80,+.040
56,T57,T57,Greg Chalmers,56,+.041
57,T57,T57,Ethan Tracy,72,+.041
58,T57,T57,Johnson Wagner,75,+.041
59,60,60,Bill Haas,76,+.042
60,61,61,Ian Poulter,73,+.044
61,T62,T62,Charles Howell III,104,+.048
62,T62,T62,Shawn Stefani,76,+.048
63,T64,T64,Russell Knox,94,+.050
64,T64,T64,Steve Wheatcroft,60,+.050
65,T66,T66,Zac Blair,64,+.051
66,T66,T66,Patton Kizzire,92,+.051
67,68,68,Patrick Reed,94,+.053
68,T69,T69,Chris Kirk,108,+.054
69,T69,T69,Vaughn Taylor,83,+.054
70,T69,T69,Nick Taylor,94,+.054
71,T69,T69,Kevin Tway,110,+.054
72,73,73,Adam Schenk,86,+.055
73,74,74,Henrik Stenson,60,+.056
