,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Jim Furyk,15,"18' 6""",3410.917,184
1,2,2,Ryan Armour,32,"18' 7""",6233.9169999999995,336
2,3,3,Chez Reavie,28,"19' 0""",4130.667,217
3,4,4,Zac Blair,20,"19' 3""",4637.083,241
4,5,5,Kyle Stanley,26,"19' 5""",4552.667,234
5,6,6,Brian Harman,25,"20' 1""",6130.25,305
6,T7,T7,Rod Pampling,20,"20' 2""",4480.667,222
7,T7,T7,Henrik Stenson,16,"20' 2""",2576.0,128
8,9,9,Ryan Moore,22,"20' 6""",4951.583,242
9,10,10,Louis Oosthuizen,17,"20' 9""",4093.333,197
10,T11,T11,Emiliano Grillo,25,"21' 3""",6092.9169999999995,287
11,T11,T11,David Lingmerth,26,"21' 3""",6208.0,292
12,T11,T11,Kevin Streelman,27,"21' 3""",7131.75,335
13,T14,T14,Tyler Duncan,31,"21' 5""",7442.25,348
14,T14,T14,Graeme McDowell,20,"21' 5""",4652.083,217
15,16,16,Russell Knox,27,"21' 7""",6657.8330000000005,308
16,17,17,Jason Dufner,22,"21' 9""",5005.583,230
17,T18,T18,Brian Gay,30,"21' 11""",7559.1669999999995,345
18,T18,T18,Ian Poulter,20,"21' 11""",4803.417,219
19,T18,T18,Brian Stuard,32,"21' 11""",7408.5,338
20,T21,T21,Matt Kuchar,24,"22' 0""",6719.25,305
21,T21,T21,Johnson Wagner,21,"22' 0""",5811.3330000000005,264
22,23,23,David Hearn,21,"22' 1""",5119.5,232
23,24,24,Russell Henley,23,"22' 2""",4987.583,225
24,25,25,Vaughn Taylor,25,"22' 3""",6911.1669999999995,311
25,T26,T26,Abraham Ancer,30,"22' 4""",9073.0,406
26,T26,T26,Ben Crane,21,"22' 4""",4663.417,209
27,T28,T28,Kevin Kisner,25,"22' 5""",6312.5,282
28,T28,T28,Ben Silverman,28,"22' 5""",7778.0830000000005,347
29,T28,T28,Steve Wheatcroft,20,"22' 5""",4422.667,197
30,31,31,Austin Cook,29,"22' 6""",8923.75,397
31,32,32,Paul Casey,20,"22' 9""",5156.25,227
32,T33,T33,Alex Cejka,24,"22' 10""",5957.0830000000005,261
33,T33,T33,Fabián Gómez,28,"22' 10""",8005.8330000000005,351
34,35,35,"Ted Potter, Jr.",28,"22' 11""",7773.1669999999995,339
35,36,36,Hunter Mahan,21,"23' 1""",5763.0830000000005,250
36,T37,T37,Billy Horschel,27,"23' 2""",7646.0830000000005,330
37,T37,T37,Si Woo Kim,31,"23' 2""",9345.333,403
38,T39,T39,Adam Hadwin,25,"23' 4""",6567.0,281
39,T39,T39,Webb Simpson,26,"23' 4""",9303.0,399
40,41,41,Scott Piercy,26,"23' 5""",7130.25,304
41,42,42,Patrick Cantlay,23,"23' 6""",6956.5830000000005,296
42,T43,T43,Ryan Blaum,28,"23' 8""",8155.75,345
43,T43,T43,Tommy Fleetwood,19,"23' 8""",5460.9169999999995,231
44,T43,T43,Zach Johnson,25,"23' 8""",7655.5830000000005,324
45,T43,T43,Nate Lashley,17,"23' 8""",4480.417,189
