,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
90,T90,T90,Kevin Streelman,94,2.605,298.393,114.529,75,2.989
91,T92,T92,Alex Cejka,77,2.603,279.2,107.27799999999999,55,3.028
92,T92,T92,Joel Dahmen,93,2.603,293.572,112.77799999999999,68,2.9989999999999997
93,T92,T92,Stephan Jaeger,81,2.603,295.527,113.54299999999999,56,3.02
94,T92,T92,Martin Laird,73,2.603,299.121,114.931,53,3.3569999999999998
95,T96,T96,Nate Lashley,51,2.6010000000000004,296.156,113.86200000000001,33,3.11
96,T96,T96,Xinjun Zhang,81,2.6010000000000004,298.985,114.949,49,3.363
97,T98,T98,Aaron Baddeley,84,2.6,296.139,113.89200000000001,60,2.8289999999999997
98,T98,T98,James Hahn,85,2.6,297.161,114.275,62,3.088
99,T98,T98,John Huh,94,2.6,284.342,109.36399999999999,73,2.944
100,101,101,William McGirt,84,2.5989999999999998,286.754,110.353,70,3.0869999999999997
101,102,102,David Lingmerth,82,2.597,284.276,109.469,63,2.873
102,T103,T103,Zac Blair,64,2.596,280.105,107.898,43,3.012
103,T103,T103,Ben Martin,64,2.596,291.264,112.198,56,2.924
104,T103,T103,Shawn Stefani,76,2.596,298.471,114.971,51,3.011
105,T106,T106,Byeong Hun An,86,2.595,304.16200000000003,117.204,58,2.94
106,T106,T106,Peter Malnati,87,2.595,289.207,111.464,68,2.9160000000000004
107,T108,T108,Greg Chalmers,56,2.594,281.64599999999996,108.559,40,2.8710000000000004
108,T108,T108,Tommy Fleetwood,73,2.594,303.784,117.089,43,2.937
109,T110,T110,Daniel Berger,81,2.593,298.697,115.215,53,3.11
110,T110,T110,Ian Poulter,73,2.593,289.471,111.619,42,2.8819999999999997
111,112,112,Russell Henley,77,2.592,291.053,112.289,43,3.097
112,113,113,Kelly Kraft,94,2.59,281.27,108.58200000000001,69,2.9930000000000003
113,T114,T114,Roberto Díaz,72,2.588,281.652,108.816,52,3.093
114,T114,T114,Tom Hoge,101,2.588,289.345,111.818,79,2.9739999999999998
115,T114,T114,J.T. Poston,73,2.588,299.46,115.721,56,3.005
116,T114,T114,Tyrone Van Aswegen,101,2.588,289.654,111.93700000000001,70,2.891
117,T118,T118,Tony Finau,105,2.5860000000000003,314.435,121.574,66,3.1060000000000003
118,T118,T118,Chris Kirk,108,2.5860000000000003,289.707,112.009,90,2.9819999999999998
119,T118,T118,Ryan Palmer,69,2.5860000000000003,301.70599999999996,116.661,53,3.153
120,121,121,Si Woo Kim,108,2.585,288.344,111.535,68,3.0389999999999997
121,122,122,Shane Lowry,64,2.5839999999999996,295.8,114.491,43,2.895
122,123,123,Jimmy Walker,81,2.583,298.58,115.604,49,2.9619999999999997
123,T124,T124,Ben Crane,65,2.582,278.27299999999997,107.78200000000001,45,2.8939999999999997
124,T124,T124,Matt Jones,70,2.582,304.824,118.057,43,2.998
125,T124,T124,Andrew Yun,51,2.582,285.389,110.522,30,2.9939999999999998
126,127,127,Brooks Koepka,64,2.5810000000000004,316.012,122.42,43,2.88
127,T128,T128,Matt Atkins,56,2.58,299.76099999999997,116.185,37,2.946
128,T128,T128,Paul Casey,74,2.58,302.756,117.34,35,2.847
129,T128,T128,Derek Fathauer,84,2.58,284.99,110.45700000000001,60,2.9789999999999996
130,T131,T131,Lucas Glover,65,2.5789999999999997,297.395,115.31299999999999,41,2.885
131,T131,T131,Troy Merritt,89,2.5789999999999997,288.897,112.037,67,3.052
132,T131,T131,Chris Stroud,81,2.5789999999999997,288.718,111.956,51,2.952
133,T131,T131,Aaron Wise,90,2.5789999999999997,299.67900000000003,116.194,63,3.177
134,135,135,Sung Kang,89,2.5780000000000003,290.198,112.57,53,3.156
135,T136,T136,Talor Gooch,78,2.577,302.947,117.542,47,2.9
136,T136,T136,Patton Kizzire,92,2.577,297.835,115.571,69,2.912
137,T136,T136,Andrew Putnam,97,2.577,292.101,113.363,69,2.907
138,T136,T136,J.J. Spaun,85,2.577,295.228,114.583,59,3.1189999999999998
139,T140,T140,Tyler Duncan,97,2.576,294.438,114.29700000000001,65,3.036
140,T140,T140,Branden Grace,67,2.576,296.807,115.23200000000001,32,2.8689999999999998
141,T142,T142,Charley Hoffman,87,2.574,297.92400000000004,115.76299999999999,55,2.863
142,T142,T142,Rob Oppenheim,74,2.574,288.683,112.17200000000001,49,2.8539999999999996
143,144,144,Bill Haas,76,2.572,296.72900000000004,115.38799999999999,47,2.861
144,T145,T145,Scott Brown,102,2.571,291.82,113.5,69,2.8539999999999996
145,T145,T145,Seamus Power,86,2.571,305.226,118.706,60,3.035
146,T145,T145,Nick Watney,94,2.571,304.524,118.45100000000001,75,2.975
147,148,148,Kevin Chappell,77,2.57,306.522,119.24700000000001,50,2.855
148,149,149,Luke List,98,2.569,311.953,121.436,69,2.986
149,150,150,Jamie Lovemark,92,2.568,298.29400000000004,116.13799999999999,67,3.02
150,T151,T151,Tyrrell Hatton,58,2.5660000000000003,296.89,115.686,29,2.99
151,T151,T151,Billy Hurley III,70,2.5660000000000003,280.517,109.301,55,2.8689999999999998
152,T153,T153,Ryan Armour,109,2.565,280.313,109.288,89,3.0269999999999997
153,T153,T153,Dominic Bozzelli,65,2.565,294.724,114.911,53,2.952
154,155,155,Russell Knox,94,2.563,285.47,111.361,67,2.884
155,T156,T156,Charles Howell III,104,2.562,302.384,118.006,69,2.8569999999999998
156,T156,T156,Patrick Rodgers,97,2.562,304.26,118.74799999999999,57,2.843
157,158,158,Hunter Mahan,67,2.559,295.004,115.272,50,2.897
158,159,159,Louis Oosthuizen,62,2.557,292.44,114.35700000000001,41,2.9130000000000003
159,T160,T160,Kiradech Aphibarnrat,51,2.556,290.02099999999996,113.456,27,3.0060000000000002
160,T160,T160,Tiger Woods,68,2.556,307.341,120.236,42,2.918
161,162,162,Daniel Summerhays,51,2.5540000000000003,278.715,109.146,34,2.945
162,T163,T163,Emiliano Grillo,94,2.553,293.599,114.995,68,2.8689999999999998
163,T163,T163,Adam Schenk,86,2.553,307.836,120.586,64,2.827
164,165,165,Jonathan Randolph,71,2.55,284.212,111.447,60,2.946
165,166,166,Kevin Kisner,89,2.548,286.685,112.499,57,3.023
166,167,167,Stewart Cink,87,2.5469999999999997,294.32599999999996,115.54,64,2.888
167,168,168,Mackenzie Hughes,80,2.546,292.835,115.01299999999999,64,2.945
168,T169,T169,Hudson Swafford,73,2.542,300.692,118.295,45,2.935
169,T169,T169,Bubba Watson,90,2.542,308.268,121.291,53,2.733
170,171,171,Ethan Tracy,72,2.541,294.754,115.994,46,2.81
171,172,172,Sam Ryder,82,2.5340000000000003,296.86,117.17299999999999,60,2.905
172,173,173,Gary Woodland,96,2.531,310.512,122.679,54,3.013
173,T174,T174,Ricky Barnes,65,2.53,295.819,116.94,33,2.821
174,T174,T174,Patrick Reed,94,2.53,296.717,117.257,52,2.822
175,176,176,J.B. Holmes,77,2.529,305.644,120.833,59,2.9
176,177,177,Kevin Na,91,2.528,287.57,113.76100000000001,60,2.86
177,178,178,Robert Streb,78,2.525,290.678,115.12899999999999,56,2.887
178,179,179,Rod Pampling,62,2.523,283.55400000000003,112.375,43,2.9619999999999997
179,180,180,Charl Schwartzel,65,2.522,299.624,118.786,32,2.748
180,181,181,"Ted Potter, Jr.",87,2.5180000000000002,285.807,113.505,70,2.767
181,T182,T182,Alex Noren,67,2.517,296.487,117.77799999999999,37,2.905
182,T182,T182,Kevin Tway,110,2.517,307.438,122.131,74,2.944
183,184,184,Ollie Schniederjans,91,2.5140000000000002,299.84,119.285,60,2.95
184,185,185,Keith Mitchell,99,2.509,313.192,124.834,70,2.843
185,186,186,Henrik Stenson,60,2.506,290.265,115.85,17,2.657
186,187,187,Peter Uihlein,83,2.505,307.837,122.899,51,2.8939999999999997
187,188,188,Zecheng Dou,53,2.501,291.457,116.529,31,2.8110000000000004
188,189,189,Lanto Griffin,80,2.494,297.82099999999997,119.395,49,2.945
189,190,190,Jhonattan Vegas,92,2.489,303.302,121.87299999999999,51,2.863
190,191,191,Adam Scott,78,2.48,299.68,120.846,51,2.832
191,192,192,Pat Perez,82,2.464,287.778,116.792,41,2.904
192,193,193,Conrad Shindler,60,2.432,289.923,119.229,29,2.702
