,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Henrik Stenson,60,75.19,591,786
1,2,2,Ryan Armour,109,73.58,1103,1499
2,3,3,Chez Reavie,93,72.24,869,1203
3,4,4,Ryan Moore,78,71.94,787,1094
4,5,5,Brian Stuard,103,71.44,968,1355
5,6,6,Brian Gay,103,71.37,1007,1411
6,7,7,Kyle Stanley,93,71.29,884,1240
7,8,8,Emiliano Grillo,94,70.16,905,1290
8,9,9,Russell Henley,77,70.03,729,1041
9,10,10,Jim Furyk,50,69.91,467,668
10,11,11,Steve Wheatcroft,60,69.79,566,811
11,12,12,Kevin Streelman,94,69.11,888,1285
12,13,13,C.T. Pan,104,68.98,945,1370
13,14,14,David Lingmerth,82,68.93,750,1088
14,15,15,Keegan Bradley,98,67.9,884,1302
15,16,16,Rafa Cabrera Bello,75,67.85,667,983
16,17,17,Billy Horschel,86,67.8,779,1149
17,18,18,Russell Knox,94,67.7,851,1257
18,19,19,Ben Crane,65,67.52,557,825
19,20,20,Vaughn Taylor,83,67.51,746,1105
20,21,21,Brian Harman,94,67.14,850,1266
21,22,22,Sam Ryder,82,66.91,746,1115
22,23,23,"Ted Potter, Jr.",87,66.83,812,1215
23,24,24,Austin Cook,107,66.76,1002,1501
24,25,25,Tyler Duncan,97,66.74,867,1299
25,26,26,David Hearn,66,66.63,559,839
26,27,27,Alex Cejka,77,66.49,639,961
27,28,28,Ian Poulter,73,66.41,595,896
28,29,29,Joel Dahmen,93,66.36,789,1189
29,30,30,Kevin Kisner,89,66.33,729,1099
30,31,31,J.J. Henry,81,66.22,692,1045
31,32,32,J.J. Spaun,85,66.18,732,1106
32,33,33,Justin Rose,70,66.02,610,924
33,34,34,Kelly Kraft,94,65.84,846,1285
34,35,35,Conrad Shindler,60,65.77,515,783
35,36,36,Scott Piercy,84,65.68,735,1119
36,37,37,Adam Hadwin,92,65.6,820,1250
37,38,38,Ben Silverman,90,65.56,769,1173
38,39,39,Satoshi Kodaira,51,65.53,443,676
39,T40,T40,Rickie Fowler,74,65.33,682,1044
40,T40,T40,Xinjun Zhang,81,65.33,684,1047
41,42,42,Kiradech Aphibarnrat,51,65.12,422,648
42,43,43,Pat Perez,82,65.09,688,1057
43,T44,T44,Lucas Glover,65,65.06,553,850
44,T44,T44,Richy Werenski,98,65.06,836,1285
45,T46,T46,Hunter Mahan,67,65.04,573,881
46,T46,T46,Francesco Molinari,73,65.04,640,984
